# Speer - Lookout Mountain Lower - PIPO - ITRDB OR046
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4780
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4780.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or046-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; or046-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or046.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/or046.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2007-07-11
#--------------------
# File_Last_Modified_Date
#   Date: 2007-07-11
#--------------------
# Title
#   Study_Name: Speer - Lookout Mountain Lower - PIPO - ITRDB OR046
#--------------------
# Investigators
#   Investigators: Speer, J.H.; Swetnam, T.W.(https://orcid.org/0000-0001-7268-2184)
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Lookout Mountain Lower
#   Location: Oregon
#   Northernmost_Latitude: 43.75
#   Southernmost_Latitude: 43.75
#   Easternmost_Longitude: -121.65
#   Westernmost_Longitude: -121.65
#   Elevation_m: 1320
#--------------------
# Data_Collection
#   Collection_Name: OR046
#   First_Year: 1529
#   Last_Year: 1995
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus ponderosa Douglas ex C. Lawson
#   Common_Name: ponderosa pine
#   Tree_Species_Code: PIPO
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## LML01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LML01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LML02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LML02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LML02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LML02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LML03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LML03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LML03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LML03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LML04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LML04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LML04B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LML04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LML05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LML05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LML05B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LML05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LML06A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LML06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LML06B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LML06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LML07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LML07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LML07B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LML07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LML08A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LML08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LML08B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LML08B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LML09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LML09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LML09B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LML09B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LML10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LML10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LML10B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LML10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	LML01B_raw	LML02A_raw	LML02B_raw	LML03A_raw	LML03B_raw	LML04A_raw	LML04B_raw	LML05A_raw	LML05B_raw	LML06A_raw	LML06B_raw	LML07A_raw	LML07B_raw	LML08A_raw	LML08B_raw	LML09A_raw	LML09B_raw	LML10A_raw	LML10B_raw
1529	NA	NA	NA	NA	NA	NA	NA	2.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1530	NA	NA	NA	NA	NA	NA	NA	2.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1531	NA	NA	NA	NA	NA	NA	NA	2.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1532	NA	NA	NA	NA	NA	NA	NA	1.54	NA	NA	NA	NA	NA	0.93	NA	NA	NA	NA	NA
1533	NA	NA	NA	NA	NA	NA	NA	1.38	NA	NA	NA	NA	NA	0.67	NA	NA	NA	NA	NA
1534	NA	NA	NA	NA	NA	NA	NA	1.42	NA	NA	NA	NA	NA	0.74	NA	NA	NA	0.75	NA
1535	NA	NA	NA	NA	NA	NA	NA	1.27	NA	NA	NA	NA	NA	0.83	NA	NA	NA	0.75	NA
1536	NA	NA	NA	NA	NA	NA	NA	1.62	NA	NA	NA	NA	NA	0.94	NA	NA	NA	0.95	NA
1537	NA	NA	NA	NA	NA	NA	NA	1.23	NA	NA	NA	NA	NA	1.43	NA	NA	NA	1.35	NA
1538	NA	NA	NA	NA	NA	NA	NA	1.44	NA	NA	NA	NA	NA	1.15	NA	NA	NA	0.86	NA
1539	NA	NA	NA	NA	NA	NA	NA	1.77	NA	NA	NA	NA	NA	0.51	NA	NA	NA	0.85	NA
1540	NA	NA	NA	NA	NA	NA	NA	1.62	NA	NA	NA	NA	NA	0.5	NA	NA	NA	0.77	NA
1541	NA	NA	NA	NA	NA	NA	NA	1.68	NA	NA	NA	NA	NA	0.33	NA	NA	NA	0.94	NA
1542	NA	NA	NA	NA	NA	NA	NA	1.36	NA	NA	NA	NA	NA	0.62	NA	NA	NA	0.73	NA
1543	NA	NA	NA	NA	NA	NA	NA	1.52	NA	NA	NA	NA	NA	0.44	NA	NA	NA	0.79	NA
1544	NA	NA	NA	NA	NA	NA	NA	1.43	NA	NA	NA	NA	NA	0.56	NA	NA	NA	0.82	1.79
1545	NA	NA	NA	NA	NA	NA	NA	1.67	NA	NA	NA	NA	NA	0.54	NA	NA	NA	0.97	1.57
1546	NA	NA	NA	NA	NA	NA	NA	1.17	NA	NA	NA	NA	NA	0.54	NA	NA	NA	0.9	1.24
1547	NA	NA	NA	NA	NA	NA	NA	1.99	NA	NA	NA	NA	NA	0.83	NA	NA	NA	1.26	1.63
1548	NA	NA	NA	NA	NA	NA	NA	1.58	NA	NA	NA	NA	NA	0.92	NA	NA	NA	1.61	1.37
1549	NA	NA	NA	NA	NA	NA	NA	0.97	NA	NA	NA	NA	NA	0.98	NA	NA	NA	1.45	1.33
1550	NA	NA	NA	NA	NA	NA	NA	0.95	NA	NA	NA	NA	NA	0.84	NA	NA	NA	1.31	1.12
1551	NA	NA	NA	NA	NA	NA	NA	1.61	NA	NA	NA	NA	NA	0.91	NA	NA	NA	1.23	0.94
1552	NA	NA	NA	NA	NA	NA	NA	0.92	NA	NA	NA	NA	NA	0.69	NA	NA	NA	1.19	1.25
1553	NA	NA	NA	NA	NA	NA	NA	0.93	NA	NA	NA	NA	NA	1.07	NA	NA	NA	0.94	1.17
1554	NA	NA	NA	NA	NA	NA	NA	1.38	NA	NA	NA	NA	NA	1	NA	NA	NA	0.88	0.87
1555	NA	NA	NA	NA	NA	NA	NA	0.92	NA	NA	NA	NA	NA	1.05	NA	NA	NA	1.32	1.21
1556	NA	NA	NA	NA	NA	NA	NA	1.16	NA	NA	NA	NA	NA	0.8	NA	NA	NA	1.47	1.31
1557	NA	NA	NA	NA	NA	NA	NA	1.21	NA	NA	NA	NA	NA	0.8	NA	NA	NA	1.53	1.22
1558	NA	NA	NA	NA	NA	NA	NA	1.99	NA	NA	NA	NA	NA	0.92	NA	NA	NA	1.84	1.29
1559	NA	NA	NA	NA	NA	NA	NA	2.44	NA	NA	NA	NA	NA	1.02	NA	NA	NA	1.75	1.39
1560	NA	NA	NA	NA	NA	NA	NA	2.25	NA	NA	NA	NA	NA	1.05	NA	NA	NA	2.32	1.62
1561	NA	NA	NA	NA	NA	NA	NA	2.24	NA	NA	NA	NA	NA	0.91	NA	NA	NA	1.56	1.32
1562	NA	NA	NA	NA	NA	NA	NA	1.43	NA	NA	NA	NA	NA	0.89	NA	NA	NA	2.1	1.51
1563	NA	NA	NA	NA	NA	NA	NA	2.14	NA	NA	NA	NA	NA	0.8	NA	NA	NA	1.48	1.18
1564	NA	NA	NA	NA	NA	NA	NA	1.87	NA	NA	NA	NA	NA	1.18	NA	NA	NA	1.46	0.98
1565	NA	NA	NA	NA	NA	NA	NA	1.21	NA	NA	NA	NA	NA	1.1	NA	NA	NA	0.94	0.88
1566	NA	NA	NA	NA	NA	NA	NA	1.73	NA	NA	NA	NA	NA	0.74	NA	NA	NA	1.1	0.93
1567	NA	NA	NA	NA	NA	NA	NA	1.24	NA	NA	NA	NA	NA	0.61	NA	NA	NA	0.99	0.87
1568	NA	NA	NA	NA	NA	NA	NA	0.82	NA	NA	NA	NA	NA	0.67	NA	NA	NA	0.72	0.9
1569	NA	NA	NA	NA	NA	NA	NA	0.94	NA	NA	NA	NA	NA	0.58	NA	NA	NA	1	0.96
1570	NA	NA	NA	NA	NA	NA	NA	1.3	NA	NA	NA	NA	NA	0.67	NA	NA	NA	0.76	1.07
1571	NA	NA	NA	NA	NA	NA	NA	1.01	NA	NA	NA	NA	NA	0.43	NA	NA	NA	0.71	0.74
1572	NA	NA	NA	NA	NA	NA	NA	1.46	NA	NA	NA	NA	NA	0.56	NA	NA	NA	0.89	0.95
1573	NA	NA	NA	NA	NA	NA	NA	1.4	NA	NA	NA	NA	NA	0.63	NA	NA	NA	0.65	0.98
1574	NA	NA	NA	NA	NA	NA	NA	1.4	NA	NA	NA	NA	NA	0.58	NA	NA	NA	1.04	0.83
1575	NA	NA	NA	NA	NA	NA	NA	1.75	NA	NA	NA	NA	NA	0.71	NA	NA	NA	1.13	1.15
1576	NA	NA	NA	NA	NA	NA	NA	1.08	NA	NA	2.32	NA	NA	0.61	NA	NA	NA	1.14	1.28
1577	NA	NA	NA	NA	NA	NA	NA	0.95	NA	NA	2.24	NA	NA	0.71	NA	NA	NA	1.22	1.25
1578	NA	NA	NA	NA	NA	NA	NA	0.98	NA	NA	2.83	NA	NA	0.82	NA	NA	NA	0.97	1.27
1579	NA	NA	NA	NA	NA	NA	NA	1.7	NA	NA	2.33	NA	NA	0.75	NA	NA	NA	0.74	1.34
1580	NA	NA	NA	NA	NA	NA	NA	1.73	NA	NA	2.49	NA	NA	0.93	NA	NA	NA	1.11	1.67
1581	NA	NA	NA	NA	NA	NA	NA	1.1	NA	2.15	2.55	NA	NA	0.52	NA	NA	NA	0.72	0.97
1582	NA	NA	NA	NA	NA	NA	NA	1.47	NA	2.23	1.92	NA	NA	0.61	NA	NA	NA	1.07	1.56
