# Birch - Utah Forest Dynamics Plot - PPTR - ITRDB UT556
#-----------------------------------------------------------------------
#               World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#-----------------------------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication,  NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using these data.
# If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/35413
#   Landing_Page_Description: NOAA Landing Page of study
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-35413.json
#   Study_Level_JSON_Description: Raw Measurements - NOAA Template File
#
# Data_Type: Tree Ring
#
# Dataset_DOI: 
#
# Science_Keywords: 
#-------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ut556-noaa.rwl
#   Data_Download_Description: Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ut556.rwl
#   Data_Download_Description: Raw Measurements - Tucson Decadal File
#-------------------
# Contribution_Date
#   Date: 2022-01-27
#-------------------
# File_Last_Modified_Date
#   Date: 2022-04-04
#-------------------
# Title
#   Study_Name: Birch - Utah Forest Dynamics Plot - PPTR - ITRDB UT556
#-------------------
# Investigators: Birch, J.D.; Lutz, J.
#-------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2022-04-04.
#-------------------
# Site Information
#   Site_Name:  Utah Forest Dynamics Plot, Cedar Breaks National Monument
#   Location: Utah
#   Northernmost_Latitude: 37.661
#   Southernmost_Latitude: 37.66
#   Easternmost_Longitude: -112.852
#   Westernmost_Longitude: -112.854
#   Elevation_m: 3081
#-------------------
# Data Collection
#   Collection_Name:  UT556
#   Earliest_Year: 1767
#    Most_Recent_Year: 2020
#   Time_Unit: CE
#   Parameter_Keywords: ring width
#   Core_Length_m:
#   Notes: 
#-------------------
# Species
#
# Tree_Species_Download_Resource:  https://www.ncei.noaa.gov/pub/data/paleo/templates/tree-species-code.csv
#   Tree_Species_Download_Description:  List of accepted tree species names and codes.
#
#   Species_Name: Populus tremuloides Michx.
#   Common_Name: quaking aspen
#    Tree_Species_Code: PPTR
#-------------------
# Chronology_Information 
#   Chronology: 
#---------------------
# Variables 
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/PaST-thesaurus/SKOS/past-thesaurus-v1.0.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
# Data variables follow that are preceded by '##' in columns one and two.
# Variables list, one per line; shortname-tab- components: what, material, error, units, seasonality, data_type, detail, method, C or N for Character or Numeric data,additional information)
## age_CE	age,,,,,tree ring,,,N,
## 21-301A_raw	total ring width ,,,millimeter,,tree ring,,,N,Tree ID: 21-301A; 28538
## 21-0360B_raw	total ring width ,,,millimeter,,tree ring,,,N,Tree ID: 21-0360B; 28538
## 26-0385A_raw	total ring width ,,,millimeter,,tree ring,,,N,Tree ID: 26-0385A; 28538
## 23-0517B_raw	total ring width ,,,millimeter,,tree ring,,,N,Tree ID: 23-0517B; 28538
## 25-0503A_raw	total ring width ,,,millimeter,,tree ring,,,N,Tree ID: 25-0503A; 28538
## 33-0393_raw	total ring width ,,,millimeter,,tree ring,,,N,Tree ID: 33-0393; 28538
## 29-0967A_raw	total ring width ,,,millimeter,,tree ring,,,N,Tree ID: 29-0967A; 28538
## 24-0299A_raw	total ring width ,,,millimeter,,tree ring,,,N,Tree ID: 24-0299A; 28538
## 27-0585B_raw	total ring width ,,,millimeter,,tree ring,,,N,Tree ID: 27-0585B; 28538
## 28-1330A_raw	total ring width ,,,millimeter,,tree ring,,,N,Tree ID: 28-1330A; 28538
## 24-0245A_raw	total ring width ,,,millimeter,,tree ring,,,N,Tree ID: 24-0245A; 28538
## 26-0400B_raw	total ring width ,,,millimeter,,tree ring,,,N,Tree ID: 26-0400B; 28538
## 28-1330B_raw	total ring width ,,,millimeter,,tree ring,,,N,Tree ID: 28-1330B; 28538
## 26-0400A_raw	total ring width ,,,millimeter,,tree ring,,,N,Tree ID: 26-0400A; 28538
## 28-1351B_raw	total ring width ,,,millimeter,,tree ring,,,N,Tree ID: 28-1351B; 28538
## 22-0219A_raw	total ring width ,,,millimeter,,tree ring,,,N,Tree ID: 22-0219A; 28538
## 25-0503B_raw	total ring width ,,,millimeter,,tree ring,,,N,Tree ID: 25-0503B; 28538
## 24-0245B_raw	total ring width ,,,millimeter,,tree ring,,,N,Tree ID: 24-0245B; 28538
## 29-0815A_raw	total ring width ,,,millimeter,,tree ring,,,N,Tree ID: 29-0815A; 28538
## 22-0293A_raw	total ring width ,,,millimeter,,tree ring,,,N,Tree ID: 22-0293A; 28538
## 22-0219B_raw	total ring width ,,,millimeter,,tree ring,,,N,Tree ID: 22-0219B; 28538
## 21-0301B_raw	total ring width ,,,millimeter,,tree ring,,,N,Tree ID: 21-0301B; 28538
## 26-0385B_raw	total ring width ,,,millimeter,,tree ring,,,N,Tree ID: 26-0385B; 28538
## 29-0967B_raw	total ring width ,,,millimeter,,tree ring,,,N,Tree ID: 29-0967B; 28538
## 29-0814A_raw	total ring width ,,,millimeter,,tree ring,,,N,Tree ID: 29-0814A; 28538
## 29-0794A_raw	total ring width ,,,millimeter,,tree ring,,,N,Tree ID: 29-0794A; 28538
#---------------------
# Data:
# Missing_Values: NaN
age_CE	21-301A_raw	21-0360B_raw	26-0385A_raw	23-0517B_raw	25-0503A_raw	33-0393_raw	29-0967A_raw	24-0299A_raw	27-0585B_raw	28-1330A_raw	24-0245A_raw	26-0400B_raw	28-1330B_raw	26-0400A_raw	28-1351B_raw	22-0219A_raw	25-0503B_raw	24-0245B_raw	29-0815A_raw	22-0293A_raw	22-0219B_raw	21-0301B_raw	26-0385B_raw	29-0967B_raw	29-0814A_raw	29-0794A_raw	
1767	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	775	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
1768	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	542	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
1769	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	631	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
1770	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	385	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
1771	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	411	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
1772	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	774	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
1773	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
1774	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	477	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
1775	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	556	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
1776	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	384	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
1777	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	563	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
1778	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	493	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
1779	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	639	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
1780	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	431	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
1781	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	578	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
1782	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	499	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
1783	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	675	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
1784	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	616	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
1785	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
1786	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
1787	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	516	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
1788	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	401	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
1789	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	547	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
1790	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	689	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
1791	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	629	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
1792	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
1793	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	595	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
1794	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	626	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
1795	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	621	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
