# Lloyd - Eagle Summit treeline - PCGL - ITRDB AK037
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3888
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3888.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak037-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ak037-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak037.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ak037.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-07-23
#--------------------
# File_Last_Modified_Date
#   Date: 2002-07-23
#--------------------
# Title
#   Study_Name: Lloyd - Eagle Summit treeline - PCGL - ITRDB AK037
#--------------------
# Investigators
#   Investigators: Lloyd, A.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Eagle Summit treeline
#   Location: Alaska
#   Northernmost_Latitude: 65.5
#   Southernmost_Latitude: 65.5
#   Easternmost_Longitude: -145.33
#   Westernmost_Longitude: -145.33
#   Elevation_m: 945
#--------------------
# Data_Collection
#   Collection_Name: AK037
#   First_Year: 1833
#   Last_Year: 1996
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea glauca (Moench) Voss
#   Common_Name: white spruce
#   Tree_Species_Code: PCGL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## E11-03_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E11-03; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E12-01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E12-01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E13-07_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E13-07; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E13-10_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E13-10; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E14-01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E14-01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E14-05_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E14-05; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E14-07_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E14-07; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E15-02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E15-02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	E11-03_raw	E12-01_raw	E13-07_raw	E13-10_raw	E14-01_raw	E14-05_raw	E14-07_raw	E15-02A_raw
1833	NA	NA	NA	NA	NA	0.161	NA	NA
1834	NA	NA	NA	NA	NA	0.111	NA	NA
1835	NA	NA	NA	NA	NA	0.2	NA	NA
1836	NA	NA	NA	NA	NA	0.267	NA	NA
1837	NA	NA	NA	NA	NA	0.252	NA	NA
1838	NA	NA	NA	NA	NA	0.231	NA	NA
1839	NA	NA	NA	NA	NA	0.136	NA	NA
1840	NA	NA	NA	NA	NA	0.13	NA	NA
1841	NA	NA	NA	NA	NA	0.098	NA	NA
1842	NA	NA	NA	NA	NA	0.079	NA	NA
1843	NA	NA	NA	NA	NA	0.113	NA	NA
1844	NA	NA	NA	NA	NA	0.099	NA	NA
1845	NA	NA	NA	NA	NA	0.028	NA	NA
1846	NA	NA	NA	NA	NA	0.014	NA	NA
1847	NA	NA	NA	NA	NA	0.059	NA	NA
1848	NA	NA	NA	NA	NA	0.056	NA	NA
1849	NA	NA	NA	NA	NA	0.108	NA	NA
1850	NA	NA	NA	NA	NA	0.144	NA	NA
1851	NA	NA	NA	NA	NA	0.158	NA	NA
1852	NA	NA	NA	NA	NA	0.061	NA	NA
1853	NA	NA	NA	NA	NA	0.253	NA	NA
1854	NA	NA	NA	NA	NA	0.345	NA	NA
1855	NA	NA	NA	NA	NA	0.28	NA	NA
1856	NA	NA	NA	NA	NA	0.204	NA	NA
1857	NA	NA	NA	NA	NA	0.17	NA	NA
1858	NA	NA	NA	NA	NA	0.171	NA	NA
1859	NA	NA	NA	NA	NA	0.173	NA	NA
1860	NA	NA	NA	NA	NA	0.151	NA	NA
1861	NA	NA	NA	NA	NA	0.105	NA	NA
1862	NA	NA	NA	NA	NA	0.117	NA	NA
1863	NA	NA	NA	NA	NA	0.135	NA	NA
1864	NA	NA	NA	NA	NA	0.169	NA	NA
1865	NA	NA	NA	NA	NA	0.194	NA	NA
1866	NA	NA	NA	NA	NA	0.19	NA	NA
1867	NA	NA	NA	NA	NA	0.199	NA	NA
1868	NA	NA	NA	NA	NA	0.267	NA	NA
1869	NA	NA	NA	NA	NA	0.126	NA	NA
1870	0.027	NA	NA	NA	NA	0.09	NA	NA
1871	0.026	NA	NA	NA	NA	0.099	NA	NA
1872	0.017	NA	NA	NA	NA	0.138	NA	NA
1873	0.023	NA	NA	NA	NA	0.146	NA	NA
1874	0.02	0.125	NA	NA	NA	0.134	NA	NA
1875	0.045	0.089	NA	NA	NA	0.126	NA	NA
1876	0.046	0.102	NA	0.104	NA	0.069	NA	NA
1877	0.053	0.05	NA	0.056	NA	0.012	NA	NA
1878	0.067	0.078	NA	0.063	NA	0.098	NA	NA
1879	0.069	0.126	NA	0.077	NA	0.055	NA	NA
1880	0.062	0.132	NA	0.257	NA	0.043	NA	NA
1881	0.058	0.09	NA	0.19	NA	0.053	NA	NA
1882	0.069	0.137	NA	0.15	NA	0.071	NA	NA
1883	0.058	0.103	NA	0.101	NA	0.095	NA	NA
1884	0.042	0.052	NA	0.13	NA	0.109	NA	NA
1885	0.044	0.06	NA	0.1	NA	0.077	NA	NA
1886	0.043	0.051	NA	0.086	NA	0.228	NA	NA
1887	0.028	0.015	NA	0.113	NA	0.201	NA	NA
1888	0.041	0.037	NA	0.106	NA	0.148	NA	NA
1889	0.035	0.061	NA	0.09	NA	0.203	NA	NA
1890	0.013	0.084	NA	0.078	NA	0.09	NA	NA
1891	0.023	0.04	NA	0.078	NA	0.089	NA	NA
1892	0.028	0.058	0.024	0.063	NA	0.107	NA	NA
1893	0.016	0.052	0.055	0.059	0.282	0.168	NA	NA
1894	0.026	0.051	0.031	0.079	0.241	0.152	0.083	NA
1895	0.032	0.053	0.018	0.091	0.202	0.27	0.075	NA
1896	0.035	0.067	0.028	0.08	0.231	0.157	0.08	NA
1897	0.031	0.106	0.022	0.086	0.277	0.163	0.115	0.105
1898	0.035	0.131	0.033	0.048	0.223	0.205	0.131	0.091
1899	0.035	0.074	0.028	0.053	0.214	0.246	0.08	0.095
1900	0.046	0.062	0.048	0.053	0.206	0.346	0.068	0.098
1901	0.058	0.054	0.024	0.082	0.218	0.303	0.078	0.079
1902	0.04	0.05	0.028	0.087	0.165	0.354	0.087	0.073
1903	0.044	0.046	0.029	0.056	0.221	0.305	0.09	0.058
1904	0.054	0.069	0.016	0.049	0.146	0.459	0.058	0.055
1905	0.035	0.038	0.019	0.046	0.184	0.373	0.054	0.06
1906	0.04	0.088	0.02	0.035	0.321	0.285	0.022	0.147
1907	0.037	0.088	0.033	0.033	0.283	0.309	0.046	0.073
1908	0.037	0.091	0.026	0.055	0.357	0.241	0.045	0.1
1909	0.047	0.072	0.022	0.039	0.371	0.188	0.029	0.146
1910	0.041	0.06	0.047	0.081	0.172	0.123	0.028	0.157
1911	0.036	0.062	0.083	0.068	0.246	0.144	0.034	0.123
1912	0.063	0.043	0.023	0.047	0.163	0.137	0.029	0.178
1913	0.02	0.053	0.018	0.018	0.226	0.132	0.028	0.201
1914	0.028	0.061	0.036	0.046	0.3	0.111	0.033	0.09
1915	0.034	0.072	0.035	0.05	0.413	0.116	0.021	0.049
1916	0.043	0.096	0.038	0.052	0.335	0.196	0.031	0.087
1917	0.021	0.092	0.068	0.048	0.118	0.168	0.029	0.079
1918	0.019	0.096	0.068	0.033	0.217	0.101	0.029	0.098
1919	0.021	0.085	0.018	0.038	0.15	0.092	0.024	0.077
1920	0.015	0.043	0.017	0.025	0.16	0.052	0.063	0.066
1921	0.037	0.048	0.039	0.039	0.22	0.073	0.079	0.09
1922	0.04	0.066	0.057	0.034	0.198	0.061	0.053	0.077
1923	0.023	0.115	0.038	0.03	0.21	0.052	0.064	0.098
1924	0.008	0.083	0.032	0.041	0.269	0.062	0.102	0.094
1925	0.033	0.061	0.03	0.035	0.215	0.057	0.075	0.073
1926	0.04	0.059	0.036	0.026	0.236	0.068	0.072	0.088
1927	0.04	0.076	0.082	0.018	0.089	0.114	0.076	0.139
1928	0.04	0.065	0.139	0.037	0.093	0.123	0.141	0.098
1929	0.047	0.063	0.091	0.02	0.183	0.108	0.12	0.052
1930	0.029	0.131	0.204	0.033	0.201	0.142	0.151	0.086
