# Briffa - Fly Peak Chiricahua Mountains - PCEN - ITRDB AZ552
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2816
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2816.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/az552t-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; az552t-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/az552t.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/az552t.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-07-31
#--------------------
# File_Last_Modified_Date
#   Date: 2002-07-31
#--------------------
# Title
#   Study_Name: Briffa - Fly Peak Chiricahua Mountains - PCEN - ITRDB AZ552
#--------------------
# Investigators
#   Investigators: Briffa, K.R.(https://orcid.org/0000-0003-3323-3639); Schweingruber, F.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2019-01-07. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Fly Peak Chiricahua Mountains
#   Location: Arizona
#   Northernmost_Latitude: 31.85
#   Southernmost_Latitude: 31.85
#   Easternmost_Longitude: -109.3
#   Westernmost_Longitude: -109.3
#   Elevation_m: 2790
#--------------------
# Data_Collection
#   Collection_Name: AZ552
#   First_Year: 1828
#   Last_Year: 1983
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  latewood density
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea engelmannii Parry ex Engelm.
#   Common_Name: Engelmann spruce
#   Tree_Species_Code: PCEN
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 735011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 735011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 735012_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 735012; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 735031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 735031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 735032_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 735032; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 735041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 735041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 735042_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 735042; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 735051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 735051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 735052_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 735052; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 735061_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 735061; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	735011_raw	735012_raw	735031_raw	735032_raw	735041_raw	735042_raw	735051_raw	735052_raw	735061_raw
1828	NA	NA	6.09	NA	NA	NA	NA	NA	NA
1829	NA	NA	6.05	NA	NA	NA	NA	NA	NA
1830	NA	NA	6.67	NA	NA	NA	NA	NA	NA
1831	NA	NA	6.33	NA	NA	NA	NA	NA	NA
1832	NA	NA	6.74	NA	NA	NA	NA	NA	NA
1833	NA	NA	6.29	NA	NA	NA	NA	NA	NA
1834	NA	NA	6	NA	NA	NA	NA	NA	NA
1835	NA	NA	6.75	NA	NA	NA	NA	NA	NA
1836	NA	NA	6.75	NA	NA	NA	NA	NA	NA
1837	NA	NA	6.19	NA	NA	NA	NA	NA	NA
1838	NA	NA	6.28	NA	NA	NA	NA	NA	NA
1839	NA	NA	6.42	NA	NA	NA	NA	NA	NA
1840	NA	NA	6.25	NA	NA	NA	NA	NA	NA
1841	NA	NA	6.3	NA	NA	NA	NA	NA	NA
1842	NA	NA	6.87	NA	NA	NA	NA	NA	NA
1843	NA	NA	6.36	NA	NA	NA	NA	NA	NA
1844	NA	NA	6.93	NA	NA	NA	NA	NA	NA
1845	NA	NA	6.58	NA	NA	NA	NA	NA	NA
1846	NA	NA	6.88	NA	NA	NA	NA	NA	NA
1847	NA	NA	6.71	NA	NA	NA	NA	NA	NA
1848	NA	NA	6.61	NA	NA	NA	NA	NA	NA
1849	NA	NA	6.62	NA	NA	NA	NA	NA	NA
1850	NA	NA	7.17	NA	NA	NA	NA	NA	NA
1851	NA	NA	6.75	NA	NA	NA	NA	NA	NA
1852	NA	NA	7.05	NA	NA	5.42	NA	NA	NA
1853	NA	NA	6.88	NA	NA	5.7	NA	NA	NA
1854	NA	NA	7.08	NA	NA	5.8	NA	NA	NA
1855	NA	NA	7.76	NA	NA	6.93	NA	NA	NA
1856	NA	NA	7.16	NA	NA	5.88	NA	NA	NA
1857	NA	NA	6.83	NA	NA	6.3	NA	NA	NA
1858	NA	NA	6.72	NA	NA	5.69	NA	NA	NA
1859	NA	NA	7.38	NA	NA	5.74	NA	NA	NA
1860	NA	NA	7.7	NA	NA	5.32	NA	NA	NA
1861	NA	NA	7.18	NA	NA	5.98	NA	NA	NA
1862	NA	NA	7.07	NA	5.72	5.78	NA	NA	NA
1863	NA	NA	6.71	NA	5.97	6.22	NA	NA	NA
1864	NA	NA	6.84	NA	5.24	5.58	NA	NA	NA
1865	NA	NA	5.66	NA	4.95	5.29	NA	NA	NA
1866	NA	NA	7.32	NA	5.13	5.15	NA	NA	NA
1867	NA	NA	7.7	5.9	5.59	6.03	NA	NA	NA
1868	NA	NA	7.54	5.82	5.34	4.86	NA	NA	NA
1869	NA	NA	7.24	6.31	6.01	5.32	NA	NA	NA
1870	NA	NA	7.58	6.38	6.15	4.96	NA	NA	NA
1871	NA	NA	7.32	6.41	6.26	5.38	NA	NA	8.06
1872	NA	NA	7.27	6.16	6.3	5.44	NA	NA	7.41
1873	NA	NA	7.08	6.78	6.48	5.12	NA	NA	7.3
1874	NA	NA	7.09	6.06	6.81	5.7	NA	NA	7.66
1875	NA	NA	7.41	6.31	6.13	5.06	NA	NA	7.22
1876	NA	NA	7.72	6.5	6.69	5.63	NA	NA	7.57
1877	NA	NA	8.13	6.95	6.88	5.22	NA	NA	8.03
1878	NA	NA	6.39	6.8	6.07	4.85	NA	NA	7.85
1879	NA	NA	7.37	7.1	7.91	6.26	NA	NA	7.89
1880	NA	NA	7.18	6.99	7.07	5.34	NA	6.2	7.93
1881	NA	NA	7.2	6.65	7.68	5.31	NA	6.38	8.01
1882	NA	NA	6.52	7.77	6.23	5.57	NA	6.29	7.36
1883	NA	NA	7.27	6.89	6.91	5.28	NA	6.39	7.3
1884	NA	NA	6.77	6.49	8.03	5.85	NA	5.91	6.51
1885	NA	NA	7.19	6.81	7.35	5.81	5.53	5.88	6.42
1886	NA	NA	6.7	4.52	7.58	6.96	6.15	6.05	6.51
1887	NA	6.99	7.2	6.68	7.2	0	5.46	5.57	7.01
1888	NA	7.18	7.23	7.57	7.4	0	6.43	5.95	7.82
1889	NA	6.71	7.1	7.73	7.44	5.54	6.18	6.36	7.68
1890	NA	6.66	7.05	7.43	6.63	6.2	6.03	6.23	6.9
1891	NA	6.97	6.82	6.45	7.55	6.06	6.18	6.07	7.35
1892	NA	6.54	7.05	7.16	7.78	6.77	6.45	6.21	7.3
1893	NA	6.31	6.58	6.07	7.35	0	6.41	6.02	6.96
1894	NA	6.63	6.24	5.89	8.28	0	5.8	6.05	7.68
1895	NA	6.01	6.76	6.59	7.31	0	5.72	5.87	7.16
1896	NA	5.97	5.64	6.11	8.26	0	6.43	6.32	6.86
1897	NA	6.61	5.18	5.11	7.83	0	6.54	6.72	7.27
1898	6.34	6.04	6.82	6.55	6.85	6.51	6.3	6.08	7.02
1899	6.9	6.99	7.1	6.85	6.49	5.56	6.37	6.07	7.4
1900	7.33	7.05	6.51	7.4	7.67	6.25	5.95	5.93	7.86
1901	7.37	6.6	5.8	6.5	6.75	5.44	6.86	7.18	7.75
1902	6.94	7.07	6.75	6.98	7.85	5.29	5.78	5.99	7.46
