# Wyse - Good Harbor Plains - ACRU - ITRDB MI011
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5353
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5353.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/mi011-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; mi011-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/mi011.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/mi011.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2006-05-25
#--------------------
# File_Last_Modified_Date
#   Date: 2006-05-25
#--------------------
# Title
#   Study_Name: Wyse - Good Harbor Plains - ACRU - ITRDB MI011
#--------------------
# Investigators
#   Investigators: Wyse, T.C.; Goebel, P.C.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Good Harbor Plains
#   Location: Michigan
#   Northernmost_Latitude: 44.93
#   Southernmost_Latitude: 44.93
#   Easternmost_Longitude: -85.85
#   Westernmost_Longitude: -85.85
#   Elevation_m: 188
#--------------------
# Data_Collection
#   Collection_Name: MI011
#   First_Year: 1892
#   Last_Year: 2002
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Acer rubrum L.
#   Common_Name: red maple
#   Tree_Species_Code: ACRU
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 92-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 92-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 95-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 95-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 73-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 73-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 93-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 93-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 14-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 14-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 99-4_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 99-4; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 58-1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 58-1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 62-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 62-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 95-3_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 95-3; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 91-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 91-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 62-1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 62-1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	92-2_raw	95-2_raw	73-2_raw	93-2_raw	14-2_raw	99-4_raw	58-1_raw	62-2_raw	95-3_raw	91-2_raw	62-1_raw
1892	NA	NA	NA	NA	NA	NA	NA	NA	0.53	NA	NA
1893	NA	1.2	NA	NA	NA	NA	NA	NA	0.82	NA	NA
1894	NA	0.73	NA	NA	NA	NA	NA	NA	0.6	NA	NA
1895	NA	0.9	NA	NA	NA	NA	NA	NA	1.59	NA	NA
1896	NA	1.24	NA	NA	NA	NA	NA	NA	1.76	NA	NA
1897	NA	1.31	NA	NA	1.62	NA	NA	NA	1.89	NA	NA
1898	NA	0.82	NA	0.74	1.5	NA	NA	NA	1.86	NA	NA
1899	NA	1.65	NA	0.4	1.18	NA	NA	NA	2.11	NA	NA
1900	NA	1.02	NA	0.31	1.25	NA	NA	NA	1.8	NA	NA
1901	NA	1.3	NA	0.41	1.57	NA	NA	NA	1.93	NA	NA
1902	NA	1.69	NA	0.4	1.82	NA	NA	NA	1.82	NA	NA
1903	NA	1.48	NA	0.25	1.16	NA	NA	NA	0.79	NA	NA
1904	NA	0.99	NA	0.17	0.85	NA	NA	NA	1.52	NA	NA
1905	NA	1.03	NA	0.28	0.93	NA	NA	NA	0.99	NA	NA
1906	NA	1.03	NA	0.25	0.55	NA	NA	NA	1.39	NA	NA
1907	NA	1.26	NA	0.56	0.82	NA	NA	NA	1.83	2.41	NA
1908	NA	1.48	NA	0.62	0.89	NA	NA	NA	1.4	1.49	NA
1909	NA	1.14	NA	0.43	1.16	NA	NA	NA	0.72	1.78	NA
1910	NA	1.06	NA	0.24	0.95	NA	NA	NA	0.25	1.9	NA
1911	NA	1.86	1.92	0.36	2.2	NA	NA	NA	1.87	1.31	NA
1912	NA	2.25	1.07	0.63	1.99	NA	NA	NA	2.2	1.53	NA
1913	NA	1.86	1.5	0.76	2.12	NA	NA	NA	2.2	1.25	NA
1914	NA	1.95	1.92	0.45	2.22	NA	NA	NA	2.15	1.73	NA
1915	NA	2.07	1.42	0.25	2.03	NA	NA	NA	1.67	2.33	NA
1916	NA	1.48	1.44	0.4	1.88	NA	NA	NA	1.93	3.13	NA
1917	2.18	1.27	1.98	0.74	1.93	NA	NA	NA	2.24	2.62	NA
1918	2.14	1.61	1.21	0.74	1.93	1.95	NA	NA	1.82	0.91	NA
1919	0.48	0.93	0.93	0.66	1.27	1.28	NA	NA	1.78	0.28	NA
1920	0.82	1.78	1.78	0.53	1.95	0.38	NA	NA	1.88	1.38	NA
1921	0.55	0.93	0.87	0.4	0.68	0.32	NA	NA	1.04	0.46	NA
1922	0.55	2.92	2.5	1.15	2.88	2.75	NA	NA	2.41	1.19	NA
1923	0.28	1.99	2.41	0.29	1.95	1.42	NA	NA	1.95	0.99	NA
1924	0.91	1.69	2.14	0.61	2.03	1.59	NA	NA	1.71	0.85	NA
1925	0.32	1.06	1.8	0.3	1.04	1.13	NA	NA	1.71	0.68	NA
1926	0.3	1.73	1.38	0.99	1.65	2.03	NA	NA	1.74	0.28	NA
1927	0.32	2.07	0.93	0.97	1.48	1.9	NA	NA	1.52	1.27	NA
1928	0.21	1.91	1.61	1.48	1.82	2.47	NA	NA	1.67	0.44	NA
1929	0.15	2.75	1.04	1.44	2.31	2.2	NA	NA	1.63	1.04	NA
1930	0.25	2.33	0.55	0.87	1.9	1.86	NA	NA	2.39	1.57	NA
1931	0.28	0.93	0.32	0.4	1.23	1.14	0.53	NA	1.35	1.1	NA
1932	0.3	1.57	1.29	0.78	2.08	2.51	0.63	NA	1.33	2.14	NA
1933	0.76	1.14	0.89	0.36	1.78	1.46	0.45	NA	1.42	0.85	NA
1934	0.38	1.31	0.68	0.46	1.06	1.76	0.43	NA	1.23	1.04	NA
1935	0.36	0.97	1.31	0.34	1.65	1.5	0.48	NA	0.72	0.93	NA
1936	0.51	0.68	0.82	0.21	0.91	1.25	1.06	NA	0.91	0.49	NA
1937	0.7	1.19	0.93	0.19	2.05	1.21	1.06	NA	0.72	0.53	NA
1938	0.57	1.61	1.84	1.02	2.24	1.48	1.25	1.39	0.99	0.99	NA
1939	0.49	1.27	1.82	0.68	1.84	1.34	0.9	0.64	0.95	0.61	NA
1940	1.48	1.52	2.92	1.1	2.9	1.69	1.3	0.61	1.33	1.31	NA
1941	0.59	1.1	1.69	0.42	1.59	1.23	1.27	0.53	1.25	0.61	NA
1942	0.89	1.61	2.71	1.42	3.56	2.26	2.07	1.05	2.14	1.52	NA
1943	1.06	1.31	2.16	0.66	3.15	1.38	1.1	0.7	1.31	0.76	NA
1944	0.93	1.4	1.99	0.47	1.97	1.57	0.68	0.57	1.69	1.06	NA
1945	0.93	0.89	1.65	0.4	1.76	1.08	0.63	0.54	1.21	0.57	NA
1946	1.73	1.4	2.43	0.7	2.77	1.67	0.6	0.59	1.63	1.4	NA
1947	1.7	1.4	1.88	0.53	2.2	1.33	0.84	0.72	1.38	0.76	NA
1948	1.39	1.23	1.25	0.34	1.46	0.95	0.72	0.76	0.95	0.7	NA
1949	1.65	1.74	1.84	0.61	1.88	1.04	0.85	0.76	1.74	0.99	NA
1950	1.69	1.9	2.41	0.68	2.05	1.71	1.39	0.89	1.31	1.82	NA
1951	2.24	3.72	2.22	0.8	1.9	1.21	1.65	1.06	1.84	0.78	0.53
1952	2.03	4.4	1.54	0.51	2.12	1.38	1.73	1.01	1.61	1.04	0.38
1953	1.65	3.34	1.59	0.36	2.58	1.19	2.25	1.87	1.59	0.85	0.55
