# Tucker - Grand Bay - PIEL - ITRDB MS004
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/25730
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-25730.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ms004l-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ms004l-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ms004l.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ms004l.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2018-11-29
#--------------------
# File_Last_Modified_Date
#   Date: 2018-11-29
#--------------------
# Title
#   Study_Name: Tucker - Grand Bay - PIEL - ITRDB MS004
#--------------------
# Investigators
#   Investigators: Tucker, C.S.; Harley, G.L.(https://orcid.org/0000-0003-1557-8465); Trepanier, J.C.; DeLong, K.L.(https://orcid.org/0000-0001-6320-421X)
#--------------------
# Description_Notes_and_Keywords
#   Description: Three (3) cores were taken from each tree for this study. Some tree-ring series are denoted by "S", which marks the third core taken from that tree.  Total ring width, earlywood width, and latewood width measured. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: Clay S. Tucker, Jill C. Trepanier, Grant L. Harley, Kristine L. DeLong
#   Journal_Name: Journal of Coastal Research
#   Published_Title: Recording Tropical Cyclone Activity from 1909 to 2014 along the Northern Gulf of Mexico using Maritime Slash Pine Trees (Pinus elliottii var. elliottii Engelm.)
#   Published_Date_or_Year: 2018
#   Volume: 34
#   Pages: 328-340
#   Issue: 2
#   Report_Number: 
#   DOI: 10.2112/JCOASTRES-D-16-00177.1
#   Full_Citation: None
#   Abstract: The temporally incomplete tropical cyclone (TC) observational record limits the understanding of recurrence intervals and the impacts of repeated TCs on coastal ecosystems. Growth of maritime trees near the Gulf of Mexico may be affected by high winds, precipitation, and storm surges from TCs. Proxy records, such as tree growth recorded in annual ring widths, can be used to extend TC records temporally but must be verified with the observational record first. This study develops chronologies of total ring width (TRW), earlywood ring width (ERW), and latewood ring width (LRW) from slash pine (Pinus elliottii var. elliottii Engelm.) trees located 2 km from an open saltwater bay in the Grand Bay National Estuarine Research Reserve in coastal Mississippi, U.S.A. These chronologies are compared with TC storm surge and wind speed records using superposed epoch analysis. The year after a TC occurrence, tree growth is significantly (p < 0.05) suppressed (narrower than average annual growth rings) for TRW, ERW, and LRW with respect to storm surge and shows no statistical significance with high wind speeds. Individual trees display suppression in growth for 1-6 years after TC occurrences. This study demonstrates that slash pine trees in close proximity to salt water can be used to produce chronologies of TC occurrences for the northern Gulf of Mexico region and thus can eventually be used to extended and supplement temporally the existing TC observational record.
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Grand Bay National Estuarine Research Reserve
#   Location: Mississippi
#   Northernmost_Latitude: 30.401
#   Southernmost_Latitude: 30.401
#   Easternmost_Longitude: -88.413
#   Westernmost_Longitude: -88.413
#   Elevation_m: 2
#--------------------
# Data_Collection
#   Collection_Name: MS004
#   First_Year: 1909
#   Last_Year: 2014
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  latewood width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus elliottii Engelm.
#   Common_Name: slash pine
#   Tree_Species_Code: PIEL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 2GB2B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 2GB2B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 2GB2S_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 2GB2S; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 2GB4A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 2GB4A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 2GB4S_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 2GB4S; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 2GB9A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 2GB9A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 2GB9B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 2GB9B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 2GB11A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 2GB11A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 2GB11B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 2GB11B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 2GB13A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 2GB13A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 2GB13S_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 2GB13S; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 2GB15A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 2GB15A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 2GB15B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 2GB15B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 2GB15S_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 2GB15S; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 2GB16A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 2GB16A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 2GB16B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 2GB16B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 2GB17S_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 2GB17S; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 2GB18S_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 2GB18S; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 2GB20A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 2GB20A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 2GB20B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 2GB20B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 2GB20S_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 2GB20S; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 2GB21A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 2GB21A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 2GB21B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 2GB21B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 2GB22A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 2GB22A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 2GB22S_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 2GB22S; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 2GB23A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 2GB23A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 2GB23S_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 2GB23S; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 2GB24B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 2GB24B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 2GB24S_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 2GB24S; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 2GB25A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 2GB25A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 2GB25S_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 2GB25S; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	2GB2B_raw	2GB2S_raw	2GB4A_raw	2GB4S_raw	2GB9A_raw	2GB9B_raw	2GB11A_raw	2GB11B_raw	2GB13A_raw	2GB13S_raw	2GB15A_raw	2GB15B_raw	2GB15S_raw	2GB16A_raw	2GB16B_raw	2GB17S_raw	2GB18S_raw	2GB20A_raw	2GB20B_raw	2GB20S_raw	2GB21A_raw	2GB21B_raw	2GB22A_raw	2GB22S_raw	2GB23A_raw	2GB23S_raw	2GB24B_raw	2GB24S_raw	2GB25A_raw	2GB25S_raw
1909	NA	NA	0.79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1910	NA	NA	0.162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1911	NA	NA	0.786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1912	NA	NA	0.247	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1913	NA	NA	0.819	0.653	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1914	NA	NA	0.781	0.908	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1915	NA	NA	0.501	0.702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1916	NA	NA	1.27	1.302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1917	NA	NA	1.29	0.957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1918	NA	NA	0.814	0.665	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1919	NA	NA	0.084	0.206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1920	NA	NA	0.714	0.543	NA	NA	NA	NA	NA	0.509	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1921	NA	NA	0.59	0.398	NA	NA	NA	NA	NA	0.389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1922	NA	NA	0.315	0.147	NA	NA	NA	NA	NA	4.296	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1923	NA	NA	0.927	1.161	NA	NA	NA	NA	0.459	1.583	NA	NA	0.094	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1924	NA	NA	0.569	0.485	NA	NA	NA	NA	0.214	0.145	NA	NA	0.441	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1925	NA	NA	0.232	0.252	NA	NA	NA	NA	0.676	0.535	NA	NA	0.364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1926	NA	NA	0.834	0.868	NA	NA	NA	NA	1.305	1.224	NA	NA	1.79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1927	NA	NA	0.831	0.487	NA	NA	NA	NA	0.531	0.584	NA	NA	0.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1928	NA	NA	1.096	0.811	NA	NA	NA	NA	0.93	1.013	NA	NA	0.389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1929	NA	NA	0.61	1.205	NA	NA	NA	NA	1.055	1.492	NA	NA	0.756	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1930	NA	NA	1.439	0.931	NA	NA	NA	NA	1.138	1.272	NA	NA	0.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1931	NA	NA	1.65	1.837	NA	NA	NA	NA	1.631	1.51	NA	NA	0.634	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1932	NA	NA	0.803	2.649	NA	NA	NA	NA	1.52	1.606	NA	NA	0.884	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1933	NA	NA	1.343	1.139	NA	NA	NA	NA	0.55	0.644	NA	NA	0.359	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1934	NA	NA	1.517	1.585	NA	NA	NA	NA	0.804	0.961	NA	NA	0.232	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1935	NA	NA	1.961	1.922	NA	NA	NA	NA	0.729	0.672	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1936	NA	NA	1.921	2.412	NA	NA	NA	NA	0.501	0.69	NA	NA	0.306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1937	NA	NA	1.499	2.539	NA	NA	NA	NA	0.836	1.06	NA	NA	0.29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1938	NA	1.102	2.019	1.871	NA	NA	NA	NA	0.608	1.08	NA	NA	0.356	1.195	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1939	2.297	1.001	1.396	4.411	NA	NA	NA	NA	0.881	1.411	NA	NA	1.069	1.344	NA	NA	0.656	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1940	4.573	3.328	1.225	1.936	NA	NA	NA	NA	0.42	0.583	NA	NA	1.014	1.026	1.121	NA	0.99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1941	1.798	1.282	1.348	1.82	NA	NA	NA	NA	0.419	0.293	0.741	0.582	0.845	1.977	1.038	0.007	0.697	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1942	1.606	1.056	0.612	2.855	NA	NA	NA	NA	0.734	0.751	0.85	0.815	0.781	2.011	0.978	1.729	1.229	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1943	1.254	1.336	1.247	1.308	NA	NA	NA	NA	0.84	0.693	0.295	0.356	0.38	2.55	2.242	4.377	1.226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1944	0.973	1.061	1.46	2.241	NA	NA	NA	NA	1.813	1.489	1.054	1.134	1.002	4.38	2.039	4.128	1.791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1945	1.138	1.328	1.894	2.432	NA	NA	NA	NA	1.6	1.262	1.23	1.066	0.886	3.852	2.612	3.235	2.397	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1946	1.652	1.562	0	2.96	NA	NA	NA	NA	1.155	1.323	1.153	1.156	0.906	4.423	4.21	3.816	1.665	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1947	2.527	2.131	0.169	1.1	NA	NA	NA	NA	1.076	1.401	1.894	1.072	0.959	4.633	3.56	5.5	1.823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1948	0.863	0.607	0.899	1.037	NA	NA	NA	NA	0.466	1.016	0.837	0.714	0.706	2.369	3.143	1.723	1.229	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1949	1.311	1.003	0.337	1.15	NA	NA	1.914	2.026	0.444	0.793	0.754	0.484	0.537	3.079	3.045	1.934	0.824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1950	0.316	0.125	0.147	0.659	NA	NA	1.323	1.372	0.127	0.31	0.479	0.417	0.358	2.083	2.642	1.116	0.815	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1951	0.253	0.387	0.232	0.571	NA	NA	2.177	0.931	0.148	0.585	0.598	0.587	0.886	2.174	2.059	1.513	0.93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1952	0.422	0.677	0.159	0.505	NA	NA	2.005	1.573	0.381	0.565	0.499	0.463	0.634	1.026	1.733	0.861	0.994	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1953	0.993	0.731	0.001	0.632	NA	NA	1.562	2.149	0.655	1.009	0.482	0.78	0.697	1.95	1.397	1.467	1.068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1954	0.465	0.542	0.127	0.442	NA	NA	1.949	2.016	0.423	0.646	0.991	0.622	0.613	1.726	1.701	1.115	0.772	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1955	1.714	0.99	0.55	0.885	NA	NA	2.836	3.136	1.29	0.825	1.63	1.639	0.889	3.674	2.339	1.666	0.847	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1956	1.347	1.293	0.465	1.117	NA	NA	2.986	2.372	1.354	0.699	1.627	1.88	1.418	3.642	3.068	2.065	1.287	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1957	1.311	1.207	0.486	0.587	NA	NA	2.35	2.568	0.635	0.165	1.036	1.104	1.079	3.107	2.753	1.181	0.782	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1958	0.698	0.872	0.317	0.654	NA	NA	1.604	2.134	0.381	0.165	0.918	1.2	1.005	2.219	1.926	1.327	0.995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1959	1.142	1.401	0.507	1.045	NA	NA	3.46	2.816	0.656	0.373	1.277	1.363	0.952	3.318	3.467	1.641	1.49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1960	1.227	1.024	0.296	0.525	NA	NA	1.501	1.525	0.402	0.124	0.337	0.584	0.423	1.089	1.082	0.861	0.697	NA	NA	NA	0.219	NA	NA	NA	NA	NA	NA	NA	NA	NA
1961	1.182	0.988	0.878	0.927	NA	NA	1.245	1.661	0.317	0.498	0.401	0.69	0.444	1.863	1.372	1.07	0.613	NA	NA	NA	1.196	1.012	NA	NA	NA	NA	NA	NA	NA	NA
