# Peltier - Southwest Ecological Memory Project Site J3-P8 - JUSC - ITRDB NM626
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/35512
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-35512.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm626-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; nm626-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm626.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/nm626.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2022-01-31
#--------------------
# File_Last_Modified_Date
#   Date: 2022-01-31
#--------------------
# Title
#   Study_Name: Peltier - Southwest Ecological Memory Project Site J3-P8 - JUSC - ITRDB NM626
#--------------------
# Investigators
#   Investigators: Peltier, D.M.P.(https://orcid.org/0000-0003-3271-9055); Yocom, L.L.; Nguyen, P.; Bangs, M.; Wilson, M.
#--------------------
# Description_Notes_and_Keywords
#   Description: These tree ring data were collected to assess the climate memory of tree growth around the southwestern US in "ecologically sampled" trees. Trees were from a range of size classes and vigors, but were all dominant or co-dominant. Sites J3 (Juniper) and P8 (Pinyon) are co-located. NOAA Template Raw Measurements file added 2022-04-04.
#--------------------
# Publication
#   Authors: Drew M.P. Peltier, Jessica Guo, Phiyen Nguyen, Michael Bangs, Michelle Wilson, Kimberly Samuels-Crow, Larissa L. Yocom, Yao Liu, Michael K. Fell, John D. Shaw, David Auty, Christopher Schwalm, William R.L. Anderegg, George W. Koch, Marcy E. Litvak, Kiona Ogle
#   Journal_Name: Tree Physiology
#   Published_Title: Temperature memory and non-structural carbohydrates mediate legacies of a hot drought in trees across the southwestern USA
#   Published_Date_or_Year: 2022
#   Volume: 42
#   Pages: 71-85
#   Issue: 1
#   Report_Number: 
#   DOI: 10.1093/treephys/tpab091
#   Full_Citation: None
#   Abstract: Trees are long-lived organisms that integrate climate conditions across years or decades to produce secondary growth. This integration process is sometimes referred to as 'climatic memory.' While widely perceived, the physiological processes underlying this temporal integration, such as the storage and remobilization of non-structural carbohydrates (NSC), are rarely explicitly studied. This is perhaps most apparent when considering drought legacies (perturbed post-drought growth responses to climate), and the physiological mechanisms underlying these lagged responses to climatic extremes. Yet, drought legacies are likely to become more common if warming climate brings more frequent drought. To quantify the linkages between drought legacies, climate memory and NSC, we measured tree growth (via tree ring widths) and NSC concentrations in three dominant species across the southwestern USA. We analyzed these data with a hierarchical mixed effects model to evaluate the time-scales of influence of past climate (memory) on tree growth. We then evaluated the role of climate memory and the degree to which variation in NSC concentrations were related to forward-predicted growth during the hot 2011-2012 drought and subsequent 4-year recovery period. Populus tremuloides exhibited longer climatic memory compared to either Pinus edulis or Juniperus osteosperma, but following the 2011-2012 drought, P. tremuloides trees with relatively longer memory of temperature conditions showed larger (more negative) drought legacies. Conversely, Pinus edulis trees with longer temperature memory had smaller (less negative) drought legacies. For both species, higher NSC concentrations followed more negative (larger) drought legacies, though the relevant NSC fraction differed between P. tremuloides and P. edulis. Our results suggest that differences in tree NSC are also imprinted upon tree growth responses to climate across long time scales, which also underlie tree resilience to increasingly frequent drought events under climate change.
#--------------------
# Funding_Agency
#   Funding_Agency_Name: US National Science Foundation
#   Grant: 1458867, 1643245
#--------------------
# Site_Information
#   Site_Name: Southwest Ecological Memory Project Site J3-P8
#   Location: New Mexico
#   Northernmost_Latitude: 36.4
#   Southernmost_Latitude: 36.4
#   Easternmost_Longitude: -107.1
#   Westernmost_Longitude: -107.1
#   Elevation_m: 2246
#--------------------
# Data_Collection
#   Collection_Name: NM626
#   First_Year: 1850
#   Last_Year: 2016
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Juniperus scopulorum Sarg.
#   Common_Name: Rocky Mountain juniper
#   Tree_Species_Code: JUSC
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## NMRJ307A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NMRJ307A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NMRJ307B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NMRJ307B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NMRJ308B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NMRJ308B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NMRJ308A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NMRJ308A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NMRJ309A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NMRJ309A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NMRJ309B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NMRJ309B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NMRJ310A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NMRJ310A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NMRJ310B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NMRJ310B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NMRJ311B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NMRJ311B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NMRJ311A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NMRJ311A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NMRJ314B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NMRJ314B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	NMRJ307A_raw	NMRJ307B_raw	NMRJ308B_raw	NMRJ308A_raw	NMRJ309A_raw	NMRJ309B_raw	NMRJ310A_raw	NMRJ310B_raw	NMRJ311B_raw	NMRJ311A_raw	NMRJ314B_raw
1850	NA	NA	NA	NA	0.292	0.505	0.831	1.05	0.557	0.596	NA
1851	NA	NA	NA	NA	0.042	0.157	0.123	0.184	0.133	0.174	NA
1852	NA	NA	NA	NA	0.443	0.72	0.758	0.965	0.561	0.651	NA
1853	NA	NA	NA	NA	0.237	0.488	0.374	0.461	0.266	0.301	NA
1854	NA	NA	NA	NA	0.12	0.255	0.088	0.122	0.176	0.18	NA
1855	NA	NA	NA	NA	0.315	0.118	0.071	0.06	0.556	0.669	NA
1856	NA	NA	NA	NA	0.323	0.597	0.326	0.245	0.466	0.581	NA
1857	NA	NA	NA	NA	0.321	0.714	0.54	0.584	0.332	0.326	NA
1858	NA	NA	NA	NA	0.329	0.527	0.363	0.493	0.336	0.327	NA
1859	NA	NA	NA	NA	0.325	0.488	0.376	0.507	0.367	0.361	NA
1860	NA	NA	NA	NA	0.125	0.427	0.358	0.489	0.106	0.141	NA
1861	NA	NA	NA	NA	0	0.295	0.146	0.202	0	0	NA
1862	NA	NA	NA	NA	0.312	0.397	0.459	0.552	0.509	0.414	NA
1863	NA	NA	NA	NA	0.221	0.277	0.321	0.471	0.227	0.288	NA
1864	NA	NA	NA	NA	0.158	0.188	0.125	0.213	0.278	0.182	NA
1865	NA	NA	NA	NA	0.236	0.342	0.372	0.446	0.421	0.499	NA
1866	NA	NA	NA	NA	0.273	0.51	0.486	0.572	0.422	0.301	NA
1867	NA	NA	NA	NA	0.402	0.517	0.841	0.695	0.54	0.31	NA
1868	NA	NA	NA	NA	0.479	0.513	0.69	0.673	0.514	0.981	NA
1869	NA	NA	NA	NA	0.614	0.776	0.674	0.735	0.635	0.768	NA
1870	NA	NA	NA	NA	0.158	0.278	0.17	0.158	0.174	0.353	NA
1871	NA	NA	NA	NA	0.073	0.207	0.137	0.117	0.152	0.219	NA
1872	NA	NA	NA	NA	0.091	0.223	0.122	0.115	0.176	0.192	NA
1873	NA	NA	NA	NA	0.12	0.249	0.117	0.151	0.216	0.288	NA
1874	NA	NA	NA	NA	0.074	0.168	0.245	0.127	0.239	0.298	NA
1875	NA	NA	NA	NA	0.132	0.185	0.135	0.134	0.23	0.263	NA
1876	NA	NA	NA	NA	0.07	0.064	0	0	0.057	0.039	NA
1877	NA	NA	NA	NA	0.292	0.43	0.322	0.283	0.396	0.465	NA
1878	NA	NA	NA	NA	0.169	0.201	0.135	0.12	0.211	0.204	NA
1879	NA	NA	NA	NA	0.096	0.16	0.083	0.057	0.179	0.207	NA
1880	NA	NA	NA	NA	0	0.023	0	0	0	0	NA
1881	NA	NA	NA	NA	0.053	0.046	0.034	0.032	0.037	0.062	NA
1882	NA	NA	NA	NA	0.434	0.31	0.19	0.144	0.249	0.358	NA
1883	NA	NA	NA	NA	0.275	0.295	0.176	0.216	0.176	0.22	NA
1884	NA	NA	NA	NA	0.637	0.59	0.664	0.651	0.472	0.584	NA
1885	NA	NA	NA	NA	0.492	0.651	0.927	0.787	0.541	0.624	NA
1886	NA	NA	NA	NA	0.27	0.307	0.569	0.569	0.274	0.441	NA
1887	NA	NA	NA	NA	0.089	0.137	0.268	0.219	0.126	0.171	NA
1888	NA	0.77	NA	NA	0.43	0.464	0.716	0.715	0.451	0.638	NA
1889	NA	0.503	NA	NA	0.259	0.223	0.486	0.557	0.397	0.358	NA
1890	NA	0.411	NA	NA	0.194	0.208	0.163	0.231	0.205	0.099	NA
1891	NA	0.547	NA	NA	0.456	0.57	0.682	0.754	0.544	0.727	NA
1892	NA	0.458	NA	NA	0.349	0.366	0.46	0.502	0.231	0.337	NA
1893	NA	0.356	NA	NA	0.141	0.147	0.117	0.086	0.057	0.041	NA
1894	NA	0.296	NA	NA	0.035	0.122	0.032	0.024	0.032	0.028	NA
1895	NA	0.621	NA	NA	0.41	0.502	0.494	0.455	0.328	0.425	NA
1896	NA	0.072	NA	NA	0.049	0.052	0.02	0	0	0	NA
1897	NA	0.617	NA	NA	0.503	0.46	0.568	0.539	0.35	0.499	NA
1898	NA	0.519	NA	NA	0.291	0.507	0.267	0.28	0.108	0.175	NA
1899	NA	0.442	NA	NA	0.055	0.133	0	0	0	0.042	NA
1900	NA	0.141	0.184	0.244	0	0.019	0	0	0	0	0.084
1901	NA	0.492	0.194	0.196	0.084	0.123	0.096	0	0	0.031	0.105
1902	NA	0.273	0	0	0	0	0	0	0	0	0
1903	NA	0.977	1.332	1.331	0.489	0.457	0.436	0.453	0.267	0.222	0.878
1904	NA	0.359	0	0	0.044	0.037	0.036	0	0	0	0.102
1905	NA	0.976	1.065	1.142	0.909	0.652	0.802	0.664	0.622	0.875	1.641
1906	NA	0.969	0.993	1.031	0.87	0.625	1.238	0.974	0.568	0.544	1.318
1907	NA	2.069	1.426	1.338	0.872	0.994	1.488	1.15	0.578	0.6	1.693
1908	NA	1.404	1.503	1.403	0.479	0.502	1.275	1.095	0.295	0.314	0.936
1909	NA	0.801	0.858	0.799	0.239	0.295	0.434	0.324	0.189	0.119	0.588
1910	NA	0.615	0.655	0.644	0.249	0.33	0.444	0.357	0.235	0.199	0.258
1911	NA	1.599	1.952	1.762	0.781	0.696	1.187	1.156	0.593	0.594	1.71
1912	NA	1.25	1.305	1.173	0.355	0.346	0.624	0.725	0.236	0.189	1.35
1913	NA	0.485	0.297	0.288	0.143	0.172	0.41	0.544	0.16	0.156	0.142
1914	NA	1.044	1.384	1.269	0.502	0.815	1.204	1.5	0.405	0.483	1.569
1915	NA	1.083	1.611	1.475	0.605	0.559	1.335	1.456	0.387	0.435	1.404
1916	NA	0.922	1.234	1.242	0.502	0.613	0.886	0.981	0.284	0.453	0.799
1917	NA	0.415	0.595	0.605	0.24	0.253	0.299	0.271	0.142	0.161	0.095
1918	NA	0.219	0.703	0.711	0.22	0.254	0.238	0.172	0.098	0.149	0.245
1919	NA	0.598	1.399	1.544	0.464	0.511	0.409	0.367	0.301	0.353	0.65
1920	0.679	0.752	2.256	2.046	0.43	0.568	0.512	0.431	0.2	0.352	0.606
1921	0.946	1.159	2.229	1.937	0.31	0.421	0.21	0.206	0.265	0.262	0.577
1922	0.451	0.47	0.667	0.621	0.148	0.192	0.106	0.117	0.185	0.096	0.166
1923	0.245	0.3	0.542	0.454	0.157	0.174	0.089	0.094	0.09	0.09	0.209
1924	0.423	0.693	2.045	2.058	0.268	0.309	0.237	0.207	0.176	0.202	0.923
1925	0.678	0.89	1.74	1.574	0.181	0.117	0.122	0.17	0.204	0.206	0.795
1926	0.839	0.952	1.082	1.013	0.292	0.27	0.245	0.237	0.218	0.258	0.645
1927	0.929	1.157	1.486	1.322	0.297	0.264	0.287	0.272	0.399	0.391	1.217
1928	0.839	0.634	0.916	0.759	0.147	0.164	0.144	0.144	0.208	0.218	0.333
1929	0.691	0.35	0.961	0.748	0.13	0.111	0.177	0.192	0.173	0.044	0.07
1930	0.361	0.312	0.912	0.648	0.173	0.198	0.214	0.139	0.194	0.076	0.208
1931	0.35	0.276	0.67	0.633	0.091	0.051	0.071	0.061	0.135	0.12	0.099
1932	0.343	0.576	1.825	1.684	0.359	0.333	0.58	0.51	0.402	0.196	0.111
1933	0.672	0.83	1.37	1.258	0.384	0.287	0.272	0.239	0.211	0.415	0.524
1934	0.879	0.428	0.576	0.515	0.045	0	0	0	0	0	0.629
1935	0.374	0.715	1.9	1.643	0.266	0.301	0.342	0.172	0.288	0.34	0.538
1936	0.54	0.595	2.976	2.342	0.21	0.095	0.242	0.18	0.185	0.193	0.355
1937	0.733	0.688	3.888	3.743	0.295	0.303	0.451	0.396	0.363	0.336	0.215
1938	0.622	0.459	3.199	3.094	0.177	0.161	0.237	0.207	0.18	0.175	0.121
