# Birch - Bear Lake Summit - PSME - ITRDB UT551
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/35074
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-35074.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ut551-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ut551-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ut551.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ut551.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2021-12-07
#--------------------
# File_Last_Modified_Date
#   Date: 2021-12-07
#--------------------
# Title
#   Study_Name: Birch - Bear Lake Summit - PSME - ITRDB UT551
#--------------------
# Investigators
#   Investigators: Birch, J.D.(https://orcid.org/0000-0001-8644-7345); DeRose, R.J.(https://orcid.org/0000-0002-4849-7744); Xu, C.(https://orcid.org/0000-0001-7747-0033); Jess, R.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2021-12-29.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Bear Lake Summit
#   Location: Utah
#   Northernmost_Latitude: 41.899
#   Southernmost_Latitude: 41.899
#   Easternmost_Longitude: -111.476
#   Westernmost_Longitude: -111.476
#   Elevation_m: 2420
#--------------------
# Data_Collection
#   Collection_Name: UT551
#   First_Year: 1840
#   Last_Year: 2019
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## BLS1B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BLS1B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BLS1A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BLS1A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BLS2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BLS2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BLS3A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BLS3A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BLS3B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BLS3B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BLS4A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BLS4A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BLS4B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BLS4B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BLS5A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BLS5A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BLS5B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BLS5B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BLS7A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BLS7A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	BLS1B_raw	BLS1A_raw	BLS2_raw	BLS3A_raw	BLS3B_raw	BLS4A_raw	BLS4B_raw	BLS5A_raw	BLS5B_raw	BLS7A_raw
1840	NA	NA	NA	NA	1.41	NA	NA	NA	NA	NA
1841	NA	NA	NA	NA	1.79	NA	NA	NA	NA	NA
1842	NA	NA	NA	NA	1.61	NA	NA	NA	NA	NA
1843	NA	NA	NA	NA	1.77	NA	NA	NA	NA	NA
1844	NA	NA	NA	NA	1.74	NA	NA	NA	NA	NA
1845	NA	NA	NA	NA	1.82	NA	NA	NA	NA	NA
1846	NA	NA	NA	NA	1.52	NA	NA	NA	NA	NA
1847	NA	NA	NA	NA	0.58	NA	NA	NA	NA	NA
1848	NA	NA	NA	NA	1.36	NA	NA	NA	NA	NA
1849	NA	NA	NA	NA	2.35	NA	NA	NA	NA	NA
1850	NA	NA	NA	NA	1.33	NA	NA	NA	NA	NA
1851	NA	NA	NA	NA	1.24	NA	NA	NA	NA	NA
1852	NA	NA	NA	NA	0.88	NA	NA	NA	NA	NA
1853	NA	NA	NA	NA	0.74	NA	NA	NA	NA	NA
1854	NA	NA	NA	NA	1.4	NA	NA	NA	NA	NA
1855	NA	NA	NA	NA	1.73	NA	NA	NA	NA	NA
1856	NA	NA	NA	NA	1.07	NA	NA	NA	NA	NA
1857	NA	NA	NA	NA	1.59	NA	NA	NA	NA	NA
1858	NA	NA	NA	NA	2.23	NA	NA	NA	NA	NA
1859	NA	NA	NA	2.39	2.01	NA	NA	NA	NA	NA
1860	NA	NA	NA	2.06	2.09	NA	NA	NA	NA	NA
1861	NA	NA	NA	2.03	2.31	NA	NA	NA	NA	NA
1862	NA	NA	NA	2.59	2.31	NA	NA	NA	NA	NA
1863	NA	NA	NA	2.63	2.52	NA	NA	NA	NA	NA
1864	NA	NA	NA	3.29	2.01	NA	NA	NA	NA	NA
1865	NA	NA	NA	2.36	2.75	NA	NA	NA	NA	NA
1866	NA	NA	NA	3.1	2.37	NA	NA	NA	NA	NA
1867	NA	NA	NA	2.5	2.78	NA	NA	NA	NA	NA
1868	NA	NA	NA	3.01	2.72	NA	NA	NA	NA	NA
1869	NA	NA	NA	3.74	2.75	NA	NA	NA	NA	NA
1870	NA	NA	NA	3.52	2.36	NA	NA	NA	NA	NA
1871	NA	NA	NA	3.27	1.62	NA	NA	NA	NA	NA
1872	NA	NA	NA	2.5	1.5	NA	NA	NA	NA	NA
1873	NA	NA	NA	2.21	1.51	NA	NA	NA	NA	1.13
1874	NA	NA	NA	4.6	1.83	NA	NA	NA	NA	0.99
1875	NA	NA	NA	2.67	1.56	NA	NA	NA	NA	1.13
1876	NA	NA	NA	3.04	1.58	NA	NA	NA	NA	1.9
1877	NA	NA	NA	4.1	2.12	NA	NA	NA	NA	1.74
1878	NA	NA	NA	2.28	1.8	NA	NA	NA	NA	1.26
1879	NA	NA	NA	3.34	2.04	NA	NA	NA	NA	1.21
1880	NA	NA	NA	3.7	1.58	NA	NA	NA	NA	1.66
1881	NA	NA	NA	1.4	2.23	NA	NA	NA	NA	3.22
1882	NA	NA	NA	2.31	1.58	NA	NA	NA	NA	2.09
1883	NA	NA	NA	2.74	1.59	NA	NA	NA	NA	1.65
1884	NA	NA	NA	2.89	2.09	NA	NA	NA	NA	2.46
1885	NA	NA	NA	2.96	2.61	NA	NA	NA	NA	3.06
1886	NA	NA	NA	2.42	1.97	NA	NA	NA	NA	1.63
1887	NA	NA	NA	2.53	1.66	NA	NA	NA	NA	3.24
1888	NA	NA	NA	2.84	2.59	NA	NA	NA	NA	3.34
1889	NA	NA	NA	2.53	2.54	NA	NA	NA	NA	2.2
1890	NA	NA	NA	2.06	2	NA	NA	NA	NA	3.07
1891	NA	NA	NA	2.03	1.8	NA	NA	NA	NA	2.36
1892	NA	NA	NA	1.84	2	NA	NA	NA	NA	1.54
1893	NA	NA	NA	1.5	1.66	NA	NA	NA	NA	1.21
1894	NA	NA	NA	2.65	2.05	NA	NA	NA	NA	2.24
1895	NA	NA	NA	3.61	3.21	NA	1.74	NA	NA	2.77
1896	NA	NA	NA	2.47	2.65	NA	1.4	NA	NA	1.33
1897	NA	NA	NA	3.57	3.85	NA	2.22	NA	NA	1.83
1898	NA	NA	NA	2.59	3.9	NA	1.81	NA	NA	1.81
1899	NA	NA	NA	2.24	2.31	NA	1.82	NA	NA	1.88
1900	NA	NA	NA	3.62	3.53	NA	1.67	NA	NA	1.95
1901	NA	NA	NA	2.81	3.19	NA	0.92	NA	NA	1.38
1902	NA	NA	NA	2.06	2.61	NA	1.09	NA	NA	1.29
1903	NA	NA	NA	2.24	2.05	NA	1.26	NA	NA	1.25
1904	NA	NA	NA	2.67	2.21	NA	1.79	NA	NA	1.15
1905	NA	NA	NA	3.3	2.84	NA	2.07	NA	NA	1.67
1906	NA	NA	NA	2.92	2.16	1.94	2.07	NA	NA	1.78
1907	NA	NA	NA	3.2	3.05	1.53	2.5	NA	NA	1.66
1908	NA	NA	NA	2.88	2.6	1.62	2.89	NA	NA	2.02
1909	NA	NA	NA	2.7	2.12	2.03	2.59	NA	NA	1.6
1910	NA	NA	NA	2.4	2.47	1.16	1.5	NA	NA	1.62
1911	NA	NA	NA	2.45	2.59	2.07	2.29	NA	NA	1.81
1912	NA	NA	NA	2.32	2.39	2.39	2.28	NA	NA	1.77
1913	NA	NA	NA	2.77	2.47	1.99	2.38	NA	NA	2.92
1914	NA	NA	1.24	3.41	3	2.8	2.78	NA	NA	2.75
1915	NA	NA	0.94	3.04	2.64	1.93	1.93	NA	NA	2.34
