# Meko - Blair - QUMA - ITRDB SD003
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3929
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3929.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/sd003-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; sd003-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/sd003.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/sd003.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Meko - Blair - QUMA - ITRDB SD003
#--------------------
# Investigators
#   Investigators: Meko, D.M.(https://orcid.org/0000-0002-5171-2724); Sieg, C.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Blair
#   Location: South Dakota
#   Northernmost_Latitude: 44.33
#   Southernmost_Latitude: 44.33
#   Easternmost_Longitude: -103.43
#   Westernmost_Longitude: -103.43
#   Elevation_m: 1097
#--------------------
# Data_Collection
#   Collection_Name: SD003
#   First_Year: 1753
#   Last_Year: 1990
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus macrocarpa Michx.
#   Common_Name: burr oak
#   Tree_Species_Code: QUMA
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## BLR01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BLR01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BLR01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BLR01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BLR02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BLR02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BLR03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BLR03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BLR04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BLR04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BLR05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BLR05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BLR05B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BLR05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BLR06B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BLR06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BLR07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BLR07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BLR07B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BLR07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BLR07F_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BLR07F; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BLR08A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BLR08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BLR09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BLR09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	BLR01A_raw	BLR01B_raw	BLR02A_raw	BLR03B_raw	BLR04A_raw	BLR05A_raw	BLR05B_raw	BLR06B_raw	BLR07A_raw	BLR07B_raw	BLR07F_raw	BLR08A_raw	BLR09A_raw
1751	NA	NA	NA	NA	NA	NA	NA	NA	0.86	NA	NA	NA	NA
1752	NA	NA	NA	NA	NA	NA	NA	NA	1.05	NA	NA	NA	NA
1753	0.25	NA	NA	NA	NA	NA	NA	NA	0.91	NA	NA	NA	NA
1754	0.55	NA	NA	NA	NA	NA	NA	NA	1.26	NA	NA	NA	NA
1755	0.36	NA	NA	NA	NA	NA	NA	NA	1.48	NA	NA	NA	NA
1756	1.02	NA	NA	NA	NA	NA	NA	NA	1.02	NA	NA	NA	NA
1757	0.58	NA	NA	NA	NA	NA	NA	NA	0.7	NA	NA	NA	NA
1758	0.28	NA	NA	NA	NA	NA	NA	NA	0.79	NA	NA	NA	NA
1759	0.25	NA	NA	NA	NA	NA	NA	NA	0.54	NA	NA	NA	NA
1760	0.27	NA	NA	NA	NA	NA	NA	NA	0.76	NA	0.87	NA	NA
1761	0.41	NA	NA	NA	NA	NA	NA	NA	1.77	NA	2.53	NA	NA
1762	0.7	NA	NA	NA	NA	NA	NA	NA	1.07	NA	2.08	NA	NA
1763	0.85	NA	NA	NA	NA	NA	NA	NA	1.18	NA	1.89	NA	NA
1764	0.64	NA	NA	NA	NA	NA	NA	NA	1.26	NA	2.76	NA	NA
1765	0.85	NA	NA	NA	NA	NA	NA	NA	2.21	NA	3.46	NA	NA
1766	0.88	NA	NA	NA	NA	NA	NA	NA	1.94	NA	2.96	NA	NA
1767	1	NA	NA	NA	NA	NA	NA	NA	1.56	NA	2.19	NA	NA
1768	1.31	NA	NA	NA	NA	NA	NA	NA	1.49	NA	1.59	NA	NA
1769	0.87	NA	NA	NA	NA	NA	NA	NA	1.43	NA	1.45	NA	2.03
1770	1.09	NA	NA	NA	NA	NA	NA	NA	1.14	NA	1.12	NA	1.79
1771	1.32	NA	NA	NA	NA	NA	NA	NA	2.28	NA	2.62	NA	5.05
1772	1.27	NA	NA	NA	NA	NA	NA	NA	1.92	NA	2.33	NA	3.29
1773	1.74	NA	NA	NA	NA	NA	NA	NA	1.67	NA	1.97	NA	2.99
1774	1.4	NA	NA	NA	NA	NA	NA	NA	2.31	NA	1.99	NA	2.4
1775	0.97	NA	NA	NA	NA	NA	NA	NA	1.54	NA	1.61	NA	2.15
1776	0.91	NA	NA	NA	NA	NA	NA	NA	1.43	NA	1.6	NA	2.01
1777	1.25	NA	NA	NA	NA	NA	NA	NA	1.9	NA	2.01	NA	1.77
1778	1.84	NA	NA	NA	NA	NA	NA	NA	1.99	NA	1.92	NA	1.85
1779	1.2	NA	NA	NA	NA	NA	NA	NA	1.58	NA	1.35	NA	2
1780	1.86	NA	NA	NA	NA	NA	NA	NA	1.8	NA	1.53	NA	2.29
1781	1.81	NA	NA	NA	NA	NA	NA	NA	1.43	NA	1.2	NA	2.34
1782	1.43	NA	NA	NA	NA	NA	NA	NA	1	NA	1.1	NA	1.59
1783	1.57	NA	NA	NA	NA	NA	NA	NA	1.11	NA	1.26	NA	1.33
1784	1.69	NA	NA	NA	NA	NA	NA	NA	1.68	NA	1.45	NA	2.14
1785	1.12	NA	1.14	NA	NA	NA	NA	NA	0.98	NA	1.04	NA	1.43
1786	0.66	NA	0.38	NA	NA	NA	NA	NA	0.88	NA	0.94	NA	1.1
1787	0.34	NA	0.41	NA	NA	NA	NA	NA	0.88	NA	0.61	NA	0.92
1788	0.52	NA	0.45	NA	NA	NA	NA	NA	0.94	NA	1.01	NA	1.39
1789	0.62	NA	0.7	NA	NA	NA	NA	NA	1.07	NA	1.08	NA	1.22
1790	0.86	NA	0.87	NA	NA	NA	NA	NA	1.1	NA	1.03	NA	1.26
1791	0.59	NA	0.66	NA	NA	NA	NA	NA	0.84	NA	0.74	NA	0.97
1792	0.84	NA	0.81	NA	NA	NA	NA	NA	1.66	NA	1.71	NA	0.91
1793	0.53	NA	0.8	NA	NA	NA	NA	NA	1.01	NA	1.18	NA	0.71
1794	1.14	NA	1.31	NA	NA	NA	NA	NA	1.67	NA	1.33	NA	1.68
1795	0.99	NA	1.24	NA	NA	NA	NA	NA	2.05	NA	1.54	NA	1.81
1796	1.07	NA	1.25	NA	NA	NA	NA	NA	1.65	NA	1.25	NA	1.6
1797	1.27	NA	1.39	NA	NA	NA	NA	NA	1.95	NA	1.81	NA	1.62
1798	1.18	NA	1.18	NA	NA	NA	NA	NA	1.77	NA	1.69	NA	1.65
1799	1.18	NA	1.31	NA	NA	NA	NA	NA	1.61	NA	1.49	NA	1.58
1800	0.5	NA	0.52	NA	NA	NA	NA	NA	0.86	NA	0.84	NA	0.47
1801	1.06	NA	0.93	NA	NA	NA	NA	NA	0.95	NA	1.01	NA	1.21
1802	1.07	NA	0.92	NA	NA	NA	NA	NA	1.05	NA	1.07	NA	1.49
1803	1.22	NA	0.95	NA	NA	NA	NA	NA	1.68	NA	0.86	NA	1.11
1804	1.07	NA	0.86	NA	NA	NA	NA	NA	1.5	NA	0.54	NA	1.11
1805	1.73	NA	1.57	NA	NA	NA	NA	NA	1.68	NA	1.37	NA	1.75
1806	1.52	NA	1.33	NA	NA	NA	NA	NA	1.8	NA	1.84	NA	2.35
1807	1.13	NA	1.16	NA	NA	NA	NA	NA	1.67	NA	1.64	NA	1.17
1808	1.32	NA	1.45	NA	NA	NA	NA	NA	1.45	NA	1.22	NA	1.33
1809	0.98	NA	1	NA	NA	NA	NA	NA	1.26	NA	0.97	NA	1.16
1810	1.78	NA	1.64	NA	NA	NA	NA	NA	1.64	NA	0.87	NA	1.22
1811	1.71	NA	1.63	NA	NA	NA	NA	NA	1.28	NA	0.96	NA	1.49
1812	1.27	NA	1.23	NA	NA	NA	NA	NA	1.31	NA	0.82	NA	1.32
1813	1.45	NA	1.45	NA	NA	NA	NA	NA	1.7	NA	1.18	NA	1.57
1814	1.24	NA	1.11	NA	NA	NA	NA	NA	1.77	NA	1.03	NA	1.27
