# Black - Esmond - PSME - ITRDB OR121
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/38224
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-38224.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or121-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or121.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/or121.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-06-14
#--------------------
# File_Last_Modified_Date
#   Date: 2023-06-14
#--------------------
# Title
#   Study_Name: Black - Esmond - PSME - ITRDB OR121
#--------------------
# Investigators
#   Investigators: Black, Bryan A.; Struble, William T.; Wetherell, Logan; Roering, Joshua J.
#--------------------
# Description_Notes_and_Keywords
#   Description: trees drowned in a lake formed when a landslide impounded a stream
#--------------------
# Publication
#   Authors: Struble, William T.; Joshua J. Roering; William J. Burns; Nancy C. Calhoun; Logan R. Wetherell; Bryan A. Black
#   Published_Date_or_Year: 2021
#   Published_Title: The Preservation of Climate‐Driven Landslide Dams in Western Oregon
#   Journal_Name: J. Geophys. Res. Earth Surf.
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1029/2020JF005908
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: United States Geological Survey National Earthquake Hazard Reduction Program
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Esmond
#   Location: Oregon
#   Northernmost_Latitude: 43.873
#   Southernmost_Latitude: 43.873
#   Easternmost_Longitude: -123.6
#   Westernmost_Longitude: -123.6
#   Elevation_m: 247
#--------------------
# Data_Collection
#   Collection_Name: OR121
#   First_Year: 1667
#   Last_Year: 1889
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## ESL01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ESL01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ESL01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ESL01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ESL02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ESL02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ESL02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ESL02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ESL03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ESL03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ESL03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ESL03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ESL05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ESL05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ESL05B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ESL05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	ESL01A_raw	ESL01B_raw	ESL02A_raw	ESL02B_raw	ESL03A_raw	ESL03B_raw	ESL05A_raw	ESL05B_raw
1667	1.81	1.85	NA	NA	NA	NA	NA	NA
1668	1.48	1.61	NA	NA	NA	NA	NA	NA
1669	1.23	1.52	NA	NA	NA	NA	NA	NA
1670	1.09	0.94	NA	NA	NA	NA	NA	NA
1671	0.82	0.85	NA	NA	NA	NA	NA	NA
1672	0.6	0.72	NA	NA	NA	NA	NA	NA
1673	0.81	0.94	NA	NA	NA	NA	NA	NA
1674	0.91	0.8	NA	NA	NA	NA	NA	NA
1675	0.95	0.92	NA	NA	NA	NA	NA	NA
1676	1.1	1.13	NA	NA	NA	NA	NA	NA
1677	1.07	1.1	NA	NA	NA	NA	NA	NA
1678	1.34	1.33	NA	NA	NA	NA	NA	NA
1679	1.09	1.23	NA	NA	NA	NA	NA	NA
1680	1.33	1.33	NA	NA	NA	NA	NA	NA
1681	1.61	1.63	NA	NA	NA	NA	NA	NA
1682	1.59	1.55	NA	NA	NA	NA	NA	NA
1683	1.62	1.6	NA	NA	NA	NA	NA	NA
1684	1.74	1.79	NA	NA	NA	NA	NA	NA
1685	1.56	1.54	NA	NA	NA	NA	NA	NA
1686	1.5	1.39	NA	NA	NA	NA	NA	NA
1687	1.37	1.33	NA	NA	NA	NA	NA	NA
1688	1.25	1.3	NA	NA	NA	NA	NA	NA
1689	1.25	1.2	NA	NA	NA	NA	NA	NA
1690	1.21	1.16	NA	NA	NA	NA	NA	NA
1691	1.35	1.3	NA	NA	NA	NA	NA	NA
1692	1.84	1.85	NA	NA	NA	NA	NA	NA
1693	1.32	1.34	NA	NA	NA	NA	NA	NA
1694	1.41	1.55	NA	NA	NA	NA	NA	NA
1695	1.49	1.59	NA	NA	NA	NA	NA	NA
1696	1.77	1.66	NA	NA	NA	NA	NA	NA
1697	2.06	1.92	NA	NA	NA	NA	NA	NA
1698	1.44	1.29	NA	NA	NA	NA	NA	NA
1699	1.11	1	NA	NA	NA	NA	NA	NA
1700	1.33	1.37	NA	NA	NA	NA	NA	NA
1701	1.67	1.55	NA	NA	NA	NA	NA	NA
1702	1.6	1.65	NA	NA	NA	NA	NA	NA
1703	1.2	1.2	NA	NA	NA	NA	NA	NA
1704	1.27	1.18	NA	NA	NA	NA	NA	NA
1705	1.51	1.45	NA	NA	NA	NA	NA	NA
1706	1.27	1.21	NA	NA	NA	NA	NA	NA
1707	1.22	1.22	NA	NA	NA	NA	NA	NA
1708	1.33	1.38	NA	NA	NA	NA	NA	NA
1709	1.73	1.57	NA	NA	NA	NA	NA	NA
1710	1.84	1.78	NA	NA	NA	NA	NA	NA
1711	1.58	1.7	NA	NA	NA	NA	NA	NA
1712	1.43	1.64	NA	NA	NA	NA	NA	NA
1713	1.48	1.54	NA	NA	NA	NA	NA	NA
1714	2.04	1.97	NA	NA	NA	NA	NA	NA
1715	2.22	2.31	NA	NA	NA	NA	NA	NA
1716	1.82	1.7	NA	NA	NA	NA	NA	NA
1717	1.5	1.38	NA	NA	NA	NA	NA	NA
1718	1.9	1.83	NA	NA	NA	NA	NA	NA
1719	2.07	2.09	NA	NA	NA	NA	NA	NA
1720	2.19	2.3	NA	NA	NA	NA	NA	NA
1721	2.22	2.43	NA	NA	NA	NA	NA	NA
1722	2.33	2.43	NA	NA	NA	NA	NA	NA
1723	2.76	2.81	NA	NA	NA	NA	NA	NA
1724	2.62	2.63	NA	NA	NA	NA	NA	NA
1725	2.33	2.34	NA	NA	NA	NA	NA	NA
1726	2.75	2.64	NA	NA	NA	NA	NA	NA
1727	2.94	2.74	NA	NA	NA	NA	NA	NA
1728	2.57	2.52	NA	NA	NA	NA	NA	NA
1729	2.94	2.86	NA	NA	NA	NA	NA	NA
1730	2.95	2.94	NA	NA	NA	NA	NA	NA
1731	2.6	2.71	NA	NA	NA	NA	NA	NA
1732	2.91	2.8	NA	NA	NA	NA	NA	NA
1733	2.94	2.76	NA	NA	NA	NA	NA	NA
1734	2.22	2.19	NA	NA	NA	NA	NA	NA
1735	2.14	2.12	NA	NA	NA	NA	NA	NA
1736	1.68	1.64	NA	NA	NA	NA	NA	NA
1737	1.93	1.62	NA	NA	NA	NA	NA	NA
1738	1.84	1.72	NA	NA	NA	NA	NA	NA
1739	1.36	1.4	NA	NA	NA	NA	NA	NA
1740	1.27	1.37	NA	NA	NA	NA	NA	NA
1741	0.77	0.75	NA	NA	NA	NA	NA	NA
1742	0.64	0.67	NA	NA	NA	NA	NA	NA
1743	0.94	1.02	NA	NA	NA	NA	NA	NA
1744	0.78	0.85	NA	NA	NA	NA	NA	NA
1745	0.79	0.8	NA	NA	NA	NA	NA	NA
1746	0.73	0.78	NA	NA	NA	NA	NA	NA
1747	1.1	1.16	NA	NA	NA	NA	NA	NA
1748	1.26	1.3	NA	NA	NA	NA	NA	NA
1749	2.02	1.99	NA	NA	NA	NA	NA	NA
1750	2.47	2.75	NA	NA	NA	NA	NA	NA
1751	2.77	2.72	NA	NA	NA	NA	NA	NA
1752	2.95	2.86	NA	NA	NA	NA	NA	NA
1753	3.07	2.81	NA	NA	NA	NA	NA	NA
1754	2.74	2.65	NA	NA	NA	NA	NA	NA
