# Woodhouse - Sheep Pen Canyon - PIED - ITRDB CO571
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5337
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5337.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/co571-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; co571-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/co571.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/co571.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-05-22
#--------------------
# File_Last_Modified_Date
#   Date: 2002-05-22
#--------------------
# Title
#   Study_Name: Woodhouse - Sheep Pen Canyon - PIED - ITRDB CO571
#--------------------
# Investigators
#   Investigators: Woodhouse, C.A.(https://orcid.org/0000-0003-0545-9753); Brown, P.M.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Sheep Pen Canyon
#   Location: Colorado
#   Northernmost_Latitude: 37.07
#   Southernmost_Latitude: 37.07
#   Easternmost_Longitude: -103.27
#   Westernmost_Longitude: -103.27
#   Elevation_m: 1580
#--------------------
# Data_Collection
#   Collection_Name: CO571
#   First_Year: 1837
#   Last_Year: 1998
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus edulis Engelm.
#   Common_Name: pinyon
#   Tree_Species_Code: PIED
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## spp011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: spp011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## spp021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: spp021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## spp041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: spp041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## spp051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: spp051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## spp061_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: spp061; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## spp071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: spp071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## spp081_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: spp081; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## spp091_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: spp091; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	spp011_raw	spp021_raw	spp041_raw	spp051_raw	spp061_raw	spp071_raw	spp081_raw	spp091_raw
1837	NA	NA	NA	NA	0.379	NA	NA	NA
1838	NA	NA	NA	NA	0.486	NA	NA	NA
1839	NA	NA	NA	NA	0.56	NA	NA	NA
1840	NA	NA	NA	NA	0.557	NA	NA	NA
1841	NA	NA	NA	NA	0.388	NA	NA	NA
1842	NA	NA	NA	NA	0.377	NA	NA	NA
1843	NA	NA	NA	NA	0.401	NA	NA	NA
1844	NA	NA	NA	NA	0.447	NA	NA	NA
1845	NA	NA	NA	NA	0.381	NA	NA	NA
1846	NA	NA	NA	NA	0.61	NA	NA	NA
1847	NA	NA	NA	NA	0.535	NA	NA	NA
1848	NA	NA	NA	NA	0.591	NA	NA	NA
1849	NA	NA	NA	NA	0.821	NA	NA	NA
1850	NA	NA	NA	NA	0.607	NA	NA	NA
1851	NA	NA	NA	NA	0	NA	NA	NA
1852	NA	NA	NA	NA	1.014	NA	NA	NA
1853	NA	NA	NA	NA	1.049	NA	NA	NA
1854	NA	NA	NA	NA	0.993	NA	NA	NA
1855	NA	NA	NA	NA	0.674	NA	NA	NA
1856	NA	NA	NA	NA	0.666	NA	NA	NA
1857	NA	NA	NA	NA	0.91	NA	NA	NA
1858	NA	NA	NA	NA	0.592	NA	NA	NA
1859	NA	NA	NA	NA	1.143	NA	NA	NA
1860	NA	NA	NA	NA	0.835	NA	NA	0.669
1861	NA	NA	NA	NA	0.38	NA	NA	0.44
1862	NA	NA	NA	NA	1.05	NA	NA	1.317
1863	NA	NA	NA	NA	0	NA	NA	0
1864	NA	NA	NA	NA	1.072	NA	NA	1.467
1865	NA	NA	NA	NA	1.146	NA	NA	1.489
1866	NA	NA	NA	NA	0.76	NA	NA	0.807
1867	NA	NA	NA	NA	0.816	NA	NA	0.796
1868	NA	NA	NA	NA	0.458	NA	NA	0.565
1869	NA	NA	NA	NA	0.831	NA	NA	0.822
1870	NA	NA	NA	NA	0.966	NA	NA	0.956
1871	NA	NA	NA	NA	0.861	NA	NA	0.809
1872	NA	NA	NA	NA	1.159	NA	NA	1.215
1873	NA	NA	NA	NA	0.575	NA	NA	0.654
1874	NA	NA	NA	NA	0.645	NA	NA	0.853
1875	NA	NA	NA	NA	0.666	NA	NA	1.159
1876	NA	NA	NA	NA	0.458	NA	NA	0.583
1877	NA	NA	NA	NA	0.559	NA	NA	0.774
1878	NA	NA	NA	NA	1.296	NA	NA	1.651
1879	NA	NA	NA	NA	0.935	NA	NA	0.614
1880	NA	NA	NA	NA	0.475	NA	NA	0.541
1881	NA	NA	NA	NA	0.892	NA	NA	1.154
1882	NA	NA	NA	NA	0.67	NA	NA	0.569
1883	NA	NA	NA	NA	0.27	NA	NA	0.119
1884	NA	NA	NA	NA	0.687	NA	NA	0.637
1885	NA	NA	NA	NA	0.975	NA	NA	0.857
1886	NA	NA	NA	NA	0.861	NA	NA	0.895
1887	NA	NA	NA	NA	1.198	NA	NA	0.848
1888	NA	NA	NA	NA	0.594	NA	NA	0.581
1889	NA	NA	NA	NA	0.748	NA	NA	0.857
1890	NA	NA	NA	NA	0.858	NA	NA	1.031
1891	NA	NA	NA	NA	0.701	NA	NA	0.982
1892	NA	NA	NA	NA	0.744	NA	NA	0.842
1893	NA	NA	NA	NA	0.125	0.99	NA	0.333
1894	NA	NA	NA	NA	0.476	1.048	NA	0.666
1895	NA	NA	NA	NA	0.972	2.746	NA	1.328
1896	NA	NA	NA	NA	0.553	1.127	NA	0.525
1897	NA	NA	NA	NA	0.546	1.473	NA	0.802
1898	NA	NA	NA	NA	0.798	1.964	NA	1.114
1899	NA	NA	NA	NA	0.492	2.065	NA	0.75
1900	NA	NA	0.559	NA	0.695	2.071	NA	1.271
1901	NA	NA	0.554	NA	0.602	2.192	NA	0.769
1902	NA	NA	0.441	NA	0.701	1.812	NA	0.647
1903	NA	NA	0.411	NA	0.671	2.033	NA	0.746
1904	NA	NA	0.521	NA	0.491	1.402	NA	0.574
1905	NA	NA	1.05	NA	0.64	2.364	NA	1.183
1906	NA	NA	1.03	NA	0.748	1.95	NA	0.797
1907	NA	NA	1.335	NA	0.5	1.508	NA	0.657
1908	NA	NA	0.884	NA	0.15	1.183	NA	0.157
1909	NA	NA	1.543	NA	0.64	3.048	NA	0.873
1910	NA	1.162	0.961	NA	0.583	1.656	NA	0.385
1911	NA	1.211	0.824	NA	0.492	1.141	NA	0.447
1912	NA	2.253	1.194	NA	0.666	2.755	NA	0.996
1913	NA	1.575	1.116	NA	0.603	2.054	NA	0.814
1914	NA	2.59	1.914	NA	0.728	2.326	NA	0.878
1915	NA	1.894	1.912	NA	0.762	1.964	NA	0.944
1916	NA	1.211	0.915	NA	0.297	1.503	NA	0.433
1917	NA	1.031	0.984	NA	0.415	2.083	NA	0.491
1918	NA	1.433	1.022	NA	0.525	2.207	NA	0.795
1919	NA	1.739	1.321	NA	0.663	2.368	1.111	0.847
1920	NA	2.069	1.234	NA	0.608	1.723	1.236	0.805
1921	NA	2.075	1.667	NA	0.622	1.717	0.802	0.872
1922	NA	1.534	0.929	NA	0.076	1.399	1.082	0.361
1923	NA	1.919	0.758	NA	0.201	1.263	1.055	0.326
1924	NA	1.438	0.864	NA	0.428	1.429	1.067	0.549
1925	NA	2.223	0.686	NA	0.491	1.077	0.251	0.465
1926	NA	1.281	0.711	NA	0.314	0.993	0.561	0.199
1927	NA	0.484	0.236	NA	0	0.385	0.516	0
1928	NA	1.138	0.875	NA	0.524	2.129	0.937	0.398
1929	NA	1.46	1.027	NA	0.718	1.789	1.422	0.547
1930	NA	1.228	0.815	NA	0.676	1.1	1.007	0.315
1931	NA	1.57	0.895	NA	0.562	1.349	1.042	0.526
1932	NA	1.887	1.064	NA	0.771	1.926	1.437	0.544
1933	NA	1.086	0.659	NA	0.395	1.64	1.819	0.263
1934	0.277	0.044	0.794	NA	0.396	0.743	1.008	0.234
1935	0.642	0.257	0.724	NA	0.419	1.401	1.864	0.402
1936	0.476	0.291	0.604	NA	0.233	0.875	0.898	0.145
1937	0.739	0.746	0.787	NA	0.378	0.962	1.391	0.286
1938	1.065	0.546	1.071	NA	0.388	1.171	1.642	0.56
1939	0.903	1.209	1.244	NA	0.403	1.396	1.267	0.434
1940	1.06	0.833	0.805	NA	0.189	0.815	1.036	0.397
1941	2.82	1.621	1.74	NA	0.601	1.959	1.586	0.834
1942	2.496	2.506	2.121	2.565	0.784	1.795	1.887	0.92
1943	2.001	1.959	2.18	2.045	0.63	1.56	1.361	0.796
1944	3.026	1.93	3.157	1.81	0.572	1.596	1.804	0.94
1945	2.447	1.52	3.52	1.438	0.5	1.488	1.508	0.619
1946	1.546	1.094	2.19	1.185	0.491	1.437	1.359	0.577
1947	2.018	1.424	2.025	1.647	0.5	1.617	1.856	0.924
1948	2.386	1.86	2.078	1.807	0.601	2.024	1.539	1.008
1949	2.236	1.534	1.899	2.003	0.546	1.498	1.696	0.965
1950	1.488	0.753	1.482	1.106	0.116	0.598	0.861	0.476
1951	1.701	0.797	1.264	1.345	0.218	1.325	0.979	0.679
1952	1.621	0.789	0.936	1.182	0.155	0.708	0.825	0.352
1953	1.175	0.314	0.697	0.851	0.017	0.537	0.702	0.377
1954	2.488	0.711	1.109	1.625	0.179	0.819	0.953	0.482
1955	2.89	1.686	1.319	1.828	0.554	1.551	1.411	0.715
1956	2.227	0.598	0.831	1.165	0.138	0.396	0.541	0.132
1957	3.342	1.393	1.382	1.85	0.382	1.027	1.165	0.585
1958	3.588	2.319	1.744	2.017	0.58	1.327	1.423	0.781
1959	2.593	1.396	0.694	1.42	0.456	1.458	0.718	0.431
1960	1.494	0.936	0.524	1.201	0.23	1.136	0.528	0.534
1961	1.983	1.106	0.361	1.388	0.318	1.02	0.861	0.416
1962	1.812	1.185	1.09	1.291	0.343	1.068	0.699	0.707
1963	0.978	0.433	0.486	0.406	0.038	0.615	0.279	0.22
1964	1.265	0.574	1.087	0.991	0.124	0.855	0.725	0.433
1965	1.808	1.24	1.384	1.374	0.264	1.344	1.291	0.609
1966	1.826	0.902	1.409	1.381	0.419	1	1.243	0.327
1967	2.288	0.916	1.015	1.625	0.425	0.833	1.256	0.371
1968	2.179	0.857	1.089	1.422	0.336	0.842	1.167	0.39
1969	2.676	1.328	0.897	2.168	0.607	1.466	1.431	0.706
1970	2.605	0.911	1.693	2.051	0.597	1.657	1.118	0.351
1971	3.708	1.557	1.589	2.198	0.523	3.214	1.291	0.36
1972	2.327	0.848	1.158	1.682	0.634	0.849	1.395	0.339
