# Wickman - Drumhill Ridge - PIPO - ITRDB OR031
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5231
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5231.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or031-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; or031-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or031.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/or031.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Wickman - Drumhill Ridge - PIPO - ITRDB OR031
#--------------------
# Investigators
#   Investigators: Wickman, B.E.; Swetnam, T.W.(https://orcid.org/0000-0001-7268-2184); Baisan, C.H.(https://orcid.org/0000-0002-7362-1591)
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Drumhill Ridge
#   Location: Oregon
#   Northernmost_Latitude: 45.47
#   Southernmost_Latitude: 45.47
#   Easternmost_Longitude: -118.2
#   Westernmost_Longitude: -118.2
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: OR031
#   First_Year: 1672
#   Last_Year: 1990
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus ponderosa Douglas ex C. Lawson
#   Common_Name: ponderosa pine
#   Tree_Species_Code: PIPO
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## DHR16A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DHR16A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DHR16B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DHR16B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DHR17A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DHR17A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DHR17B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DHR17B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DHR18A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DHR18A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DHR18B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DHR18B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DHR19A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DHR19A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DHR19B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DHR19B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DHR20A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DHR20A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DHR20B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DHR20B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	DHR16A_raw	DHR16B_raw	DHR17A_raw	DHR17B_raw	DHR18A_raw	DHR18B_raw	DHR19A_raw	DHR19B_raw	DHR20A_raw	DHR20B_raw
1672	NA	NA	NA	NA	3.07	NA	NA	NA	NA	NA
1673	NA	NA	NA	NA	2.91	NA	NA	NA	NA	NA
1674	NA	NA	NA	NA	2.34	NA	NA	NA	NA	NA
1675	NA	NA	NA	NA	2.04	NA	NA	NA	NA	NA
1676	NA	NA	NA	NA	1.84	NA	NA	NA	NA	NA
1677	NA	NA	NA	NA	1.54	NA	NA	NA	NA	NA
1678	NA	NA	NA	NA	1.94	NA	NA	NA	NA	NA
1679	NA	NA	NA	NA	2.01	NA	NA	NA	NA	NA
1680	NA	NA	NA	NA	1.42	NA	NA	NA	NA	NA
1681	NA	NA	NA	NA	2.31	NA	NA	NA	NA	NA
1682	NA	NA	NA	NA	1.57	NA	NA	NA	NA	NA
1683	NA	NA	NA	NA	1.53	NA	NA	NA	NA	NA
1684	NA	NA	NA	NA	1.47	NA	NA	NA	NA	NA
1685	NA	NA	NA	NA	1.13	NA	NA	NA	NA	NA
1686	NA	NA	NA	NA	1.14	NA	NA	NA	NA	NA
1687	NA	NA	NA	NA	1.27	NA	NA	NA	NA	NA
1688	NA	NA	NA	NA	1.25	NA	NA	NA	NA	NA
1689	NA	NA	NA	NA	1.36	NA	NA	NA	NA	NA
1690	NA	NA	NA	NA	1.39	NA	NA	NA	NA	NA
1691	NA	NA	NA	NA	1.53	NA	NA	NA	NA	NA
1692	NA	NA	NA	NA	1.41	NA	NA	NA	NA	NA
1693	NA	NA	NA	NA	1.37	NA	NA	NA	NA	NA
1694	NA	NA	NA	NA	1.38	NA	NA	NA	NA	NA
1695	NA	NA	NA	NA	1.53	NA	NA	NA	NA	NA
1696	NA	NA	NA	NA	1.21	NA	NA	NA	NA	NA
1697	NA	NA	NA	NA	1.13	NA	NA	NA	NA	NA
1698	NA	NA	NA	NA	0.99	NA	NA	NA	NA	NA
1699	NA	NA	NA	NA	1.11	NA	NA	NA	NA	NA
1700	NA	NA	NA	NA	1.26	NA	NA	NA	NA	NA
1701	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
1702	NA	NA	NA	NA	0.9	NA	NA	NA	NA	NA
1703	NA	NA	NA	NA	1.14	NA	NA	NA	NA	NA
1704	NA	NA	NA	NA	1.02	NA	NA	NA	NA	NA
1705	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
1706	NA	NA	NA	NA	0.99	NA	NA	NA	NA	NA
1707	NA	NA	NA	NA	1.01	NA	NA	NA	NA	NA
1708	NA	NA	NA	NA	0.7	NA	NA	NA	NA	NA
1709	NA	NA	NA	NA	0.57	NA	NA	NA	NA	NA
1710	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
1711	NA	NA	NA	NA	0.94	NA	NA	NA	NA	NA
1712	NA	NA	NA	NA	0.96	NA	NA	NA	NA	NA
1713	NA	NA	NA	NA	0.7	NA	NA	NA	NA	NA
1714	NA	NA	NA	NA	0.73	NA	NA	NA	NA	NA
1715	NA	NA	NA	NA	0.94	NA	NA	NA	NA	NA
1716	NA	NA	NA	NA	0.99	NA	NA	NA	NA	NA
1717	NA	NA	NA	NA	0.87	NA	NA	NA	NA	NA
1718	NA	NA	NA	NA	0.92	NA	NA	NA	NA	NA
1719	NA	NA	NA	NA	0.87	NA	NA	NA	NA	NA
1720	NA	0.92	NA	NA	1	NA	NA	NA	NA	NA
1721	NA	1.04	NA	NA	1.12	NA	NA	NA	NA	NA
1722	NA	1.01	NA	NA	0.85	NA	NA	NA	NA	NA
1723	NA	1.32	NA	NA	0.94	NA	NA	NA	NA	NA
1724	NA	1.47	NA	NA	0.95	NA	NA	NA	NA	NA
1725	NA	1.49	NA	NA	0.7	NA	NA	NA	NA	NA
1726	NA	1.42	NA	NA	0.85	0.95	NA	NA	NA	NA
1727	NA	1.55	NA	NA	0.93	0.76	NA	NA	NA	NA
1728	NA	1.76	NA	NA	0.58	0.82	NA	NA	NA	NA
1729	NA	2.03	NA	NA	0.79	0.83	NA	NA	NA	NA
1730	NA	2.05	NA	NA	0.6	0.76	NA	NA	NA	NA
1731	NA	2.04	NA	NA	0.58	0.7	NA	NA	NA	NA
1732	NA	2.17	NA	NA	0.58	0.68	NA	NA	NA	NA
1733	NA	2.41	NA	NA	0.75	0.85	NA	NA	NA	NA
1734	NA	2.22	NA	NA	0.58	0.76	NA	NA	NA	NA
1735	NA	1.98	NA	NA	0.84	0.73	NA	NA	NA	NA
1736	NA	1.93	NA	NA	0.81	0.97	NA	NA	NA	NA
1737	NA	1.57	NA	NA	0.65	0.85	NA	NA	NA	NA
1738	NA	1.69	NA	NA	1.04	1.14	NA	NA	NA	NA
1739	NA	1.55	NA	NA	0.8	1.02	NA	NA	NA	NA
1740	0.81	0.98	NA	NA	0.82	0.76	NA	NA	NA	NA
1741	1.04	0.94	NA	NA	0.73	0.8	NA	NA	NA	NA
1742	0.96	1.23	NA	NA	0.82	0.72	NA	NA	NA	NA
1743	1.14	1.42	NA	1.78	0.9	0.76	NA	NA	NA	NA
1744	1.12	1.25	NA	1.84	0.87	0.86	NA	1.18	NA	NA
1745	1.62	1.6	NA	2.25	0.89	1.03	NA	1.44	NA	NA
1746	1.27	1.71	NA	2.75	1.03	1.01	NA	1.49	NA	NA
1747	1.71	1.43	NA	2.38	1.17	1.21	NA	1.65	NA	NA
1748	1.54	1.71	NA	1.8	0.81	1.06	NA	1.78	NA	NA
