# Wiles - Kenai Lowlands - PCSI - ITRDB AK018
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5243
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5243.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak018-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ak018-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak018.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ak018.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Wiles - Kenai Lowlands - PCSI - ITRDB AK018
#--------------------
# Investigators
#   Investigators: Wiles, G.(https://orcid.org/0000-0001-7977-5383); Calkin, P.E.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Kenai Lowlands
#   Location: Alaska
#   Northernmost_Latitude: 59.68
#   Southernmost_Latitude: 59.68
#   Easternmost_Longitude: -151.42
#   Westernmost_Longitude: -151.42
#   Elevation_m: 20
#--------------------
# Data_Collection
#   Collection_Name: AK018
#   First_Year: 1720
#   Last_Year: 1988
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea sitchensis (Bong.) Carrière
#   Common_Name: Sitka spruce
#   Tree_Species_Code: PCSI
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## LL03SW_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LL03SW; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LL3ANW_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LL3ANW; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LL05NW_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LL05NW; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LL06NW_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LL06NW; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LL06NE_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LL06NE; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LL07NE_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LL07NE; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LLA7SE_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LLA7SE; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LLB7SE_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LLB7SE; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LL10SE_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LL10SE; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LL12NE_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LL12NE; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LL13NW_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LL13NW; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LL13SW_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LL13SW; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LL14SE_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LL14SE; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LL14SW_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LL14SW; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LL15NW_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LL15NW; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LL15SE_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LL15SE; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LL16SW_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LL16SW; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LL16NW_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LL16NW; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LL17SW_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LL17SW; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LL20NW_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LL20NW; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LL20SE_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LL20SE; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	LL03SW_raw	LL3ANW_raw	LL05NW_raw	LL06NW_raw	LL06NE_raw	LL07NE_raw	LLA7SE_raw	LLB7SE_raw	LL10SE_raw	LL12NE_raw	LL13NW_raw	LL13SW_raw	LL14SE_raw	LL14SW_raw	LL15NW_raw	LL15SE_raw	LL16SW_raw	LL16NW_raw	LL17SW_raw	LL20NW_raw	LL20SE_raw
1720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1721	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1722	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1723	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1725	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1726	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1728	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1730	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1731	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1732	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1733	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1734	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.26	NA	NA	NA	0.84	NA	NA	NA	NA	NA	NA
1736	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.22	NA	NA	NA	0.9	NA	NA	NA	NA	NA	NA
1737	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2	NA	NA	NA	1.06	NA	NA	NA	NA	NA	NA
1738	NA	NA	1.05	NA	NA	NA	NA	NA	NA	NA	0.22	NA	NA	NA	0.84	NA	NA	NA	NA	NA	NA
1739	NA	NA	1.19	NA	NA	NA	NA	NA	NA	NA	0.19	NA	NA	NA	1.13	NA	NA	NA	NA	NA	NA
1740	NA	NA	0.95	NA	NA	NA	NA	NA	NA	NA	0.14	NA	NA	NA	0.43	NA	NA	NA	NA	NA	NA
1741	NA	NA	0.99	NA	NA	NA	NA	NA	NA	NA	0.15	NA	NA	NA	0.51	NA	NA	NA	NA	NA	NA
1742	NA	NA	0.93	NA	NA	NA	NA	NA	NA	NA	0.09	NA	NA	NA	0.44	NA	0.25	NA	NA	NA	NA
1743	NA	NA	0.82	NA	NA	NA	NA	NA	NA	NA	0.05	NA	NA	NA	0.42	NA	0.29	NA	NA	NA	NA
1744	NA	NA	0.82	NA	NA	NA	NA	NA	NA	NA	0.04	0.15	NA	NA	0.38	NA	0.27	NA	NA	NA	NA
1745	NA	NA	0.98	NA	NA	NA	NA	NA	NA	NA	0.05	0.16	NA	NA	0.49	NA	0.27	NA	NA	NA	NA
1746	NA	NA	0.94	NA	NA	NA	NA	NA	NA	NA	0.06	0.17	NA	NA	0.5	NA	0.17	NA	NA	NA	NA
1747	NA	NA	0.71	NA	NA	NA	NA	NA	NA	NA	0.08	0.21	NA	NA	0.49	NA	0.16	NA	NA	NA	NA
1748	NA	NA	0.83	NA	NA	NA	NA	NA	NA	NA	0.08	0.19	NA	NA	0.46	NA	0.11	NA	NA	NA	NA
1749	NA	NA	0.91	NA	NA	NA	NA	NA	NA	NA	0.09	0.24	NA	NA	0.71	NA	0.11	NA	NA	NA	NA
1750	NA	NA	0.95	NA	NA	NA	NA	NA	NA	NA	0.09	0.27	NA	NA	0.81	NA	0.17	NA	NA	NA	NA
1751	NA	NA	0.94	NA	NA	NA	NA	NA	NA	NA	0.19	0.32	NA	NA	0.91	NA	0.2	NA	NA	NA	NA
1752	NA	NA	0.75	NA	NA	NA	NA	NA	NA	NA	0.15	0.25	NA	NA	0.74	NA	0.1	NA	NA	1.13	NA
1753	NA	NA	0.58	NA	NA	NA	NA	NA	NA	NA	0.12	0.15	NA	NA	0.48	0.44	0.17	NA	NA	0.75	0.45
1754	NA	NA	0.6	NA	NA	NA	NA	NA	NA	NA	0.09	0.13	NA	NA	0.53	0.35	0.16	NA	NA	0.66	0.59
1755	NA	NA	0.44	NA	NA	NA	NA	NA	NA	NA	0.05	0.13	NA	NA	0.46	0.58	0.16	NA	NA	0.45	0.39
1756	NA	NA	0.77	NA	NA	NA	NA	NA	NA	NA	0.03	0.12	NA	NA	0.36	0.55	0.09	NA	NA	0.28	0.48
1757	NA	NA	0.57	NA	NA	NA	NA	NA	NA	NA	0.05	0.07	NA	NA	0.45	0.69	0.04	NA	NA	0.28	0.54
1758	NA	NA	0.42	NA	NA	NA	NA	NA	NA	NA	0.05	0.08	NA	NA	0.38	0.52	0.04	NA	NA	0.29	0.65
1759	NA	NA	0.53	NA	NA	NA	NA	NA	NA	NA	0.03	0.09	NA	NA	0.49	0.76	0.07	NA	NA	0.49	0.81
1760	NA	NA	0.81	NA	NA	NA	NA	NA	NA	NA	0.13	0.25	NA	NA	0.67	0.84	0.16	NA	NA	0.71	0.76
1761	NA	NA	0.64	NA	NA	NA	NA	NA	NA	NA	0.13	0.18	NA	NA	0.68	0.62	0.09	NA	NA	0.8	0.85
1762	NA	NA	0.4	NA	NA	NA	NA	NA	NA	NA	0.17	0.22	NA	NA	0.64	0.78	0.05	NA	NA	0.54	0.65
1763	NA	NA	0.35	NA	NA	NA	NA	NA	NA	NA	0.15	0.15	NA	NA	0.73	0.64	0.13	NA	NA	0.35	0.47
1764	NA	NA	0.31	NA	NA	NA	NA	NA	NA	NA	0.15	0.2	NA	NA	0.59	0.47	0.07	NA	NA	0.45	0.5
1765	NA	NA	0.32	NA	0.41	NA	NA	NA	NA	NA	0.18	0.31	NA	NA	0.66	0.71	0.07	NA	NA	0.45	0.46
1766	NA	NA	0.41	NA	0.55	NA	NA	NA	NA	NA	0.14	0.25	NA	NA	0.64	0.78	0.13	NA	NA	0.49	0.39
1767	NA	NA	0.21	NA	0.75	NA	NA	NA	NA	NA	0.16	0.29	NA	NA	0.82	1.05	0.18	NA	NA	0.42	0.39
1768	NA	NA	0.27	NA	0.77	NA	NA	NA	NA	NA	0.19	0.35	NA	NA	1.18	1.2	0.14	NA	NA	0.36	0.28
1769	NA	NA	0.26	0.47	0.71	NA	NA	NA	NA	NA	0.14	0.27	NA	NA	1	1.27	0.12	NA	NA	0.33	0.35
1770	NA	NA	0.18	0.34	0.38	NA	NA	NA	NA	NA	0.1	0.15	NA	NA	0.39	0.46	0.13	NA	NA	0.18	0.13
1771	NA	NA	0.34	0.47	0.53	NA	NA	NA	NA	NA	0.12	0.26	NA	NA	0.42	0.35	0.29	NA	NA	0.21	0.25
