# Stahle - Richland Creek Project Historical Buildings - QUST - ITRDB TX047
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4933
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4933.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/tx047-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; tx047-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/tx047.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/tx047.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-05-21
#--------------------
# File_Last_Modified_Date
#   Date: 2002-05-21
#--------------------
# Title
#   Study_Name: Stahle - Richland Creek Project Historical Buildings - QUST - ITRDB TX047
#--------------------
# Investigators
#   Investigators: Stahle, D.W.; Jurney, D.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Richland Creek Project Historical Buildings
#   Location: Texas
#   Northernmost_Latitude: 31.97
#   Southernmost_Latitude: 31.97
#   Easternmost_Longitude: -96.07
#   Westernmost_Longitude: -96.07
#   Elevation_m: -999
#--------------------
# Data_Collection
#   Collection_Name: TX047
#   First_Year: 1654
#   Last_Year: 1914
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus stellata Wangenh.
#   Common_Name: post oak
#   Tree_Species_Code: QUST
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SMU01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMU01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMU02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMU02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMU03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMU03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMU04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMU04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMU05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMU05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMU07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMU07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMU09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMU09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMU10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMU10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMU11A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMU11A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMU12A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMU12A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMU13A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMU13A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SMU01A_raw	SMU02A_raw	SMU03A_raw	SMU04A_raw	SMU05A_raw	SMU07A_raw	SMU09A_raw	SMU10A_raw	SMU11A_raw	SMU12A_raw	SMU13A_raw
1654	NA	NA	NA	0.71	NA	NA	NA	NA	NA	NA	NA
1655	NA	NA	NA	0.92	NA	NA	NA	NA	NA	NA	NA
1656	NA	NA	NA	0.99	NA	NA	NA	NA	NA	NA	NA
1657	NA	NA	NA	0.75	NA	NA	NA	NA	NA	NA	NA
1658	NA	NA	NA	1.3	NA	NA	NA	NA	NA	NA	NA
1659	NA	NA	NA	1.03	NA	NA	NA	NA	NA	NA	NA
1660	NA	NA	NA	1.28	NA	NA	NA	NA	NA	NA	NA
1661	NA	NA	NA	1.29	NA	NA	NA	NA	NA	NA	NA
1662	NA	NA	NA	1.3	NA	NA	NA	NA	NA	NA	NA
1663	NA	NA	NA	0.92	1.16	NA	NA	NA	NA	NA	NA
1664	NA	NA	NA	0.78	0.72	NA	NA	NA	NA	NA	NA
1665	NA	NA	NA	0.65	0.88	NA	NA	NA	NA	NA	NA
1666	NA	NA	NA	0.6	1.05	NA	NA	NA	NA	1	NA
1667	NA	NA	NA	1.37	1.39	NA	NA	NA	NA	2.38	NA
1668	NA	NA	NA	1.07	0.55	NA	NA	NA	NA	1.74	NA
1669	NA	NA	NA	1.21	1.11	NA	NA	NA	NA	2.13	NA
1670	NA	NA	NA	1.04	0.68	NA	NA	NA	NA	2.17	NA
1671	NA	NA	NA	1.09	1.01	NA	NA	NA	NA	2.16	NA
1672	NA	NA	NA	1.08	0.74	NA	NA	NA	NA	2.3	NA
1673	NA	NA	NA	1.02	0.38	NA	NA	NA	NA	1.94	NA
1674	NA	NA	NA	1.16	0.54	NA	NA	NA	NA	1.47	NA
1675	NA	NA	NA	0.94	0.44	NA	0.51	NA	NA	1.55	NA
1676	NA	NA	NA	1.46	0.45	NA	1.49	NA	NA	2.04	NA
1677	NA	NA	NA	1.42	0.84	NA	2.11	NA	NA	1.73	NA
1678	NA	NA	NA	1.07	0.43	NA	0.54	NA	NA	1.09	NA
1679	NA	NA	NA	0.86	0.65	NA	0.98	NA	NA	1.8	NA
1680	NA	NA	1.26	1.7	0.78	NA	1.52	NA	NA	3.1	NA
1681	NA	NA	0.77	1.02	0.49	NA	0.22	NA	NA	1.97	NA
1682	NA	NA	0.88	1.25	0.56	NA	0.46	NA	NA	2.05	NA
1683	NA	NA	1.41	1.34	1.2	NA	1.13	NA	NA	2.71	NA
1684	NA	NA	0.71	0.88	0.63	NA	0.66	NA	NA	2.11	NA
1685	NA	NA	0.41	0.53	0.5	NA	0.81	NA	NA	1.82	NA
1686	NA	NA	0.59	0.93	0.65	NA	1.59	NA	NA	1.7	NA
1687	NA	NA	1.08	1.01	0.79	NA	0.71	NA	NA	1.53	NA
1688	NA	NA	0.99	0.79	0.85	NA	0.51	NA	NA	1.05	NA
1689	NA	NA	0.32	0.42	0.3	NA	0.67	NA	NA	0.63	NA
1690	NA	NA	0.42	0.71	0.31	NA	0.59	NA	NA	1.03	NA
1691	NA	NA	0.3	0.45	0.31	NA	0.92	NA	NA	1.33	NA
1692	NA	NA	0.44	0.73	0.35	NA	1.06	NA	NA	1.53	NA
1693	NA	NA	0.33	0.96	0.52	NA	0.54	NA	NA	1.35	NA
1694	NA	NA	0.55	1.04	0.75	NA	0.83	NA	NA	1.32	NA
1695	NA	NA	0.67	1.56	0.65	NA	0.88	NA	NA	1.64	NA
1696	NA	NA	0.64	0.87	0.74	NA	0.59	NA	NA	1.1	NA
1697	NA	NA	0.37	0.65	0.44	NA	0.59	NA	NA	0.84	NA
1698	NA	NA	0.46	0.53	0.59	NA	1.07	NA	NA	1.11	NA
1699	NA	NA	0.25	0.38	0.4	NA	0.48	NA	NA	0.85	NA
1700	NA	NA	0.45	0.77	0.66	NA	0.56	NA	NA	0.91	NA
1701	NA	NA	0.61	1.01	0.99	NA	1.14	1.53	NA	2.05	NA
1702	NA	NA	0.63	1.17	1.15	NA	1.32	1.33	NA	2.16	NA
1703	NA	NA	0.63	0.8	1.09	NA	0.64	0.94	NA	1.2	NA
1704	NA	NA	0.57	0.71	0.74	NA	0.51	0.6	NA	1.23	NA
1705	NA	NA	0.33	0.71	0.34	0.35	0.53	0.55	NA	0.86	NA
1706	NA	NA	0.63	1.4	0.83	0.85	0.5	1.12	NA	1.69	NA
1707	NA	NA	0.49	1.46	0.72	1.04	0.85	1.03	NA	1.45	NA
1708	NA	NA	0.49	0.83	0.53	0.45	0.57	0.82	NA	0.75	NA
1709	NA	NA	0.52	0.84	0.57	0.18	0.57	1.1	NA	0.97	NA
1710	NA	NA	0.69	1.19	0.58	0.36	0.71	1	NA	0.86	NA
1711	NA	NA	0.27	0.87	0.33	0.34	0.42	0.99	NA	0.88	NA
1712	NA	NA	0.37	0.82	0.31	0.54	0.62	1.01	NA	1.65	NA
1713	NA	NA	0.6	1.43	0.68	0.93	0.78	1.23	NA	1.74	NA
1714	NA	NA	0.61	1.15	0.99	0.65	0.69	1.06	NA	1.47	NA
1715	NA	NA	0.6	1.02	0.61	0.25	0.45	0.8	NA	0.72	NA
1716	NA	NA	0.44	0.6	0.43	0.39	0.48	0.67	NA	0.66	NA
1717	NA	NA	0.27	0.57	0.38	0.26	0.73	0.71	NA	0.81	NA
1718	NA	NA	0.73	1.24	1.06	0.53	1.12	1.13	NA	1.18	NA
1719	NA	NA	1.15	1.59	1.4	0.65	1.16	1.52	1.96	1.53	NA
1720	NA	NA	0.93	1.14	1.16	0.55	0.59	1.18	1.19	1.72	NA
1721	NA	NA	1.02	1.41	1.58	0.66	0.73	1.3	0.82	2.03	NA
1722	0.74	NA	0.65	1.08	0.91	0.4	0.43	0.77	0.52	1.18	NA
1723	1.13	NA	0.96	1.32	1.35	0.45	0.47	0.74	0.52	1.56	NA
1724	0.68	NA	0.76	1.11	0.88	0.46	0.41	0.59	0.77	1.61	NA
1725	0.6	NA	0.71	0.93	0.84	0.66	0.49	0.8	0.93	1.35	NA
1726	0.77	NA	0.79	0.96	1.28	0.52	0.79	0.89	1.18	0.78	NA
1727	0.98	NA	0.58	0.57	0.76	0.58	0.53	0.68	0.84	0.91	NA
1728	1.21	NA	0.37	0.48	0.39	0.47	0.49	0.76	0.99	1.02	NA
1729	1.18	NA	0.34	0.46	0.36	0.44	0.45	0.55	0.66	0.84	1.04
1730	0.86	NA	0.27	0.41	0.43	0.27	0.31	0.32	0.46	0.65	1.05
1731	1.41	NA	0.55	0.84	0.64	0.26	0.5	0.67	0.62	0.69	1.26
1732	1.81	NA	1.18	1.03	1.09	0.71	0.89	0.88	0.62	1.11	1.18
1733	1.58	NA	0.78	0.53	1.01	0.36	0.55	0.72	0.61	0.83	1.1
1734	1.82	NA	0.36	0.28	0.31	0.25	0.58	0.79	0.79	0.72	1.03
1735	1.64	NA	1.98	1.49	1.9	0.44	1	1.05	1.13	1.44	1.18
1736	0.98	NA	0.71	0.41	0.84	0.21	0.5	0.42	0.45	0.63	0.78
1737	1.31	NA	1.53	0.62	1.68	0.33	0.6	0.69	0.99	0.84	1.06
1738	1.21	NA	1.69	0.67	1.73	0.3	0.39	0.54	0.74	0.74	1.16
1739	1.66	NA	5.98	1.36	2.73	0.38	0.64	1.05	1.14	1.11	1.54
1740	2.01	NA	4.3	2.12	2.53	0.71	0.69	1.23	1.18	1.77	1.3
1741	0.97	0.71	1.2	0.89	0.87	0.28	0.44	0.62	0.69	0.71	1.35
1742	1.23	1.02	1.34	0.86	1.13	0.59	0.99	0.66	0.93	0.94	1.71
1743	0.67	0.83	0.73	0.82	0.75	0.44	0.62	0.6	0.79	0.48	1.58
1744	1.39	1.25	1.26	1.45	0.79	0.71	0.68	0.94	0.78	0.76	1.35
1745	1.64	1.3	1.51	1.08	0.88	0.9	0.52	1.1	0.98	0.99	1.34
1746	1.79	1.2	1.31	1.71	1.06	0.68	0.63	1.25	1.25	1.2	1.49
1747	1.66	1.26	0.95	1.95	0.95	0.59	0.61	0.94	1.76	1.06	1.33
1748	1.5	0.89	1.09	1.41	0.87	0.52	0.51	0.78	1.03	0.86	0.98
1749	2.04	0.95	0.91	1.37	0.82	0.54	0.74	0.69	0.59	0.81	0.72
1750	1.5	0.65	0.65	1.05	0.61	0.41	0.52	0.51	0.91	0.6	0.57
1751	1.68	0.84	0.95	1.24	0.89	0.43	0.44	0.64	0.77	0.89	0.81
1752	1.22	0.39	0.4	0.52	0.35	0.27	0.26	0.37	0.43	0.56	0.62
1753	1.47	0.57	0.64	0.77	0.77	0.34	0.34	0.6	0.67	0.83	0.81
1754	1.52	0.69	0.58	0.61	0.6	0.41	0.42	0.52	0.53	0.46	0.52
1755	1.01	0.33	0.33	0.48	0.29	0.35	0.31	0.38	0.36	0.36	0.51
1756	1.28	0.66	0.5	0.71	0.8	0.39	0.38	0.66	0.48	0.42	0.66
1757	2.2	0.78	0.95	0.82	1.07	0.44	0.53	0.8	0.77	0.38	0.83
1758	2.19	1.14	1.71	1	1.38	0.61	0.74	0.99	1.02	0.42	1.13
1759	2.57	1.12	1.64	1.05	1.2	0.58	0.58	0.72	1.07	0.59	1.14
1760	2.11	1.22	1.82	1.1	1.39	0.75	0.52	0.88	1.3	0.63	1.02
1761	2.24	1.17	1.04	1.06	1.03	0.53	0.5	0.73	0.99	0.74	0.84
1762	2.03	1.24	1.05	1.24	1.22	0.45	0.66	0.91	1.13	0.7	0.83
1763	1.59	0.98	0.58	0.77	0.73	0.32	0.41	0.59	0.82	0.58	0.66
1764	1.67	0.98	0.97	1.32	1.33	0.49	0.4	0.52	0.91	0.59	0.91
1765	1.41	0.94	1.03	0.92	1.02	0.54	0.6	0.55	1.08	0.56	0.8
1766	1.32	1.1	0.91	1.03	0.89	0.5	0.41	0.56	0.69	0.57	0.7
1767	1.17	1	0.84	0.86	1.01	0.46	0.51	0.51	1.02	0.59	0.56
1768	1.18	1.08	0.81	0.77	0.83	0.43	0.44	0.43	0.63	0.42	0.64
1769	1.24	1.25	1.23	0.82	0.76	0.54	0.65	0.65	0.94	0.62	0.73
1770	1.06	1.41	0.9	1.05	1.03	0.4	0.41	0.89	0.79	0.8	0.62
