# Cherubini - Wengimoos - QUSP - ITRDB SWIT361
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16935
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16935.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit361-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit361-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit361.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit361.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Cherubini - Wengimoos - QUSP - ITRDB SWIT361
#--------------------
# Investigators
#   Investigators: Cherubini, P.(https://orcid.org/0000-0002-9809-250X); Straub, A.
#--------------------
# Description_Notes_and_Keywords
#   Description: Collection purpose: 
# # past land-use changes
# # 
# # Notes: 
# # Formerly Wengimoos Wald NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Wengimoos
#   Location: Switzerland
#   Northernmost_Latitude: 47.1
#   Southernmost_Latitude: 47.1
#   Easternmost_Longitude: 7.4833
#   Westernmost_Longitude: 7.4833
#   Elevation_m: 482
#--------------------
# Data_Collection
#   Collection_Name: SWIT361
#   First_Year: 1855
#   Last_Year: 2008
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## R1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: R1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## R2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: R2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## R3_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: R3; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## R4_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: R4; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## R5_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: R5; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## R6_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: R6; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## R7_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: R7; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## R8_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: R8; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## R9_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: R9; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## R10_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: R10; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	R1_raw	R2_raw	R3_raw	R4_raw	R5_raw	R6_raw	R7_raw	R8_raw	R9_raw	R10_raw
1855	NA	NA	0.18	NA	NA	NA	NA	NA	NA	NA
1856	NA	NA	0.15	NA	NA	NA	NA	NA	NA	NA
1857	NA	NA	0.12	NA	NA	NA	NA	NA	NA	NA
1858	NA	NA	0.09	NA	NA	0.18	NA	0.15	NA	NA
1859	NA	NA	0.19	NA	NA	0.22	NA	0.15	NA	0.3
1860	NA	NA	0.19	NA	NA	0.22	NA	0.2	NA	0.31
1861	NA	NA	0.27	NA	NA	0.3	NA	0.22	NA	0.39
1862	NA	NA	0.24	NA	NA	0.3	NA	0.25	NA	0.35
1863	NA	NA	0.22	NA	NA	0.3	NA	0.26	NA	0.26
1864	0.3	NA	0.23	NA	NA	0.22	NA	0.21	NA	0.26
1865	0.3	NA	0.23	NA	NA	0.22	NA	0.29	NA	0.24
1866	0.26	NA	0.17	NA	NA	0.26	NA	0.29	NA	0.2
1867	0.29	NA	0.27	NA	NA	0.21	NA	0.23	NA	0.16
1868	0.43	NA	0.28	NA	NA	0.32	NA	0.34	NA	0.26
1869	0.26	NA	0.17	NA	NA	0.31	NA	0.21	NA	0.18
1870	0.18	NA	0.1	NA	NA	0.19	NA	0.1	NA	0.12
1871	0.3	NA	0.24	NA	NA	0.35	NA	0.2	NA	0.16
1872	0.23	NA	0.12	NA	NA	0.19	NA	0.12	NA	0.08
1873	0.13	NA	0.15	NA	NA	0.18	NA	0.07	NA	0.06
1874	0.21	NA	0.21	NA	NA	0.23	NA	0.13	NA	0.11
1875	0.37	NA	0.28	NA	NA	0.25	NA	0.23	NA	0.12
1876	0.41	NA	0.26	NA	NA	0.31	NA	0.2	NA	0.12
1877	0.38	NA	0.18	NA	NA	0.28	NA	0.17	NA	0.12
1878	0.33	NA	0.14	NA	NA	0.25	NA	0.18	NA	0.15
1879	0.22	NA	0.11	0.1	NA	0.2	NA	0.11	NA	0.09
1880	0.27	NA	0.08	0.08	NA	0.2	NA	0.04	NA	0.1
1881	0.16	NA	0.09	0.11	NA	0.23	NA	0.04	NA	0.12
1882	0.26	NA	0.06	0.09	NA	0.26	NA	0.06	NA	0.09
1883	0.4	NA	0.12	0.17	NA	0.3	NA	0.1	NA	0.14
1884	0.46	NA	0.15	0.15	NA	0.3	NA	0.09	NA	0.17
1885	0.48	NA	0.14	0.16	NA	0.25	NA	0.1	NA	0.14
1886	0.5	NA	0.11	0.15	NA	0.27	NA	0.08	NA	0.15
1887	0.4	NA	0.12	0.12	NA	0.26	NA	0.11	NA	0.18
1888	0.32	NA	0.07	0.07	NA	0.2	NA	0.14	NA	0.12
1889	0.39	NA	0.13	0.14	NA	0.32	NA	0.18	NA	0.16
1890	0.3	NA	0.11	0.12	NA	0.26	NA	0.12	NA	0.18
1891	0.13	NA	0.07	0.06	NA	0.13	NA	0.06	0.11	0.11
1892	0.2	NA	0.09	0.07	NA	0.23	NA	0.16	0.12	0.13
1893	0.12	NA	0.07	0.09	NA	0.14	NA	0.07	0.13	0.1
1894	0.14	0.14	0.06	0.09	NA	0.18	NA	0.09	0.14	0.09
1895	0.22	0.22	0.08	0.13	0.32	0.2	NA	0.19	0.14	0.1
1896	0.24	0.26	0.1	0.16	0.33	0.29	NA	0.21	0.15	0.14
1897	0.19	0.18	0.06	0.16	0.36	0.25	NA	0.17	0.09	0.09
1898	0.27	0.27	0.07	0.13	0.3	0.25	NA	0.17	0.13	0.08
1899	0.23	0.28	0.1	0.15	0.22	0.23	NA	0.19	0.15	0.1
1900	0.23	0.22	0.07	0.1	0.15	0.16	NA	0.16	0.13	0.09
1901	0.37	0.32	0.12	0.17	0.22	0.22	NA	0.2	0.14	0.12
1902	0.36	0.27	0.09	0.16	0.23	0.22	NA	0.15	0.14	0.13
1903	0.23	0.24	0.07	0.14	0.17	0.14	NA	0.1	0.1	0.09
1904	0.33	0.36	0.12	0.21	0.27	0.26	NA	0.21	0.17	0.13
1905	0.23	0.24	0.05	0.11	0.16	0.13	NA	0.12	0.16	0.12
1906	0.14	0.18	0.04	0.07	0.12	0.1	NA	0.09	0.12	0.07
1907	0.21	0.31	0.07	0.12	0.22	0.18	NA	0.17	0.14	0.1
1908	0.19	0.29	0.07	0.12	0.2	0.19	0.21	0.19	0.18	0.13
1909	0.14	0.23	0.06	0.08	0.11	0.15	0.13	0.1	0.1	0.09
1910	0.31	0.44	0.13	0.22	0.27	0.28	0.23	0.2	0.15	0.13
1911	0.21	0.32	0.16	0.2	0.26	0.2	0.14	0.14	0.14	0.17
1912	0.19	0.32	0.11	0.21	0.22	0.18	0.17	0.16	0.16	0.16
1913	0.15	0.3	0.13	0.24	0.18	0.2	0.18	0.14	0.15	0.14
1914	0.17	0.27	0.14	0.24	0.24	0.21	0.19	0.15	0.2	0.18
1915	0.18	0.23	0.12	0.18	0.18	0.15	0.14	0.11	0.12	0.13
1916	0.22	0.28	0.12	0.25	0.28	0.22	0.14	0.1	0.17	0.16
1917	0.32	0.32	0.11	0.27	0.33	0.2	0.17	0.17	0.15	0.14
1918	0.16	0.19	0.08	0.2	0.2	0.14	0.13	0.11	0.14	0.12
1919	0.2	0.3	0.11	0.27	0.16	0.17	0.16	0.12	0.18	0.13
