# Conedera - La Gahna Copera - LADE - ITRDB SWIT225
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/14037
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-14037.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit225-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit225-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit225.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit225.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Conedera - La Gahna Copera - LADE - ITRDB SWIT225
#--------------------
# Investigators
#   Investigators: Conedera, M.; Fonti, P.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: La Gahna Copera
#   Location: Switzerland
#   Northernmost_Latitude: 46.15
#   Southernmost_Latitude: 46.15
#   Easternmost_Longitude: 8.9931
#   Westernmost_Longitude: 8.9931
#   Elevation_m: 610
#--------------------
# Data_Collection
#   Collection_Name: SWIT225
#   First_Year: 1957
#   Last_Year: 1999
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Larix decidua Mill.
#   Common_Name: European larch
#   Tree_Species_Code: LADE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## cod0074x_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cod0074x; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cod0074y_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cod0074y; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cod0133x_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cod0133x; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cod0133y_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cod0133y; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cod0153x_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cod0153x; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cod0153y_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cod0153y; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cod0218x_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cod0218x; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cod0218y_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cod0218y; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cod0273x_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cod0273x; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cod0273y_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cod0273y; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cod0283x_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cod0283x; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cod0283y_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cod0283y; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cod0297x_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cod0297x; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cod0297y_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cod0297y; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cod0454x_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cod0454x; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cod0454y_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cod0454y; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cod0468x_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cod0468x; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cod0468y_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cod0468y; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cod0505x_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cod0505x; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cod0505y_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cod0505y; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	cod0074x_raw	cod0074y_raw	cod0133x_raw	cod0133y_raw	cod0153x_raw	cod0153y_raw	cod0218x_raw	cod0218y_raw	cod0273x_raw	cod0273y_raw	cod0283x_raw	cod0283y_raw	cod0297x_raw	cod0297y_raw	cod0454x_raw	cod0454y_raw	cod0468x_raw	cod0468y_raw	cod0505x_raw	cod0505y_raw
1957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.43	1.28	NA	NA	NA	NA
1958	NA	NA	7.64	4.35	NA	NA	1.77	1.4	3.06	2.96	1.13	1.16	0.88	0.88	4.21	3.34	1.4	1.23	NA	NA
1959	1.61	1.6	11.43	7.87	NA	NA	2.44	2.14	5.14	5.33	2.75	2.7	4.59	2.75	9.24	7.61	6.54	6.44	5.09	3.81
1960	6.8	8.32	11.73	13.05	4.03	3.69	10.73	11.12	8.13	8.07	7.92	6.78	6.92	7.22	14.04	11.47	7.44	8.17	9.4	9.06
1961	6.92	8.54	8.73	10.75	5.43	4.8	10.34	7.7	9.98	9.35	10.4	9.25	6.65	8.49	11.87	7.89	6.66	6.68	11.53	9.23
1962	7.04	6.2	6.21	5.3	6.47	5.47	5.95	4.53	6.78	5.78	7.65	5.55	4.76	4.16	7.76	5.2	3.67	4.02	6.73	5.49
1963	6.92	6.68	7.91	6.16	6.15	6.55	7.47	5.04	7.21	4.38	8.85	6.99	5.45	4.26	8.03	5.42	4.87	5.49	9.34	4.52
1964	5.51	4.95	8.19	6	5.15	4.61	4.47	3.68	7.19	5.63	7.22	4.98	3.91	3.76	6.11	4.18	4.97	4.37	7.75	6.62
1965	3.29	3.6	7.54	3.85	3.66	2.35	3.84	3.26	5.83	3.99	5.86	4.34	3.73	3.8	6.54	4.44	3.99	3.41	7.02	4.73
1966	2.84	3.98	6.28	4.17	3.56	2.75	4.94	4.27	6.49	4.43	6.73	4.71	4.52	3.67	5.99	4.18	4.88	3.62	7.21	6.06
1967	2.7	2.95	4.85	3.53	2.37	2.18	3.24	3.2	5.49	3.51	5.59	3.17	4.05	2.75	5.02	2.87	3.51	2.64	6.6	5.13
1968	3.33	3.08	6.13	4.35	3.76	1.77	4.14	4.53	4.59	4.25	4.49	2.83	6.25	5.01	4.38	3.25	3.54	2.64	6.6	5.38
1969	5.37	4.46	5.47	4.4	3.53	2.47	3.71	4.27	4.58	4.4	4.25	3.3	5.95	4.5	4.94	3.83	4.32	3.82	6.32	5.23
1970	4.92	4.02	3.59	2.85	2.51	1.76	2.42	2.79	3.83	3.41	3.69	2.9	3.9	3.01	3.06	2.63	2.62	2.43	4.55	3.69
1971	4.51	3.84	4.3	3	3.79	2.07	4.7	4.6	3.64	3.36	5.56	4.49	5.77	4.32	3.59	2.96	3.49	3.01	4.58	3.18
1972	4.61	3.9	4.73	3.23	3.24	1.92	3.59	3.75	4.28	3.42	5.72	4.36	4.98	4.29	3.5	2.92	3.5	2.56	3.77	2.54
1973	4.55	3.2	2.36	1.58	2.57	1.34	2.66	2.96	2.91	2.35	5.14	3.72	4.47	3.4	2.47	1.77	2.95	2.05	2.81	1.44
1974	4.56	2.69	2.87	2.22	2.86	1.18	2.5	2.55	3.25	2.71	3.93	3.31	3.33	2.46	2.68	1.95	2.51	1.71	4.7	2.55
1975	4.51	3.32	2.2	1.71	2.67	1.8	2.94	2.64	2.64	1.72	4.05	3.55	4.15	3.19	2.98	1.89	3.33	2.64	5.1	3.71
1976	3.45	3.16	2.23	1.59	2.32	1.26	2	1.53	2.31	1.58	3.35	2.56	2.62	2.3	1.5	1.38	1.93	1.53	4.42	2.55
1977	3.01	2.37	1.71	0.42	2.27	1.2	1.88	1.43	2.07	0.99	3.46	1.96	3.08	1.99	1.76	0.83	2.19	2.12	3.96	1.74
1978	3.53	2.89	2.37	0.95	1.83	1.7	2.67	2.73	3.01	1.67	2.94	1.74	5.09	2.36	4.22	2.93	3.6	2.89	5.35	3.71
1979	3.48	2.28	2.25	1.33	2.12	1.94	2.69	2.28	3.12	2.17	3.43	2.4	4.02	1.8	5.07	3.34	2.93	2.3	5.22	3.57
1980	3.33	2.49	3.86	1.78	2.48	1.55	3.26	2.88	3.06	1.76	3.46	1.92	4.54	2.21	5.82	3.24	3.16	2.53	5.27	2.86
1981	3.25	2.71	4.23	2.15	2.15	1.38	3.46	3.41	3.66	2.44	2.96	2.11	3.74	2.03	5.9	4.07	3	2.92	5.29	3.26
1982	2.71	2.3	3.73	2.13	2.11	1.18	3.1	3.21	3.65	2.26	2.33	1.52	3.86	1.96	5.04	3.98	2.54	2.26	4.88	2.52
1983	2.64	2.04	2.29	1.15	2.14	0.66	2.48	2.18	2.37	1.19	1.58	1.57	2.78	1.9	2.7	2.11	1.87	1.59	3.34	2.14
1984	2.79	1.8	3.1	1.78	1.74	0.96	2.12	1.75	2.27	1.58	2.13	1.75	2.91	1.96	2.86	2.45	1.88	1.36	3.72	2.03
1985	3.32	2.23	2.03	0.94	2.14	0.96	3	3.21	2.25	1.22	3.12	2.5	3.61	2.34	4.3	2.38	2.47	1.4	5.27	1.9
1986	3.11	2.47	3.87	1.92	1.74	0.85	3.12	2.43	2.13	1.58	2.54	2.12	2.67	2.62	4.08	2.45	1.65	1.57	3.86	2
1987	3.92	1.87	3.04	1.51	1.46	0.9	3.14	2.73	1.99	1.73	2.93	1.93	2.98	2.77	3.33	2.43	1.94	1.3	4.92	1.57
1988	3.12	2.16	2.5	1.76	1.25	0.88	2.73	1.59	2.32	1.44	2.4	1.1	2.28	2.43	2.82	1.81	1.55	1.51	4.55	1.91
1989	3.43	2.4	3.81	1.96	1.56	1.03	2.6	2.21	2.87	2.16	2.5	1.54	2.47	2.5	3.4	2.05	1.85	1.5	4.51	1.66
1990	2.88	1.95	3.59	1.72	1.31	1.09	1.91	2.36	2.05	2	2.28	2.06	1.9	1.4	2.66	1.64	1.72	1.65	3.02	1.47
1991	3.69	2.1	3.06	1.97	1.57	1.08	2.36	3	2.89	2.34	2.59	1.64	2.24	1.59	3.19	1.49	1.91	1.4	3.07	1.65
1992	2.97	1.89	1.42	1.06	1.09	1.44	2.67	2.4	2.18	1.54	2.8	1.2	3.09	1.34	2.71	1.47	1.59	1.14	2.8	1.4
1993	3.14	2.42	3.21	1.62	1.2	0.92	4.16	2.7	2.9	2.05	3.25	1.06	4.35	1.43	4.18	1.26	1.75	1.46	3.42	1.34
1994	2.6	2.09	3.51	1.76	1.26	0.37	3.81	2.81	3.39	2.29	3.05	1.51	5.16	1.25	3.88	1.67	1.9	1.61	3.85	1.57
1995	1.31	1.33	2.61	1.42	0.89	0.01	3.06	1.9	2.33	1.44	1.7	1.23	3.25	1.2	2.62	1.36	1.14	0.92	2.32	0.83
1996	1.78	2.16	3.27	1.37	0.57	0.34	3.45	2	2.7	1.78	2.25	1.66	2.07	0.99	2.45	1.38	1.39	1.06	2.61	1.22
1997	1.88	2.61	4.25	1.54	0.6	0.34	4.73	3.14	2.76	1.49	1.74	2.31	2.99	1.75	2.52	1.03	1.28	0.89	2.23	1.34
1998	1.55	2.04	2.91	1.51	0.61	0.27	3.58	2.91	2.73	0.53	1.77	1.88	1.85	1.59	1.81	1.44	1.36	1.33	1.75	1.11
1999	1.96	2.47	2.92	1.48	0.43	0.13	5.1	2.47	3.11	0.41	2.19	1.89	1.47	2.29	2.25	1.85	1.48	1.34	2.9	1.68
