# Schmidt - Schwalenberger Wald - QURO - ITRDB GERM008
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4292
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4292.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/germ008-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; germ008-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/germ008.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/germ008.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Schmidt - Schwalenberger Wald - QURO - ITRDB GERM008
#--------------------
# Investigators
#   Investigators: Schmidt, B.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Schwalenberger Wald
#   Location: Germany
#   Northernmost_Latitude: 51.92
#   Southernmost_Latitude: 51.92
#   Easternmost_Longitude: 9.2
#   Westernmost_Longitude: 9.2
#   Elevation_m: 290
#--------------------
# Data_Collection
#   Collection_Name: GERM008
#   First_Year: 1830
#   Last_Year: 1972
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus robur L. = Quercus pendunculata Ehrl.
#   Common_Name: English oak
#   Tree_Species_Code: QURO
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 260113_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 260113; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 260123_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 260123; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 260213_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 260213; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 260223_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 260223; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 260313_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 260313; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 260323_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 260323; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 260613_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 260613; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 260623_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 260623; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 260713_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 260713; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 260723_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 260723; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	260113_raw	260123_raw	260213_raw	260223_raw	260313_raw	260323_raw	260613_raw	260623_raw	260713_raw	260723_raw
1830	NA	NA	NA	NA	1.89	NA	NA	NA	NA	NA
1831	NA	NA	NA	NA	3.25	NA	1.79	NA	NA	NA
1832	NA	NA	NA	NA	1.12	NA	2.06	NA	NA	NA
1833	NA	NA	NA	NA	1.28	NA	2.13	NA	NA	NA
1834	NA	NA	NA	NA	1.77	NA	2.04	3.01	NA	NA
1835	NA	NA	NA	NA	1.07	NA	1.41	1.75	NA	NA
1836	NA	NA	NA	NA	0.96	NA	1.59	1.75	NA	NA
1837	NA	NA	NA	NA	1.05	NA	1.33	1.69	NA	NA
1838	NA	NA	NA	NA	0.83	0.72	0.96	1.22	NA	NA
1839	NA	NA	NA	NA	0.84	0.64	1.42	2.02	NA	NA
1840	NA	NA	NA	NA	0.71	0.55	1.52	1.5	NA	NA
1841	NA	NA	NA	NA	0.61	0.59	1.61	1.26	NA	NA
1842	NA	NA	NA	NA	0.98	0.92	2.09	2.34	NA	NA
1843	NA	NA	NA	NA	1.3	1.21	2.05	2.93	NA	NA
1844	NA	NA	1.45	NA	1.16	1.11	2.44	2.65	NA	NA
1845	NA	NA	1.61	NA	1.26	1.59	2.24	2.37	NA	NA
1846	NA	NA	1.47	NA	1.36	2	2.88	3.02	NA	NA
1847	NA	NA	1.94	NA	2.05	1.83	3.58	2.96	3.07	NA
1848	NA	NA	2.48	1.4	1.77	1.82	3.1	3.12	4.09	NA
1849	NA	NA	2.2	1.47	2.1	1.89	3.46	3.7	3.91	NA
1850	NA	NA	1.89	1.67	3.24	2.15	3.49	3.49	5.27	4.56
1851	NA	NA	2.29	1.78	2.94	2.04	3.45	3.51	6.05	4.85
1852	NA	NA	3.83	2.9	3.43	2.88	3.35	3.34	5.71	4.27
1853	NA	NA	5.09	2.7	3.63	2.86	2.89	2.88	5.21	4.13
1854	NA	NA	4.35	3.34	3.15	2.33	3.01	2.42	4.34	3.64
1855	NA	NA	3.04	3.14	2.52	2.13	3.4	2.6	3.83	3.45
1856	NA	NA	2.96	2.68	2.63	2.39	2.56	2.42	3.82	3.12
1857	0.92	NA	2.92	2.58	2.46	2.59	2.21	2.14	2.99	2.48
1858	1.06	NA	2.81	2.86	2.47	2.08	2.73	2.12	2.94	2.41
1859	2.83	NA	3.3	2.84	2.77	2.22	2.65	2.24	2.48	2.09
1860	2.31	2.8	2.77	1.92	2.63	2.29	2.82	2.33	2.79	2.67
1861	3.49	3.32	3.19	2.74	3.86	3.09	2.68	2.4	2.54	2.6
1862	2.95	2.56	2.89	2.36	2.23	1.85	2.39	2.26	2.52	3.09
1863	3.2	2.96	2.99	1.88	2.88	2.24	3.48	2.98	3.22	3.78
1864	2.48	2.3	2.4	1.74	2.69	1.78	3.04	2.72	3.05	3.18
1865	2.23	1.53	2.48	1.41	1.84	1.59	2.01	1.64	2.29	2.16
1866	2.65	1.85	1.98	1.91	2.06	2	2.32	2.33	2.73	2.59
1867	2.9	2.19	2.53	1.84	1.85	1.32	2.9	2.51	2.58	2.57
1868	1.54	1.51	1.89	1.42	1.99	1.19	2.43	2.56	2.21	2.33
1869	1.4	1.16	1.46	1.31	2.22	1.7	2.88	2.68	2.19	2.23
1870	1.78	2.02	1.88	1.73	3.59	2.26	3.33	2.57	2.63	2.3
1871	2.21	2.04	2.64	1.93	1.93	1.53	3.14	2.43	1.96	1.66
1872	1.29	1.04	1.62	1.16	1.8	1.07	2.82	1.6	2.16	1.52
1873	1.02	0.97	1.35	0.99	1.45	0.96	1.12	0.88	1.16	0.72
1874	1.73	1.48	1.36	1.11	1.68	1.13	1.52	0.77	1.6	1.32
1875	2.03	1.44	2.29	2.15	1.49	1.41	2.26	1.88	1.85	1.74
1876	1.89	1.49	1.91	1.46	1.18	1.04	2.18	1.46	1.39	1.32
1877	1.82	1.54	1.86	1.21	1.28	0.95	2.43	1.67	1.92	1.56
1878	1.67	1.7	2.45	1.5	1.34	1.1	2.96	1.55	1.87	1.56
1879	1.68	1.5	2.84	1.36	1.51	0.99	2.04	1.61	2.14	1.56
1880	1.43	1.69	2.2	1.6	1.2	0.96	2	1.59	1.95	1.59
1881	1.46	1.52	1.81	1	1.19	0.93	1.9	1.43	1.58	1.1
1882	1.53	1.83	2.65	1.66	1.44	1	2.86	2.05	2.39	1.46
1883	1.39	1.76	2.69	1.81	1.18	0.94	2.04	1.53	2.04	1.2
1884	1.95	2.12	2.7	2.47	1.35	1.1	2.73	2.06	2.24	1.93
1885	1.41	1.71	2.46	2.04	1.23	1.07	1.86	1.55	1.78	1.38
1886	1.51	1.81	2.47	2.78	1.15	0.85	1.77	1.46	1.54	1.46
1887	1.59	1.75	2.2	2.39	1.27	1.1	2.32	1.73	1.88	1.65
1888	1.01	1.4	1.84	2.44	0.85	0.71	2.17	1.72	1.76	1.24
1889	1.09	1.15	2.09	2.09	0.99	0.87	1.51	1.24	1.53	1.24
1890	0.63	0.78	1.33	1.05	1.24	1.12	2.37	2.16	1.84	1.84
1891	0.49	0.64	1.23	0.94	0.92	1.04	1.42	1.11	1.14	1.1
1892	0.71	0.57	1.76	1.67	1.03	0.93	1.49	1.18	1.43	1
