# Cherubini - Isone - FASY - ITRDB SWIT259
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/14095
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-14095.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit259-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit259-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit259.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit259.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Cherubini - Isone - FASY - ITRDB SWIT259
#--------------------
# Investigators
#   Investigators: Cherubini, P.(https://orcid.org/0000-0002-9809-250X)
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Isone
#   Location: Switzerland
#   Northernmost_Latitude: 46.1261
#   Southernmost_Latitude: 46.1261
#   Easternmost_Longitude: 9.0092
#   Westernmost_Longitude: 9.0092
#   Elevation_m: 1207
#--------------------
# Data_Collection
#   Collection_Name: SWIT259
#   First_Year: 1917
#   Last_Year: 1996
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Fagus sylvatica L.
#   Common_Name: European beech
#   Tree_Species_Code: FASY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## fs01a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: fs01a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## fs01b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: fs01b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## fs02b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: fs02b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## fs03b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: fs03b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## fs04a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: fs04a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## fs04b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: fs04b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## fs05a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: fs05a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## fs05b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: fs05b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## fs06a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: fs06a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## fs06b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: fs06b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## fs07a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: fs07a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## fs07b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: fs07b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## fs08a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: fs08a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## fs08b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: fs08b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## fs09a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: fs09a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## fs09b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: fs09b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## fs10a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: fs10a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## fs10b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: fs10b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	fs01a_raw	fs01b_raw	fs02b_raw	fs03b_raw	fs04a_raw	fs04b_raw	fs05a_raw	fs05b_raw	fs06a_raw	fs06b_raw	fs07a_raw	fs07b_raw	fs08a_raw	fs08b_raw	fs09a_raw	fs09b_raw	fs10a_raw	fs10b_raw
1917	NA	NA	NA	NA	NA	NA	NA	NA	3.24	NA	NA	NA	NA	NA	NA	NA	NA	NA
1918	NA	NA	NA	NA	NA	NA	NA	NA	1.94	NA	NA	NA	NA	NA	NA	NA	NA	NA
1919	NA	NA	NA	NA	NA	NA	NA	NA	2.35	NA	NA	NA	NA	NA	NA	NA	NA	NA
1920	NA	NA	NA	NA	NA	NA	NA	NA	2.87	NA	NA	1.42	NA	NA	NA	NA	NA	NA
1921	NA	NA	NA	NA	NA	NA	NA	NA	3.74	NA	NA	1.06	NA	NA	3.1	NA	NA	NA
1922	NA	NA	NA	NA	NA	NA	NA	NA	3.99	NA	NA	0.99	NA	NA	4.36	NA	2.29	NA
1923	NA	NA	NA	NA	NA	NA	NA	NA	2.89	NA	NA	1.44	NA	NA	5.13	NA	2.08	NA
1924	NA	NA	NA	NA	NA	NA	NA	NA	1.4	NA	NA	1.17	NA	NA	4.14	NA	1.5	NA
1925	NA	NA	NA	NA	NA	NA	NA	NA	2.67	NA	NA	1.26	NA	NA	4.54	NA	1.69	NA
1926	NA	NA	NA	NA	NA	NA	NA	NA	2.29	NA	NA	1.14	NA	NA	4.02	NA	1.25	NA
1927	NA	NA	NA	NA	2.48	2.05	NA	NA	2.33	3.06	NA	1.44	NA	NA	4.22	NA	1.66	NA
1928	NA	NA	NA	NA	1.51	1.32	NA	NA	2.65	2.41	NA	0.91	NA	NA	3.79	NA	1.44	NA
1929	NA	NA	NA	NA	1.52	1.12	NA	NA	2.07	1.17	NA	0.85	NA	NA	1.59	1.29	1.49	NA
1930	NA	NA	NA	NA	1.98	1.54	NA	NA	2.86	2.13	NA	0.59	NA	NA	3.08	1.24	1.32	NA
1931	NA	NA	NA	NA	2.18	1.68	NA	NA	3.74	3.3	NA	1.02	NA	NA	2.52	2.11	2.21	NA
1932	NA	NA	NA	NA	1.11	1.71	NA	NA	3.41	2.51	NA	0.96	2.81	NA	5.85	4.06	1.86	NA
1933	NA	NA	NA	NA	0.71	1.05	NA	NA	2.3	2.28	NA	0.76	1.91	NA	3.93	3.31	1.19	NA
1934	NA	NA	NA	NA	0.49	1.11	NA	NA	2.58	3.29	NA	0.72	1.39	NA	2.31	3.1	1.41	NA
1935	NA	NA	NA	NA	0.18	0.36	NA	NA	1	1.69	NA	0.34	0.68	NA	1.76	1.1	0.9	NA
1936	NA	NA	NA	NA	0.67	0.72	NA	NA	2.13	3.67	NA	0.22	1.12	NA	2.19	2.2	0.82	NA
1937	NA	NA	NA	NA	0.48	0.58	NA	0.59	2.68	3.08	NA	0.27	2.37	NA	2.65	3.37	1.64	NA
1938	NA	NA	NA	NA	0.22	0.29	NA	0.43	1.25	2.25	NA	0.17	2	NA	1.91	2.75	1.6	NA
1939	NA	NA	NA	NA	0.26	0.16	NA	0.34	1.39	2.28	NA	0.19	1.81	NA	2.39	2.62	1.28	NA
1940	NA	NA	NA	NA	0.23	0.09	NA	0.34	0.83	1.35	NA	0.25	2.43	NA	2.33	2.55	1.1	NA
1941	NA	NA	NA	NA	0.29	0.13	NA	0.58	1.59	1.88	NA	0.24	1.74	NA	2	2.34	1.55	NA
1942	NA	NA	NA	NA	0.38	0.08	NA	0.62	1.38	2.15	NA	0.23	1.78	NA	1.02	2.44	1.72	2.57
1943	NA	NA	NA	NA	2.23	1.17	NA	2.18	1.5	1.59	NA	1.96	2.81	NA	1.43	2.21	1.07	2.12
1944	4.03	3.45	NA	NA	2.62	0.78	NA	0.18	1.87	1.67	NA	2.87	4.22	NA	1.91	2.58	1.16	2.28
1945	3.17	1.63	NA	NA	0.57	0.37	NA	0.59	0.58	0.37	NA	2.68	2.54	NA	2.38	1.01	0.35	0.6
1946	2.33	1.42	NA	NA	2.2	1.51	NA	2.98	1.65	1.09	1.8	1.84	4.2	NA	2.64	2.25	0.63	2.37
1947	3.95	3.19	NA	NA	2.15	1.42	NA	2.77	2.49	2.09	2.51	2.61	4.52	NA	4.02	3.05	1.29	3.26
1948	4.1	2.78	NA	NA	2.55	1.91	NA	3.46	2.17	2.61	2.74	2.41	4.47	4.25	3.83	3.33	1.81	3.05
1949	1.07	3.28	NA	NA	1.51	1.65	NA	3.14	2.53	3.08	2.43	2.32	4.62	3.3	3.96	2.73	2.14	3.68
1950	1.49	4.33	NA	NA	1.35	1.57	1.31	4.04	3.41	3.57	2.75	2.1	3.82	3.91	2.93	3.21	2.33	3.67
1951	6.65	6.09	NA	NA	1.48	1.8	1.2	3.56	4.4	4.48	3.12	1.78	3.92	3.23	3.23	3.98	2.98	4.96
1952	3.36	4.22	NA	NA	1.45	1.14	0.77	2.58	3.96	2.8	2.56	1.55	2.66	1.56	1.21	3.2	3.46	4.45
1953	2.32	4.17	NA	NA	1.71	1.59	1.12	3.42	3.77	3.04	3.12	2.52	2.69	2.35	1.59	2.64	2.11	3.85
1954	3.6	3.72	NA	NA	1.91	2.07	2.08	3.06	3.06	2.48	3.02	2.83	2.71	2.64	1.83	2.67	2.28	3.73
1955	4.41	4.65	NA	NA	2.04	2.89	1.95	3.07	4.31	3.39	3.52	2.23	3.31	2.9	2.5	2.78	3.49	4.59
1956	4.38	4.79	NA	NA	1.55	2.75	1.35	2.12	3.16	2.29	2.4	1.29	3.27	2.87	2.53	2.1	3.05	3.78
1957	4.72	3.78	NA	NA	0.52	1.68	0.6	0.87	3.57	3.7	1.1	0.43	2.08	2.65	2.13	1.12	2.72	3.21
1958	5.36	3.83	NA	NA	0.9	2.74	2.16	1.72	4.56	3.5	2.21	0.7	2.44	4	3.77	2.47	2.61	3.5
1959	4.01	2.56	NA	5.23	1.45	2.34	2.09	1.55	3.77	3.14	2.29	0.71	2.05	3.62	3.28	2.87	2.29	3.89
1960	3.74	2.11	NA	5.55	1.8	1.83	2.28	1.79	2.91	2.34	1.92	1.31	1.7	3.05	1.64	2.41	1.37	2.37
1961	4.64	2.86	NA	5.09	2.23	1.76	2.54	2.26	3.77	3.01	2.17	2.13	1.8	3.47	1.58	2.51	2.11	3.35
1962	4.72	2.55	NA	5.05	2.35	1.87	2.83	2.78	3.57	3.93	1.86	1.24	1.71	3.72	2.44	2.92	2.52	3.71
1963	4.76	2.57	4.14	4.71	2.26	1.73	2.93	2.59	3.05	3.13	1.6	1.48	1.66	3.62	1.77	2.81	2.14	3.33
1964	5.82	3.14	5.94	5.3	2.71	1.92	3.79	3.24	3.94	3.44	2	1.88	2.15	4.68	2.72	3.58	2.5	4.51
1965	4.81	3.13	4.77	5.53	2.37	2.08	3.28	3.12	3.03	2.4	1.3	1.49	2.04	4.8	2.44	2.78	1.93	4.19
1966	4.3	3.79	7.45	3.33	2.23	2.11	2.72	2.03	2.22	1.82	2.31	2.74	2.24	4.64	2.33	2.26	2.06	3.56
1967	5.32	5.29	10.39	4.37	2.29	2.27	3.01	2.59	2.88	2.18	2.98	3.35	3.16	5.39	2.3	2.88	2.38	3.36
1968	5.04	4.6	5.16	3.46	1.99	2.46	3.16	2.49	1.69	2.09	2.13	2.13	2.39	3.86	1.29	2.55	1.94	3.09
1969	6.07	5.43	5.56	3.92	2.46	3.16	4.12	3.11	2.27	2.59	3.3	3.07	3.16	4.32	2.09	2.95	2.61	3.5
1970	5.24	5.63	5.34	4.11	2.23	2.94	4.05	2.6	2.34	2.6	3.72	2.77	3.17	3.96	1.99	2.69	2.58	3.27
1971	5.47	6.33	5.92	4.8	2.49	2.68	3.7	2.41	3.18	3.02	3.32	3.28	3.04	4.97	2.18	3.07	3.01	3.75
1972	4.69	6.13	4.81	4.47	1.71	2.05	3.83	2.03	2.67	2.63	2.48	2.09	2.2	4.17	1.97	3.11	2.53	3.2
1973	5.35	6.37	7.2	4.64	1.72	1.81	4	2.2	3.01	2.88	2.88	1.7	1.98	3.36	1.96	3.56	2.59	3.62
1974	4.02	6.08	5.29	4.61	2.08	1.98	4.52	2.33	3.05	2.88	2.92	1.78	2.21	3.02	2.53	3.46	2.98	3.97
