# Richter - Urbion Vinuesa - PISY - ITRDB SPAI050
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4265
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4265.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/spai050-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; spai050-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/spai050.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/spai050.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Richter - Urbion Vinuesa - PISY - ITRDB SPAI050
#--------------------
# Investigators
#   Investigators: Richter, K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Urbion Vinuesa
#   Location: Spain
#   Northernmost_Latitude: 42.0
#   Southernmost_Latitude: 42.0
#   Easternmost_Longitude: -2.85
#   Westernmost_Longitude: -2.85
#   Elevation_m: 1750
#--------------------
# Data_Collection
#   Collection_Name: SPAI050
#   First_Year: 1681
#   Last_Year: 1983
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus sylvestris L.
#   Common_Name: Scots pine
#   Tree_Species_Code: PISY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## E420101A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E420101A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E420101B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E420101B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E420101C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E420101C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E420102A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E420102A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E420102B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E420102B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E420103A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E420103A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E420103B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E420103B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E420104A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E420104A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	E420101A_raw	E420101B_raw	E420101C_raw	E420102A_raw	E420102B_raw	E420103A_raw	E420103B_raw	E420104A_raw
1681	NA	NA	2.13	NA	NA	NA	NA	NA
1682	NA	NA	1.64	NA	NA	NA	NA	NA
1683	NA	NA	1.69	NA	NA	NA	NA	NA
1684	NA	1.59	1.71	NA	NA	NA	NA	NA
1685	NA	1.64	1.93	NA	NA	NA	NA	NA
1686	NA	1.48	1.78	NA	NA	NA	NA	NA
1687	NA	1.12	1.43	NA	NA	NA	NA	NA
1688	NA	1.17	1.81	4.49	NA	NA	NA	NA
1689	NA	1.75	2.3	5.64	NA	NA	NA	NA
1690	NA	1.9	1.92	4.83	NA	NA	NA	NA
1691	NA	1.92	2.06	4.2	NA	NA	NA	NA
1692	NA	1.34	0.85	4.91	NA	NA	NA	NA
1693	NA	1.59	1.14	5.02	NA	NA	NA	NA
1694	NA	1.64	0.97	4.14	NA	NA	NA	NA
1695	NA	2.52	1.7	3.21	NA	NA	NA	NA
1696	NA	3.63	2.65	3.6	NA	NA	NA	NA
1697	NA	2.05	2.17	3.88	NA	NA	NA	NA
1698	NA	1.84	1.3	3.58	NA	NA	NA	NA
1699	NA	2.25	2.09	4.14	NA	NA	NA	NA
1700	NA	1.71	1.87	3.6	NA	NA	NA	NA
1701	NA	2.51	2.72	3.77	NA	NA	NA	NA
1702	NA	1.64	2.24	3.24	NA	NA	NA	NA
1703	NA	1.56	2.14	2.37	2.89	NA	NA	NA
1704	NA	1.15	1.91	2.12	2.76	NA	NA	NA
1705	NA	1.47	2.03	2.47	2.95	NA	NA	NA
1706	NA	1.22	2.2	2.17	2.95	NA	NA	NA
1707	NA	0.29	0.74	1.74	1.28	NA	NA	NA
1708	NA	0.28	1.02	1.77	1.8	NA	NA	NA
1709	NA	0.8	1.76	1.45	1.5	NA	NA	NA
1710	NA	1.23	2.01	2.64	2.08	NA	NA	NA
1711	NA	1.17	2.22	3.07	2.12	NA	NA	NA
1712	NA	1.36	2.52	3.74	2.45	NA	NA	NA
1713	NA	1.13	1.89	2.97	2.64	NA	NA	NA
1714	NA	1.21	2.34	2.88	2.41	NA	NA	NA
1715	NA	1.94	2.96	3.22	3.55	NA	NA	NA
1716	NA	1.64	2.4	2.24	1.56	NA	NA	NA
1717	NA	1.45	2.09	1.9	1.97	NA	NA	NA
1718	NA	1.92	2.39	2.82	2.25	NA	NA	NA
1719	NA	2.01	2.3	1.99	1.78	NA	NA	NA
1720	NA	1.62	1.91	2.19	2.23	NA	NA	NA
1721	NA	1.55	2.49	2.26	2.23	NA	NA	NA
1722	NA	1.63	2.2	1.86	2.12	NA	NA	NA
1723	NA	1.92	2.01	2.14	2.06	NA	NA	NA
1724	NA	1.66	1.85	1.83	1.67	NA	NA	NA
1725	NA	1.4	1.35	1.43	1.46	NA	NA	NA
1726	NA	2.28	2.09	1.89	1.9	NA	NA	NA
1727	NA	1.39	1.29	1.43	1.08	NA	NA	NA
1728	NA	1.48	1.35	1.2	1.44	NA	NA	NA
1729	NA	1.86	1.5	1.05	1.42	NA	NA	NA
1730	NA	1.82	1.25	1.91	2.07	NA	NA	NA
1731	1.72	1.76	1.69	1.68	2.18	NA	NA	NA
1732	1.65	2.03	1.63	1.63	1.96	NA	NA	NA
1733	1.37	1.65	1.34	1.29	1.73	NA	NA	NA
1734	1.69	2.48	2.45	1.64	2.34	NA	NA	NA
1735	1.9	1.55	1.27	1.2	1.72	NA	NA	NA
1736	1.85	1.95	1.53	1.26	1.51	NA	NA	NA
1737	2.69	2.64	2.24	1.46	1.98	NA	NA	NA
1738	2.51	2.41	2.24	1.06	2.09	NA	NA	NA
1739	1.89	2.27	2.16	1.16	1.79	NA	NA	NA
1740	2.08	2.16	2.3	1.26	1.36	NA	NA	NA
1741	1.58	2.16	1.95	1.18	1.47	NA	NA	NA
1742	1.71	2	2.04	1.15	1.71	NA	NA	NA
1743	1.69	1.94	2.2	1.27	1.55	NA	NA	NA
1744	1.13	1.99	1.77	0.9	0.7	NA	NA	NA
1745	1.53	1.92	1.78	0.81	1.13	NA	NA	NA
1746	1.47	1.43	1.61	0.68	1.13	NA	NA	NA
1747	1.08	1.73	1.54	1.2	1.53	NA	NA	NA
1748	1.65	2.52	1.94	1.26	1.24	NA	NA	NA
1749	1.89	2.71	2.22	1.03	1.06	NA	NA	NA
1750	1.53	1.77	1.84	1.21	1.35	NA	NA	NA
1751	1.63	1.4	1.73	0.79	0.94	NA	NA	NA
1752	1.32	1.56	1.36	0.94	1.03	NA	NA	NA
1753	1.7	1.97	1.57	1.03	1.33	NA	NA	NA
1754	1.06	1.29	1.04	0.88	1.04	NA	NA	NA
1755	1.82	2.07	2.05	0.76	0.98	NA	NA	NA
1756	1.36	2.19	1.87	0.62	0.91	NA	NA	NA
1757	1.65	2.04	2.04	0.73	0.98	NA	NA	NA
1758	1.2	1.44	1.39	0.49	0.88	NA	NA	NA
