# Bräker - Rauchgrat - PCAB - ITRDB SWIT326
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16899
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16899.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit326-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit326-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit326.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit326.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Bräker - Rauchgrat - PCAB - ITRDB SWIT326
#--------------------
# Investigators
#   Investigators: Bräker, O.U.; Zingg, A.
#--------------------
# Description_Notes_and_Keywords
#   Description: Collection purpose: 
# # Plentering
# # 
# # Slope S 50%
# # Formerly Roethenbach_Fichte_n4_1995.fh
# # 
# # References:
# # Zingg, A.; Sterba, H.; Schedl, P.,( 2007): 
# # Sensitivity of Diversity Indices to Management Effects in Forest Stands. 
# # Austrian J. For. Sci. 124, 3/4: 157-174.; NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Rauchgrat
#   Location: Switzerland
#   Northernmost_Latitude: 46.8394
#   Southernmost_Latitude: 46.8394
#   Easternmost_Longitude: 7.7631
#   Westernmost_Longitude: 7.7631
#   Elevation_m: 1060
#--------------------
# Data_Collection
#   Collection_Name: SWIT326
#   First_Year: 1867
#   Last_Year: 1995
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## RB52059G_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RB52059G; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RB52059P_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RB52059P; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RB64559G_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RB64559G; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RB64559P_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RB64559P; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	RB52059G_raw	RB52059P_raw	RB64559G_raw	RB64559P_raw
1867	2.82	2.18	NA	NA
1868	6.2	8.23	NA	NA
1869	4.62	4.47	NA	NA
1870	4.26	3.25	NA	NA
1871	5.65	4.47	NA	NA
1872	4.74	4.23	NA	NA
1873	5.68	4.49	NA	NA
1874	4.4	3.56	NA	NA
1875	2.98	2.46	NA	NA
1876	3.4	3	NA	NA
1877	4.11	3.78	NA	NA
1878	4.96	4.46	NA	NA
1879	4.01	3.79	NA	NA
1880	4.66	4.15	NA	NA
1881	4.28	3.69	NA	NA
1882	4	3.87	NA	NA
1883	4.22	3.82	NA	NA
1884	4.44	3.56	NA	NA
1885	4	3.31	NA	NA
1886	3.67	3.37	1.66	2.37
1887	3.13	3.26	2.09	2.14
1888	3.59	3.78	2.83	3.2
1889	3.41	3.68	2.46	2.91
1890	3.17	3.53	2.64	2.9
1891	2.83	3.12	2.3	2.52
1892	2.41	3.46	1.86	2.23
1893	2.26	3.37	1.51	1.95
1894	2.28	2.88	1.98	1.89
1895	2.45	3.25	2.26	2.75
1896	2.11	2.68	1.22	1.88
1897	2.52	3.12	2.32	2.99
1898	2.32	3.35	2.19	2.23
1899	2.23	2.9	1.47	2.03
1900	1.95	2.6	2.11	2.45
1901	2.16	2.65	3.17	3.19
1902	1.6	1.84	2.96	2.99
1903	1.87	2.17	3.86	4.05
1904	2.07	2.8	3.19	3.42
1905	1.99	2.81	2.92	3.34
1906	2.04	2.58	3.51	3.45
1907	1.88	2.38	2.92	2.45
1908	1.88	2.53	2.97	3.04
1909	1.81	2.24	3.03	2.94
1910	2.21	2.5	2.61	2.81
1911	1.81	2.07	2.46	2.73
1912	1.93	1.76	2.56	2.64
1913	1.65	1.57	2.74	3.09
1914	1.6	1.6	2.73	3.55
1915	1.57	1.54	3.38	3.54
1916	1.47	1.53	2.54	3.35
1917	1.65	1.39	1.85	2.88
1918	1.53	1.38	2.2	2.82
1919	1.15	1.22	1.69	2.57
1920	0.87	0.93	1.96	2.45
1921	1.08	0.92	1.93	2.66
1922	0.74	0.52	1.71	2.97
1923	1.24	1.04	2.29	3.41
1924	1.1	0.87	2	2.9
1925	1.32	0.82	2.54	3.21
1926	1.37	0.77	2.51	3.42
1927	1.67	0.71	2.67	3.94
1928	1.33	0.94	1.91	3.29
1929	1.01	0.73	1.81	2.76
1930	1.78	1.09	2.54	3.6
1931	1.5	1.1	1.96	3.34
1932	1.21	1.22	1.73	2.2
1933	1.21	1.48	1.99	3.1
1934	1.12	1.53	1.82	2.94
1935	0.98	1.43	1.95	2.62
1936	0.82	1.26	1.64	1.71
1937	1.15	1.4	2.56	2.75
1938	0.82	1.21	1.98	2.26
1939	0.96	1.27	2.75	2.67
1940	0.87	1.03	2.52	2.42
1941	0.83	0.87	1.93	1.95
1942	0.78	0.98	2.51	1.81
1943	1.18	1.46	2.31	2.08
1944	1.17	1.69	2.18	2.02
1945	1.3	1.32	2.05	1.93
1946	1.06	1.21	2.1	1.4
1947	1.17	1.42	2.35	2.03
1948	0.75	0.73	1.27	0.99
1949	0.91	0.89	1.44	1.05
1950	0.9	0.76	1.88	1.36
1951	1.22	0.97	1.85	0.73
1952	1.24	1.26	2.22	1.22
1953	1	1.35	1.77	1.88
1954	1.08	1.37	1.71	1.47
1955	1.29	1.54	2.32	2.11
1956	1.03	1.2	2.04	2
1957	1.23	1.27	1.81	1.7
1958	1.09	1.42	2.04	1.6
1959	1.35	1.7	2.36	1.96
1960	1.19	1.19	1.71	2
1961	1.36	1.29	2.28	2.03
1962	1.57	1.45	2.15	1.5
1963	1.49	1.32	1.9	1.38
1964	1.63	1.54	2.1	1.28
1965	1.71	1.49	2.11	1.34
1966	1.73	1.62	2.38	1.17
1967	1.78	1.7	2.55	1.34
1968	1.71	1.59	2.16	1.31
1969	2.31	2.1	2.93	1.91
1970	1.8	1.93	2.48	1.48
1971	1.8	1.72	3.05	2.02
1972	1.84	1.97	2.39	1.7
1973	1.76	1.6	2.35	1.34
1974	1.56	1.55	2.13	1.43
1975	1.68	1.73	2.29	1.87
1976	1.34	1.3	1.93	1.35
1977	1.73	1.75	1.63	1.28
1978	1.67	1.73	1.6	1.64
1979	1.82	1.77	2.08	2.49
1980	1.67	1.34	1.92	2.44
1981	1.56	1.46	2.1	2.53
1982	1.84	1.23	2.82	3.2
1983	1.63	1.31	2.45	2.55
1984	1.51	1.06	2.15	1.9
1985	1.74	1.07	1.92	1.78
