# Meijer - Lac Miroir - PICE - ITRDB FRAN035
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3923
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3923.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fran035-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; fran035-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fran035.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/fran035.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-05-22
#--------------------
# File_Last_Modified_Date
#   Date: 2002-05-22
#--------------------
# Title
#   Study_Name: Meijer - Lac Miroir - PICE - ITRDB FRAN035
#--------------------
# Investigators
#   Investigators: Meijer, F.; Wils, T.H.G.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Lac Miroir
#   Location: France
#   Northernmost_Latitude: 44.63
#   Southernmost_Latitude: 44.63
#   Easternmost_Longitude: 6.78
#   Westernmost_Longitude: 6.78
#   Elevation_m: 2300
#--------------------
# Data_Collection
#   Collection_Name: FRAN035
#   First_Year: 1560
#   Last_Year: 2000
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus cembra L.
#   Common_Name: Swiss stone pine
#   Tree_Species_Code: PICE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## RGM01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RGM01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RGM05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RGM05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RGM08A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RGM08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RGM09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RGM09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RGM10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RGM10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RGM12A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RGM12A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RGM13A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RGM13A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RGM15A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RGM15A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RGM16A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RGM16A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RGM17A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RGM17A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RGM19A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RGM19A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	RGM01A_raw	RGM05A_raw	RGM08A_raw	RGM09A_raw	RGM10A_raw	RGM12A_raw	RGM13A_raw	RGM15A_raw	RGM16A_raw	RGM17A_raw	RGM19A_raw
1564	NA	NA	1.91	NA	NA	NA	NA	NA	NA	NA	NA
1565	NA	NA	1.56	NA	NA	NA	NA	NA	NA	NA	NA
1566	NA	NA	2.04	NA	NA	NA	NA	NA	NA	NA	NA
1567	NA	NA	2.17	NA	NA	NA	NA	NA	NA	NA	NA
1568	NA	NA	2.4	NA	NA	NA	NA	NA	NA	NA	NA
1569	NA	NA	2.03	NA	NA	NA	NA	NA	NA	NA	NA
1570	NA	NA	1.86	NA	NA	NA	NA	NA	NA	NA	NA
1571	NA	NA	1.69	NA	NA	NA	NA	NA	NA	NA	NA
1572	NA	NA	1.72	NA	NA	NA	NA	NA	NA	NA	NA
1573	NA	NA	1.81	NA	NA	NA	NA	NA	NA	NA	NA
1574	NA	NA	2.1	NA	NA	NA	NA	NA	NA	NA	NA
1575	NA	NA	2.3	NA	NA	NA	NA	NA	NA	NA	NA
1576	NA	NA	2.35	NA	NA	NA	NA	NA	NA	NA	NA
1577	NA	NA	1.89	NA	NA	NA	NA	NA	NA	NA	NA
1578	NA	NA	1.7	NA	NA	NA	NA	NA	NA	NA	NA
1579	NA	NA	1.99	NA	NA	NA	NA	NA	NA	NA	NA
1580	NA	NA	1.63	NA	NA	NA	NA	NA	NA	NA	NA
1581	NA	NA	1.83	NA	NA	NA	NA	NA	NA	NA	NA
1582	NA	NA	1.82	NA	NA	NA	NA	NA	NA	NA	NA
1583	NA	NA	1.52	NA	NA	NA	NA	NA	NA	NA	NA
1584	NA	NA	1.79	NA	NA	NA	NA	NA	NA	NA	NA
1585	NA	NA	2.3	NA	NA	NA	NA	NA	NA	NA	NA
1586	NA	NA	2.08	NA	NA	NA	NA	NA	NA	NA	NA
1587	NA	NA	2.19	NA	NA	NA	NA	NA	NA	NA	NA
1588	NA	NA	2.35	NA	NA	NA	NA	NA	NA	NA	NA
1589	NA	NA	2.38	NA	NA	NA	NA	NA	NA	NA	NA
1590	1.8	NA	2.37	NA	NA	NA	NA	NA	NA	NA	NA
1591	1.8	NA	1.73	NA	NA	NA	NA	NA	NA	NA	NA
1592	1.31	NA	1.57	NA	NA	NA	NA	NA	NA	0.83	NA
1593	1.61	NA	1.25	NA	NA	NA	NA	NA	NA	1.19	NA
1594	1.67	NA	1.99	NA	NA	NA	NA	NA	NA	1.34	NA
1595	1.32	NA	1.63	NA	NA	NA	NA	NA	NA	1.09	NA
1596	1.42	NA	1.96	NA	NA	NA	NA	NA	NA	1.06	NA
1597	0.85	NA	2	NA	NA	NA	NA	NA	NA	1	NA
1598	1.13	NA	1.65	NA	NA	NA	NA	NA	NA	0.73	NA
1599	0.75	NA	1.86	NA	NA	NA	NA	NA	NA	0.82	NA
1600	0.47	NA	1.86	NA	NA	NA	NA	NA	NA	0.79	NA
1601	0.72	NA	1.51	NA	NA	NA	NA	NA	NA	0.71	NA
1602	0.99	NA	1.43	NA	NA	NA	NA	NA	NA	0.71	NA
1603	0.76	NA	1.84	NA	NA	NA	NA	NA	NA	0.65	NA
1604	0.98	NA	1.83	NA	NA	NA	NA	NA	NA	1.06	NA
1605	0.89	NA	1.16	NA	NA	NA	NA	NA	NA	1.1	NA
1606	0.57	NA	1.1	NA	NA	NA	NA	NA	NA	1.1	NA
1607	1.05	NA	1.31	NA	NA	NA	NA	NA	NA	1.42	NA
1608	0.97	NA	1.15	NA	NA	NA	NA	NA	NA	1.17	NA
1609	0.99	NA	1.14	NA	NA	NA	NA	NA	NA	0.98	NA
1610	1.1	NA	1	NA	NA	NA	NA	NA	NA	0.94	NA
1611	0.95	NA	0.93	NA	NA	NA	NA	NA	NA	0.98	NA
1612	0.99	NA	1.07	NA	NA	1.98	NA	NA	NA	1.26	NA
1613	0.73	NA	0.89	NA	NA	1.82	NA	NA	NA	1.1	NA
1614	0.49	NA	1.25	NA	NA	1.14	NA	NA	NA	1.2	NA
1615	1.15	NA	1.09	NA	NA	1.04	NA	NA	NA	1.04	NA
1616	1.51	NA	1.13	NA	NA	1.08	NA	NA	NA	0.95	NA
1617	0.84	NA	1.51	NA	NA	1.22	NA	NA	NA	0.97	NA
1618	0.85	NA	1.01	NA	NA	1.09	NA	NA	NA	0.87	NA
1619	0.96	NA	0.92	NA	NA	1.13	NA	NA	NA	0.85	NA
1620	0.92	NA	1.49	NA	NA	1.45	NA	NA	NA	0.87	NA
1621	0.73	NA	0.77	NA	NA	1.4	NA	NA	NA	0.69	NA
1622	0.83	NA	1.16	0.74	NA	1.41	NA	NA	NA	0.74	NA
1623	0.94	NA	1.31	0.68	NA	1.52	NA	NA	NA	0.75	NA
1624	0.66	NA	1.09	0.72	NA	1.45	NA	NA	NA	0.86	NA
1625	0.92	NA	1.06	0.81	NA	1.79	NA	NA	NA	0.76	NA
1626	1.03	NA	1.11	0.8	NA	1.91	NA	NA	NA	0.83	NA
1627	1.15	NA	1.11	0.8	NA	1.86	NA	NA	NA	1.11	NA
1628	1.09	NA	0.89	0.66	NA	1.25	NA	NA	NA	0.85	NA
1629	0.69	NA	0.73	1.43	NA	1.24	NA	NA	NA	0.91	NA
1630	0.5	NA	0.9	0.68	NA	1.56	NA	NA	NA	1.22	NA
1631	1.57	NA	0.74	0.69	NA	1.83	NA	NA	NA	1.23	NA
1632	0.72	NA	1.16	0.55	NA	1.72	NA	NA	NA	1.59	NA
1633	0.83	NA	1.39	0.51	NA	1.68	NA	NA	NA	1.75	NA
