# Richter - Gudar Pradillo - PISY - ITRDB SPAI040
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4256
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4256.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/spai040-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; spai040-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/spai040.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/spai040.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Richter - Gudar Pradillo - PISY - ITRDB SPAI040
#--------------------
# Investigators
#   Investigators: Richter, K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Gudar Pradillo
#   Location: Spain
#   Northernmost_Latitude: 40.3
#   Southernmost_Latitude: 40.3
#   Easternmost_Longitude: -0.68
#   Westernmost_Longitude: -0.68
#   Elevation_m: 1650
#--------------------
# Data_Collection
#   Collection_Name: SPAI040
#   First_Year: 1859
#   Last_Year: 1985
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus sylvestris L.
#   Common_Name: Scots pine
#   Tree_Species_Code: PISY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## E440301A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E440301A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E440301B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E440301B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E440302A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E440302A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E440302B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E440302B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E440303A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E440303A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E440303B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E440303B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E440304A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E440304A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E440304B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E440304B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E440305A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E440305A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E440305B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E440305B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	E440301A_raw	E440301B_raw	E440302A_raw	E440302B_raw	E440303A_raw	E440303B_raw	E440304A_raw	E440304B_raw	E440305A_raw	E440305B_raw
1859	NA	NA	NA	NA	NA	NA	NA	NA	2	NA
1860	NA	NA	NA	NA	NA	NA	NA	NA	2.13	NA
1861	NA	NA	NA	NA	NA	NA	NA	NA	1.86	NA
1862	NA	NA	NA	NA	NA	NA	NA	NA	2.57	NA
1863	NA	NA	NA	NA	NA	NA	NA	NA	3.22	NA
1864	NA	NA	NA	NA	NA	NA	NA	NA	3.63	NA
1865	1.97	NA	NA	NA	NA	NA	NA	NA	3.85	NA
1866	1.97	NA	NA	NA	NA	NA	NA	NA	3.04	NA
1867	1.67	NA	NA	NA	NA	NA	NA	NA	1.69	NA
1868	1.69	NA	NA	NA	NA	NA	NA	NA	1.73	NA
1869	1.8	NA	NA	NA	NA	NA	NA	NA	1.29	NA
1870	2.04	NA	NA	NA	NA	NA	NA	NA	1.09	NA
1871	2.28	3.05	NA	NA	NA	NA	NA	NA	1.29	NA
1872	2.37	2.63	NA	NA	NA	NA	NA	NA	1.19	NA
1873	1.97	2.39	NA	NA	NA	NA	NA	NA	1.11	NA
1874	1.76	2.42	NA	NA	NA	NA	NA	NA	1	NA
1875	2.35	2.86	NA	1.19	NA	NA	NA	NA	0.99	NA
1876	2.06	2.41	4.06	2.18	NA	NA	NA	NA	0.75	NA
1877	1.96	2.58	2.83	3.45	NA	NA	NA	NA	0.79	NA
1878	1.92	2.83	3.7	3.33	NA	NA	NA	NA	1.44	NA
1879	0.74	1.24	1.25	1.84	NA	NA	NA	NA	0.54	NA
1880	1.14	1.6	2.16	3.36	NA	NA	NA	NA	0.87	NA
1881	0.76	0.88	1.17	1.65	NA	NA	NA	NA	0.38	NA
1882	1.12	1.41	1.83	2.71	NA	NA	NA	NA	0.71	NA
1883	1.39	1.64	2.41	2.82	NA	NA	NA	NA	1.05	NA
1884	1.43	2.09	2.44	3.22	NA	NA	NA	NA	1.23	NA
1885	1.51	2.03	2.36	2.88	NA	NA	NA	NA	1.36	NA
1886	1.27	1.95	2.87	3.71	NA	NA	NA	NA	1.38	2.24
1887	1.43	1.82	2.85	3.25	NA	NA	NA	NA	1.54	1.48
1888	1.93	1.83	2.15	2.64	NA	NA	NA	NA	1.94	1.67
1889	1.23	1.18	2.22	1.95	NA	NA	NA	NA	1.4	1.49
1890	0.98	1.19	1.66	1.66	NA	NA	0.17	NA	0.99	1.73
1891	1.01	1.04	1.59	1.85	NA	NA	0.33	NA	1.34	1.54
1892	1.09	1.31	2.24	2.52	NA	NA	0.3	NA	1.28	1.21
1893	1.23	1.29	3.1	2.73	NA	NA	0.4	NA	1.26	1.29
1894	1.58	1.55	2.82	3.13	NA	NA	0.29	NA	1	1.28
1895	1.44	1.37	2.72	2.92	NA	NA	0.22	NA	0.78	1.03
1896	1.2	1.23	2.72	2.44	NA	NA	0.15	NA	0.63	1.32
1897	1.26	1.22	2.44	2.53	2.36	2.05	0.19	NA	0.72	1.68
1898	0.82	0.93	1.75	1.46	2.67	1.5	0.46	NA	0.51	1.09
1899	1.11	1.31	3.14	2.4	3.53	2.8	1.52	NA	0.6	0.96
1900	1.24	1.24	2.52	1.79	2.7	2	1.96	NA	0.72	0.71
1901	2.1	1.68	2.49	1.53	3.47	3.69	1.25	1.87	0.84	1.19
1902	1.45	1.67	2.68	2.11	2.8	2.46	0.91	2.01	0.91	1.22
1903	1.57	1.92	2.94	2.01	3.1	3.25	1.6	2.34	1.16	1.39
1904	1.57	1.82	2.44	1.4	2.39	2.32	1.32	1.77	0.85	1.23
1905	1.41	1.41	2.67	1.55	2.45	2.29	1.24	1.77	0.79	1.34
1906	1.86	1.38	2.33	1.78	3.76	2.18	1.44	1.81	1.21	1.41
1907	1.42	1.53	1.64	1.03	3.39	2.43	1.2	1.69	1.06	1.04
1908	1.61	1.89	2.17	1.71	3.9	1.73	1.54	1.66	1.05	1.33
1909	1.56	1.4	2.29	1.64	3.02	1.84	1.51	1.99	0.82	0.94
1910	1.46	1.45	1.69	1.22	2.24	1.27	1.55	1.98	0.7	0.96
1911	1.64	1.61	2.41	1.45	2.59	1.18	1.83	2.39	0.85	1.19
1912	1.16	1.27	2	1.52	2.12	1.41	1.8	1.98	0.63	1.02
1913	1.61	1.17	2.3	1.33	2.37	1.35	1.31	1.38	0.63	1.08
1914	1.54	1.46	2.69	1.93	2.27	1.49	1.56	1.91	0.55	1.26
1915	1.12	1.48	2.03	1.29	2.63	1.15	1.35	1.67	0.66	1.34
1916	0.92	1.28	1.6	0.82	1.62	1.01	1.28	1.36	0.64	1.26
1917	1.63	1.33	2.42	1.31	1.94	1.18	1.49	1.47	0.76	1.43
1918	1.03	1.23	1.27	0.8	1.59	1.18	1.08	1.26	0.53	1.24
1919	1.36	1.58	1.84	0.86	2.05	1.17	1.88	2.19	0.64	1.76
1920	1.14	1.36	2.17	0.89	2.29	1.32	1.44	1.58	0.71	1.42
1921	1.43	1.13	1.78	0.99	1.97	1.27	1.66	1.35	0.66	1.32
1922	1.54	1.45	1.98	0.88	2.4	1.15	2.05	1.51	1.12	1.76
1923	1.96	1.51	2.5	1.45	2.29	1.8	1.85	2.13	1.21	1.83
1924	1.35	0.94	1.38	1.09	1.62	0.82	1.26	1.01	0.98	1.01
1925	1.53	1.06	1.76	1.32	1.52	1.62	1.78	1.47	1.2	1.02
1926	1.69	1.29	1.96	1.25	1.84	1.36	1.47	1.26	0.97	0.95
1927	1.69	1.53	2.34	1.31	2.26	1.67	1.89	1.85	1.24	1.24
1928	1.49	1.12	2.03	1.71	1.87	1.49	1.9	1.79	0.88	0.97
1929	1.71	1.25	2.32	1.88	2.06	1.36	1.98	1.84	1.41	0.99
1930	1.79	1.87	2.86	1.76	1.49	1.17	1.9	1.67	1.32	1.2
1931	1.45	1.29	1.38	0.92	0.66	0.54	0.87	0.99	0.64	0.54
1932	1.76	1.47	1.87	1.55	1.45	1.11	1.71	1.35	1.25	1.19
1933	1.94	1.43	1.86	1.05	1.7	1.1	1.49	1.6	1.25	1.07
1934	1.52	1.28	1.49	0.81	1.25	1.01	1.4	1.41	1.4	1.14
1935	2.18	1.76	1.9	1.06	1.75	1.31	1.79	1.76	1.55	1.2
1936	2.28	1.93	2.2	1.09	2.01	1.47	1.64	1.79	1.17	1.61
1937	2.11	1.8	2.53	0.87	2.37	1.65	1.78	1.85	1.1	1.58
1938	1.68	1.88	2.76	1.21	1.83	1.06	1.9	1.59	0.93	1.36
