# Morgan - Castle Howard - QUSP - ITRDB BRIT11
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4034
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4034.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit11-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit11-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit11.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit11.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 1996-05-08
#--------------------
# File_Last_Modified_Date
#   Date: 1996-05-08
#--------------------
# Title
#   Study_Name: Morgan - Castle Howard - QUSP - ITRDB BRIT11
#--------------------
# Investigators
#   Investigators: Morgan, R.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Castle Howard
#   Location: United Kingdom
#   Northernmost_Latitude: 54.12
#   Southernmost_Latitude: 54.12
#   Easternmost_Longitude: -0.92
#   Westernmost_Longitude: -0.92
#   Elevation_m: 213
#--------------------
# Data_Collection
#   Collection_Name: BRIT11
#   First_Year: 1708
#   Last_Year: 1973
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## CHO011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CHO011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CHO031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CHO031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CHO041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CHO041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CHO051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CHO051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CHO061_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CHO061; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CHO071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CHO071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CHO081_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CHO081; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CHO091_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CHO091; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HOWSHA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HOWSHA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	CHO011_raw	CHO031_raw	CHO041_raw	CHO051_raw	CHO061_raw	CHO071_raw	CHO081_raw	CHO091_raw	HOWSHA_raw
1708	NA	NA	NA	NA	NA	NA	NA	0.35	NA
1709	NA	NA	NA	NA	NA	NA	NA	0.28	NA
1710	NA	NA	NA	NA	NA	NA	NA	0.18	NA
1711	NA	NA	NA	NA	NA	NA	NA	0.2	NA
1712	NA	NA	NA	NA	NA	NA	NA	0.09	NA
1713	NA	NA	NA	NA	NA	NA	NA	0.19	NA
1714	NA	NA	NA	NA	NA	NA	NA	0.14	NA
1715	NA	NA	NA	NA	NA	NA	NA	0.15	NA
1716	NA	NA	NA	NA	NA	NA	NA	0.14	NA
1717	NA	NA	NA	NA	NA	NA	NA	0.14	NA
1718	NA	NA	NA	NA	NA	NA	NA	0.11	NA
1719	NA	NA	NA	NA	NA	NA	NA	0.09	NA
1720	NA	NA	NA	NA	NA	NA	NA	0.06	NA
1721	NA	NA	NA	NA	NA	NA	NA	0.15	NA
1722	NA	NA	NA	NA	NA	NA	NA	0.08	NA
1723	NA	NA	NA	NA	NA	NA	NA	0.14	NA
1724	NA	NA	NA	NA	NA	NA	NA	0.11	NA
1725	NA	NA	NA	NA	NA	NA	NA	0.16	NA
1726	NA	NA	NA	NA	NA	NA	NA	0.17	NA
1727	NA	NA	NA	NA	NA	NA	NA	0.17	NA
1728	NA	NA	NA	NA	NA	NA	NA	0.13	NA
1729	NA	NA	NA	NA	NA	NA	NA	0.17	NA
1730	NA	NA	NA	NA	NA	NA	NA	0.17	NA
1731	NA	NA	NA	NA	NA	NA	NA	0.2	NA
1732	NA	NA	NA	NA	NA	NA	NA	0.1	NA
1733	NA	NA	NA	NA	NA	NA	NA	0.12	NA
1734	NA	NA	NA	NA	0.13	NA	NA	0.15	NA
1735	NA	NA	NA	NA	0.11	NA	NA	0.16	NA
1736	NA	NA	NA	NA	0.07	NA	NA	0.22	NA
1737	NA	NA	NA	NA	0.07	NA	NA	0.18	NA
1738	NA	NA	NA	NA	0.08	NA	NA	0.22	NA
1739	NA	NA	NA	NA	0.13	NA	NA	0.26	NA
1740	NA	NA	NA	NA	0.15	NA	NA	0.17	NA
1741	NA	NA	NA	NA	0.08	NA	NA	0.1	NA
1742	NA	NA	NA	NA	0.08	NA	NA	0.09	NA
1743	NA	NA	NA	NA	0.07	NA	NA	0.13	NA
1744	NA	NA	NA	NA	0.1	NA	NA	0.12	NA
1745	NA	NA	NA	NA	0.1	NA	NA	0.12	NA
1746	NA	NA	NA	NA	0.07	NA	NA	0.15	NA
1747	NA	NA	NA	NA	0.15	NA	NA	0.17	NA
1748	NA	NA	NA	NA	0.1	NA	NA	0.14	NA
1749	NA	NA	NA	NA	0.13	NA	NA	0.16	NA
1750	NA	NA	NA	NA	0.14	NA	NA	0.17	NA
1751	NA	NA	NA	NA	0.11	NA	NA	0.2	NA
1752	NA	NA	NA	NA	0.17	NA	NA	0.21	NA
1753	NA	NA	NA	NA	0.13	NA	NA	0.23	NA
1754	NA	NA	NA	NA	0.2	NA	NA	0.18	NA
1755	NA	NA	NA	NA	0.12	NA	NA	0.24	NA
1756	NA	NA	NA	NA	0.12	NA	NA	0.28	NA
1757	NA	NA	NA	NA	0.06	NA	NA	0.25	NA
1758	NA	NA	NA	NA	0.05	NA	NA	0.26	NA
1759	NA	NA	NA	NA	0.08	NA	NA	0.21	NA
1760	NA	NA	NA	0.4	0.1	NA	NA	0.27	NA
1761	NA	NA	NA	0.65	0.13	NA	NA	0.22	NA
1762	NA	NA	NA	0.3	0.23	NA	NA	0.15	NA
1763	NA	NA	NA	0.3	0.12	NA	NA	0.19	NA
1764	NA	NA	NA	0.21	0.15	NA	NA	0.22	NA
1765	NA	NA	NA	0.14	0.12	NA	NA	0.19	NA
1766	NA	NA	NA	0.22	0.1	NA	NA	0.17	NA
1767	NA	NA	NA	0.19	0.12	NA	NA	0.16	NA
1768	NA	NA	NA	0.18	0.07	NA	NA	0.19	NA
1769	NA	NA	NA	0.19	0.08	0.31	NA	0.14	NA
1770	NA	NA	NA	0.23	0.05	0.33	NA	0.16	NA
1771	NA	NA	NA	0.19	0.09	0.31	NA	0.12	NA
1772	NA	NA	NA	0.35	0.1	0.35	NA	0.13	NA
1773	NA	NA	NA	0.36	0.13	0.27	NA	0.12	NA
1774	NA	NA	NA	0.29	0.12	0.34	0.12	0.14	NA
1775	NA	NA	NA	0.22	0.12	0.31	0.13	0.1	NA
1776	NA	NA	0.23	0.22	0.1	0.31	0.12	0.11	NA
1777	NA	NA	0.29	0.18	0.12	0.18	0.15	0.1	NA
1778	NA	NA	0.2	0.2	0.15	0.16	0.17	0.1	NA
1779	NA	NA	0.19	0.24	0.17	0.35	0.15	0.15	NA
1780	NA	NA	0.21	0.17	0.22	0.12	0.19	0.09	NA
1781	NA	NA	0.18	0.17	0.12	0.13	0.2	0.11	NA
1782	NA	NA	0.22	0.18	0.12	0.22	0.15	0.09	NA
1783	NA	NA	0.17	0.24	0.2	0.22	0.16	0.12	NA
