# Baillie - Caledon Demesne - QUSP - ITRDB BRIT043
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2670
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2670.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit043-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit043-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit043.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit043.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Baillie - Caledon Demesne - QUSP - ITRDB BRIT043
#--------------------
# Investigators
#   Investigators: Baillie, M.G.L.; Brown, D.M.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Caledon Demesne
#   Location: United Kingdom
#   Northernmost_Latitude: 54.35
#   Southernmost_Latitude: 54.35
#   Easternmost_Longitude: -6.85
#   Westernmost_Longitude: -6.85
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: BRIT043
#   First_Year: 1864
#   Last_Year: 1994
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## Q8967M_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q8967M; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 8968_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 8968; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 8969_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 8969; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 8970_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 8970; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 8971_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 8971; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 8972_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 8972; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 8973_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 8973; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 8974_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 8974; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 8977_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 8977; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 8979_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 8979; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 8980_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 8980; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	Q8967M_raw	Q 8968_raw	Q 8969_raw	Q 8970_raw	Q 8971_raw	Q 8972_raw	Q 8973_raw	Q 8974_raw	Q 8977_raw	Q 8979_raw	Q 8980_raw
1864	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.44
1865	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.79	2.26
1866	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.78	2.11
1867	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.25	1.17
1868	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.87	1.61
1869	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.49	0.95
1870	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.43	2.51
1871	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.62	3.05
1872	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.3	2.77
1873	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.81	3.03
1874	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.98	2.83
1875	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.66	3.3
1876	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.22	2.91
1877	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.82	2.29
1878	NA	NA	1.74	NA	NA	NA	NA	NA	NA	2.59	2.76
1879	NA	NA	1.61	NA	NA	NA	NA	NA	NA	1.9	1.71
1880	NA	NA	1.99	NA	NA	NA	NA	NA	NA	1.95	2
1881	NA	NA	1.61	NA	NA	NA	NA	NA	NA	2.26	1.86
1882	NA	NA	1.86	1.39	NA	NA	NA	NA	NA	2.33	1.87
1883	NA	NA	1.47	1.83	NA	NA	NA	NA	NA	1.63	1.93
1884	1.1	NA	1.65	1.96	NA	NA	NA	NA	NA	2.06	2.06
1885	1.41	1.89	1.3	1.56	1.47	NA	NA	NA	NA	1.38	1.16
1886	2.31	2.02	2.26	1.98	1.87	NA	NA	NA	NA	1.66	1.57
1887	2.46	2	2.48	1.88	1.9	NA	NA	NA	NA	1.08	1.46
1888	2.62	2.09	2.18	2.5	2.45	NA	NA	NA	NA	1	1.62
1889	2.43	1.69	2.02	2.09	2.87	NA	NA	NA	NA	1.18	1.87
1890	2.9	1.94	2.21	2.51	2.96	NA	NA	NA	NA	1.39	2.21
1891	2.44	2.44	2.15	1.97	2.66	NA	NA	NA	NA	1.02	1.83
1892	2.52	2.11	1.95	1.94	2.85	NA	0.98	NA	NA	1.51	2.07
1893	2.47	2.32	2.48	1.8	2.9	NA	2.08	0.98	NA	1.89	2.63
1894	1.88	2.37	1.9	1.19	2.14	NA	1.6	1.13	NA	1.26	1.42
1895	1.61	1.91	1.88	1.19	1.89	NA	1.13	1.06	NA	2.7	2.28
1896	1.91	2	2.11	1.79	2.09	NA	1.38	1.93	1	3.06	2.55
1897	1.94	2.19	2.29	2.11	2.35	NA	1.63	1.7	0.76	2.67	2.37
1898	1.24	1.22	1.91	1.33	1.73	NA	1.23	1.39	0.64	1.88	2.03
1899	1.92	2.14	2.54	1.79	2.37	NA	1.39	1.58	1.51	2.36	2.05
1900	1.92	1.81	2.34	2.19	2.68	NA	1.78	1.21	1.49	2.64	2.13
1901	1.66	1.37	2.07	1.55	2.26	NA	1.83	1.33	2.15	2.18	1.76
1902	1.59	1.69	2.05	1.39	2.12	NA	1.56	1.22	1.67	1.99	1.92
1903	1.86	1.65	1.57	1.63	2.18	1.04	1.72	1.38	1.7	2.53	2.15
1904	2.05	1.76	1.67	1.55	2.28	0.75	1.77	1.65	1.47	2.97	2.24
1905	1.93	1.82	1.71	1.57	2.13	1.25	2.09	1.7	1.43	2.49	1.85
1906	2.25	1.76	1.76	1.74	2.11	1.8	2	1.51	1.56	2.33	1.95
1907	2.06	1.38	1.38	1.19	1.9	1.14	1.94	1.5	1.96	1.68	1.01
1908	1.74	1.14	1.42	1.17	1.8	1.25	1.56	1.53	1.78	1.67	0.76
1909	1.99	1.42	1.38	1.23	1.85	1.19	1.92	1.45	2.32	1.54	0.58
1910	2.3	1.89	1.71	1.05	2.29	1.04	1.48	1.55	2.03	1.9	0.69
1911	1.97	1.58	1.58	1.03	1.85	1	1.58	1.43	1.94	2.03	0.76
1912	1.98	2.48	1.29	0.93	2.03	0.93	1.4	1.39	2.22	1.76	0.55
1913	2.25	2.39	1.7	1	2.31	1.16	1.27	1.54	1.69	1.65	1.05
1914	2.28	1.64	1.88	0.68	2.28	1.55	1.4	1.09	1.09	1.88	1.23
1915	2.11	2	1.7	0.68	2.51	1.54	1.17	0.84	1.23	1.17	0.74
1916	1.99	1.61	1.89	0.94	2.13	1.67	1.29	1.03	1.56	1.12	0.9
1917	2.33	1.79	1.73	0.9	2.32	2.11	1.46	0.95	1.37	1.15	0.72
1918	2	1.48	1.45	0.64	1.87	1.61	0.76	0.59	0.59	1.02	0.52
1919	2.3	1.72	1.45	0.83	1.72	1.72	0.95	0.79	0.9	0.99	0.83
1920	2	1.76	1.32	0.7	1.41	1.33	0.82	0.94	0.8	1.12	0.97
1921	1.83	1.44	1.56	0.83	1.87	1.67	0.82	1.14	0.86	1.13	0.82
1922	1.62	1.58	1.39	0.8	1.82	1.59	0.54	0.83	0.72	0.72	0.65
1923	1.37	1.24	1.15	0.66	1.92	1.99	0.54	0.88	0.67	0.57	0.64
1924	1.94	1.31	1.56	0.67	1.79	1.91	0.66	0.66	0.72	0.73	0.83
1925	1.85	1.11	1.29	0.64	1.44	1.47	0.53	0.54	0.52	0.51	0.78
1926	1.78	0.98	1.3	0.68	1.52	1.43	0.55	0.64	0.68	0.47	0.71
