# Richter - Cuenca Las Majadas - PISY - ITRDB SPAI030
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4242
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4242.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/spai030-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; spai030-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/spai030.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/spai030.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2005-08-25
#--------------------
# File_Last_Modified_Date
#   Date: 2005-08-25
#--------------------
# Title
#   Study_Name: Richter - Cuenca Las Majadas - PISY - ITRDB SPAI030
#--------------------
# Investigators
#   Investigators: Richter, K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Cuenca Las Majadas
#   Location: Spain
#   Northernmost_Latitude: 40.33
#   Southernmost_Latitude: 40.33
#   Easternmost_Longitude: -1.98
#   Westernmost_Longitude: -1.98
#   Elevation_m: 1400
#--------------------
# Data_Collection
#   Collection_Name: SPAI030
#   First_Year: 1809
#   Last_Year: 1983
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus sylvestris L.
#   Common_Name: Scots pine
#   Tree_Species_Code: PISY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## E160301A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E160301A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E160301B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E160301B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E160302A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E160302A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E160302B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E160302B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E160303A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E160303A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	E160301A_raw	E160301B_raw	E160302A_raw	E160302B_raw	E160303A_raw
1809	NA	2.63	NA	NA	NA
1810	NA	2.11	NA	NA	NA
1811	NA	2.24	NA	NA	NA
1812	NA	2.93	NA	NA	NA
1813	NA	1.92	NA	NA	NA
1814	NA	1.05	NA	NA	NA
1815	NA	0.47	NA	NA	NA
1816	NA	0.6	NA	NA	NA
1817	NA	0.78	NA	NA	NA
1818	NA	1.18	NA	NA	NA
1819	NA	0.42	NA	NA	NA
1820	NA	1.32	NA	NA	NA
1821	NA	1.13	NA	NA	NA
1822	NA	0.44	NA	NA	NA
1823	NA	0.76	NA	NA	NA
1824	NA	0.55	NA	NA	NA
1825	NA	0.16	NA	NA	NA
1826	NA	0.18	NA	NA	NA
1827	NA	0.13	NA	NA	NA
1828	NA	0.22	NA	NA	NA
1829	NA	0.47	NA	NA	NA
1830	NA	0.33	NA	NA	NA
1831	NA	0.29	NA	NA	NA
1832	NA	0.39	NA	NA	NA
1833	NA	0.32	NA	NA	NA
1834	NA	0.18	NA	NA	NA
1835	NA	0.19	NA	NA	NA
1836	NA	0.47	NA	NA	NA
1837	NA	0.56	NA	NA	NA
1838	NA	0.71	NA	NA	NA
1839	NA	0.88	NA	NA	NA
1840	NA	0.6	NA	NA	NA
1841	NA	0.33	NA	NA	NA
1842	NA	0.59	NA	NA	NA
1843	NA	0.62	NA	NA	NA
1844	NA	0.71	NA	NA	NA
1845	NA	0.96	NA	NA	NA
1846	NA	1.26	NA	NA	NA
1847	NA	0.65	NA	NA	NA
1848	NA	0.64	NA	NA	NA
1849	NA	0.75	NA	NA	NA
1850	NA	1.22	NA	NA	NA
1851	NA	1.06	NA	NA	NA
1852	NA	1.04	NA	NA	NA
1853	NA	1.45	NA	NA	NA
1854	NA	2.45	NA	NA	NA
1855	NA	1.88	NA	NA	NA
1856	NA	2.17	NA	NA	NA
1857	NA	3.08	NA	NA	NA
1858	NA	2.44	NA	NA	NA
1859	NA	2.11	NA	NA	NA
1860	NA	2.38	NA	NA	NA
1861	NA	1.9	NA	NA	1.37
1862	3.83	1.97	NA	NA	1.48
1863	4.56	2.26	NA	NA	1.39
1864	4.1	2.34	NA	NA	1.53
1865	5.09	2.1	NA	NA	1.24
1866	5.17	1.98	NA	NA	0.92
1867	4.18	1.52	NA	NA	0.77
1868	4.31	1.21	NA	NA	0.59
1869	3.54	1.1	NA	NA	1.06
1870	3.57	0.94	NA	NA	0.84
1871	4.68	1.54	NA	NA	1.59
1872	3.92	0.95	NA	NA	1.52
1873	3.55	1.06	NA	NA	1.28
1874	4.48	1.05	NA	NA	1.02
1875	4.01	1.45	NA	NA	1.51
1876	4.86	1.7	NA	NA	1.66
1877	5.71	2.08	NA	NA	2.05
1878	5.03	1.7	NA	NA	1.48
1879	2.43	0.92	NA	NA	0.93
1880	3.87	1.09	NA	NA	1.37
1881	4.11	1.18	NA	NA	2.02
1882	2.85	1.1	NA	NA	1.32
1883	2.93	0.85	NA	NA	1.35
1884	3.89	0.92	NA	NA	2.09
1885	4.8	1.54	NA	NA	2.96
1886	4.47	1.36	NA	NA	3.46
1887	2.54	1.14	NA	NA	2.11
1888	4.22	1.31	NA	NA	2.05
1889	4.94	1.1	NA	NA	2.05
1890	3.2	0.83	NA	NA	1.43
1891	2.17	0.94	NA	NA	2.19
1892	2.99	1.16	NA	NA	2.47
1893	2.28	0.86	NA	NA	1.92
1894	2.48	1.08	NA	NA	1.94
1895	3.26	0.93	NA	NA	1.95
1896	1.67	1.05	NA	NA	1.91
1897	3.31	1.53	NA	NA	2.34
1898	2.04	1.04	NA	NA	1.58
1899	1.7	1.01	NA	NA	1.81
1900	1.48	1.13	1.05	NA	1.16
1901	1.96	1.02	0.84	NA	2.21
1902	3.18	1.42	1.36	NA	3.16
1903	2.92	1.66	1.32	NA	2.92
1904	1.78	1.28	1.15	NA	1.97
1905	2.76	1.49	1.04	NA	1.91
1906	2.24	1.1	1.5	NA	1.53
1907	2.27	1.62	2.34	1.86	1.01
1908	2.48	1.61	2.74	2.22	2.22
1909	2.2	1.25	1.61	1.79	1.95
1910	2.57	1.46	0.87	1.66	1.81
1911	3.41	1.49	1.56	2.63	2.27
1912	3.39	1.66	2.2	3.79	2
1913	2.88	1.53	1.96	2.67	1.74
1914	3.54	1.94	2.33	4.1	2.26
1915	2.45	1.95	3.17	2.81	2.1
1916	2.11	1.38	3.07	2.23	1.44
1917	3.21	1.42	2.6	1.85	1.79
1918	2.7	1.87	2.31	1.45	1.83
1919	2.87	2.19	2.48	1.03	1.81
1920	2.29	2.36	2.68	1.37	1.7
1921	2.08	1.48	1.88	0.44	1.24
1922	2.24	1.13	2.47	0.65	1.04
1923	2.3	1.57	2.65	0.95	1.44
1924	2.06	1.11	0.82	0.93	0.92
1925	2.5	1.58	2.76	1.49	1.43
1926	3.67	1.67	3.02	2.01	1.25
1927	3.03	1.7	2.32	1.4	1.17
1928	2.84	1.3	1.78	1.66	1.16
1929	2.7	1.72	2.02	2.08	1.22
1930	2.85	1.55	1.37	2.2	1.23
1931	2.38	1.08	1.22	1.42	0.66
1932	2.96	1.2	1.59	1.62	1.14
1933	2.18	1.32	1.85	1.2	0.78
1934	2.26	1.2	1	1.36	1.08
1935	2.31	1.19	0.99	1	0.82
1936	1.42	1.04	0.95	0.92	1.11
1937	2.45	1.34	1.02	1.18	1.21
1938	2.43	1.18	1.63	1.11	1.15
1939	2.22	1.12	1.53	0.98	1.03
1940	2.91	1.58	1.81	1.25	2.26
1941	2.26	1.12	1.43	0.8	1.7
1942	1.91	1.23	1.39	0.93	1.07
1943	2.17	1.32	1.27	0.93	1.43
1944	2.71	1.83	1.68	1.34	1.99
1945	2.2	1.75	2.07	1.44	1.69
1946	2.77	1.09	1.78	0.88	0.95
1947	2.41	1.29	2.31	1.37	1.2
1948	3.03	1.4	0.96	1.18	1.79
1949	1.83	1.23	1.04	0.91	1.11
1950	2.02	1.2	2.15	1.28	1.3
1951	1.72	1.4	2.7	1.88	1.69
1952	2.32	1.71	2.8	2.27	2.03
1953	1.71	1.15	1.97	1.63	1.25
1954	1.4	1.09	1.84	1.77	1.24
1955	1.99	1.33	1.93	3.75	1.61
1956	1.98	1.16	1.37	4.26	1.51
1957	1.85	1.01	1.74	3.01	1.01
1958	1.51	0.59	1.84	2.16	1.03
1959	2.11	1.53	1.9	2.56	1.86
1960	1.61	1.23	1.58	2.01	0.84
1961	1.9	1.37	2.01	1.8	0.53
1962	1.65	0.98	1.76	1.34	0.89
1963	1.56	1.04	1.47	1.23	0.44
1964	1.77	1.39	2.05	1.37	0.71
1965	1.01	0.74	1.14	0.85	0.68
1966	1.53	0.91	1.09	0.74	0.71
1967	1.45	1.13	1.13	0.93	0.96
1968	1.4	1.08	1.23	0.99	0.97
1969	1.39	1.08	1.34	1.04	1.06
1970	1.16	0.99	1.1	1	0.97
1971	1.36	1.06	1.22	0.91	0.9
1972	1.06	0.98	1.23	0.85	0.62
1973	1.35	1.11	1.18	0.82	0.78
1974	1.57	1.29	1.04	0.89	0.82
1975	1.28	1.14	0.92	0.65	0.69
1976	1.32	1.01	0.8	0.61	0.72
1977	1.4	1	0.98	0.79	0.95
1978	0.99	0.83	0.98	0.79	0.8
1979	0.79	0.78	0.67	0.61	0.47
1980	0.86	1.1	0.9	0.73	0.81
1981	0.81	0.86	0.92	0.52	0.66
1982	1.44	0.59	1.42	0.55	0.92
1983	1.07	0.84	1.16	0.61	0.72
