# Schweingruber - Nizza Foret d'Aillon - PCAB - ITRDB FRAN018
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4557
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4557.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fran018e-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; fran018e-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fran018e.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/fran018e.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-07-31
#--------------------
# File_Last_Modified_Date
#   Date: 2002-07-31
#--------------------
# Title
#   Study_Name: Schweingruber - Nizza Foret d'Aillon - PCAB - ITRDB FRAN018
#--------------------
# Investigators
#   Investigators: Schweingruber, F.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2019-01-08. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Nizza Foret d'Aillon
#   Location: France
#   Northernmost_Latitude: 43.88
#   Southernmost_Latitude: 43.88
#   Easternmost_Longitude: 7.33
#   Westernmost_Longitude: 7.33
#   Elevation_m: 1700
#--------------------
# Data_Collection
#   Collection_Name: FRAN018
#   First_Year: 1795
#   Last_Year: 1975
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  earlywood width
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 260110_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 260110; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 260120_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 260120; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 260130_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 260130; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 260140_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 260140; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 260150_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 260150; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 260160_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 260160; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 260170_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 260170; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 260180_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 260180; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 260190_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 260190; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 260200_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 260200; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	260110_raw	260120_raw	260130_raw	260140_raw	260150_raw	260160_raw	260170_raw	260180_raw	260190_raw	260200_raw
1795	NA	NA	NA	NA	NA	NA	0.84	NA	NA	NA
1796	NA	NA	NA	NA	NA	NA	0.54	NA	NA	NA
1797	NA	NA	NA	NA	NA	NA	0.73	NA	NA	NA
1798	NA	NA	NA	NA	NA	NA	0.66	NA	NA	NA
1799	NA	NA	NA	NA	NA	NA	0.73	NA	NA	NA
1800	NA	NA	NA	NA	NA	NA	0.81	NA	NA	NA
1801	NA	NA	NA	NA	NA	NA	0.79	NA	NA	NA
1802	NA	NA	NA	NA	NA	NA	0.85	NA	NA	NA
1803	NA	NA	NA	NA	NA	NA	0.67	NA	NA	NA
1804	NA	NA	NA	NA	NA	NA	0.75	NA	NA	NA
1805	NA	NA	NA	NA	NA	NA	0.71	NA	NA	NA
1806	NA	NA	NA	NA	NA	NA	0.71	NA	NA	NA
1807	NA	NA	NA	NA	NA	NA	0.62	NA	NA	NA
1808	NA	NA	NA	NA	NA	NA	0.41	NA	NA	NA
1809	NA	NA	NA	NA	NA	NA	0.48	NA	NA	NA
1810	NA	NA	NA	NA	NA	NA	0.48	NA	NA	NA
1811	NA	NA	NA	NA	NA	NA	0.5	NA	NA	NA
1812	NA	NA	NA	NA	NA	NA	0.23	NA	NA	NA
1813	NA	NA	NA	NA	NA	NA	0.24	NA	NA	NA
1814	NA	NA	NA	NA	NA	NA	0.25	NA	NA	NA
1815	NA	NA	NA	NA	NA	NA	0.16	NA	NA	NA
1816	NA	NA	NA	NA	NA	NA	0.14	NA	NA	NA
1817	NA	NA	NA	NA	NA	NA	0.33	NA	NA	NA
1818	NA	NA	NA	NA	NA	NA	0.5	NA	NA	NA
1819	NA	NA	NA	NA	NA	NA	0.47	NA	NA	NA
1820	NA	NA	NA	NA	NA	NA	0.52	NA	NA	NA
1821	NA	NA	NA	NA	NA	NA	0.53	NA	NA	NA
1822	NA	NA	NA	NA	NA	NA	0.94	NA	NA	NA
1823	NA	NA	NA	NA	NA	NA	0.68	NA	NA	NA
1824	NA	NA	NA	NA	NA	NA	0.75	NA	NA	NA
1825	NA	NA	NA	NA	NA	NA	0.81	NA	NA	NA
1826	NA	NA	NA	NA	NA	NA	0.55	NA	NA	NA
1827	NA	NA	NA	NA	NA	NA	0.53	NA	NA	NA
1828	NA	NA	NA	NA	2.36	2.57	0.5	NA	NA	NA
1829	NA	NA	NA	NA	2.01	2.16	0.43	1.36	NA	NA
1830	NA	NA	NA	NA	1.7	1.83	0.39	1.14	NA	NA
1831	NA	NA	NA	NA	1.13	2.03	0.82	1.31	NA	NA
1832	NA	NA	NA	NA	1.34	1.86	0.71	1.2	NA	NA
1833	NA	NA	NA	NA	1.08	1.69	0.72	0.73	NA	NA
1834	NA	NA	NA	NA	1.09	1.6	0.78	1.05	NA	NA
1835	NA	NA	NA	NA	1.25	1.76	0.42	1.01	NA	NA
1836	NA	NA	NA	NA	1.12	1.55	0.58	1	NA	NA
1837	NA	NA	NA	NA	1.26	1.38	0.61	0.98	NA	NA
1838	NA	NA	NA	NA	1.44	1.78	0.57	0.99	NA	NA
1839	NA	NA	NA	NA	1.1	1.29	0.39	0.77	NA	NA
1840	NA	NA	NA	NA	0.95	1.11	0.52	0.74	NA	NA
1841	NA	NA	NA	NA	1.46	1.65	0.59	1.05	NA	NA
1842	1.72	NA	NA	NA	1.31	1.6	0.46	1.23	NA	NA
1843	1.52	1.57	NA	NA	1.03	1.35	0.39	1.13	NA	NA
1844	1.68	1.28	NA	NA	0.87	1.06	0.29	0.83	NA	NA
1845	1.66	1.58	NA	NA	1.02	1.25	0.3	0.83	NA	NA
1846	1.47	2.22	NA	NA	0.86	1.37	0.4	1.07	NA	NA
1847	1.25	1.51	NA	NA	0.95	1.08	0.64	0.76	NA	NA
1848	1.22	1.56	NA	NA	0.94	1.23	0.82	0.82	NA	NA
1849	1.2	1.07	NA	NA	0.89	1.01	1.22	0.62	NA	NA
1850	0.98	1.09	NA	NA	1.02	0.94	2.11	0.75	NA	NA
1851	1.25	1.14	NA	NA	1.09	1.14	2.11	0.87	NA	NA
1852	1.28	1.3	NA	NA	1.04	0.72	1.71	0.81	1.86	NA
1853	1.49	1.14	NA	NA	1.05	0.75	1.48	0.73	1.7	NA
1854	1.37	1.09	NA	NA	1.1	0.79	1.33	0.81	1.49	NA
1855	1.58	1.18	NA	NA	1.29	1.21	1.31	0.84	2.02	NA
1856	1.57	1.17	NA	NA	1.39	1.02	1	0.78	1.8	NA
1857	1.66	1.49	NA	NA	1.38	0.86	0.87	0.75	2.21	NA
1858	1.43	1.2	NA	NA	1.19	0.92	1.26	0.74	1.77	NA
1859	1.37	1.63	NA	2.95	1.53	1.16	0.89	0.74	1.64	NA
1860	1.1	1.23	NA	1.84	1.07	0.75	1	0.36	1.09	NA
1861	1.04	1.05	NA	1.9	1	0.76	0.8	0.37	1.45	NA
1862	0.81	0.88	NA	2.12	0.88	0.64	0.7	0.49	0.91	NA
1863	0.96	1.1	NA	2.15	1.34	1.05	0.9	0.72	1.44	NA
1864	0.95	1.19	NA	1.88	0.99	0.67	0.97	0.93	1.33	NA
1865	0.93	1.48	NA	2.12	1.13	0.85	0.76	0.94	1.21	NA
