# Vanoni - Val Sumvitg - ABAL - ITRDB SWIT399
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/33047
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-33047.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit399-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit399-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit399.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit399.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2021-03-05
#--------------------
# File_Last_Modified_Date
#   Date: 2021-03-05
#--------------------
# Title
#   Study_Name: Vanoni - Val Sumvitg - ABAL - ITRDB SWIT399
#--------------------
# Investigators
#   Investigators: Vanoni, M.; Frey, H.-U.; Bigler, C.
#--------------------
# Description_Notes_and_Keywords
#   Description: Reference: 
# # Vanoni M. 2012. Klimatische Einflusse auf die Wachstumsvariabilitat von Weisstanne und Fichte entlang des Weisstannen-Ausbreitungsgradienten. Master thesis. ETH Zurich, Zurich. NOAA Template Raw Measurements file added 2021-05-03.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Val Sumvitg
#   Location: Switzerland
#   Northernmost_Latitude: 46.653633
#   Southernmost_Latitude: 46.653633
#   Easternmost_Longitude: 8.985493
#   Westernmost_Longitude: 8.985493
#   Elevation_m: 1450
#--------------------
# Data_Collection
#   Collection_Name: SWIT399
#   First_Year: 1845
#   Last_Year: 2011
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Abies alba Mill.
#   Common_Name: silver fir
#   Tree_Species_Code: ABAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## VAT01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VAT01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VAT02_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VAT02; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VAT03_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VAT03; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VAT04_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VAT04; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VAT05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VAT05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VAT06_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VAT06; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VAT07_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VAT07; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VAT08_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VAT08; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VAT09_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VAT09; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VAT11_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VAT11; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	VAT01_raw	VAT02_raw	VAT03_raw	VAT04_raw	VAT05A_raw	VAT06_raw	VAT07_raw	VAT08_raw	VAT09_raw	VAT11_raw
1845	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.93
1846	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.92
1847	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.57
1848	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.19
1849	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.54
1850	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.87
1851	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.09
1852	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.93
1853	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.72
1854	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.24
1855	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.1
1856	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.69
1857	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.92
1858	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.56
1859	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.29
1860	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.76
1861	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.21
1862	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.96
1863	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.57
1864	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.79
1865	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.29
1866	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.38
1867	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.88
1868	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.27
1869	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.98
1870	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.59
1871	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.19
1872	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.69
1873	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.72
1874	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.27
1875	1.44	NA	NA	NA	NA	NA	NA	NA	NA	3.82
1876	1.38	NA	NA	NA	NA	NA	NA	NA	NA	4.36
1877	1	NA	NA	NA	NA	NA	NA	NA	NA	4.68
1878	1.46	NA	NA	NA	NA	NA	NA	NA	NA	5.05
1879	1.52	NA	NA	NA	NA	NA	NA	NA	3.31	3.71
1880	1.85	NA	NA	NA	NA	NA	NA	NA	3.16	3.62
1881	1.98	NA	NA	NA	NA	NA	NA	NA	4.26	4.49
1882	1.76	NA	NA	NA	NA	NA	3.2	NA	3.46	4.16
1883	1.67	NA	NA	NA	NA	NA	3.24	NA	3.24	3.8
1884	1.61	NA	NA	NA	NA	NA	3.93	NA	3.07	4.25
1885	1.44	NA	NA	NA	NA	NA	3.81	NA	3.2	4.29
1886	1.67	NA	NA	NA	NA	NA	3.96	NA	3.01	3.87
1887	1.49	NA	NA	NA	NA	NA	4.39	NA	3.48	3.86
1888	0.74	NA	NA	NA	NA	NA	3.32	NA	2.81	2.87
1889	0.5	NA	NA	NA	NA	NA	3.55	NA	3.28	3.58
1890	0.62	NA	NA	NA	NA	NA	4.47	NA	2.86	3.82
1891	0.46	NA	NA	NA	NA	NA	3.14	NA	1.85	2.84
1892	0.41	NA	NA	NA	NA	NA	3.6	NA	2.57	3.35
1893	0.63	NA	4.45	NA	NA	NA	3.19	NA	3.29	3.42
1894	0.78	NA	4.42	NA	NA	NA	2.65	NA	2.97	3.64
1895	0.89	NA	4.69	NA	NA	NA	2.39	NA	3.02	3.9
1896	0.84	NA	3.49	NA	NA	NA	1.84	NA	2.58	2.92
1897	1.02	NA	5.5	NA	NA	NA	2.13	NA	2.61	3.3
1898	1.07	NA	5.72	NA	NA	NA	3.08	NA	2.8	3.67
1899	1.07	NA	5.45	NA	NA	NA	2.98	NA	2.35	3.85
1900	1.22	NA	5.34	NA	NA	NA	2.89	NA	2.38	3.5
1901	1.21	NA	5.77	NA	NA	NA	3.19	NA	2.26	3.74
1902	1.52	NA	5.69	NA	NA	NA	3	NA	2.16	3.34
1903	1.75	NA	6.09	NA	NA	NA	3.54	NA	2.29	3.92
1904	1.64	NA	6.6	NA	NA	NA	3.89	NA	2.04	4.26
1905	1.76	NA	5.01	NA	NA	NA	3.63	NA	1.68	3.68
1906	1.58	NA	5.06	NA	NA	NA	3.79	NA	1.35	2.95
1907	1.4	NA	4.94	NA	NA	NA	3.32	NA	1.16	2.87
1908	1.31	NA	4.96	NA	NA	NA	2.84	NA	1.26	2.87
1909	1.25	NA	4.98	NA	NA	NA	3.48	NA	1.3	3.42
1910	1.02	NA	5.2	NA	NA	NA	3.45	NA	1.21	2.86
1911	1.32	NA	6.2	NA	NA	NA	3.86	NA	1.47	2
1912	0.9	NA	5.58	NA	NA	NA	2.78	NA	0.93	0.98
1913	1.18	NA	5.12	NA	NA	NA	2.37	NA	1.05	1.1
1914	1.85	NA	6.25	NA	NA	NA	3.28	NA	1.31	1.32
1915	1.56	NA	6.02	NA	NA	NA	2.97	NA	0.89	1.49
1916	1.6	NA	5.34	NA	NA	NA	3.25	NA	0.91	1.94
1917	1.34	NA	5.43	NA	NA	NA	2.72	NA	0.86	2.41
1918	1.7	NA	5.54	NA	NA	NA	3.24	NA	1.07	2.4
1919	1.73	NA	6.05	NA	NA	NA	3.54	NA	1.05	2.11
1920	1.98	NA	5.51	NA	NA	NA	2.89	NA	0.99	2.28
1921	2.63	NA	6.2	NA	NA	NA	3.87	NA	0.85	2.47
1922	1.84	NA	4.11	NA	NA	NA	2.98	NA	0.63	2.03
