# Bräker - Rabins - LADE - ITRDB SWIT338
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16912
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16912.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit338-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit338-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit338.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit338.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Bräker - Rabins - LADE - ITRDB SWIT338
#--------------------
# Investigators
#   Investigators: Bräker, O.U.; Zingg, A.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Rabins
#   Location: Switzerland
#   Northernmost_Latitude: 46.4408
#   Southernmost_Latitude: 46.4408
#   Easternmost_Longitude: 9.7878
#   Westernmost_Longitude: 9.7878
#   Elevation_m: 1800
#--------------------
# Data_Collection
#   Collection_Name: SWIT338
#   First_Year: 1714
#   Last_Year: 1996
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Larix decidua Mill.
#   Common_Name: European larch
#   Tree_Species_Code: LADE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SMA0403G_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMA0403G; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMA0403P_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMA0403P; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMA0453G_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMA0453G; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMA0453P_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMA0453P; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMA2210G_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMA2210G; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMA2210P_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMA2210P; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMA2270X_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMA2270X; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMA2270Y_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMA2270Y; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SMA0403G_raw	SMA0403P_raw	SMA0453G_raw	SMA0453P_raw	SMA2210G_raw	SMA2210P_raw	SMA2270X_raw	SMA2270Y_raw
1714	0.37	0.42	NA	NA	NA	NA	NA	NA
1715	0.68	0.51	NA	NA	NA	NA	NA	NA
1716	0.39	0.24	NA	NA	NA	NA	NA	NA
1717	0.69	0.66	NA	NA	NA	NA	NA	NA
1718	0.91	1.2	NA	NA	NA	NA	NA	NA
1719	1.08	1.49	NA	NA	NA	NA	NA	NA
1720	1.15	1.75	NA	NA	NA	NA	NA	NA
1721	1.59	2.06	NA	NA	NA	NA	NA	NA
1722	1.4	2.05	NA	NA	NA	NA	NA	NA
1723	2.42	2.39	NA	NA	NA	NA	NA	NA
1724	1.6	4.55	NA	NA	NA	NA	NA	NA
1725	1.12	3.44	NA	NA	NA	NA	NA	NA
1726	0.54	1.75	NA	NA	NA	NA	NA	NA
1727	0.84	2.08	NA	NA	0.92	0.91	NA	NA
1728	0.58	1.4	NA	NA	0.49	0.61	NA	NA
1729	0.59	1.64	NA	NA	0.64	0.5	NA	NA
1730	0.91	1.72	NA	NA	0.65	0.88	NA	NA
1731	1.15	2.67	NA	NA	1.59	1.32	NA	NA
1732	0.28	1.68	NA	NA	2.52	2.2	NA	NA
1733	0.86	1.84	NA	NA	1.51	1.06	NA	NA
1734	1.26	2.71	NA	NA	1.09	1.23	NA	NA
1735	1.25	2.57	NA	NA	1.21	0.88	NA	NA
1736	1.14	2.86	NA	NA	1	1.38	NA	NA
1737	0.81	2.04	NA	NA	0.72	1.4	NA	NA
1738	0.79	2.03	NA	NA	0.9	1.33	NA	NA
1739	1.28	3.04	1.23	1.63	0.83	1.15	NA	NA
1740	1.3	2.49	1.62	1.73	1.13	1.41	NA	NA
1741	2.07	4	2.62	2.81	1.87	2.96	NA	NA
1742	2.39	4.32	3.78	3.6	2.11	2.84	NA	NA
1743	2.71	4.08	3.81	4.5	2.13	2.63	NA	NA
1744	3.6	4.45	4.68	5	1.22	1.86	NA	NA
1745	2.46	2.14	3.17	3.12	0.98	1.17	NA	NA
1746	0.74	1.15	1	0.84	0.17	0.36	NA	NA
1747	1.39	1.94	1.92	1.54	1.24	1.57	NA	NA
1748	1.51	2.26	2.8	2.56	1.16	2.39	NA	NA
1749	1.91	2.09	2.71	2.54	0.86	2.38	NA	NA
1750	2.81	2.87	3.85	3.03	0.81	0.97	NA	NA
1751	2.9	3.09	3.57	2.65	1.25	2.21	NA	NA
1752	1.11	1.23	2.08	1.46	1.33	2.02	NA	NA
1753	1.77	1.87	2.77	2.3	2.59	2.76	NA	NA
1754	1.11	1.31	1.83	1.69	2.42	2.21	NA	NA
1755	1.26	1.71	2.1	1.57	1.54	1.61	NA	NA
1756	1.6	2.75	2.86	1.94	2.43	2.37	NA	NA
1757	1.53	2.09	2.89	2.28	2.5	2.57	NA	NA
1758	1.77	2.5	2.85	2.37	2.38	2.35	NA	NA
1759	1.45	2.89	2.55	2.45	2.64	2.41	NA	NA
1760	1.48	2.45	2.49	2.43	2.63	2.82	1.02	0.81
1761	1.76	2.16	2.59	2.1	2.25	3.09	2.33	2.09
1762	1.97	2.74	3.13	2.17	2.99	3.41	2.67	3.2
1763	1.18	1.95	1.64	1.28	1.36	2.12	1.88	2.32
1764	0.45	1.08	0.95	0.67	1.31	1.54	0.61	0.99
1765	1.12	1.33	1.56	1.09	1.83	2.11	1.88	1.85
1766	1.25	2.02	1.63	1.02	2.23	2.37	2.68	2.95
1767	1.96	2.34	1.88	1.89	2.48	2.6	3.52	3.46
1768	2.11	1.94	2.24	1.98	2.75	2.53	3.38	3.62
1769	2.13	2.08	2.24	2.09	2.18	2.7	2.77	2.92
1770	0.79	0.98	0.79	1.16	1.66	1.26	0.96	1.12
1771	0.33	0.58	0.3	0.57	1.63	1.7	1.05	1.21
1772	0.9	1.19	1.04	1.14	1.97	2.13	1.46	1.71
1773	1.2	1.29	1.04	1.26	1.82	1.72	1.26	1.36
1774	1.62	1.9	1.34	1.35	1.51	2.41	2.1	1.51
1775	1.46	1.68	1.33	1.63	1.5	2.1	1.81	1.59
1776	1.71	2.28	1.31	1.51	1.87	2.24	2.42	2.07
1777	1.69	1.95	1.01	1.24	1.68	2.28	2.34	1.89
1778	1.56	1.61	0.95	1.14	1.77	2.59	2.39	1.81
1779	1.55	1.74	0.95	1.16	1.96	2.23	2.05	1.97
1780	1.76	1.69	1.01	1.14	1.96	2.64	2.53	2.38
1781	0.48	0.73	0.42	0.39	2.03	2.4	2.39	2.27
1782	0.81	0.98	0.84	0.88	1.79	2.32	2.2	2.37
1783	1.5	2.22	1.29	1.18	2.05	2.58	2.08	2.32
1784	1.6	2.7	1.09	0.8	1.88	2.8	2.18	2.14
1785	2.18	3.31	1.61	1.4	2.73	3.35	3.12	2.76
1786	1.74	2.06	1.03	1.04	2.16	2.56	2.52	2.37
1787	1.57	1.73	1.21	1.28	1.88	2.19	2.8	2.37
1788	0.85	1.03	0.9	0.83	1.25	1.91	2.33	1.74
