# Richter - Cuenca Las Torcas - PINI - ITRDB SPAI031
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4243
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4243.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/spai031-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; spai031-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/spai031.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/spai031.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Richter - Cuenca Las Torcas - PINI - ITRDB SPAI031
#--------------------
# Investigators
#   Investigators: Richter, K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Cuenca Las Torcas
#   Location: Spain
#   Northernmost_Latitude: 40.0
#   Southernmost_Latitude: 40.0
#   Easternmost_Longitude: -1.98
#   Westernmost_Longitude: -1.98
#   Elevation_m: 1225
#--------------------
# Data_Collection
#   Collection_Name: SPAI031
#   First_Year: 1728
#   Last_Year: 1984
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus nigra J.F. Arnold
#   Common_Name: Austrian pine
#   Tree_Species_Code: PINI
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## E160101A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E160101A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E160101B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E160101B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E160102A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E160102A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E160102B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E160102B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E160103A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E160103A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E160103B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E160103B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	E160101A_raw	E160101B_raw	E160102A_raw	E160102B_raw	E160103A_raw	E160103B_raw
1728	NA	NA	3.06	NA	NA	NA
1729	NA	NA	2.29	NA	NA	NA
1730	NA	NA	2.2	NA	NA	NA
1731	NA	NA	2.52	NA	NA	NA
1732	NA	NA	2.81	NA	NA	NA
1733	NA	NA	2.75	NA	NA	NA
1734	NA	NA	2.41	NA	NA	NA
1735	NA	NA	2.49	NA	NA	NA
1736	NA	NA	2.74	NA	NA	NA
1737	NA	NA	0.85	NA	NA	NA
1738	NA	NA	1.18	NA	NA	NA
1739	NA	NA	1.3	NA	NA	NA
1740	NA	NA	1.84	NA	NA	NA
1741	NA	NA	1.98	NA	NA	NA
1742	NA	NA	1.65	NA	NA	NA
1743	NA	NA	2.26	NA	NA	NA
1744	NA	NA	1.86	NA	NA	NA
1745	NA	NA	2.11	NA	NA	NA
1746	NA	NA	1.23	NA	NA	NA
1747	NA	NA	1.53	NA	NA	NA
1748	NA	NA	1.67	NA	NA	NA
1749	NA	NA	1.87	NA	NA	NA
1750	NA	NA	2.46	NA	NA	NA
1751	NA	NA	2.16	NA	NA	NA
1752	NA	NA	1.87	NA	NA	NA
1753	NA	NA	1.79	NA	NA	NA
1754	NA	NA	1.79	NA	NA	NA
1755	NA	NA	1.98	NA	NA	NA
1756	NA	NA	2.44	4.79	NA	NA
1757	NA	NA	2.07	4.15	NA	NA
1758	NA	NA	1.84	3.65	NA	NA
1759	NA	NA	2.79	4.62	NA	NA
1760	NA	NA	2.15	3.52	NA	NA
1761	NA	NA	1.74	2.84	NA	NA
1762	NA	NA	1.39	0.98	NA	NA
1763	NA	NA	1.98	1.69	NA	NA
1764	NA	NA	1.7	1.85	NA	NA
1765	NA	NA	1.78	4.71	NA	NA
1766	NA	NA	1.2	2.78	NA	NA
1767	NA	NA	1.44	2.78	NA	NA
1768	NA	NA	1.5	3.35	NA	NA
1769	NA	NA	1.47	3.02	NA	NA
1770	NA	NA	1.71	2.67	NA	NA
1771	NA	NA	2.06	3.26	NA	NA
1772	NA	NA	2.74	3.27	NA	NA
1773	NA	NA	2.47	2.87	NA	NA
1774	NA	NA	1.83	1.8	NA	NA
1775	NA	NA	2.67	2.69	NA	NA
1776	NA	NA	3	3.45	NA	NA
1777	NA	NA	2.9	4.23	NA	NA
1778	NA	NA	1.16	0.9	NA	NA
1779	NA	NA	1.47	1.31	NA	NA
1780	NA	NA	1.74	1.96	NA	NA
1781	NA	NA	1.95	2.84	NA	NA
1782	NA	NA	2.06	2.7	NA	NA
1783	NA	NA	2.3	3.8	NA	NA
1784	NA	NA	2.16	3.81	NA	NA
1785	NA	NA	1.73	2.46	NA	NA
1786	NA	NA	1.54	2.26	NA	NA
1787	NA	NA	2.24	2.98	NA	NA
1788	NA	NA	2.39	2.87	NA	NA
1789	NA	NA	0.89	1.18	NA	NA
1790	NA	NA	0.94	1.61	NA	NA
1791	NA	NA	1.87	2.76	NA	NA
1792	NA	NA	2.46	2.66	NA	NA
1793	NA	NA	2.3	2.61	NA	NA
1794	NA	NA	2.47	2.74	NA	4.05
1795	NA	NA	2.93	2.74	NA	6.59
1796	NA	NA	2.43	2.74	NA	5.62
1797	NA	NA	2.09	2.45	4.59	5.98
1798	NA	NA	1.7	2.06	3.23	3.45
1799	NA	NA	2.09	1.8	3.2	2.33
1800	NA	NA	2.85	2.47	3.9	3.3
1801	NA	NA	3.46	2.67	2.51	2.68
1802	NA	NA	2.46	0.83	3.31	2.22
1803	NA	NA	2.05	0.85	2.88	2.79
1804	NA	NA	3.19	2.02	3.34	2.66
1805	NA	NA	3.27	2.33	3.68	3.72
1806	NA	NA	2.61	1.62	1.91	2.18
1807	NA	NA	3.11	2.43	0.02	0.05
1808	NA	NA	2.06	1.69	0.28	0.42
1809	NA	NA	2.25	2.24	0.41	0.57
1810	NA	NA	2.9	1.85	0.84	0.55
1811	NA	NA	3.28	2.05	1.01	0.56
1812	NA	NA	2.18	1.75	1.28	0.44
1813	NA	NA	1.8	2.07	0.27	0.16
1814	NA	NA	1.9	2.62	0.9	0.8
1815	NA	NA	2.06	3.04	1.44	1.22
1816	NA	NA	1.53	1.4	1.73	1.38
1817	NA	NA	2.07	2.11	2.05	1.9
1818	NA	NA	1.83	2.25	2.01	1.77
1819	NA	NA	1.39	1.86	1.15	1.7
1820	NA	NA	1.03	1.68	1.5	1.8
1821	NA	NA	1.39	1.69	0.32	0.56
1822	NA	NA	1.61	2.28	0.4	0.67
1823	NA	NA	1.4	2.57	0.96	1.24
