# Hillam - Porter Brook - QUSP - ITRDB BRIT033
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3495
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3495.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit033-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit033-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit033.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit033.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Hillam - Porter Brook - QUSP - ITRDB BRIT033
#--------------------
# Investigators
#   Investigators: Hillam, J.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Porter Brook
#   Location: United Kingdom
#   Northernmost_Latitude: 53.5
#   Southernmost_Latitude: 53.5
#   Easternmost_Longitude: -1.5
#   Westernmost_Longitude: -1.5
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: BRIT033
#   First_Year: 1818
#   Last_Year: 1987
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## PB04.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PB04.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PB07.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PB07.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PB08.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PB08.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PB09.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PB09.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PB3A.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PB3A.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PB5A.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PB5A.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	PB04.D_raw	PB07.D_raw	PB08.D_raw	PB09.D_raw	PB3A.D_raw	PB5A.D_raw
1818	NA	NA	NA	NA	4.4	NA
1819	NA	NA	NA	NA	4.24	NA
1820	NA	NA	NA	NA	5.96	NA
1821	NA	NA	NA	NA	5.36	NA
1822	NA	NA	NA	NA	5.96	NA
1823	NA	NA	NA	NA	6.9	NA
1824	NA	NA	NA	NA	6.52	NA
1825	NA	NA	NA	NA	5.12	NA
1826	NA	NA	NA	NA	3.66	NA
1827	NA	NA	NA	NA	4.8	NA
1828	NA	NA	NA	NA	5.14	NA
1829	NA	NA	NA	NA	5.24	NA
1830	NA	NA	NA	NA	3.9	NA
1831	NA	NA	NA	NA	6.16	NA
1832	NA	NA	NA	NA	3.6	NA
1833	NA	NA	NA	NA	4.16	NA
1834	NA	NA	NA	NA	5.26	NA
1835	NA	NA	NA	NA	2.72	NA
1836	NA	NA	NA	NA	2.8	NA
1837	NA	NA	NA	NA	3.32	NA
1838	5.82	NA	NA	NA	2.82	NA
1839	5.32	NA	NA	NA	2.84	NA
1840	5.42	2.32	3.42	NA	1.9	NA
1841	4.74	2.06	4.04	NA	2.96	NA
1842	5.38	2.68	3.62	NA	0.94	NA
1843	2.72	1.74	3.76	NA	0.84	NA
1844	1.98	1.02	1.6	NA	0.64	NA
1845	1.48	1.88	1.74	NA	1.4	NA
1846	2.72	1.6	3	NA	2.62	NA
1847	1.88	1.6	2.3	NA	1.78	NA
1848	3.08	2.64	3.68	NA	2.76	NA
1849	3.18	2.2	3.5	NA	2.2	NA
1850	3.54	2.84	3.08	NA	3.1	NA
1851	3.1	2.58	2.16	NA	1.66	NA
1852	2.94	2.96	2.6	NA	1.8	NA
1853	3.6	3.36	3.02	NA	1.6	NA
1854	3.14	3.3	2.68	2.3	0.82	1.02
1855	2.88	3.24	3.24	2.9	1.14	0.9
1856	2.38	2.92	2.64	2.98	0.84	0.96
1857	1.6	1.74	2.7	2.6	0.92	0.86
1858	1.58	2.16	2.68	2.72	1.14	1.3
1859	2.6	2.36	2.94	3.54	0.98	3.7
1860	1.42	1.8	1.4	2.34	0.4	2.76
1861	1.88	0.92	1.3	1.48	0.7	1.6
1862	2	1.34	1.62	1.62	0.72	1.88
1863	2.08	1.38	1.66	2.06	0.82	1.84
1864	2.4	1.46	2.18	1.98	0.7	1.58
1865	2.34	1.04	1.46	1.3	1.02	0.64
1866	1.56	1.16	1.58	1.58	1.16	0.42
1867	1.14	0.94	1.36	1.74	0.86	0.9
1868	3	0.96	1.66	1.34	1.04	0.38
1869	0.74	0.44	0.96	1.28	0.54	0.36
1870	1.7	0.96	1.7	1.44	0.98	0.62
1871	0.84	1.12	1.54	1.42	0.84	0.56
1872	1.32	0.84	1.46	1.32	0.98	0.44
1873	1.76	1.16	1.4	0.84	1.04	0.66
1874	1.12	1.2	1.28	0.88	0.7	0.9
1875	1.22	1.22	1.1	0.56	0.82	1.58
1876	1.68	1.06	1.5	0.72	0.94	2.06
1877	1.86	1.08	1.72	0.8	0.96	2.92
1878	1.26	1	1.18	0.88	0.96	2.58
1879	1.1	0.88	1.32	0.76	0.8	2.3
1880	0.56	0.62	1	0.6	0.44	2.36
1881	0.82	0.48	0.9	0.54	0.78	2.38
1882	0.94	0.7	1.22	0.52	0.56	2.52
1883	0.78	0.66	1	0.54	0.82	2.64
1884	1.74	0.74	1.52	0.76	0.8	2.34
1885	0.96	1.02	1.36	0.86	0.76	2.68
1886	0.9	0.7	1.02	0.44	0.54	1.92
1887	0.9	0.62	1.18	0.54	0.78	2.02
1888	0.5	0.46	1.04	0.36	0.38	1.88
1889	0.56	0.56	0.98	0.6	0.56	1.28
1890	1.04	0.74	1.44	0.76	0.56	1
1891	0.8	0.44	1.46	0.8	0.76	1.1
1892	0.48	0.4	1.7	0.78	0.5	1.24
1893	0.64	0.52	1.7	1	0.64	2.36
1894	0.78	0.56	1	0.76	0.4	1.86
1895	0.56	0.44	0.62	0.5	0.48	0.98
1896	0.84	0.64	0.96	0.88	0.48	1.98
1897	0.86	0.52	1	0.72	0.58	2.64
1898	0.8	0.56	0.92	0.82	0.52	2.58
1899	0.68	0.9	0.82	1.18	0.54	2.62
1900	0.54	0.84	1.1	1.3	0.46	2.6
1901	0.6	0.46	0.76	1.16	0.46	2.44
1902	0.44	0.42	0.78	0.92	0.46	1.82
1903	0.6	0.4	0.72	0.66	0.52	1.18
1904	0.76	0.6	0.64	0.96	0.38	1.2
1905	0.7	0.54	0.78	0.98	0.6	0.98
1906	0.52	0.44	0.76	0.72	0.52	1.18
