# Schweingruber - Stubaital Milderaun Alm - PICE - ITRDB AUST008
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4664
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4664.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/aust008-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; aust008-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/aust008.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/aust008.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-07-31
#--------------------
# File_Last_Modified_Date
#   Date: 2002-07-31
#--------------------
# Title
#   Study_Name: Schweingruber - Stubaital Milderaun Alm - PICE - ITRDB AUST008
#--------------------
# Investigators
#   Investigators: Schweingruber, F.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2019-01-08. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Stubaital Milderaun Alm
#   Location: Austria
#   Northernmost_Latitude: 47.13
#   Southernmost_Latitude: 47.13
#   Easternmost_Longitude: 11.28
#   Westernmost_Longitude: 11.28
#   Elevation_m: 1850
#--------------------
# Data_Collection
#   Collection_Name: AUST008
#   First_Year: 1822
#   Last_Year: 1975
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus cembra L.
#   Common_Name: Swiss stone pine
#   Tree_Species_Code: PICE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 251006_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 251006; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 251008_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 251008; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 251009_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 251009; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 251010_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 251010; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 251011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 251011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 251014_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 251014; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 251016_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 251016; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 251018_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 251018; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	251006_raw	251008_raw	251009_raw	251010_raw	251011_raw	251014_raw	251016_raw	251018_raw
1822	NA	NA	NA	NA	NA	1.45	NA	NA
1823	NA	NA	NA	NA	NA	1.54	NA	NA
1824	NA	NA	NA	NA	NA	1.81	NA	NA
1825	NA	NA	NA	NA	NA	2.09	NA	NA
1826	NA	NA	NA	NA	NA	1.9	NA	NA
1827	NA	NA	NA	NA	NA	2.24	NA	NA
1828	NA	NA	NA	NA	NA	2.41	NA	NA
1829	NA	NA	NA	NA	NA	2.47	NA	NA
1830	NA	NA	NA	NA	NA	2.39	NA	NA
1831	NA	NA	NA	NA	NA	1.85	NA	NA
1832	1.41	2.37	NA	NA	NA	1.55	NA	NA
1833	1.4	1.93	NA	NA	NA	1.68	NA	NA
1834	1.8	2.35	NA	NA	NA	1.67	NA	NA
1835	1.65	2.16	NA	NA	NA	2.17	NA	NA
1836	1.15	1.7	NA	NA	NA	1.65	NA	NA
1837	1.63	2.67	NA	NA	1.79	2.04	NA	NA
1838	1.44	2.25	NA	NA	1.75	1.6	NA	NA
1839	1.38	2.3	NA	NA	1.88	1.45	NA	NA
1840	2.16	2.69	NA	NA	1.69	1.43	NA	NA
1841	2.4	2.52	NA	NA	1.85	1.53	NA	NA
1842	2.54	2.39	NA	NA	2.21	1.78	2.98	NA
1843	1.87	1.84	NA	NA	1.77	1.36	2.48	NA
1844	1.86	1.82	NA	NA	1.59	1.22	2.57	NA
1845	1.64	2.09	NA	NA	1.52	1.13	2.55	NA
1846	2.42	4.05	NA	NA	2.48	1.26	3.49	NA
1847	2.32	3.81	NA	NA	2.42	1.16	2.79	NA
1848	1.87	3.23	NA	NA	2.13	1.2	3.06	NA
1849	1.58	3	NA	NA	1.74	1.25	2.85	NA
1850	1.44	2.34	NA	NA	1.88	1.39	2.75	NA
1851	1.21	2.47	NA	NA	1.85	1.47	2.04	NA
1852	1.38	2.12	NA	NA	2.04	1.15	2.2	NA
1853	1.81	2.36	NA	NA	1.9	1.06	2.45	NA
1854	1.93	3.82	NA	NA	1.89	1.02	2.33	NA
1855	1.76	3.55	NA	NA	1.69	1.18	2.28	NA
1856	1.78	4.22	NA	NA	2.09	1.22	1.85	NA
1857	1.51	3.45	NA	NA	1.94	1.03	2.04	1.31
1858	1.09	1.83	NA	NA	1.32	0.94	1.85	0.96
1859	0.98	1.38	NA	NA	1.35	0.94	1.97	0.88
1860	0.99	1.28	NA	NA	1.53	0.95	1.81	1.38
1861	1.07	1.84	NA	NA	2.05	1.04	2.25	1.51
1862	1	1.74	NA	NA	2.47	1.05	2.47	1.82
1863	1.67	2.01	NA	NA	2.65	0.9	2.37	1.77
1864	1.59	1.47	NA	NA	1.81	0.95	2.03	1.43
1865	1.34	1.62	NA	NA	1.85	0.77	1.94	1.2
1866	1.64	2.32	NA	NA	1.89	1.14	1.65	1.61
1867	1.74	2.56	NA	NA	2.19	1.07	1.9	1.83
1868	1.34	1.6	NA	NA	1.63	0.98	1.49	1.54
1869	1.74	2.63	NA	NA	1.44	1.08	1.81	1.99
1870	1.47	2.3	NA	NA	1.03	0.88	1.69	2.03
1871	1.88	2.49	NA	NA	1.23	0.97	1.92	1.55
1872	1.35	2	NA	NA	0.87	0.66	1.35	0.96
1873	1.38	2.09	NA	NA	0.93	0.65	1.73	1.17
1874	1.5	2.16	1.92	NA	1.13	0.77	1.45	1.41
1875	1.56	1.8	1.39	NA	0.99	0.72	1.21	1.56
1876	1.41	1.68	1.47	NA	0.84	0.58	1.38	1.67
1877	1	1.3	1.2	NA	0.61	0.54	1.07	1.32
1878	1.49	1.67	1.32	NA	0.72	0.53	1.32	1.46
1879	0.98	1.38	1.36	NA	0.65	0.47	1.33	1.67
1880	0.84	1.62	1.61	NA	0.84	0.56	1.29	2.21
1881	1.24	1.37	1.78	1.65	0.82	0.52	1.3	2.45
1882	1.2	1.3	1.39	1.37	0.78	0.64	1.39	1.45
1883	1.24	1.42	1.61	1.86	1.04	0.72	1.55	1.77
1884	1.54	1.69	1.43	1.28	1.12	0.69	1.35	1.5
1885	1.44	1.43	1.27	1.09	1.08	0.88	1.16	1.51
1886	1.81	1.46	1.44	1.47	1.12	0.85	1.07	1.79
1887	2.47	1.47	1.72	1.78	0.88	0.88	0.95	1.7
1888	3.09	1.47	1.4	1.55	0.68	0.8	0.67	1.4
1889	1.62	1.44	1.44	2.29	0.75	0.93	0.78	1.49
1890	2.19	1.68	1.49	2.35	0.65	0.74	0.74	1.58
1891	1.85	1.54	1.63	1.64	0.61	0.85	0.88	1.49
1892	1.9	1.68	1.29	2.4	0.62	0.96	0.97	2.05
1893	1.61	1.54	1.72	1.99	0.58	0.93	0.66	1.37
1894	1.58	1.57	2.02	2.1	0.34	0.96	0.68	1.27
1895	1.17	1.41	1.87	2.1	0.42	0.9	0.73	1.3
