# Bräker - Guffre - ABAL - ITRDB SWIT323
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16896
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16896.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit323-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit323-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit323.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit323.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Bräker - Guffre - ABAL - ITRDB SWIT323
#--------------------
# Investigators
#   Investigators: Bräker, O.U.; Zingg, A.
#--------------------
# Description_Notes_and_Keywords
#   Description: Collection purpose: 
# # Plentering
# # 
# # Cores are stored at: 
# # disposed
# # 
# # Notes: 
# # Slope N 20% 
# # Formerly Rougemont_Tanne_n12_1995.fh
# # 
# # References:
# # Didion, M.; Kupferschmid, A.D.; Zingg, A.; Fahse, L.; Bugmann, H., (2009): 
# # Gaining local accuracy while not losing generality - extending the range of gap model applications. 
# # Can. J. For. Res. 39: 1092-1107.  NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Guffre
#   Location: Switzerland
#   Northernmost_Latitude: 46.4819
#   Southernmost_Latitude: 46.4819
#   Easternmost_Longitude: 7.2144
#   Westernmost_Longitude: 7.2144
#   Elevation_m: 1185
#--------------------
# Data_Collection
#   Collection_Name: SWIT323
#   First_Year: 1844
#   Last_Year: 1995
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Abies alba Mill.
#   Common_Name: silver fir
#   Tree_Species_Code: ABAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## RM012012_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RM012012; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RM026512_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RM026512; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RM035512_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RM035512; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RM038012_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RM038012; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RM057012_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RM057012; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RM082012_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RM082012; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RM097012_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RM097012; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RM140002_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RM140002; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RM31001K_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RM31001K; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RM35953K_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RM35953K; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RM39501K_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RM39501K; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RM45802K_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RM45802K; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	RM012012_raw	RM026512_raw	RM035512_raw	RM038012_raw	RM057012_raw	RM082012_raw	RM097012_raw	RM140002_raw	RM31001K_raw	RM35953K_raw	RM39501K_raw	RM45802K_raw
1844	NA	NA	NA	NA	NA	3.26	NA	NA	NA	NA	NA	NA
1845	NA	NA	NA	NA	NA	2.26	NA	NA	NA	NA	NA	NA
1846	NA	NA	NA	NA	NA	2.98	NA	NA	NA	NA	NA	NA
1847	NA	NA	NA	NA	NA	3.12	NA	NA	NA	NA	NA	NA
1848	NA	NA	NA	NA	NA	2.49	NA	NA	NA	NA	NA	NA
1849	NA	NA	NA	NA	NA	2.73	NA	NA	NA	NA	NA	NA
1850	NA	NA	NA	NA	NA	2.52	NA	NA	NA	NA	NA	NA
1851	NA	NA	NA	NA	NA	2.31	NA	NA	NA	NA	NA	NA
1852	NA	NA	NA	NA	NA	1.85	NA	NA	NA	NA	NA	NA
1853	NA	NA	NA	NA	NA	1.93	NA	NA	NA	NA	NA	NA
1854	NA	NA	NA	NA	NA	2.19	NA	NA	NA	NA	NA	NA
1855	NA	NA	NA	NA	NA	2.26	NA	NA	NA	NA	NA	NA
1856	NA	NA	NA	NA	NA	1.84	NA	NA	NA	NA	NA	NA
1857	NA	NA	NA	NA	NA	2.01	NA	NA	NA	NA	NA	NA
1858	NA	NA	NA	NA	NA	1.46	NA	NA	NA	NA	NA	NA
1859	NA	NA	NA	NA	NA	1.6	NA	NA	2.39	NA	NA	NA
1860	NA	NA	NA	NA	NA	1.75	NA	NA	2.25	NA	NA	NA
1861	NA	NA	NA	NA	NA	1.47	NA	NA	3.18	NA	NA	NA
1862	NA	NA	NA	NA	NA	0.79	NA	NA	2.83	NA	NA	NA
1863	NA	NA	NA	NA	NA	0.92	NA	NA	3.32	NA	NA	NA
1864	NA	NA	NA	NA	NA	0.6	NA	NA	2.89	NA	NA	NA
1865	NA	NA	NA	NA	NA	0.56	NA	NA	2.26	NA	NA	NA
1866	NA	NA	NA	NA	NA	0.43	NA	NA	2.99	NA	NA	NA
1867	NA	NA	NA	NA	NA	0.37	NA	NA	2.47	NA	NA	NA
1868	NA	NA	NA	NA	NA	0.3	NA	NA	1.37	NA	NA	NA
1869	NA	NA	NA	NA	NA	0.22	NA	NA	1.28	NA	NA	NA
1870	NA	NA	NA	NA	NA	0.17	NA	NA	1.18	NA	NA	NA
1871	NA	NA	NA	NA	NA	0.11	NA	NA	1.25	NA	NA	NA
1872	NA	NA	NA	NA	NA	0.06	NA	NA	1.08	NA	NA	NA
1873	NA	NA	NA	NA	NA	0.1	NA	NA	1.19	NA	NA	NA
1874	NA	NA	NA	NA	NA	0.1	NA	NA	0.98	NA	NA	NA
1875	NA	NA	NA	NA	NA	0.04	NA	NA	0.91	NA	NA	NA
1876	NA	NA	NA	NA	NA	0.12	NA	NA	1.12	NA	NA	NA
1877	NA	NA	NA	NA	NA	0.16	NA	NA	0.91	NA	NA	NA
1878	NA	NA	NA	NA	NA	0.04	NA	NA	0.83	NA	NA	NA
1879	NA	NA	NA	NA	NA	0.08	NA	NA	0.85	NA	NA	NA
1880	NA	NA	NA	2.52	NA	0.08	NA	NA	0.57	NA	NA	NA
1881	NA	NA	2.87	3.21	NA	0.07	NA	NA	0.64	NA	NA	NA
1882	NA	NA	3.33	3.29	NA	0.12	NA	NA	0.38	NA	NA	NA
1883	1.35	NA	3.74	3.33	NA	0.08	NA	NA	0.36	NA	NA	NA
1884	1.52	NA	3.89	3.02	NA	0.04	NA	NA	0.36	NA	NA	NA
1885	1.78	NA	3.16	2.86	NA	0.06	NA	NA	0.42	NA	NA	NA
1886	1.82	NA	4.05	2.82	NA	0.23	NA	NA	0.26	NA	1.95	NA
1887	1.46	NA	3.48	2.56	NA	0.16	NA	NA	0.26	NA	2.39	NA
1888	1.38	NA	3.03	2.26	NA	0.15	NA	NA	0.13	NA	3.15	NA
1889	1.73	NA	3.51	2.5	NA	0.12	NA	NA	0.21	NA	3.63	NA
1890	1.42	NA	3.24	2.5	NA	0.16	NA	NA	0.21	NA	2.83	NA
1891	1.03	NA	2.79	2.01	NA	0.11	NA	NA	0.34	NA	2.29	NA
1892	1.06	NA	3.14	2.6	NA	0.11	NA	NA	0.3	NA	2.77	NA
1893	0.97	NA	3.33	2.48	NA	0.07	NA	NA	0.32	NA	2.85	NA
1894	0.94	NA	3.04	2.24	NA	0.09	NA	NA	0.25	NA	2.79	NA
1895	0.91	NA	2.69	2.11	NA	0.07	NA	NA	0.15	NA	2.1	NA
1896	0.86	NA	2.85	1.98	NA	0.1	NA	NA	0.18	NA	2.33	NA
1897	0.94	NA	2.98	2.27	NA	0.09	NA	NA	0.11	NA	2.25	NA
1898	0.98	NA	3.03	2.5	NA	0.04	3.41	NA	0.13	NA	1.92	NA
1899	0.72	NA	3.28	2.96	NA	0.14	3.84	NA	0.11	NA	2.29	NA
1900	0.9	NA	3.08	2.58	NA	0.15	5.22	NA	0.15	NA	2.42	NA
1901	1.17	NA	3.27	3.32	NA	0.19	5.56	NA	0.15	NA	2.41	NA
1902	1.42	NA	3.18	3.09	NA	0.47	4.35	NA	0.16	NA	2.23	NA
1903	1.5	NA	3.04	2.94	NA	0.58	5.49	NA	0.14	NA	2.28	NA
1904	1.27	NA	3	2.57	NA	0.78	5.25	NA	0.12	NA	2.11	NA
1905	1.77	NA	3.19	3	NA	0.89	5.7	NA	0.15	NA	2.27	NA
1906	1.66	3.59	2.63	2.42	NA	0.84	4.35	NA	0.13	NA	1.81	NA
1907	1.68	4.91	2.7	2.36	NA	1.11	4.57	NA	0.1	NA	1.93	NA
1908	1.94	6.57	2.77	2.49	NA	1.62	4.64	NA	0.03	NA	2.22	NA
1909	2.14	6.37	2.62	2.08	NA	1.18	4.54	NA	0.12	NA	2.45	0.11
1910	2.87	6.09	3.16	2.55	NA	1.66	4.89	NA	0.14	NA	2.4	2.46
1911	2.53	5.81	2.86	3.02	NA	2.87	5.59	NA	0.16	NA	2.51	2.64
1912	2.84	6.3	3.41	3.43	1.6	2.67	4.9	NA	0.11	NA	2.59	2.63
