# Schweingruber - Mar Lodge - LADE - ITRDB BRIT023
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4523
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4523.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit023-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit023-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit023.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit023.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-07-31
#--------------------
# File_Last_Modified_Date
#   Date: 2002-07-31
#--------------------
# Title
#   Study_Name: Schweingruber - Mar Lodge - LADE - ITRDB BRIT023
#--------------------
# Investigators
#   Investigators: Schweingruber, F.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2019-01-08. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Mar Lodge
#   Location: United Kingdom
#   Northernmost_Latitude: 56.98
#   Southernmost_Latitude: 56.98
#   Easternmost_Longitude: -3.5
#   Westernmost_Longitude: -3.5
#   Elevation_m: 400
#--------------------
# Data_Collection
#   Collection_Name: BRIT023
#   First_Year: 1846
#   Last_Year: 1976
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Larix decidua Mill.
#   Common_Name: European larch
#   Tree_Species_Code: LADE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 384011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 384011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 384012_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 384012; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 384021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 384021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 384022_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 384022; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 384051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 384051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 384052_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 384052; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	384011_raw	384012_raw	384021_raw	384022_raw	384051_raw	384052_raw
1846	NA	NA	2.88	NA	NA	NA
1847	2.82	NA	2.26	NA	NA	NA
1848	2.82	NA	3.48	NA	NA	NA
1849	2.43	NA	2.26	NA	NA	NA
1850	2.15	NA	3.25	NA	NA	NA
1851	2.72	NA	2.9	NA	NA	NA
1852	4.8	NA	4.95	NA	NA	NA
1853	4.81	NA	3.67	NA	NA	NA
1854	4.04	NA	3.75	NA	NA	NA
1855	3.38	NA	4.73	NA	NA	NA
1856	2.46	NA	3.52	NA	NA	NA
1857	2.23	NA	5.32	NA	NA	NA
1858	3.18	NA	5.84	NA	NA	NA
1859	3.33	NA	5.74	NA	NA	NA
1860	2.38	NA	4.4	5.53	NA	NA
1861	1.59	NA	3.82	5.01	NA	NA
1862	1.01	NA	4.17	4.68	NA	NA
1863	0.6	NA	3.44	3.87	NA	NA
1864	0.88	NA	2.98	3.32	NA	NA
1865	0.91	NA	3.08	2.62	NA	NA
1866	0.94	NA	3.71	4.41	NA	NA
1867	0.8	NA	3.16	3.98	NA	NA
1868	0.3	NA	2.03	3.62	NA	NA
1869	0.4	NA	2.33	3	NA	NA
1870	0.11	NA	2.02	2.66	NA	NA
1871	0.28	NA	1.33	2.17	4.22	NA
1872	0.5	NA	1.35	1.69	3.97	NA
1873	0.62	NA	3.3	2.21	4.43	NA
1874	0.52	NA	2.84	2.27	4.32	NA
1875	0.57	NA	2.27	2.53	3.75	NA
1876	0.85	NA	2.19	2.28	4.19	NA
1877	0.86	NA	1.56	2.01	3.34	NA
1878	1.42	NA	1.54	2.17	3.03	3.88
1879	1.25	1.44	1.25	2.09	2.51	2.84
1880	1.5	2.75	1.24	2.51	2.84	3.42
1881	1.1	2.49	1.75	1.92	2.11	3.22
1882	1.59	3.2	2.47	2.54	2.9	4.17
1883	2	2.61	2.3	1.4	2.72	4.06
1884	2.31	2.82	2.2	1.89	3.06	4.06
1885	1.44	2.05	1.51	1.61	2.04	2.49
1886	1.72	1.97	1.64	2.61	3	2.98
1887	1.71	1.8	1.43	2.6	3.08	3.78
1888	1.69	2.34	1.52	2.23	2.75	3.49
1889	1.76	2.66	1.79	2.54	3.64	4.22
1890	1.69	2.99	1.57	2.23	4.71	4.09
1891	1.52	2.35	1.48	2.21	4.12	3.74
1892	1.21	2.19	1.32	2.21	4.12	3.11
1893	1.07	2.6	1.81	2.19	3.88	3.75
1894	1.21	2.36	1.52	2.69	2.99	2.77
1895	1.14	2.36	2.04	2.1	2.85	3.33
1896	1.63	2.84	1.98	2.73	3.51	4.23
1897	1.49	2.94	1.76	2.14	2.72	3.59
1898	1.32	2.86	1.26	2.41	3.06	3.72
1899	1.93	2.65	0.94	2.38	3.09	3.49
1900	2.27	3.07	0.89	2.67	4.01	4.83
1901	2.98	3.46	1.63	3.13	5.25	4.93
1902	1.4	1.95	1.01	1.28	2.79	2.28
1903	1.72	2.64	1.25	1.42	3.64	2.68
1904	1.58	3.25	1.55	2.58	5.27	3.94
1905	2.01	2.64	1.48	2.36	3.76	3.02
1906	1.71	3.06	0.84	1.45	3.3	2.79
1907	1.64	2.29	0.74	2.16	2.68	3.07
1908	1.2	2.52	0.64	2.44	3.09	3.54
1909	1.62	3.33	1.06	1.99	4.11	3.51
1910	1.52	3.56	1.03	1.75	5.02	4.54
1911	1.18	2.19	1.09	2.16	5.74	5.06
1912	1.25	2.91	0.98	2.03	4.16	4.14
1913	1.23	3.24	0.78	1.99	3.87	3.71
1914	0.61	1.69	0.65	1.35	1.23	1.56
1915	0.88	2.76	1.07	1.66	2.26	2.55
1916	1.32	4	1.05	2.34	3.03	3.47
1917	1.25	4.76	0.99	2.09	0.94	1.53
1918	1.59	5.22	1.08	2.24	1.96	2.3
1919	1.49	3.44	1.29	2.42	2.6	3.7
1920	1.22	2.65	0.92	2.16	2.09	3.97
1921	1	2.12	0.98	2.05	2.15	4.67
1922	0.66	1.2	0.77	1.17	1.63	2.94
1923	0.61	1.14	0.92	1.01	1.4	2.3
1924	0.74	1.36	0.82	1.19	1.37	2.05
1925	0.91	1.57	0.96	1.27	2.03	2.4
1926	0.69	1.65	1	1.63	1.55	1.72
1927	0.61	1.71	0.52	1.4	1.65	2.11
1928	0.37	1.93	0.66	1.7	1.61	1.73
1929	0.58	2.79	0.95	1.78	2.54	2.22
1930	0.6	2.87	0.84	1.89	2.44	2.63
1931	0.5	1.68	0.95	1.82	3.01	2.44
1932	0.73	1.86	0.79	1.06	3.68	2.45
1933	0.4	2.32	1.12	1.3	3.01	2.22
1934	0.38	1.54	0.81	1.53	1.58	1.49
1935	0.46	1.5	0.6	1.46	1.52	1.64
1936	0.24	1.37	0.67	0.98	1.86	1.14
1937	0.45	1.45	0.88	1.39	1.86	1.46
1938	0.56	1.45	0.23	1.48	2.49	2.41
1939	0.78	1.58	0.76	1.94	2.65	1.74
1940	0.86	1.42	0.78	1.29	3.2	1.55
1941	0.87	1.61	0.98	1.95	2.9	2.35
1942	0.52	1.21	0.6	1.48	1.15	0.52
1943	0.62	1.25	0.1	1.55	1.04	0.69
1944	0.7	1.53	0.79	1.51	1.35	0.86
1945	1.07	1.97	0.82	2.3	1.88	1.59
1946	1.31	3.07	1.18	1.41	1.62	1.86
1947	1.08	2.83	1.04	1.21	1.75	1.72
1948	0.89	3.02	0.93	1.58	1.76	1.99
1949	0.96	4.14	0.68	1.68	2.14	2.79
1950	0.68	2.93	0.68	0.85	1.4	1.41
1951	0.69	2.52	0.95	0.81	1.14	1.55
1952	0.48	2.11	0.65	0.88	1.2	1.51
1953	0.63	2.48	0.47	1.45	1.35	2.44
1954	0.55	1.88	0.63	1.69	0.93	1.42
1955	0.57	1.8	0.83	2.24	1.26	2.6
1956	0.41	0.66	0.37	0.92	0.26	0.64
1957	0.59	0.96	0.64	1.63	0.72	1.43
1958	0.3	0.85	0.48	1	0.92	1.82
1959	0.8	1.55	1.11	1.52	1.5	3.58
1960	0.95	1.31	0.75	1.43	1.42	2.49
1961	0.82	1.57	0.56	1.46	1.71	2.64
1962	0.77	1.46	0.33	1.72	1.56	3.02
1963	0.77	1.28	0.59	1.64	1.63	2.9
1964	0.94	1.55	0.82	2.09	1.88	2.68
1965	0.59	1.58	0.52	2.15	1.52	2.11
1966	0.3	1.46	0.48	1.56	1.53	2.29
1967	0.49	1.44	0.29	0.85	0.66	1.42
1968	0.53	1.05	0.27	1.09	0.85	1.55
1969	0.39	0.74	0.51	1.23	0.85	1.54
1970	0.32	0.83	0.45	1.53	0.3	0.92
1971	0.36	1.14	0.46	2	0.78	2.04
1972	0.16	1.47	0.21	1.37	0.65	1.55
1973	0.44	0.91	0.79	1.65	0.78	1.38
1974	0.2	0.95	0.61	1.22	0.27	0.82
1975	0.57	1.23	1.49	1.6	0.76	1.28
1976	0.27	0.54	0.65	0.81	NA	NA
