# Becker - Oberer Bannwald A - PISY - ITRDB GERM017
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2704
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2704.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/germ017-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; germ017-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/germ017.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/germ017.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Becker - Oberer Bannwald A - PISY - ITRDB GERM017
#--------------------
# Investigators
#   Investigators: Becker, B.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Oberer Bannwald A
#   Location: Germany
#   Northernmost_Latitude: 48.57
#   Southernmost_Latitude: 48.57
#   Easternmost_Longitude: 9.08
#   Westernmost_Longitude: 9.08
#   Elevation_m: 740
#--------------------
# Data_Collection
#   Collection_Name: GERM017
#   First_Year: 1778
#   Last_Year: 1971
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus sylvestris L.
#   Common_Name: Scots pine
#   Tree_Species_Code: PISY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 880020_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 880020; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 880040_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 880040; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 880050_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 880050; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 880070_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 880070; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	880020_raw	880040_raw	880050_raw	880070_raw
1778	0.23	0.17	NA	NA
1779	0.34	0.22	0.22	NA
1780	0.43	0.32	0.32	0.35
1781	0.54	0.54	0.47	0.65
1782	0.56	0.5	0.51	0.7
1783	0.61	0.61	0.57	0.73
1784	0.54	0.6	0.67	0.49
1785	0.56	0.62	0.76	0.54
1786	0.65	0.59	0.62	0.5
1787	0.53	0.55	0.49	0.4
1788	0.65	0.61	0.62	0.6
1789	0.62	0.55	0.63	0.43
1790	0.62	0.54	0.54	0.55
1791	0.64	0.6	0.49	0.51
1792	0.91	0.76	0.67	0.91
1793	0.69	0.75	0.55	0.66
1794	0.71	0.59	0.5	0.77
1795	0.74	0.53	0.56	0.65
1796	0.75	0.63	0.53	0.76
1797	0.71	0.68	0.42	0.74
1798	0.65	0.77	0.48	0.91
1799	0.61	0.65	0.44	0.68
1800	0.64	0.6	0.46	0.66
1801	0.75	0.5	0.47	0.54
1802	0.69	0.51	0.54	0.47
1803	0.73	0.46	0.43	0.52
1804	0.64	0.39	0.37	0.38
1805	0.55	0.41	0.44	0.32
1806	0.51	0.37	0.37	0.45
1807	0.48	0.42	0.42	0.37
1808	0.56	0.4	0.52	0.36
1809	0.52	0.33	0.45	0.3
1810	0.53	0.42	0.54	0.4
1811	0.47	0.39	0.44	0.29
1812	0.39	0.24	0.38	0.26
1813	0.48	0.31	0.44	0.31
1814	0.47	0.33	0.53	0.33
1815	0.36	0.31	0.59	0.27
1816	0.29	0.21	0.43	0.27
1817	0.3	0.21	0.44	0.29
1818	0.31	0.29	0.43	0.39
1819	0.47	0.25	0.46	0.51
1820	0.46	0.18	0.32	0.31
1821	0.52	0.24	0.4	0.33
1822	0.81	0.33	0.6	0.41
1823	0.59	0.23	0.53	0.37
1824	0.42	0.24	0.42	0.33
1825	0.46	0.25	0.39	0.27
1826	0.5	0.21	0.35	0.22
1827	0.31	0.2	0.35	0.24
1828	0.43	0.24	0.47	0.35
1829	0.4	0.22	0.44	0.38
1830	0.38	0.19	0.4	0.32
1831	0.32	0.27	0.48	0.36
1832	0.27	0.18	0.42	0.36
1833	0.31	0.23	0.39	0.31
1834	0.39	0.3	0.46	0.36
1835	0.26	0.21	0.34	0.27
1836	0.31	0.22	0.38	0.24
1837	0.3	0.24	0.4	0.27
1838	0.27	0.18	0.32	0.21
1839	0.23	0.18	0.24	0.19
1840	0.36	0.17	0.3	0.25
1841	0.4	0.22	0.29	0.25
1842	0.39	0.2	0.3	0.19
1843	0.28	0.17	0.35	0.24
1844	0.25	0.2	0.35	0.18
1845	0.15	0.16	0.28	0.15
1846	0.29	0.26	0.29	0.18
1847	0.21	0.14	0.21	0.16
1848	0.37	0.22	0.35	0.27
1849	0.17	0.15	0.25	0.17
1850	0.16	0.12	0.19	0.1
1851	0.24	0.16	0.22	0.17
1852	0.21	0.11	0.23	0.16
1853	0.31	0.14	0.32	0.24
1854	0.2	0.09	0.22	0.11
1855	0.19	0.07	0.24	0.13
1856	0.22	0.09	0.25	0.2
1857	0.22	0.08	0.19	0.18
1858	0.17	0.09	0.17	0.13
1859	0.22	0.13	0.21	0.16
1860	0.23	0.15	0.17	0.16
1861	0.25	0.19	0.27	0.18
1862	0.31	0.24	0.28	0.19
1863	0.3	0.16	0.34	0.17
1864	0.37	0.22	0.4	0.19
1865	0.27	0.16	0.32	0.14
1866	0.27	0.14	0.3	0.11
1867	0.38	0.15	0.33	0.1
1868	0.29	0.16	0.28	0.12
1869	0.33	0.13	0.25	0.09
1870	0.21	0.1	0.2	0.06
1871	0.24	0.13	0.29	0.1
1872	0.17	0.1	0.29	0.09
1873	0.23	0.15	0.35	0.14
1874	0.21	0.19	0.35	0.15
1875	0.28	0.18	0.27	0.18
1876	0.39	0.15	0.29	0.14
1877	0.34	0.12	0.32	0.13
1878	0.28	0.16	0.27	0.15
1879	0.25	0.15	0.25	0.19
1880	0.17	0.17	0.25	0.13
1881	0.25	0.19	0.31	0.21
1882	0.32	0.18	0.35	0.23
1883	0.21	0.18	0.27	0.15
1884	0.27	0.21	0.28	0.18
