# Pilcher - Foret d'Halatte (Both) - QURO - ITRDB FRAN005
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4216
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4216.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fran005-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; fran005-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fran005.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/fran005.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Pilcher - Foret d'Halatte (Both) - QURO - ITRDB FRAN005
#--------------------
# Investigators
#   Investigators: Pilcher, J.R.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Foret d'Halatte (Both)
#   Location: Oise
#   Northernmost_Latitude: 49.23
#   Southernmost_Latitude: 49.23
#   Easternmost_Longitude: 2.57
#   Westernmost_Longitude: 2.57
#   Elevation_m: 140
#--------------------
# Data_Collection
#   Collection_Name: FRAN005
#   First_Year: 1719
#   Last_Year: 1979
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus robur L. = Quercus pendunculata Ehrl.
#   Common_Name: English oak
#   Tree_Species_Code: QURO
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## Q 3894_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 3894; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 3895_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 3895; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 3896_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 3896; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 3897_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 3897; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 3898_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 3898; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 3899_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 3899; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 3900_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 3900; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	Q 3894_raw	Q 3895_raw	Q 3896_raw	Q 3897_raw	Q 3898_raw	Q 3899_raw	Q 3900_raw
1824	NA	NA	NA	0.36	NA	NA	NA
1825	NA	NA	NA	0.19	NA	NA	NA
1826	NA	NA	NA	0.27	NA	NA	NA
1827	NA	NA	NA	0.22	NA	NA	NA
1828	2.94	NA	NA	0.36	NA	NA	NA
1829	1.92	NA	NA	0.49	NA	NA	NA
1830	1.8	NA	NA	0.5	NA	NA	NA
1831	1.3	NA	NA	0.57	NA	NA	NA
1832	1.29	NA	NA	0.64	NA	NA	NA
1833	0.89	NA	NA	0.52	NA	NA	NA
1834	1.1	NA	NA	0.66	NA	NA	NA
1835	0.76	NA	NA	0.42	NA	NA	NA
1836	0.76	NA	NA	0.47	NA	NA	NA
1837	0.79	NA	NA	0.59	NA	NA	NA
1838	0.93	NA	NA	0.77	NA	NA	NA
1839	1.72	NA	NA	1.84	NA	NA	NA
1840	1.36	NA	NA	1.82	NA	NA	NA
1841	0.78	NA	NA	1.84	NA	NA	NA
1842	0.62	NA	NA	0.99	NA	NA	NA
1843	1	NA	NA	1.22	NA	NA	NA
1844	0.72	NA	NA	1.09	NA	NA	NA
1845	0.84	0.67	NA	1.09	NA	NA	NA
1846	0.62	0.45	NA	1.03	NA	NA	NA
1847	1.19	0.48	NA	0.9	NA	NA	NA
1848	1.25	0.5	NA	0.84	NA	NA	0.56
1849	0.86	0.49	NA	0.96	NA	NA	0.56
1850	1.07	0.49	NA	1.32	NA	NA	0.69
1851	0.84	0.53	NA	1.25	NA	NA	0.89
1852	0.96	0.72	NA	1.12	NA	NA	0.59
1853	1.05	0.57	NA	1.5	NA	NA	0.61
1854	0.88	0.56	NA	1.24	NA	NA	0.48
1855	0.89	0.5	1.31	1.58	NA	NA	0.51
1856	0.86	0.42	0.82	1.27	NA	NA	0.3
1857	0.78	0.46	0.99	1.01	NA	NA	0.56
1858	0.81	0.35	0.77	0.94	NA	NA	0.27
1859	1.3	0.49	1.28	1.83	NA	NA	0.62
1860	2.13	0.99	2.81	1.72	NA	NA	3.6
1861	1.46	1.36	2	1.95	NA	NA	1.85
1862	1.04	1.22	1.51	1.57	NA	NA	1.67
1863	0.48	1.14	1.17	1.23	0.99	NA	0.96
1864	0.42	0.86	1.22	1.11	0.92	NA	0.95
1865	0.47	0.8	1.1	0.93	0.81	NA	1.03
1866	0.52	0.78	0.93	0.61	1.3	NA	1.02
1867	0.67	0.98	1.14	0.82	1.1	NA	1.1
1868	0.63	0.74	0.69	0.66	0.54	NA	0.92
1869	0.64	0.77	0.69	0.67	0.89	NA	0.65
1870	0.4	0.42	0.34	0.45	0.47	NA	0.42
1871	0.76	0.62	0.7	0.96	1.31	NA	0.95
1872	0.6	0.79	0.53	0.88	1.27	1.05	0.9
1873	0.76	0.76	0.46	0.98	1.27	1.1	1.23
1874	0.51	0.54	0.39	0.91	0.86	0.58	0.86
1875	0.44	0.67	0.6	0.81	1.05	0.96	1.18
1876	0.46	0.6	0.5	0.73	0.66	0.63	0.9
1877	0.71	0.62	0.46	0.99	0.75	0.74	1.05
1878	0.67	1.02	0.82	1.08	1.04	0.95	1.03
1879	0.57	0.89	0.61	0.99	1.26	1.01	1.05
1880	0.28	0.48	0.41	0.65	0.7	0.53	0.54
1881	0.34	0.47	0.39	0.68	0.53	0.41	0.71
1882	0.2	0.31	0.32	0.6	0.24	0.27	0.29
1883	0.44	0.54	0.39	0.79	0.87	0.48	0.99
1884	0.36	0.7	0.48	0.92	0.65	0.66	1
1885	0.32	0.67	0.4	0.63	0.62	0.63	1.05
1886	0.25	0.77	0.61	0.74	0.83	1.03	0.79
1887	0.21	0.57	0.4	0.62	0.56	0.47	0.61
1888	0.47	0.68	0.58	0.81	0.83	0.78	0.85
1889	0.45	0.66	0.58	0.78	0.67	0.73	0.98
1890	0.37	0.63	0.52	0.83	1.04	0.94	0.89
1891	0.41	0.53	0.55	0.57	0.71	0.69	0.6
1892	0.27	0.31	0.24	0.44	0.46	0.37	0.57
1893	0.3	0.63	0.38	0.45	0.52	0.5	0.59
1894	0.31	0.56	0.51	0.41	0.54	0.67	0.81
1895	0.41	0.56	0.45	0.65	0.69	0.5	1.21
1896	0.34	0.52	0.39	0.59	0.51	0.51	0.6
1897	0.35	0.71	0.55	0.62	0.91	0.64	1.06
1898	0.39	0.71	0.38	0.66	0.72	0.69	0.91
1899	0.64	0.66	0.44	0.66	0.61	0.64	0.72
1900	0.36	0.49	0.38	0.51	0.53	0.48	0.58
1901	0.41	0.51	0.42	0.52	0.56	0.49	0.54
1902	0.39	0.6	0.42	0.46	0.58	0.59	0.63
1903	0.38	0.51	0.38	0.51	0.52	0.54	0.47
1904	0.33	0.6	0.32	0.53	0.5	0.55	0.48
1905	0.25	0.43	0.18	0.31	0.42	0.28	0.25
