# Bräker - Stockmatthubel - FASY - ITRDB SWIT350
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16925
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16925.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit350-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit350-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit350.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit350.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Bräker - Stockmatthubel - FASY - ITRDB SWIT350
#--------------------
# Investigators
#   Investigators: Bräker, O.U.; Zingg, A.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Stockmatthubel
#   Location: Switzerland
#   Northernmost_Latitude: 47.2631
#   Southernmost_Latitude: 47.2631
#   Easternmost_Longitude: 7.8864
#   Westernmost_Longitude: 7.8864
#   Elevation_m: 460
#--------------------
# Data_Collection
#   Collection_Name: SWIT350
#   First_Year: 1911
#   Last_Year: 1992
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Fagus sylvatica L.
#   Common_Name: European beech
#   Tree_Species_Code: FASY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## VW822034_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VW822034; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	VW822034_raw
1911	1.12
1912	1.04
1913	1.26
1914	1.13
1915	1.27
1916	1.6
1917	1.94
1918	4.22
1919	3.13
1920	1.99
1921	1.01
1922	2.27
1923	2.79
1924	2.39
1925	1.93
1926	2.84
1927	2.67
1928	3.75
1929	1.2
1930	1.88
1931	1.99
1932	2.31
1933	3.25
1934	1.93
1935	1.67
1936	1.12
1937	1.01
1938	2.23
1939	2.31
1940	1.97
1941	1.71
1942	1.24
1943	1.17
1944	1.83
1945	1.83
1946	1.77
1947	1.23
1948	1.62
1949	1.2
1950	1.31
1951	1.46
1952	2.28
1953	1.28
1954	1.4
1955	1.19
1956	1.1
1957	0.22
1958	0.51
1959	0.47
1960	0.61
1961	0.69
1962	0.24
1963	0.35
1964	0.57
1965	0.61
1966	0.47
1967	0.61
1968	1.06
1969	1.63
1970	1.79
1971	0.37
1972	1.06
1973	1.27
1974	2.53
1975	2.53
1976	2.28
1977	2.67
1978	2.49
1979	2.26
1980	2.17
1981	1.13
1982	2.39
1983	2.71
1984	2.68
1985	1.99
1986	1.98
1987	2.37
1988	3.51
1989	2.54
1990	2.34
1991	1.48
1992	0.88
