# Becker - Grodnertal - ABAL - ITRDB ITAL2
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2700
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2700.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/ital2-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ital2-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/ital2.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ital2.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 1990-08-01
#--------------------
# File_Last_Modified_Date
#   Date: 1990-08-01
#--------------------
# Title
#   Study_Name: Becker - Grodnertal - ABAL - ITRDB ITAL2
#--------------------
# Investigators
#   Investigators: Becker, B.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Grodnertal
#   Location: Italy
#   Northernmost_Latitude: 46.65
#   Southernmost_Latitude: 46.65
#   Easternmost_Longitude: 11.5
#   Westernmost_Longitude: 11.5
#   Elevation_m: 1000
#--------------------
# Data_Collection
#   Collection_Name: ITAL2
#   First_Year: 1844
#   Last_Year: 1963
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Abies alba Mill.
#   Common_Name: silver fir
#   Tree_Species_Code: ABAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 896011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 896011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 896021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 896021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 896031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 896031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 896041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 896041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 896051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 896051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	896011_raw	896021_raw	896031_raw	896041_raw	896051_raw
1844	NA	NA	NA	2.76	NA
1845	NA	NA	NA	3.05	NA
1846	NA	NA	NA	3.14	NA
1847	NA	NA	NA	2.48	NA
1848	NA	NA	NA	2.57	NA
1849	NA	0.52	NA	2.48	NA
1850	NA	0.9	NA	2.38	NA
1851	NA	1.29	NA	2.48	NA
1852	NA	1.1	NA	2.19	NA
1853	NA	1.19	NA	2.67	NA
1854	NA	1	NA	2.24	NA
1855	NA	0.95	NA	2.24	NA
1856	NA	1.62	NA	2.52	NA
1857	NA	1.48	NA	2.48	NA
1858	NA	1.43	NA	3.19	NA
1859	NA	1.33	NA	3.14	NA
1860	NA	1.48	NA	3.48	NA
1861	NA	1.19	NA	3.43	NA
1862	NA	0.86	NA	2.62	NA
1863	NA	0.14	NA	2.95	NA
1864	NA	0.81	NA	3.19	NA
1865	NA	2.9	NA	2.1	NA
1866	NA	2.62	NA	3.24	NA
1867	NA	3.62	NA	2.38	NA
1868	NA	3.43	NA	2.52	1.33
1869	NA	3.43	NA	2.48	1.76
1870	NA	2.33	NA	2.19	2.57
1871	NA	1.86	NA	2.86	2.43
1872	NA	1.38	NA	2.14	2.24
1873	NA	1.81	3	2.76	2.62
1874	NA	1.86	2.71	2.57	3.29
1875	NA	1.62	2.24	1.19	2.86
1876	NA	1.67	3.14	2.57	3.95
1877	NA	1.14	4.57	3.05	3.38
1878	NA	1	5.48	2.9	3.14
1879	NA	1.95	5.24	3.05	3.33
1880	NA	1.81	5.24	2.38	3.48
1881	3.9	2.05	6.19	3.14	3.76
1882	3.9	1.57	5.48	1.95	3.81
1883	3.71	2	5.24	2.57	4.38
1884	4.76	1.86	4.76	2.19	5.48
1885	4.19	1.95	3.81	1.38	4.43
1886	3.9	1.67	4.24	1.62	3.95
1887	3.52	2.33	4.1	1.52	4.62
1888	2.19	1.43	3.48	1.24	3.43
1889	3.62	1.81	4.19	1.76	5.48
1890	3.71	2.29	3.71	2.1	6.67
1891	5.24	1.9	3.71	1.9	5.48
1892	5.48	2.62	4.19	2.62	5.95
1893	4.1	1.48	3.48	1.1	5.48
1894	3.71	2	3.52	1.24	5
1895	3.76	2	4.29	4.29	5.24
1896	3.9	2.24	4.24	4.33	5.24
1897	4.57	2.38	5.24	5.71	5.48
1898	3.33	2.52	5.24	5.71	6.43
1899	2.86	1.76	3.9	4.14	4.67
1900	2.38	1.76	2.67	3.43	4.62
1901	2.95	3.05	3.57	3.81	5.48
1902	3.05	3.05	4.19	3.52	5.48
1903	2.19	2.48	3.71	3.24	4.67
1904	2.48	3.1	3.33	3.71	4.71
1905	3.57	4.1	3.86	4.1	6.43
1906	3.24	2.76	3	3.57	5.95
1907	3.71	2.9	2.81	3.9	5.95
1908	4.19	2.95	2.9	3.95	6.19
1909	2.33	2.05	2.14	2.52	4.29
1910	4.19	3.1	3.33	4.19	6.19
1911	3.43	3.29	3.1	4	5.71
1912	3.52	3.43	2.86	3.76	6.67
1913	3.14	2.86	2.67	3.14	5.95
1914	4.48	4.48	3.33	3.33	6.9
1915	3.81	3.43	3.1	3.57	5.95
1916	3.81	3.9	3.57	3.52	6.29
1917	3.52	3.48	3.33	3.43	5.71
1918	2.24	2.48	2.1	2.05	3.81
1919	2.95	2.57	2.48	2.38	4
1920	3.14	3.33	2.81	2.81	5
1921	2.1	1.38	1.14	1.24	2
1922	1.24	1.62	1.33	0.95	2.24
1923	2.05	2.14	2.14	1.43	3.05
1924	3.14	2.48	2.52	2.1	4.1
1925	4.14	3.43	4.19	2.43	4.57
1926	5	4.38	4.52	2.9	4.76
1927	4.43	4.43	4.29	2.95	4.29
1928	4.19	4	3.43	2.19	4.29
1929	4.24	4.19	3.9	2.29	4.29
1930	5	4.71	4.43	2.48	4.71
1931	3.05	3.1	3.33	1.71	2.71
1932	3.43	2.9	3.24	1.67	3.14
1933	3.05	3.43	2.9	1.71	2.62
1934	3.9	3.62	2.95	1.86	2.86
1935	4.19	3.1	2.86	1.71	2.52
1936	3.43	2.95	2.48	1.57	2.1
1937	4.19	3.33	2.57	2.19	1.9
1938	2.76	2.1	2.33	2.1	1.67
1939	3.14	2.76	2.48	2.29	1.33
