# Hillam - Bretton Lakes - QUSP - ITRDB BRIT034
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3491
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3491.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit034-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit034-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit034.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit034.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Hillam - Bretton Lakes - QUSP - ITRDB BRIT034
#--------------------
# Investigators
#   Investigators: Hillam, J.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Bretton Lakes
#   Location: United Kingdom
#   Northernmost_Latitude: 53.67
#   Southernmost_Latitude: 53.67
#   Easternmost_Longitude: -1.5
#   Westernmost_Longitude: -1.5
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: BRIT034
#   First_Year: 1873
#   Last_Year: 1984
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## BRET03_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BRET03; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BRET04_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BRET04; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BRET05_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BRET05; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BRET07_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BRET07; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BRET08_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BRET08; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BRET10_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BRET10; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BRET11_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BRET11; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BRET13_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BRET13; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BRET14_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BRET14; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BRET15_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BRET15; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	BRET03_raw	BRET04_raw	BRET05_raw	BRET07_raw	BRET08_raw	BRET10_raw	BRET11_raw	BRET13_raw	BRET14_raw	BRET15_raw
1873	0.46	1.22	NA	NA	NA	NA	NA	NA	NA	NA
1874	0.52	0.74	NA	NA	NA	NA	NA	NA	NA	NA
1875	1.28	2.96	NA	NA	NA	NA	NA	NA	NA	NA
1876	1.3	2.54	NA	NA	NA	NA	NA	NA	NA	NA
1877	1.32	2.18	NA	NA	NA	NA	1.3	NA	NA	NA
1878	2.3	2.98	NA	NA	NA	NA	1.2	NA	NA	NA
1879	1.74	3.9	NA	NA	1.18	NA	0.94	NA	0.7	NA
1880	1.32	2.98	NA	NA	0.74	NA	1.52	0.96	1.06	NA
1881	0.52	1.74	NA	NA	0.58	NA	1.16	0.28	0.28	NA
1882	1.66	2.7	NA	NA	1.16	NA	2.66	0.46	0.88	1.46
1883	1.74	2.26	NA	NA	0.7	NA	2.5	0.68	1.26	1.26
1884	1.9	1.84	NA	NA	1.08	NA	2.38	1.16	1.4	1.48
1885	1.8	1.34	NA	NA	0.68	NA	1.84	0.92	1.06	1.54
1886	1.7	1.68	NA	NA	0.38	NA	2.2	0.78	0.98	1.48
1887	1.14	1.3	NA	NA	0.44	NA	1.74	0.72	1.02	1.66
1888	0.86	0.86	NA	NA	0.26	NA	1.32	0.36	0.44	1.3
1889	0.3	0.62	2.26	NA	0.48	NA	1.18	0.94	0.8	1.9
1890	0.8	1.54	2.34	NA	0.96	NA	2.08	1.84	1.18	2.18
1891	1.56	1.06	1.6	NA	0.98	NA	1.72	1.38	0.96	2.04
1892	1.6	1.28	2.36	NA	0.68	2.7	1.54	1.54	0.66	1.48
1893	1.82	1.52	2	NA	0.88	3.02	1.48	2.32	0.98	1.78
1894	1.56	0.88	1.94	NA	1.36	2	1.24	1.52	1.36	2.02
1895	2.48	1.36	1.92	NA	1.04	3.04	1.46	2.32	0.7	4.08
1896	1.72	1.38	1.8	NA	1.18	2.48	1.5	2.28	0.96	1.48
1897	1.6	1.2	1.52	NA	1.14	2.6	1.48	2.04	1.22	2
1898	1.96	1.32	1.24	NA	1.04	2.92	1.52	1.68	0.84	2.62
1899	2.18	1.16	0.88	NA	1.46	3.02	1.66	2.28	0.8	1.72
1900	1.3	1.04	0.92	NA	1.16	2.4	1.28	2.32	0.72	1.84
1901	1.62	1.28	1.12	0.84	0.86	2.46	1.42	2.4	0.92	2.46
1902	0.76	0.56	0.72	0.5	0.68	1.64	0.82	1.3	0.88	1.8
1903	0.9	0.46	0.7	1.14	1.12	2.8	1.16	1.92	1.5	1.64
1904	0.98	0.62	0.38	0.86	1.76	2.9	1.36	2	1.68	1.84
1905	1.06	0.64	0.72	0.26	1.88	2.8	1.34	1.96	1.28	1.86
1906	0.98	0.68	0.5	0.4	1.72	2.42	1.1	1.52	1.06	1.62
1907	0.68	0.72	0.42	0.52	1.28	1.86	0.64	1.1	0.92	1.36
1908	0.26	0.46	0.2	0.4	0.78	1.74	0.46	1.06	0.78	0.94
1909	0.3	0.42	0.18	0.28	0.9	1.44	0.36	0.7	0.54	1.06
1910	0.3	0.48	0.18	0.2	0.48	1.04	0.32	0.48	0.22	0.58
1911	0.34	0.58	0.22	0.2	0.38	1.16	0.4	0.58	0.18	1.3
1912	0.28	0.32	0.18	0.18	0.78	0.78	0.44	0.48	0.44	1.56
1913	0.26	0.36	0.18	0.22	0.54	0.68	0.28	0.56	0.24	1.32
1914	1.04	0.58	0.38	0.52	0.38	0.9	0.54	0.54	0.38	1.8
1915	1.58	0.68	0.66	1.46	1.34	1.68	0.94	0.94	1.06	2.4
1916	1.4	0.96	0.46	0.82	1.06	2	0.48	0.88	0.8	1.82
1917	1.64	0.56	0.68	0.88	0.54	1.8	0.8	0.66	0.42	2.42
1918	1.12	0.32	0.42	0.66	0.7	1.72	0.66	0.46	0.34	2.38
1919	0.82	0.36	0.48	0.42	0.52	1.06	0.64	0.44	0.36	2.52
1920	1.08	0.56	0.6	0.42	0.68	1.5	1.08	0.44	0.22	1.98
1921	1.48	0.78	0.66	0.56	0.54	1.5	0.98	0.56	0.26	2.38
1922	1.1	0.32	0.58	0.38	0.44	1.2	0.9	0.5	0.28	1.2
1923	0.7	0.24	0.24	0.26	0.3	0.3	0.34	0.28	0.22	0.8
1924	1.8	0.5	0.56	0.64	0.42	0.64	0.76	0.52	0.22	1.2
1925	1.9	0.58	0.58	0.7	0.78	1	0.88	0.6	0.22	1.7
1926	3.56	0.6	1.08	1.08	1.24	1.38	1.42	0.68	0.52	2.18
1927	2.46	0.46	0.54	0.54	0.9	1.34	0.98	0.3	0.48	1.12
1928	3.42	0.66	0.46	0.8	0.74	0.98	0.72	0.64	0.8	0.76
1929	2.64	0.78	0.64	0.8	0.76	0.84	0.66	0.74	0.86	0.92
1930	2	0.58	0.42	1.04	0.88	0.64	0.96	0.6	0.74	0.96
1931	1.16	0.56	0.28	1.14	0.46	0.42	0.62	0.26	0.36	0.74
1932	0.94	0.78	0.36	0.96	0.48	0.32	0.84	0.2	0.26	0.42
1933	1.12	0.96	0.36	0.94	0.64	0.84	1.14	0.44	0.38	0.76
1934	1.6	0.8	0.48	1.16	0.9	1.22	1.02	0.56	0.74	0.66
1935	1.6	0.78	0.3	1.62	0.74	0.94	1.26	0.58	0.94	0.92
