# Bräker - Rabins - PICE - ITRDB SWIT339
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16913
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16913.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit339-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit339-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit339.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit339.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Bräker - Rabins - PICE - ITRDB SWIT339
#--------------------
# Investigators
#   Investigators: Bräker, O.U.; Zingg, A.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Rabins
#   Location: Switzerland
#   Northernmost_Latitude: 46.4408
#   Southernmost_Latitude: 46.4408
#   Easternmost_Longitude: 9.7878
#   Westernmost_Longitude: 9.7878
#   Elevation_m: 1800
#--------------------
# Data_Collection
#   Collection_Name: SWIT339
#   First_Year: 1770
#   Last_Year: 1996
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Pinus cembra L.
#   Common_Name: Swiss stone pine
#   Tree_Species_Code: PICE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SMA1763G_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMA1763G; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMA1763P_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMA1763P; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SMA1763G_raw	SMA1763P_raw
1770	2.78	2.31
1771	1.83	1.89
1772	2.14	2.04
1773	2.2	2.09
1774	2.61	2.26
1775	2.65	2.22
1776	2.43	2.52
1777	2.34	2.19
1778	2.11	2.12
1779	2.13	2.09
1780	2.34	2.59
1781	2.4	2.47
1782	1.89	2.01
1783	1.57	1.7
1784	1.42	1.62
1785	0.98	1.08
1786	0.98	1.15
1787	1.07	1.11
1788	1.06	1.08
1789	0.99	1.11
1790	0.78	1.11
1791	0.95	1.26
1792	0.93	1.14
1793	0.99	1.31
1794	0.89	1.09
1795	0.83	1.26
1796	0.61	1.02
1797	0.68	1.07
1798	0.78	1.23
1799	0.64	1.21
1800	0.65	1.15
1801	0.66	1.12
1802	0.7	1.03
1803	0.6	1.03
1804	0.53	0.93
1805	0.52	0.76
1806	0.49	0.8
1807	0.73	0.91
1808	0.57	0.71
1809	0.45	0.63
1810	0.6	0.8
1811	0.65	0.79
1812	0.49	0.78
1813	0.36	0.57
1814	0.33	0.51
1815	0.35	0.45
1816	0.35	0.41
1817	0.31	0.44
1818	0.31	0.41
1819	0.35	0.39
1820	0.36	0.38
1821	0.34	0.38
1822	0.3	0.32
1823	0.35	0.41
1824	0.28	0.35
1825	0.3	0.48
1826	0.24	0.47
1827	0.3	0.69
1828	0.38	0.73
1829	0.48	0.8
1830	0.42	0.89
1831	0.43	0.81
1832	0.31	0.55
1833	0.23	0.45
1834	0.31	0.64
1835	0.32	0.77
1836	0.32	0.46
1837	0.35	0.44
1838	0.33	0.52
1839	0.41	0.71
1840	0.53	0.86
1841	0.49	0.8
1842	0.57	0.91
1843	0.44	0.74
1844	0.46	0.93
1845	0.44	0.76
1846	0.41	0.77
1847	0.36	0.63
1848	0.36	0.59
1849	0.32	0.42
1850	0.27	0.51
1851	0.23	0.47
1852	0.26	0.44
1853	0.32	0.55
1854	0.32	0.56
1855	0.24	0.42
1856	0.2	0.47
1857	0.27	0.54
1858	0.19	0.68
1859	0.24	0.83
1860	0.2	0.86
1861	0.32	0.83
1862	0.29	0.74
1863	0.35	0.69
1864	0.3	0.73
1865	0.32	0.69
1866	0.35	0.64
1867	0.32	0.65
1868	0.33	0.59
1869	0.38	0.9
1870	0.41	0.51
1871	0.42	0.78
1872	0.47	0.64
1873	0.55	0.61
1874	0.59	0.5
1875	0.73	0.61
1876	0.51	0.39
1877	0.46	0.46
1878	0.48	0.49
1879	0.51	0.53
1880	0.36	0.53
1881	0.31	0.44
1882	0.45	0.55
1883	0.42	0.53
1884	0.42	0.7
1885	0.42	0.57
1886	0.6	0.82
1887	0.54	0.72
1888	0.64	0.82
1889	0.76	0.84
1890	0.83	0.91
1891	0.73	0.82
1892	0.72	0.73
1893	0.77	0.78
1894	0.68	0.54
1895	0.77	0.51
1896	0.64	0.57
1897	0.68	0.66
1898	0.83	0.8
1899	0.56	0.42
1900	0.55	0.56
1901	0.6	0.57
1902	0.59	0.56
1903	0.63	0.71
1904	0.63	0.69
1905	0.58	0.67
1906	0.58	0.53
1907	0.56	0.48
1908	0.52	0.55
1909	0.48	0.55
1910	0.39	0.51
1911	0.49	0.8
1912	0.42	0.64
1913	0.48	0.6
1914	0.48	0.54
1915	0.41	0.57
1916	0.41	0.56
1917	0.41	0.59
1918	0.4	0.59
1919	0.41	0.55
1920	0.43	0.58
1921	0.52	0.78
1922	0.56	0.68
1923	0.59	0.74
1924	0.62	0.67
1925	0.62	0.86
1926	0.5	0.65
1927	0.52	0.76
1928	0.42	0.81
1929	0.46	0.76
1930	0.33	0.71
1931	0.41	0.66
1932	0.33	0.75
1933	0.44	0.55
1934	0.37	0.51
1935	0.47	0.51
1936	0.54	0.62
1937	0.49	0.49
1938	0.45	0.45
