# Vanoni - Spluegen - ABAL - ITRDB SWIT403
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/33051
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-33051.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit403-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit403-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit403.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit403.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2021-03-05
#--------------------
# File_Last_Modified_Date
#   Date: 2021-03-05
#--------------------
# Title
#   Study_Name: Vanoni - Spluegen - ABAL - ITRDB SWIT403
#--------------------
# Investigators
#   Investigators: Vanoni, M.; Frey, H.-U.; Bigler, C.
#--------------------
# Description_Notes_and_Keywords
#   Description: Reference: 
# # Vanoni M. 2012. Klimatische Einflusse auf die Wachstumsvariabilitat von Weisstanne und Fichte entlang des Weisstannen-Ausbreitungsgradienten. Master thesis. ETH Zurich, Zurich. NOAA Template Raw Measurements file added 2021-05-03.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Spluegen
#   Location: Switzerland
#   Northernmost_Latitude: 46.559829
#   Southernmost_Latitude: 46.559829
#   Easternmost_Longitude: 9.35523
#   Westernmost_Longitude: 9.35523
#   Elevation_m: 1480
#--------------------
# Data_Collection
#   Collection_Name: SWIT403
#   First_Year: 1779
#   Last_Year: 2011
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Abies alba Mill.
#   Common_Name: silver fir
#   Tree_Species_Code: ABAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SGT01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SGT01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SGT02_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SGT02; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SGT03_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SGT03; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SGT04_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SGT04; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SGT05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SGT05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SGT06_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SGT06; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SGT01_raw	SGT02_raw	SGT03_raw	SGT04_raw	SGT05A_raw	SGT06_raw
1779	NA	NA	NA	NA	NA	0.88
1780	NA	NA	NA	NA	NA	0.73
1781	NA	NA	NA	NA	NA	0.8
1782	NA	NA	NA	NA	NA	1.15
1783	NA	NA	NA	NA	NA	1.27
1784	NA	NA	NA	NA	NA	1.36
1785	NA	NA	NA	NA	NA	1.34
1786	NA	NA	NA	NA	NA	1.28
1787	NA	NA	NA	NA	NA	1.17
1788	NA	NA	NA	NA	NA	1.16
1789	NA	NA	NA	NA	NA	0.73
1790	NA	NA	NA	NA	NA	0.87
1791	NA	NA	NA	NA	NA	0.94
1792	NA	NA	NA	NA	NA	0.87
1793	NA	NA	NA	NA	NA	1.05
1794	NA	NA	NA	NA	NA	1.24
1795	NA	NA	NA	NA	NA	1.09
1796	NA	NA	NA	NA	NA	1.1
1797	NA	NA	NA	NA	NA	1.2
1798	NA	NA	NA	NA	NA	1.4
1799	NA	NA	NA	NA	NA	1.36
1800	NA	NA	NA	NA	NA	1.15
1801	NA	NA	NA	NA	NA	1.29
1802	NA	NA	NA	NA	NA	1.14
1803	NA	NA	NA	NA	NA	1.04
1804	NA	NA	NA	NA	NA	1.12
1805	NA	NA	NA	NA	NA	1.19
1806	NA	NA	NA	NA	NA	0.86
1807	NA	NA	NA	NA	NA	1.21
1808	NA	NA	NA	NA	NA	1.16
1809	NA	NA	NA	NA	NA	1.03
1810	NA	NA	NA	NA	NA	0.91
1811	NA	NA	NA	NA	NA	0.72
1812	NA	NA	NA	NA	NA	0.53
1813	NA	NA	NA	NA	NA	0.5
1814	NA	NA	NA	NA	NA	0.64
1815	NA	NA	NA	NA	NA	0.6
1816	NA	NA	NA	NA	NA	0.61
1817	NA	NA	NA	NA	NA	0.69
1818	NA	NA	NA	NA	NA	0.61
1819	NA	NA	NA	NA	NA	0.32
1820	NA	NA	NA	NA	NA	0.34
1821	NA	NA	NA	NA	NA	0.19
1822	NA	NA	NA	NA	NA	0.11
1823	NA	NA	NA	NA	NA	0.17
1824	NA	NA	2.25	NA	NA	0.18
1825	NA	NA	1.82	NA	NA	0.23
1826	NA	NA	2.17	NA	NA	0.27
1827	NA	NA	2.75	NA	NA	0.23
1828	NA	NA	3.57	NA	NA	0.31
1829	NA	NA	3.4	NA	NA	0.36
1830	NA	NA	1.54	NA	NA	0.34
1831	NA	NA	3.13	NA	NA	0.59
1832	NA	NA	3	NA	NA	0.69
1833	NA	NA	2.21	NA	NA	0.59
1834	NA	NA	3.52	NA	NA	0.81
1835	NA	NA	2.52	NA	NA	0.77
1836	NA	NA	2.09	NA	NA	0.68
1837	NA	NA	1.84	NA	NA	0.65
1838	NA	NA	1.63	NA	NA	0.5
1839	NA	NA	2.07	NA	NA	0.48
1840	NA	NA	2.2	NA	NA	0.59
1841	NA	NA	2.01	NA	NA	0.62
1842	NA	NA	2.3	NA	NA	0.75
1843	NA	NA	1.79	NA	NA	0.64
1844	NA	NA	2.13	NA	NA	0.65
1845	NA	NA	2.21	NA	NA	0.9
1846	NA	NA	2.21	NA	NA	0.9
1847	NA	NA	1.69	NA	NA	0.7
1848	NA	NA	3.95	NA	NA	0.99
1849	NA	NA	2.83	NA	NA	0.87
1850	NA	NA	2.31	NA	NA	0.84
1851	NA	NA	1.78	NA	NA	0.94
1852	NA	NA	2.1	NA	NA	1.04
1853	NA	NA	1.96	NA	NA	1.04
1854	NA	NA	1.62	2.23	NA	0.71
1855	NA	NA	1.45	2.02	NA	0.58
1856	NA	NA	1.54	3.02	NA	0.97
1857	NA	NA	1.66	2.21	NA	0.87
1858	NA	NA	1.43	2.32	NA	0.67
1859	NA	2.88	2.08	2.74	NA	0.87
1860	NA	1.91	1.41	2	NA	0.73
1861	NA	2.79	1.12	2.68	NA	1.15
1862	NA	2.43	1.15	2.5	NA	0.72
1863	NA	2.4	0.85	2.5	NA	0.83
1864	NA	2.56	1.38	2.65	NA	0.62
1865	NA	1.94	1.14	1.63	NA	0.4
1866	NA	2.41	1.61	2.53	NA	0.57
1867	NA	2.03	1.78	2.09	NA	0.54
1868	NA	1.76	1.51	1.83	NA	0.42
1869	NA	2.05	2.2	2.34	NA	0.67
1870	NA	1.41	1.58	1.97	NA	0.35
1871	NA	2.02	1.87	2.08	NA	0.87
1872	NA	1.84	1.54	1.92	NA	0.65
1873	NA	2.32	1.89	2.38	NA	0.9
1874	NA	1.79	1.48	1.89	NA	0.73
1875	NA	1.61	1.28	1.77	NA	0.66
1876	NA	1.73	1.42	2.43	NA	0.72
1877	NA	1.71	1.4	1.87	NA	0.75
1878	NA	2	1.57	2.33	NA	0.61
1879	NA	1.78	1.71	2.65	NA	0.54
