# Cherubini - Chironico - ABAL - ITRDB SWIT221
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/12792
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-12792.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit221-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit221-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit221.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit221.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Cherubini - Chironico - ABAL - ITRDB SWIT221
#--------------------
# Investigators
#   Investigators: Cherubini, P.(https://orcid.org/0000-0002-9809-250X)
#--------------------
# Description_Notes_and_Keywords
#   Description: Cores and cross-sections are stored at: 
# # WSL 
# # 
# # 
# # Notes: 
# # Slope N 
# # Formerly chi_616_ABAL_R.tuc
# # 
# #  NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Chironico
#   Location: Switzerland
#   Northernmost_Latitude: 46.45
#   Southernmost_Latitude: 46.45
#   Easternmost_Longitude: 8.8167
#   Westernmost_Longitude: 8.8167
#   Elevation_m: 1357
#--------------------
# Data_Collection
#   Collection_Name: SWIT221
#   First_Year: 1843
#   Last_Year: 1996
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Abies alba Mill.
#   Common_Name: silver fir
#   Tree_Species_Code: ABAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## aa01b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: aa01b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## aa02a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: aa02a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## aa02c_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: aa02c; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## aa03b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: aa03b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## aa03c_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: aa03c; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## aa04a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: aa04a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## aa04b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: aa04b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## aa05a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: aa05a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## aa05b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: aa05b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## aa06a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: aa06a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## aa06b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: aa06b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## aa07a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: aa07a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## aa07b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: aa07b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## aa08a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: aa08a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## aa08b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: aa08b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## aa09a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: aa09a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## aa09b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: aa09b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## aa10a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: aa10a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## aa10b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: aa10b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## aa11a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: aa11a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## aa11b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: aa11b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	aa01b_raw	aa02a_raw	aa02c_raw	aa03b_raw	aa03c_raw	aa04a_raw	aa04b_raw	aa05a_raw	aa05b_raw	aa06a_raw	aa06b_raw	aa07a_raw	aa07b_raw	aa08a_raw	aa08b_raw	aa09a_raw	aa09b_raw	aa10a_raw	aa10b_raw	aa11a_raw	aa11b_raw
1843	NA	NA	NA	NA	NA	NA	NA	NA	1.39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1844	NA	NA	NA	NA	NA	NA	NA	NA	1.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1845	NA	NA	NA	NA	NA	NA	NA	NA	1.69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1846	NA	NA	NA	NA	NA	NA	NA	NA	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1847	NA	NA	NA	NA	NA	NA	NA	NA	1.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1848	NA	NA	NA	NA	NA	NA	NA	NA	1.31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1849	NA	NA	NA	NA	NA	NA	NA	NA	0.97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1850	NA	NA	NA	NA	NA	NA	NA	NA	0.99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1851	NA	NA	NA	NA	NA	NA	NA	NA	0.46	NA	NA	NA	NA	1.85	NA	NA	NA	NA	NA	NA	NA
1852	NA	NA	NA	NA	NA	NA	NA	NA	0.35	NA	NA	NA	NA	1.47	NA	NA	NA	NA	NA	NA	NA
1853	NA	NA	NA	NA	NA	NA	NA	0.79	0.39	NA	NA	NA	NA	1.76	NA	NA	NA	NA	NA	NA	NA
1854	NA	NA	NA	NA	NA	NA	NA	0.89	0.36	NA	NA	NA	NA	1.11	NA	NA	NA	NA	NA	NA	NA
1855	NA	NA	NA	NA	NA	NA	NA	0.85	0.47	NA	NA	NA	NA	1.26	0.97	NA	NA	NA	NA	NA	NA
1856	NA	NA	NA	NA	NA	NA	NA	0.77	0.35	NA	NA	NA	NA	0.82	0.99	NA	NA	NA	NA	NA	NA
1857	NA	NA	NA	NA	NA	NA	NA	0.56	0.39	NA	NA	NA	NA	1	1.21	NA	NA	NA	NA	NA	NA
1858	NA	NA	NA	NA	NA	NA	NA	0.62	0.34	NA	NA	NA	NA	0.83	1.3	NA	NA	NA	NA	NA	NA
1859	NA	NA	NA	NA	NA	NA	NA	0.7	0.43	NA	NA	NA	NA	1.16	1.19	NA	NA	NA	NA	NA	NA
1860	NA	NA	NA	NA	NA	NA	NA	0.33	0.44	NA	NA	NA	NA	0.84	0.85	NA	NA	NA	NA	NA	NA
1861	NA	NA	NA	NA	NA	NA	NA	0.51	0.5	NA	NA	NA	NA	0.94	1.02	NA	NA	NA	NA	NA	NA
1862	NA	NA	NA	NA	NA	NA	NA	0.44	0.32	2.48	NA	NA	NA	0.92	0.76	NA	NA	NA	NA	NA	NA
1863	NA	NA	NA	NA	NA	NA	NA	0.53	0.6	2.09	NA	NA	NA	1.35	0.56	NA	NA	1.84	NA	NA	NA
1864	NA	NA	NA	NA	NA	NA	NA	0.47	0.85	2.88	NA	NA	NA	1.29	0.66	NA	NA	1.72	1.37	NA	NA
1865	NA	NA	NA	NA	NA	NA	NA	0.27	0.67	2.4	NA	NA	NA	0.99	0.51	NA	NA	1.54	2.09	NA	NA
1866	NA	NA	NA	NA	NA	NA	NA	0.33	0.83	2.64	NA	NA	NA	1.07	0.54	NA	NA	1.7	1.5	NA	NA
1867	NA	NA	NA	NA	NA	NA	NA	0.33	1.18	2.04	NA	NA	NA	1.26	0.63	NA	NA	1.81	1.26	NA	NA
1868	NA	NA	NA	NA	NA	NA	NA	0.3	0.75	1.64	NA	NA	NA	1.13	0.65	NA	NA	1.37	1.13	2.44	NA
1869	NA	NA	NA	NA	NA	NA	NA	0.29	0.64	1.8	NA	NA	NA	0.94	0.88	NA	NA	1.72	1.39	2	NA
1870	NA	NA	NA	NA	NA	2.12	NA	0.26	0.51	1.28	NA	NA	1.85	0.68	0.59	NA	NA	1.42	1.16	2.08	NA
1871	NA	NA	NA	NA	NA	2.32	NA	0.37	0.91	1.36	NA	NA	2.35	1.21	0.99	NA	NA	1.63	1.46	2.12	NA
1872	NA	NA	NA	NA	NA	1.64	NA	0.27	0.53	1.28	NA	NA	2.12	0.89	0.8	NA	NA	1.2	0.98	1.47	NA
1873	NA	NA	NA	NA	NA	1.73	NA	0.4	0.7	1.77	4.82	NA	2.41	0.89	0.93	NA	NA	1.51	1.16	1.46	NA
1874	NA	NA	NA	NA	NA	1.91	NA	0.28	0.59	2.24	4.73	NA	2.28	0.99	0.77	NA	NA	1.35	1.05	1.63	NA
1875	NA	NA	NA	NA	NA	1.59	NA	0.24	0.75	1.86	3.54	NA	2.01	0.95	0.58	NA	NA	1.1	0.94	1.71	NA
1876	NA	NA	NA	NA	NA	1.78	NA	0.37	0.95	1.85	2.97	NA	2.01	1.17	0.88	NA	NA	1.28	1.07	1.9	NA
1877	NA	NA	NA	NA	NA	1.7	NA	0.35	0.93	1.88	3.02	NA	2.09	0.97	0.88	NA	NA	1.12	0.9	1.75	NA
1878	NA	NA	NA	NA	NA	1.59	NA	0.38	0.89	1.69	3.17	NA	1.95	1.65	1.12	NA	NA	1	0.86	1.96	NA
1879	NA	NA	NA	NA	NA	1.12	NA	0.31	0.87	1.37	2.83	NA	1.8	1.32	1.16	NA	NA	0.87	0.78	1.57	NA
1880	NA	NA	NA	NA	NA	1.99	NA	0.38	0.76	1.31	2.53	NA	1.54	1.72	1.35	NA	NA	1.08	1	1.73	2.36
1881	NA	NA	NA	NA	NA	2.38	NA	0.38	0.6	1.45	2.73	NA	1.38	2.05	1.94	NA	NA	1.05	0.93	1.79	2.65
1882	NA	NA	NA	NA	NA	1.98	NA	0.31	0.63	1.22	2.39	NA	1.17	2.22	2.12	NA	NA	0.96	0.66	1.55	2.38
1883	NA	NA	NA	NA	NA	1.81	NA	0.39	0.62	1.42	2.31	NA	1.32	2.01	1.96	NA	3.25	0.84	0.82	1.58	2.06
1884	NA	NA	NA	NA	NA	2.24	NA	0.43	0.65	1.78	2.44	NA	1.24	2.6	2.41	NA	3.64	1.11	1.13	1.91	2.15
1885	NA	NA	NA	NA	NA	1.92	NA	0.38	0.7	1.89	2.3	NA	1.08	2.07	2.09	NA	3.13	0.64	1.02	1.28	2.56
1886	NA	NA	NA	NA	NA	1.88	NA	0.54	0.69	1.81	2.31	NA	1.66	1.88	1.98	NA	2.65	0.7	0.97	1.47	1.85
1887	NA	NA	NA	NA	NA	2.29	NA	0.75	0.74	1.97	2.53	NA	1.64	1.84	1.91	NA	2.32	0.67	0.86	1.18	3.51
1888	NA	NA	NA	NA	NA	2.35	NA	0.98	0.78	1.86	1.88	NA	1.4	1.55	1.47	NA	2.22	0.61	0.75	1.29	1.54
1889	NA	NA	NA	NA	NA	2.93	NA	1.4	1.02	1.98	2.37	NA	1.66	2.14	2.14	NA	2.8	0.72	0.86	1.64	1.89
1890	NA	NA	NA	NA	NA	2.96	3.46	2.49	1.73	2.14	2.61	NA	1.55	2.32	2.55	NA	2.95	0.86	1.06	1.73	1.79
1891	NA	NA	NA	NA	NA	2.04	2.63	2.37	1.93	2.08	2.51	NA	1.26	1.64	1.8	NA	2.46	0.63	0.79	1.27	1.3
1892	NA	NA	NA	NA	NA	2.9	2.82	3.25	3.12	1.9	2.24	NA	1.64	1.71	2.19	NA	2.86	0.78	0.89	1.32	1.27
