# Fischer - Hessen/Kellerwald dhk38 - PSME - ITRDB GERM161
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16674
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16674.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/germ161-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; germ161-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/germ161.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/germ161.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2014-02-27
#--------------------
# File_Last_Modified_Date
#   Date: 2014-02-27
#--------------------
# Title
#   Study_Name: Fischer - Hessen/Kellerwald dhk38 - PSME - ITRDB GERM161
#--------------------
# Investigators
#   Investigators: Fischer, S.
#--------------------
# Description_Notes_and_Keywords
#   Description: Purpose of Collection:
# # climate/growth relationship
# # 
# # 
# # References:
# # Fischer, S. and B. Neuwirth. 2012.
# # Klimasensitivitat der Douglasie in Eifel und Kellerwald. 
# # Allgemeine Forst- und Jagdzeitung 183 (1/2): 23-33 NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Hessen/Kellerwald dhk38
#   Location: Germany
#   Northernmost_Latitude: 51.15
#   Southernmost_Latitude: 51.15
#   Easternmost_Longitude: 8.9
#   Westernmost_Longitude: 8.9
#   Elevation_m: 350
#--------------------
# Data_Collection
#   Collection_Name: GERM161
#   First_Year: 1907
#   Last_Year: 2009
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## dhk3810m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: dhk3810m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## dhk3801m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: dhk3801m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## dhk3802m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: dhk3802m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## dhk3803m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: dhk3803m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## dhk3804m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: dhk3804m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## dhk3805m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: dhk3805m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## dhk3806m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: dhk3806m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## dhk3807m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: dhk3807m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## dhk3808m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: dhk3808m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	dhk3810m_raw	dhk3801m_raw	dhk3802m_raw	dhk3803m_raw	dhk3804m_raw	dhk3805m_raw	dhk3806m_raw	dhk3807m_raw	dhk3808m_raw
1907	NA	NA	NA	NA	NA	5.17	NA	NA	NA
1908	NA	NA	NA	NA	3.47	4.63	NA	NA	NA
1909	NA	NA	NA	NA	3.07	3.04	NA	NA	NA
1910	4.31	NA	NA	NA	3.8	3.8	NA	NA	NA
1911	2.99	NA	NA	NA	2.72	2.24	NA	NA	NA
1912	5.05	NA	NA	NA	6.45	4.15	NA	NA	NA
1913	3.47	NA	NA	NA	4.49	3.61	NA	NA	NA
1914	7.07	NA	NA	NA	6.7	4.49	NA	NA	NA
1915	7.33	NA	NA	NA	6.53	3.67	NA	NA	NA
1916	8.52	NA	NA	NA	7.35	4.56	NA	NA	10.11
1917	5.74	NA	NA	NA	3.68	2.87	NA	NA	5.49
1918	6.1	NA	7.05	6	4.28	2.85	4.54	4.08	4.92
1919	5.48	NA	6.66	4.86	5.14	2.89	3.68	4.05	5.88
1920	5.51	NA	5.89	5.14	5	2.97	3.76	4.38	5.06
1921	4.44	NA	6.02	4.14	3.58	2.08	2.85	3.33	4.96
1922	4.19	NA	6.98	4.7	3.72	2.26	2.5	3.4	4.88
1923	5.26	NA	7.81	5.47	5.14	3.18	3.52	4.66	5.28
1924	4.51	NA	6.17	4.82	4.3	2.9	3.46	4.35	5.3
1925	4.63	NA	5.38	4.98	4.39	2.94	3.44	4.41	6.99
1926	4.73	NA	4.35	4.36	4.67	3.08	4.26	4.44	6.98
1927	4.05	NA	5.8	3.12	4.6	3.28	3.94	3.39	5.94
1928	2.95	NA	4.19	2.56	3.61	2.31	2.48	2.49	4.28
1929	2.03	NA	2.89	2.11	2.66	1.54	2.22	2.31	2.56
1930	3.71	NA	4.92	4.17	3.38	2.62	3	3.18	5.12
1931	3.22	NA	4.2	3.18	3.22	2.48	3.02	3.34	4.42
1932	3.72	NA	4.42	3.44	2.8	2.65	3.05	3.17	3.56
1933	3.94	NA	4.07	4	3.44	3.24	3.1	4.4	4.93
1934	3.08	NA	4.49	3.06	3.02	1.86	2.46	2.62	3.56
1935	3.86	NA	4.22	3.3	3.83	2.66	3.08	4.78	3.85
1936	3.51	NA	4.71	2.82	3.33	2.61	3.08	3.6	3.76
1937	3.46	NA	4.25	2.74	2.68	2.54	3.1	3.24	4.1
1938	3.44	NA	3.8	2.65	2.41	2.95	2.87	2.84	3.04
1939	3.58	3.62	5.62	3.34	2.84	3.59	2.39	2.9	4.66
1940	2.04	3.13	3.79	2.45	2.26	3.28	1.83	1.72	2.9
1941	4.2	4.44	5.04	4.58	3.12	4.17	3.08	3.84	5.1
1942	2.24	4.11	4.02	3.56	2.84	3.32	2.02	3.22	3.33
1943	2.73	3.28	3.79	2.7	2.42	2.2	2.3	1.82	4.28
1944	2.14	3.84	3.8	3.04	2.34	2.37	2.54	2.86	3.52
1945	0.64	3.84	4.04	2.5	1.46	1.7	1.62	1.93	2.91
1946	1.88	4.24	4.16	3.84	2.37	2.35	2.21	3.22	3.94
1947	1.61	3	3.2	2.41	1.9	1.46	1.78	2.22	3.16
1948	2.36	3.46	3.56	2.8	2.6	1.01	1.46	3.6	3.52
1949	0.94	2.82	2.76	2.24	1.99	0.95	0.95	2.24	2.59
1950	0.97	3.14	2.38	2.02	2.08	1.21	0.68	2.2	2.84
1951	0.7	3.72	4.86	3	3.05	1.96	1.38	3.36	3.66
1952	0.51	1.96	3.31	2.23	1.2	1.62	1.04	1.76	2.34
1953	0.72	4.25	4.09	2.61	1.35	1.98	1.72	2.88	3.62
1954	0.89	2.62	4.08	1.98	1.32	1.54	0.48	1.73	3.18
1955	1.34	4.24	3.67	3.2	2.67	2.25	0.58	2.12	3.52
1956	1.36	2.98	3.26	2.36	2.2	2.21	0.22	1.44	3.28
1957	1.45	2.35	3.33	2.42	1.96	1.3	0.47	2.44	3.12
1958	0.74	2.6	2.08	2.86	1.96	0.69	0.42	2.48	2.1
1959	0.92	1.98	2.43	1.68	1.5	0.85	0.35	1.42	1.48
1960	0.84	1.52	1.6	1.14	2.1	0.34	0.2	1.38	2.23
1961	0.79	3.01	2.44	1.52	3.17	0.64	0.41	2.17	2.81
1962	0.46	2.43	2.51	1.09	2.56	0.87	0.52	2.1	2.36
1963	0.38	1.75	2.52	0.94	2.24	0.76	0.99	1.95	3.06
1964	0.82	1.54	1.12	0.86	1.16	0.44	0.76	1.23	0.84
1965	0.94	2.6	2.01	1.8	2.02	0.55	1.06	2.39	2.94
1966	1.74	3.4	3.62	2.26	2.9	0.76	2.54	3.11	4.72
1967	2.06	3.17	3.45	2.46	2.48	0.94	2.47	2.59	3.16
1968	2.06	3.05	4.34	2.56	2.45	0.8	2.84	2.38	3.36
1969	1.54	2.9	2.76	1.86	1.74	0.64	1.84	1.8	2.3
1970	1.84	2.89	2.05	2	1.79	0.85	1.52	1.84	1.94
1971	2.19	2.71	2	1.66	1.74	0.82	1.43	1.27	2.33
1972	2.52	3.31	3.29	2.18	2.21	1.08	1.82	1.63	3.13
1973	1.45	1.62	1.47	1.23	1.14	0.43	1.02	0.71	1.9
1974	1.11	1.5	0.88	1.53	1.44	0.29	1.56	1.32	0.84
1975	1.08	2.09	1.49	1.46	1.42	0.27	1.2	1.32	0.82
1976	0.5	1.06	0.63	0.6	0.48	0.17	0.23	0.41	0.48
1977	1.32	1.58	1.81	1.03	1.27	0.39	1.15	1.5	0.9
