# Vanoni - Tiefencastel - ABAL - ITRDB SWIT405
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/33053
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-33053.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit405-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit405-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit405.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit405.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2021-03-05
#--------------------
# File_Last_Modified_Date
#   Date: 2021-03-05
#--------------------
# Title
#   Study_Name: Vanoni - Tiefencastel - ABAL - ITRDB SWIT405
#--------------------
# Investigators
#   Investigators: Vanoni, M.; Frey, H.-U.; Bigler, C.
#--------------------
# Description_Notes_and_Keywords
#   Description: Reference: 
# # Vanoni M. 2012. Klimatische Einflusse auf die Wachstumsvariabilitat von Weisstanne und Fichte entlang des Weisstannen-Ausbreitungsgradienten. Master thesis. ETH Zurich, Zurich. NOAA Template Raw Measurements file added 2021-05-03.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Tiefencastel
#   Location: Switzerland
#   Northernmost_Latitude: 46.6572
#   Southernmost_Latitude: 46.6572
#   Easternmost_Longitude: 9.593863
#   Westernmost_Longitude: 9.593863
#   Elevation_m: 1010
#--------------------
# Data_Collection
#   Collection_Name: SWIT405
#   First_Year: 1841
#   Last_Year: 2011
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Abies alba Mill.
#   Common_Name: silver fir
#   Tree_Species_Code: ABAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## TST01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TST01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TST02_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TST02; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TST03_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TST03; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TST04_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TST04; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TST05_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TST05; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TST07_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TST07; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TST08_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TST08; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TST09_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TST09; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TST10_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TST10; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TST11_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TST11; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TST12_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TST12; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TST13_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TST13; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TST14_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TST14; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TST15_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TST15; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	TST01_raw	TST02_raw	TST03_raw	TST04_raw	TST05_raw	TST07_raw	TST08_raw	TST09_raw	TST10_raw	TST11_raw	TST12_raw	TST13_raw	TST14_raw	TST15_raw
1841	NA	NA	NA	NA	2.02	NA	NA	NA	NA	NA	NA	NA	NA	NA
1842	NA	NA	NA	NA	1.96	NA	NA	NA	NA	NA	NA	NA	NA	NA
1843	NA	NA	NA	NA	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA
1844	NA	NA	NA	NA	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA
1845	NA	NA	NA	NA	1.49	NA	NA	NA	NA	NA	NA	NA	NA	NA
1846	NA	NA	NA	NA	1.78	NA	NA	NA	NA	NA	NA	NA	NA	NA
1847	NA	NA	NA	NA	1.26	NA	NA	NA	NA	NA	NA	NA	NA	NA
1848	NA	NA	NA	NA	1.41	NA	NA	NA	NA	NA	NA	NA	NA	NA
1849	NA	NA	NA	NA	1.44	NA	NA	NA	NA	NA	NA	NA	NA	NA
1850	NA	NA	NA	NA	1.87	NA	NA	NA	NA	NA	NA	NA	NA	NA
1851	NA	NA	NA	NA	1.75	NA	NA	NA	NA	NA	NA	NA	NA	NA
1852	NA	NA	NA	NA	1.67	NA	NA	NA	NA	NA	NA	NA	NA	NA
1853	NA	NA	NA	NA	1.97	NA	NA	NA	NA	NA	NA	NA	NA	NA
1854	NA	NA	NA	NA	1.81	NA	NA	NA	NA	NA	NA	NA	NA	NA
1855	NA	NA	NA	NA	2.21	NA	NA	NA	NA	NA	NA	NA	NA	NA
1856	NA	NA	NA	NA	2.28	NA	NA	NA	NA	NA	NA	1.81	NA	NA
1857	NA	NA	NA	NA	2.68	NA	NA	NA	NA	NA	NA	1.43	NA	NA
1858	NA	NA	NA	NA	1.71	NA	NA	NA	NA	NA	NA	2.38	NA	NA
1859	NA	NA	NA	NA	1.92	NA	NA	NA	2.06	NA	NA	2.92	NA	NA
1860	NA	NA	NA	NA	1.5	NA	NA	NA	1.48	NA	NA	2.77	NA	NA
1861	NA	NA	NA	NA	1.84	NA	NA	NA	1.65	NA	NA	3.39	NA	NA
1862	NA	NA	NA	NA	1.51	NA	NA	NA	1.12	NA	NA	2.36	NA	NA
1863	NA	NA	NA	NA	1.81	NA	NA	NA	1.02	NA	NA	2.86	NA	NA
1864	NA	NA	NA	NA	1.49	NA	NA	NA	1.81	NA	NA	2.93	NA	NA
1865	NA	NA	NA	NA	1.19	NA	NA	NA	1.83	NA	NA	3.03	NA	NA
1866	NA	NA	NA	NA	1.48	NA	NA	NA	2.41	NA	NA	3.52	NA	NA
1867	NA	NA	NA	NA	1.47	NA	NA	NA	1.88	NA	NA	3.21	NA	NA
1868	NA	NA	NA	NA	1.37	NA	NA	NA	1.56	NA	NA	2.8	NA	NA
1869	NA	NA	NA	NA	1.36	NA	NA	NA	2.24	NA	NA	3.16	NA	NA
1870	NA	NA	NA	NA	0.94	NA	0.48	NA	1.87	NA	NA	1.66	NA	NA
1871	NA	NA	NA	NA	1.42	NA	0.89	NA	2.59	NA	NA	3.16	NA	NA
1872	NA	NA	NA	NA	1.34	NA	0.46	NA	1.83	NA	NA	2.93	NA	NA
1873	NA	NA	NA	NA	1.58	NA	0.74	NA	2.41	NA	NA	3.16	NA	NA
1874	NA	NA	NA	NA	1.35	NA	0.5	NA	2.33	NA	1.19	2.5	NA	NA
1875	NA	NA	NA	NA	1.22	NA	0.61	NA	2.12	NA	1.27	2.39	NA	NA
1876	NA	NA	NA	NA	1.35	NA	0.71	NA	2.83	NA	1.45	2.75	NA	NA
1877	NA	NA	NA	NA	1.04	NA	0.58	NA	2.57	3.08	1.29	2.83	NA	NA
1878	NA	NA	NA	NA	1.51	NA	0.59	NA	2.26	2.35	1.31	3.11	NA	NA
1879	NA	NA	NA	NA	2.1	NA	0.81	NA	2.58	2.46	1.24	2.97	NA	NA
1880	NA	NA	NA	NA	1.96	NA	1.25	NA	3	2.13	1.21	2.43	NA	NA
1881	NA	2.91	NA	NA	1.95	NA	2.3	NA	3.1	1.08	1.2	2.13	NA	NA
1882	NA	2.67	NA	NA	1.71	NA	2.34	NA	3.23	1.13	1.17	2.03	NA	NA
1883	NA	3.05	NA	NA	1.97	NA	2.19	NA	3.4	1.82	1.46	2.52	NA	NA
1884	NA	2.78	NA	2.61	1.88	NA	1.99	NA	3.34	1.11	1.4	2.38	NA	NA
1885	NA	2.75	NA	2.86	1.54	NA	1.54	NA	3.1	1.55	0.99	1.9	NA	NA
1886	NA	2.74	NA	3.26	1.25	1.78	1.35	NA	3.3	1.37	1.09	2.19	NA	NA
1887	1.55	2.6	NA	3.66	2.09	2.35	1.18	NA	3.3	1.44	0.82	2.21	NA	NA
1888	1.26	1.81	NA	2.37	1.93	2.37	1.02	NA	3.01	1.78	0.97	1.47	NA	NA
1889	1.72	1.91	NA	3.2	2.32	3.61	1.1	NA	3.37	2.72	1.79	1.87	NA	NA
1890	1.53	1.89	NA	3.57	2.52	2.67	1.28	NA	4	3.32	2.51	2.09	NA	NA
1891	2.45	1.96	NA	4.72	2.22	3.33	1.25	NA	3.67	4	2.65	2.22	NA	2.53
1892	4.56	2.35	NA	4.56	2.39	4.34	1.38	NA	4.1	4.59	3.64	2.69	NA	3.64
1893	4.91	2.37	NA	4.5	2.16	4.68	1.26	NA	4.28	4.89	4.19	2.48	NA	4.48
1894	3.95	2.51	NA	3.98	2	4.81	1.24	NA	4.76	4	4.37	2.77	NA	3.92
1895	3.29	2.7	NA	3.89	2.35	5.05	1.43	NA	4.75	4.19	3.75	2.44	NA	3.85
1896	2.56	2.09	NA	3.6	1.77	3.92	1.06	NA	4.9	3.81	4.1	2.3	NA	3.92
1897	2.15	2.1	NA	3.3	2.33	5.7	1.19	NA	4.25	3.33	4.11	1.88	NA	3.86
1898	2.15	1.28	NA	3.28	2.3	5.52	1.3	NA	4.18	3	3.62	1.08	NA	3.83
1899	1.89	1.23	2.16	2.87	1.85	4.67	1.14	NA	3.77	2.71	2.89	1.68	NA	4.48
1900	1.93	1.02	1.87	2.43	1.64	3.73	1.28	NA	3.47	2.35	2.45	2.17	NA	3.98
