# Bigler - Andeer GR Caschlera - LADE - ITRDB SWIT183
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5499
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5499.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit183-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit183-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit183.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit183.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2007-08-02
#--------------------
# File_Last_Modified_Date
#   Date: 2007-08-02
#--------------------
# Title
#   Study_Name: Bigler - Andeer GR Caschlera - LADE - ITRDB SWIT183
#--------------------
# Investigators
#   Investigators: Bigler, C.; Tiri, R.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Andeer GR Caschlera
#   Location: Switzerland
#   Northernmost_Latitude: 46.58
#   Southernmost_Latitude: 46.58
#   Easternmost_Longitude: 9.4
#   Westernmost_Longitude: 9.4
#   Elevation_m: 2000
#--------------------
# Data_Collection
#   Collection_Name: SWIT183
#   First_Year: 1807
#   Last_Year: 2006
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Larix decidua Mill.
#   Common_Name: European larch
#   Tree_Species_Code: LADE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## AN31A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AN31A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AN32A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AN32A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AN33B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AN33B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AN34B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AN34B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AN35B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AN35B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AN36A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AN36A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AN37A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AN37A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AN39A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AN39A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	AN31A_raw	AN32A_raw	AN33B_raw	AN34B_raw	AN35B_raw	AN36A_raw	AN37A_raw	AN39A_raw
1807	NA	NA	NA	NA	1.62	NA	NA	NA
1808	NA	NA	NA	NA	1.6	NA	NA	NA
1809	NA	NA	NA	NA	0.52	NA	NA	NA
1810	NA	NA	NA	NA	1.16	NA	NA	NA
1811	NA	NA	NA	0.57	1.47	NA	NA	NA
1812	NA	NA	NA	1.02	1.16	NA	NA	NA
1813	NA	NA	NA	0.74	0.51	2.23	NA	NA
1814	NA	NA	NA	0.13	0.78	0.56	NA	NA
1815	NA	NA	NA	0.43	0.51	0.49	NA	NA
1816	NA	NA	NA	0.21	0.32	0.22	NA	NA
1817	NA	NA	NA	0.19	0.53	0.15	NA	NA
1818	NA	NA	NA	0.27	0.66	0.81	NA	NA
1819	NA	NA	NA	0.34	0.69	1.09	NA	NA
1820	NA	NA	NA	0.24	0.86	0.25	NA	NA
1821	NA	NA	NA	0.38	0.47	0.37	NA	NA
1822	NA	NA	NA	0.87	0.94	0.55	NA	NA
1823	NA	NA	NA	0.55	0.89	0.26	NA	NA
1824	NA	NA	NA	0.37	0.69	0.25	NA	NA
1825	NA	NA	NA	0.4	0.82	0.19	NA	NA
1826	NA	NA	NA	0.48	0.9	0.26	NA	NA
1827	NA	NA	NA	0.58	1.45	0.23	NA	NA
1828	NA	NA	NA	0.53	1.73	0.39	NA	NA
1829	NA	NA	NA	0.59	1.64	0.57	NA	NA
1830	NA	NA	NA	0.05	0.65	0.3	NA	NA
1831	NA	NA	NA	0.53	1	0.64	NA	NA
1832	NA	NA	NA	0.44	1.09	0.84	NA	NA
1833	NA	NA	NA	0.76	1.39	1.38	NA	NA
1834	NA	NA	NA	0.91	1.47	1.91	NA	NA
1835	NA	NA	NA	1.16	1.56	3.44	NA	NA
1836	NA	NA	NA	0.79	0.92	1.47	NA	NA
1837	NA	NA	NA	0.92	0.73	1.02	NA	NA
1838	NA	NA	NA	0.71	0.78	0.97	NA	NA
1839	NA	NA	NA	0.86	0.89	1	NA	NA
1840	NA	NA	NA	0.55	0.67	1.18	NA	NA
1841	NA	NA	NA	0.37	0.59	0.9	NA	NA
1842	NA	NA	NA	1.35	1.33	1.91	1.43	NA
1843	NA	NA	NA	0.44	0.93	0.81	0.75	NA
1844	NA	NA	NA	0.83	1	1.27	0.89	NA
1845	NA	NA	NA	0.74	0.98	1.44	1.32	NA
1846	NA	NA	NA	1.26	1.23	1.66	2.42	NA
1847	NA	NA	NA	1.53	1.57	2.85	1.74	NA
1848	NA	NA	NA	1.29	0.91	0.68	0.87	NA
1849	NA	NA	NA	1.23	0.95	1.21	1.68	NA
1850	NA	NA	NA	0.9	0.62	1.09	1.7	NA
1851	NA	NA	NA	0.77	0.52	1.14	1.29	NA
1852	NA	NA	NA	0.89	0.35	0.9	1.44	NA
1853	NA	NA	NA	0.92	0.24	0.74	1.32	NA
1854	NA	NA	NA	0.65	0.15	0.4	0.62	NA
1855	NA	NA	NA	1.17	0.15	1.11	0.86	NA
1856	NA	NA	NA	1.57	0.16	1.07	1	NA
1857	NA	NA	NA	1.35	0.2	1.66	1.33	NA
1858	NA	NA	NA	1.52	0.36	1.66	1.4	NA
1859	NA	NA	NA	1.38	0.31	1.6	0.91	NA
1860	NA	NA	NA	1.06	0.33	1.27	1.02	NA
1861	NA	NA	NA	1.09	0.3	1.66	0.88	NA
1862	NA	NA	NA	1.26	0.3	1.6	1.08	NA
1863	NA	NA	NA	1.8	0.42	1.56	1.51	NA
1864	NA	NA	NA	1.51	0.5	1.01	1.35	NA
1865	NA	NA	NA	2.48	0.76	1.35	1.59	NA
1866	NA	NA	NA	3.04	0.67	1.09	1.69	NA
1867	NA	NA	NA	2.1	0.48	0.95	1.9	NA
1868	0.28	NA	NA	2.75	0.48	1.1	1.32	NA
1869	0.36	NA	NA	2.53	0.36	1.18	1.28	NA
1870	0.16	NA	NA	2.1	0.53	2.08	1.96	NA
1871	0.14	NA	NA	1.25	0.33	1.15	1.48	NA
1872	0.11	NA	NA	1.34	0.48	1.38	1.74	NA
1873	0.17	NA	NA	1.85	0.47	1.27	1.75	NA
1874	0.19	NA	NA	1.99	0.78	1.85	1.78	NA
1875	0.18	NA	NA	2.31	0.77	2.3	2.11	NA
1876	0.22	NA	NA	1.6	1.04	1.55	1.27	NA
1877	0.2	NA	NA	1.65	1.39	1.65	1.3	NA
1878	0.83	2.8	NA	0.97	1.16	1.23	0.72	NA
1879	0.52	4.05	NA	1.3	1.2	1.42	0.97	NA
1880	0.33	4.3	NA	1.11	0.95	1.3	1	NA
1881	0.1	4.25	NA	1.38	1.24	1.54	1.25	NA
1882	0.08	3.82	NA	0.7	1.19	1.41	0.72	NA
1883	0.11	3.22	NA	0.75	1.03	1.61	0.68	NA
1884	0.07	3.05	NA	1.04	1.05	1.37	0.58	NA
1885	0.07	3.44	NA	0.99	1.3	1.4	0.7	NA
