# Linderholm - Gullhult - PISY - ITRDB SWED321
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/6133
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-6133.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swed321-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swed321-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swed321.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swed321.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2008-06-05
#--------------------
# File_Last_Modified_Date
#   Date: 2008-06-05
#--------------------
# Title
#   Study_Name: Linderholm - Gullhult - PISY - ITRDB SWED321
#--------------------
# Investigators
#   Investigators: Linderholm, H.W.(https://orcid.org/0000-0002-1522-8919)
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Gullhult
#   Location: Sweden
#   Northernmost_Latitude: 57.85
#   Southernmost_Latitude: 57.85
#   Easternmost_Longitude: 14.65
#   Westernmost_Longitude: 14.65
#   Elevation_m: 305
#--------------------
# Data_Collection
#   Collection_Name: SWED321
#   First_Year: 1844
#   Last_Year: 1996
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus sylvestris L.
#   Common_Name: Scots pine
#   Tree_Species_Code: PISY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## GHHT0029_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GHHT0029; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GHHT0039_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GHHT0039; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GHHT0049_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GHHT0049; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GHHT0059_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GHHT0059; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GHHT0069_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GHHT0069; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GHHT0079_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GHHT0079; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GHHT0089_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GHHT0089; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GHHT0099_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GHHT0099; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GHHT0109_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GHHT0109; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GHHT0119_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GHHT0119; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GHHT0129_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GHHT0129; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	GHHT0029_raw	GHHT0039_raw	GHHT0049_raw	GHHT0059_raw	GHHT0069_raw	GHHT0079_raw	GHHT0089_raw	GHHT0099_raw	GHHT0109_raw	GHHT0119_raw	GHHT0129_raw
1844	NA	NA	NA	NA	NA	NA	NA	NA	1.18	NA	NA
1845	NA	NA	NA	NA	NA	NA	NA	NA	1.33	NA	NA
1846	NA	NA	NA	NA	NA	NA	NA	NA	1.05	NA	NA
1847	NA	NA	NA	NA	NA	NA	NA	NA	1.17	NA	NA
1848	NA	NA	NA	NA	NA	NA	NA	NA	1.09	NA	NA
1849	NA	NA	NA	NA	NA	NA	NA	NA	0.53	NA	NA
1850	NA	NA	NA	NA	NA	NA	NA	NA	0.41	NA	NA
1851	NA	NA	NA	NA	NA	NA	NA	NA	0.48	NA	NA
1852	NA	NA	NA	NA	NA	NA	NA	NA	0.36	NA	NA
1853	NA	NA	NA	NA	NA	NA	NA	NA	0.38	NA	NA
1854	NA	NA	NA	NA	NA	NA	NA	NA	0.55	NA	NA
1855	NA	NA	NA	1.54	NA	NA	NA	NA	0.68	NA	NA
1856	NA	NA	NA	0.77	NA	NA	NA	NA	0.81	NA	NA
1857	NA	NA	NA	0.83	NA	1.18	NA	NA	0.61	NA	NA
1858	NA	NA	NA	1.73	NA	1.52	NA	2.11	1.19	NA	NA
1859	NA	NA	NA	1.85	0.18	1.63	NA	2.32	1.16	NA	NA
1860	NA	NA	1.75	1.64	0.36	1.82	NA	1.6	1.33	NA	NA
1861	NA	NA	2.33	2.67	1.2	1.04	NA	0.97	0.63	NA	NA
1862	NA	NA	2.18	2.85	1.12	1.18	NA	0.78	0.83	NA	NA
1863	NA	NA	1.47	1.79	0.83	0.45	NA	0.97	0.32	NA	NA
1864	NA	NA	1.89	1.25	0.87	0.25	NA	0.83	0.43	NA	NA
1865	NA	NA	2.33	1.39	1.33	0.44	NA	1.45	0.47	NA	NA
1866	NA	NA	2.27	1.62	0.79	1.05	NA	1.59	0.53	NA	NA
1867	NA	NA	2.15	1.78	0.9	1.12	NA	2.02	0.69	NA	NA
1868	NA	NA	1.34	1.44	0.81	0.78	3.15	2.28	0.76	NA	NA
1869	NA	NA	1.88	1.42	1.12	0.31	3.39	1.66	0.92	NA	NA
1870	NA	NA	1.93	1.55	1.72	0.8	3.9	1.96	1.43	NA	NA
1871	NA	NA	1.28	1	3.06	1.1	4.22	1.86	1.3	NA	NA
1872	NA	NA	1.31	1.17	3.58	1.04	4.72	2.12	1.43	NA	NA
1873	NA	NA	1.47	1.06	3.3	1.05	5.35	2.07	1.3	NA	NA
1874	NA	NA	2.54	1.29	1.85	1.02	3.85	2.52	1.42	NA	NA
1875	NA	NA	3.96	1.88	3.31	1.36	4.99	3	1.8	NA	NA
1876	NA	NA	3.52	1.78	2.24	1.13	3.84	2.52	1.81	NA	NA
1877	NA	NA	3.46	1.95	1.4	1.34	3.36	2.09	2.02	NA	NA
1878	NA	NA	2.88	2.04	1.33	1.33	3.31	3.08	1.85	NA	NA
1879	NA	NA	2.9	1.58	1.51	1	2.7	1.95	1.27	NA	NA
1880	NA	5.73	3.64	2.86	2.53	1.78	3.84	2.96	1.59	NA	NA
1881	NA	3.41	2.16	2	1.58	1.46	2.67	1.73	1.13	NA	NA
1882	NA	4.91	2.29	2.38	2.22	2.19	3.36	2.31	1.21	NA	NA
1883	NA	3.53	1.82	1.94	1.37	1.08	1.88	1.36	0.85	NA	NA
1884	NA	4.19	1.82	1.92	2.01	1.37	3.05	2.07	1.16	NA	NA
1885	NA	2.77	1.66	2.08	1.69	1.36	2.19	1.39	1.22	NA	NA
1886	NA	2.87	1.76	2.05	1.4	1.42	1.92	1.44	1.19	NA	NA
1887	NA	3.18	1.7	1.9	1.58	1.5	1.73	1.24	0.93	NA	NA
1888	NA	2.88	2.09	1.71	1.65	1.29	1.62	1.26	0.95	NA	NA
1889	NA	2.96	1.91	1.33	1.37	1.16	1.59	1.1	0.96	NA	NA
1890	NA	5.58	1.86	1.55	1.59	1.33	1.98	1.01	0.85	NA	NA
1891	NA	5.43	1.45	1.6	1.62	1.43	1.88	0.87	0.91	NA	NA
1892	NA	5.36	1.77	1.74	2.11	1.52	1.95	0.93	0.93	NA	NA
1893	NA	4.01	1.69	1.81	1.87	1.63	1.93	1.79	1.09	NA	NA
1894	NA	4.06	2.13	1.78	1.89	1.74	1.99	1.45	1.14	NA	NA
1895	NA	2.73	1.47	1.66	1.21	1.32	1.1	1.14	0.86	NA	NA
1896	NA	2.6	1.63	1.69	1.53	1.27	1.04	1.54	1.15	NA	NA
1897	NA	3.72	1.84	1.29	1.43	0.9	0.95	1.14	1.18	NA	NA
1898	NA	3.48	1.91	1.52	1.61	1.46	1.16	1.32	1.33	NA	NA
1899	NA	2.52	1.5	1.52	1.13	1.12	1.08	1.67	1.29	NA	NA
1900	NA	2.42	1.19	1.31	1.05	1.03	0.73	1.25	1.03	NA	NA
1901	NA	2.37	1.46	1.59	0.89	1.05	0.75	1.29	0.94	NA	NA
1902	NA	2.45	1.31	1.2	0.81	1.09	0.57	1.07	0.99	NA	NA
1903	NA	2.48	1.16	1.22	1.18	0.98	0.58	1.6	1.01	NA	NA
1904	NA	1.59	1.07	1.21	0.89	1.01	0.62	1.36	0.92	NA	NA
1905	NA	1.49	1.11	0.99	0.74	1	0.5	1.23	0.73	NA	NA
1906	NA	1.29	1.04	0.97	0.9	1.1	0.62	0.96	0.74	NA	NA
1907	NA	1.49	1.27	1.32	1.06	1.19	0.77	1.1	0.79	NA	NA
1908	NA	1.21	1.08	1.22	1.26	1.09	0.75	1.07	0.84	NA	NA
1909	NA	1.26	1.04	1.2	1.12	0.81	0.67	1.02	0.78	NA	1.89
