# Richter - Gudar Fuentenarices - PINI - ITRDB SPAI039
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4254
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4254.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/spai039-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; spai039-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/spai039.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/spai039.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Richter - Gudar Fuentenarices - PINI - ITRDB SPAI039
#--------------------
# Investigators
#   Investigators: Richter, K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Gudar Fuentenarices
#   Location: Spain
#   Northernmost_Latitude: 40.3
#   Southernmost_Latitude: 40.3
#   Easternmost_Longitude: -0.73
#   Westernmost_Longitude: -0.73
#   Elevation_m: 1450
#--------------------
# Data_Collection
#   Collection_Name: SPAI039
#   First_Year: 1681
#   Last_Year: 1984
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus nigra J.F. Arnold
#   Common_Name: Austrian pine
#   Tree_Species_Code: PINI
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## E440201A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E440201A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E440201B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E440201B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E440202A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E440202A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E440202B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E440202B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E440202C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E440202C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	E440201A_raw	E440201B_raw	E440202A_raw	E440202B_raw	E440202C_raw
1681	NA	NA	NA	1.35	NA
1682	NA	NA	NA	1.4	NA
1683	NA	NA	NA	1.36	NA
1684	NA	NA	NA	2.73	NA
1685	NA	NA	NA	2.37	NA
1686	NA	NA	NA	2.3	NA
1687	NA	NA	NA	1.36	NA
1688	NA	NA	NA	1.53	NA
1689	NA	NA	NA	1.27	NA
1690	NA	NA	NA	1.34	NA
1691	NA	NA	2.1	1.23	NA
1692	NA	NA	2.54	1.38	NA
1693	NA	NA	2.53	1.23	NA
1694	NA	NA	2.79	1.21	NA
1695	NA	NA	2.3	1.02	NA
1696	NA	NA	2.04	0.72	NA
1697	NA	NA	2.05	1.05	NA
1698	NA	NA	2	1	1.86
1699	NA	NA	1.22	1.24	1.08
1700	NA	NA	1.36	0.43	1.29
1701	NA	NA	1.06	1.11	1.74
1702	NA	NA	0.97	1.16	1.6
1703	NA	NA	0.66	1.31	1.47
1704	NA	NA	0.9	1.01	1.8
1705	NA	NA	0.8	0.76	1.23
1706	NA	NA	0.89	0.8	1.08
1707	NA	NA	1.01	0.87	1.15
1708	NA	NA	0.9	0.88	1.23
1709	NA	NA	0.76	0.89	1.29
1710	NA	NA	1.06	0.88	1.22
1711	NA	NA	0.58	0.71	1.04
1712	NA	NA	0.58	0.48	0.64
1713	NA	NA	0.46	0.24	0.43
1714	NA	NA	0.61	0.53	0.79
1715	NA	NA	0.39	0.41	0.72
1716	NA	NA	0.37	0.29	0.35
1717	NA	NA	0.5	0.49	0.72
1718	NA	NA	0.66	0.51	1.06
1719	NA	NA	0.32	0.39	0.72
1720	NA	NA	0.41	0.4	0.75
1721	NA	NA	0.58	0.56	0.91
1722	NA	NA	0.44	0.33	0.53
1723	NA	NA	0.66	0.64	0.91
1724	NA	NA	0.82	0.91	1.39
1725	NA	NA	1.07	0.93	1.14
1726	NA	NA	1.12	1.22	1.55
1727	NA	NA	1.15	1.03	1.85
1728	NA	NA	1.12	0.99	1.32
1729	NA	NA	0.78	0.69	1.04
1730	NA	NA	1.11	1.39	2.23
1731	NA	NA	1.02	1.36	2.12
1732	NA	NA	0.99	1.34	1.58
1733	NA	NA	0.92	1.62	1.13
1734	NA	NA	1.14	1.52	1.6
1735	NA	NA	1.03	1.42	1.08
1736	NA	NA	1.08	1.15	1.31
1737	2.06	NA	1.4	1.21	1.29
1738	1.65	NA	0.85	0.79	0.91
1739	1.63	NA	1.22	0.97	1.35
1740	0.78	NA	1.35	1.07	1.24
1741	0.91	NA	0.87	0.84	1.17
1742	1.05	NA	0.72	0.99	1.26
1743	0.56	NA	0.99	1.27	1.2
1744	0.66	NA	1.1	1.02	1.4
1745	0.19	NA	0.99	1.14	1.28
1746	0.34	1.71	0.85	1.19	1.41
1747	0.29	0.8	0.99	1.28	1.15
1748	0.5	1.26	0.58	0.58	1.09
1749	0.38	0.86	0.56	0.61	0.78
1750	0.51	1.1	0.73	0.49	0.95
1751	0.3	0.5	0.53	0.38	0.56
1752	0.76	1	0.63	0.59	0.53
1753	0.66	0.82	0.54	0.51	0.63
1754	0.78	1.07	0.9	0.56	0.74
1755	0.55	1.5	0.71	0.77	0.66
1756	0.72	1.17	0.69	0.6	0.73
1757	0.73	1.43	0.96	0.98	1.15
1758	0.62	0.94	0.97	0.63	0.86
1759	0.8	1.54	1.22	1.22	1.09
1760	0.77	1.62	1.01	1.44	1.19
1761	0.77	1.07	0.84	1.09	1.1
1762	0.73	1.43	1.27	1.18	1.32
1763	0.61	1.6	1.17	1.2	1.1
1764	0.76	1.27	1.25	1.33	1.05
1765	0.68	1.13	1.16	1.43	1.49
1766	0.44	0.52	1.01	1.17	1.04
1767	0.56	0.87	0.96	1.12	1.12
1768	0.55	0.82	0.99	0.75	1.27
1769	0.32	0.47	0.58	0.37	0.78
1770	0.49	0.85	0.61	0.4	0.78
1771	0.57	0.7	0.61	0.42	0.94
1772	0.88	0.9	0.7	0.4	0.76
1773	1	1.6	0.96	0.49	0.61
1774	0.89	0.94	0.75	0.28	0.68
1775	0.87	0.98	0.66	0.55	0.39
1776	0.66	0.82	0.62	0.53	0.46
1777	0.81	1.27	0.82	0.6	1.23
1778	0.85	1.51	0.6	0.64	1.25
1779	0.99	1.09	0.73	0.73	1.08
1780	0.77	0.67	0.51	0.5	0.75
