# Strumia - Parapluiberg - PINI - ITRDB AUST111
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5058
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5058.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/aust111e-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; aust111e-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/aust111e.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/aust111e.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Strumia - Parapluiberg - PINI - ITRDB AUST111
#--------------------
# Investigators
#   Investigators: Strumia, G.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Parapluiberg
#   Location: Austria
#   Northernmost_Latitude: 48.12
#   Southernmost_Latitude: 48.12
#   Easternmost_Longitude: 16.25
#   Westernmost_Longitude: 16.25
#   Elevation_m: 450
#--------------------
# Data_Collection
#   Collection_Name: AUST111
#   First_Year: 1766
#   Last_Year: 1995
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  earlywood width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus nigra J.F. Arnold
#   Common_Name: Austrian pine
#   Tree_Species_Code: PINI
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## ParPN01a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ParPN01a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ParPN01b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ParPN01b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ParPN02a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ParPN02a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ParPN02b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ParPN02b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ParPN03a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ParPN03a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ParPN03b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ParPN03b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ParPN04a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ParPN04a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ParPN04b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ParPN04b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ParPN05a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ParPN05a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ParPN05b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ParPN05b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ParPN06a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ParPN06a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ParPN06b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ParPN06b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ParPN07a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ParPN07a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ParPN07b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ParPN07b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ParPN08a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ParPN08a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ParPN08b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ParPN08b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ParPN09a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ParPN09a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ParPN09b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ParPN09b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ParPN10a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ParPN10a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ParPN10b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ParPN10b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ParPN10c_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ParPN10c; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	ParPN01a_raw	ParPN01b_raw	ParPN02a_raw	ParPN02b_raw	ParPN03a_raw	ParPN03b_raw	ParPN04a_raw	ParPN04b_raw	ParPN05a_raw	ParPN05b_raw	ParPN06a_raw	ParPN06b_raw	ParPN07a_raw	ParPN07b_raw	ParPN08a_raw	ParPN08b_raw	ParPN09a_raw	ParPN09b_raw	ParPN10a_raw	ParPN10b_raw	ParPN10c_raw
1766	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.52	NA	NA
1767	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.06	NA	1.71
1768	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.92	NA	1.52
1769	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.48	NA	1.99
1770	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.01	2.67	3.02
1771	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.23	1.13	2.13
1772	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.12	1.61	2.5
1773	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.37	NA	1	1.03	1.55
1774	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.23	NA	1.04	0.5	1.38
1775	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.14	NA	1.18	0.65	1.08
1776	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.73	NA	0.96	0.43	1.52
1777	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.64	NA	0.87	0.27	1.58
1778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.19	NA	1.4	NA	0.72	0.3	1.09
1779	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.72	NA	1.02	1.09	0.58	0.26	0.83
1780	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.73	0.96	NA	1.46	1.36	0.84	0.33	0.98
1781	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.66	NA	1.08	0.85	NA	0.8	0.91	0.51	0.28	0.55
1782	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.07	NA	1.07	0.93	NA	0.68	0.75	0.62	0.31	0.67
1783	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.15	NA	0.93	1.03	NA	0.73	1.11	0.34	0.29	0.82
1784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.01	NA	1.19	1.11	NA	1.01	0.94	0.51	0.36	0.86
1785	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.56	NA	1.29	0.82	1.55	0.82	1.25	1.03	0.49	0.72
1786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2	NA	0.99	0.39	1.15	0.68	1.06	0.68	0.51	0.78
1787	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.4	NA	0.91	0.71	1.03	0.64	1.08	0.9	0.61	0.64
1788	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.11	NA	0.89	0.89	0.96	0.68	0.86	0.63	0.45	0.76
1789	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.61	NA	0.53	0.28	0.57	0.42	0.43	0.24	0.26	0.42
1790	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.48	0.6	0.38	0.5	0.41	0.32	0.29	0.26	0.15	0.32
1791	NA	NA	NA	NA	NA	NA	NA	2.41	NA	NA	NA	0.61	0.92	1.41	1.51	0.98	0.5	0.65	0.6	0.34	0.74
1792	NA	NA	NA	NA	NA	NA	NA	1.47	NA	NA	NA	0.9	1.55	0.93	0.96	1.06	0.73	0.77	0.57	0.39	0.65
1793	NA	NA	NA	NA	NA	NA	NA	1.73	NA	NA	NA	0.76	2	1.08	0.89	1.11	0.84	0.8	0.9	0.49	0.93
1794	NA	NA	NA	NA	NA	NA	NA	0.45	NA	NA	NA	0.33	1.32	0.91	0.61	0.93	0.66	0.59	0.71	0.33	0.69
1795	NA	NA	NA	NA	NA	NA	NA	0.23	NA	NA	NA	0.41	1.56	0.47	0.35	1.22	0.54	0.49	0.53	0.19	0.53
1796	NA	NA	NA	NA	NA	NA	NA	0.47	NA	NA	NA	0.86	1.58	1.11	0.64	1.25	0.64	0.64	0.53	0.36	0.65
1797	NA	NA	NA	NA	NA	NA	NA	0.24	NA	NA	NA	0.33	0.92	0.41	0.29	0.53	0.36	0.22	0.25	0.18	0.14
1798	NA	NA	NA	NA	NA	NA	NA	0.49	NA	2.43	NA	0.26	0.95	0.55	0.59	0.68	0.72	0.63	0.54	0.26	0.33
1799	NA	NA	NA	NA	0.88	NA	NA	0.25	NA	1.64	NA	0.29	0.7	0.51	0.5	0.82	0.55	0.58	0.29	0.24	0.28
1800	NA	NA	NA	NA	1.04	NA	NA	0.36	NA	3.48	0.28	0.24	0.8	0.28	0.24	0.86	0.7	0.34	0.28	0.2	0.19
1801	NA	NA	NA	NA	1.02	NA	NA	0.24	NA	1.62	0.63	0.45	1.12	0.37	0.37	0.69	0.52	0.6	0.5	0.29	0.47
1802	NA	NA	NA	0.87	1.17	NA	0.45	0.17	NA	0.46	0.3	0.3	0.82	0.31	0.27	0.4	0.46	0.26	0.19	0.13	0.29
1803	NA	NA	NA	1.13	0.82	NA	0.78	0.43	1.11	0.42	0.64	0.27	0.92	0.45	0.29	0.35	0.35	0.3	0.28	0.31	0.34
1804	NA	NA	NA	1.43	0.81	NA	1.32	0.49	1.3	0.3	0.43	0.32	1.08	0.26	0.3	0.43	0.24	0.21	0.43	0.24	0.47
1805	NA	NA	NA	1.52	0.86	NA	0.61	0.42	0.94	0.4	0.47	0.29	0.95	0.44	0.25	0.36	0.38	0.33	0.56	0.26	0.37
1806	NA	NA	NA	1.12	0.77	NA	0.35	0.28	0.69	0.45	0.28	0.3	0.62	0.3	0.19	0.27	0.35	0.28	0.41	0.18	0.17
1807	NA	NA	NA	1.61	1.02	NA	0.47	0.42	1.97	1.49	0.31	0.28	0.92	0.35	0.32	0.46	0.52	0.46	0.37	0.26	0.19
1808	NA	NA	NA	1.35	1.37	1.6	0.59	0.56	1.24	0.92	0.43	0.24	0.93	0.22	0.2	0.5	0.47	0.3	0.35	0.18	0.29
1809	NA	NA	NA	1.48	1.56	1.71	0.62	0.48	1.28	1.45	0.37	0.28	1	0.31	0.35	0.53	0.58	0.47	0.44	0.22	0.29
1810	NA	NA	NA	1.63	1.43	1.72	1.16	0.63	1.05	1.18	0.53	0.64	0.94	0.54	0.46	0.81	0.59	0.61	0.44	0.25	0.33
1811	NA	NA	NA	1.18	0.76	1.24	0.5	0.46	1.86	0.78	0.56	0.5	0.51	0.34	0.32	0.42	0.36	0.45	0.43	0.29	0.28
1812	NA	NA	NA	2.15	1.19	1.74	0.8	0.42	2.71	2.35	0.66	0.58	0.9	0.59	0.3	0.54	0.64	0.46	0.41	0.38	0.31
1813	NA	NA	NA	2.73	1.5	2.38	1.34	0.81	2.77	2.03	0.63	0.59	1.37	0.42	0.26	0.63	0.79	0.77	0.47	0.39	0.47
