# Schweingruber - Feldberg (D), EU-Pr. - PCAB - ITRDB GERM049
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4410
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4410.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/germ049n-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; germ049n-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/germ049n.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/germ049n.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-05-29
#--------------------
# File_Last_Modified_Date
#   Date: 2002-05-29
#--------------------
# Title
#   Study_Name: Schweingruber - Feldberg (D), EU-Pr. - PCAB - ITRDB GERM049
#--------------------
# Investigators
#   Investigators: Schweingruber, F.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Feldberg (D), EU-Pr.
#   Location: Germany
#   Northernmost_Latitude: 47.85
#   Southernmost_Latitude: 47.85
#   Easternmost_Longitude: 8.02
#   Westernmost_Longitude: 8.02
#   Elevation_m: 1330
#--------------------
# Data_Collection
#   Collection_Name: GERM049
#   First_Year: 1851
#   Last_Year: 1995
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  minimum density
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 1030001_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 1030001; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	1030001_raw
1851	0.27
1852	0.28
1853	0.3
1854	0.31
1855	0.35
1856	0.31
1857	0.3
1858	0.4
1859	0.3
1860	0.33
1861	0.31
1862	0.3
1863	0.28
1864	0.33
1865	0.33
1866	0.31
1867	0.33
1868	0.27
1869	0.29
1870	0.31
1871	0.26
1872	0.26
1873	0.19
1874	0.24
1875	0.22
1876	0.22
1877	0.22
1878	0.21
1879	0.17
1880	0.22
1881	0.17
1882	0.17
1883	0.19
1884	0.21
1885	0.2
1886	0.22
1887	0.22
1888	0.2
1889	0.18
1890	0.17
1891	0.17
1892	0.19
1893	0.22
1894	0.27
1895	0.22
1896	0.22
1897	0.19
1898	0.22
1899	0.2
1900	0.21
1901	0.21
1902	0.19
1903	0.19
1904	0.22
1905	0.19
1906	0.2
1907	0.25
1908	0.23
1909	0.2
1910	0.18
1911	0.2
1912	0.24
1913	0.23
1914	0.23
1915	0.23
1916	0.21
1917	0.19
1918	0.24
1919	0.22
1920	0.22
1921	0.22
1922	0.25
1923	0.27
1924	0.22
1925	0.24
1926	0.28
1927	0.22
1928	0.21
1929	0.28
1930	0.27
1931	0.23
1932	0.22
1933	0.29
1934	0.24
1935	0.2
1936	0.2
1937	0.21
1938	0.2
1939	0.19
1940	0.19
1941	0.18
1942	0.19
1943	0.22
1944	0.21
1945	0.2
1946	0.21
1947	0.2
1948	0.2
1949	0.23
1950	0.22
1951	0.2
1952	0.22
1953	0.2
1954	0.19
1955	0.18
1956	0.18
1957	0.15
1958	0.2
1959	0.18
1960	0.2
1961	0.22
1962	0.19
1963	0.2
1964	0.2
1965	0.22
1966	0.18
1967	0.18
1968	0.21
1969	0.2
1970	0.21
1971	0.2
1972	0.2
1973	0.19
1974	0.22
1975	0.2
1976	0.23
1977	0.22
1978	0.18
1979	0.19
1980	0.2
1981	0.18
1982	0.19
1983	0.2
1984	0.2
1985	0.21
1986	0.24
1987	0.22
1988	0.23
1989	0.22
1990	0.24
1991	0.23
1992	0.22
1993	0.2
1994	0.22
1995	0.24
