# Cherubini - Monte Calamita - PTLE - ITRDB ITAL029
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/13880
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-13880.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/ital029-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ital029-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/ital029.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ital029.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Cherubini - Monte Calamita - PTLE - ITRDB ITAL029
#--------------------
# Investigators
#   Investigators: Cherubini, P.(https://orcid.org/0000-0002-9809-250X)
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Monte Calamita
#   Location: Italy
#   Northernmost_Latitude: 42.75
#   Southernmost_Latitude: 42.75
#   Easternmost_Longitude: 10.3833
#   Westernmost_Longitude: 10.3833
#   Elevation_m: 100
#--------------------
# Data_Collection
#   Collection_Name: ITAL029
#   First_Year: 1978
#   Last_Year: 2007
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Pistacia lentiscus  L.
#   Common_Name: mastic tree
#   Tree_Species_Code: PTLE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## PLCA9d_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PLCA9d; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PLCA9b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PLCA9b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PLC1Xa_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PLC1Xa; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PLC1Xc_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PLC1Xc; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PLCA10_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PLCA10; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PLC2Xb_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PLC2Xb; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PLC2Xd_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PLC2Xd; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PLCA3b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PLCA3b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PLCA3d_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PLCA3d; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PLCA4a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PLCA4a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PLCA4c_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PLCA4c; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PLCA6b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PLCA6b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PLCA6c_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PLCA6c; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PLCA7b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PLCA7b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PLCA7c_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PLCA7c; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PLCA8c_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PLCA8c; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PLCA8d_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PLCA8d; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	PLCA9d_raw	PLCA9b_raw	PLC1Xa_raw	PLC1Xc_raw	PLCA10_raw	PLC2Xb_raw	PLC2Xd_raw	PLCA3b_raw	PLCA3d_raw	PLCA4a_raw	PLCA4c_raw	PLCA6b_raw	PLCA6c_raw	PLCA7b_raw	PLCA7c_raw	PLCA8c_raw	PLCA8d_raw
1978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.74	0.7	NA	NA	NA	NA
1979	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.63	0.65	NA	NA	NA	NA
1980	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6	0.81	NA	NA	0.43	0.44
1981	NA	NA	NA	0.92	0.65	NA	NA	NA	NA	NA	NA	0.23	0.23	NA	NA	0.29	0.35
1982	NA	NA	NA	2.32	1.26	NA	NA	NA	NA	NA	NA	0.66	0.56	NA	NA	0.56	0.62
1983	NA	NA	1.03	1.83	2.46	NA	NA	NA	NA	NA	NA	0.24	0.61	NA	NA	0.74	0.81
1984	NA	NA	1.96	1.64	3.19	0.16	0.13	NA	NA	NA	NA	0.92	0.88	NA	NA	0.7	0.7
1985	NA	NA	2.05	2.37	2.26	0.24	0.21	NA	NA	NA	NA	1.05	1.47	0.94	0.83	0.85	0.87
1986	NA	NA	1.58	1.66	0.79	0.17	0.15	NA	NA	NA	NA	0.91	0.91	1.35	1.59	1.56	1.91
1987	NA	NA	3	1.39	1.25	0.17	0.18	0.39	0.4	0.75	0.53	0.91	1.29	1.1	0.67	0.95	1.26
1988	NA	NA	1.98	2.35	0.97	0.3	0.25	0.54	0.52	0.64	0.39	1.28	1.65	1.08	0.65	0.91	1.29
1989	NA	NA	1.37	0.62	0.69	0.28	0.29	0.62	0.59	1.18	1.75	0.63	1.08	0.94	0.8	0.66	0.52
1990	NA	NA	2.2	1.19	0.8	0.69	0.95	1.01	1.17	3	2.64	1.55	1.34	2.07	1.72	1.92	1.45
1991	NA	NA	0.7	0.86	1.08	0.32	0.43	0.62	0.78	0.65	0.74	0.6	0.54	0.48	0.76	2.18	2.19
1992	NA	NA	1.03	1.22	0.68	0.67	0.61	0.9	0.72	0.47	0.53	0.48	0.39	1.23	1.81	1.86	2.16
1993	NA	NA	1.12	1.84	0.95	0.9	0.6	1.22	1.18	1.55	0.6	0.8	0.54	0.68	0.91	0.86	0.94
1994	NA	NA	1.67	1.08	3.24	0.7	1.05	1.07	1.04	2.05	1.62	NA	NA	3.06	2.32	3.05	2.98
1995	NA	NA	3.49	0.65	3.38	0.8	0.78	0.59	0.58	1.03	0.69	NA	NA	0.46	0.49	1.56	2.63
1996	NA	NA	2.05	0.5	1.76	0.42	0.31	0.63	0.57	1.52	0.44	NA	NA	0.72	0.59	0.32	0.55
1997	NA	NA	0.98	0.34	1.03	0.8	0.39	0.75	0.98	1.19	1.1	NA	NA	0.4	0.26	1.04	1.35
1998	0.95	1.45	1.15	0.42	0.99	0.67	0.43	0.76	0.68	2.08	0.61	NA	NA	0.49	0.31	1.05	1.07
1999	1.77	1.68	1.16	0.83	0.94	1.4	0.62	2.93	2.63	3.96	2.59	NA	NA	0.31	0.31	1.27	1.04
2000	1.12	1.41	0.69	0.51	0.45	0.88	0.41	0.77	0.78	2.68	1.91	NA	NA	1.23	0.75	1.31	0.98
2001	1.16	1.37	1.48	0.4	0.54	0.38	0.19	0.91	0.94	1.66	1.42	NA	NA	0.7	0.58	0.61	0.94
2002	1.63	1.65	0.89	0.32	0.61	0.43	0.19	0.86	1	1.36	1.5	NA	NA	0.54	0.3	1.66	1.48
2003	1.16	0.86	0.57	0.23	NA	NA	NA	0.95	0.85	0.31	0.48	NA	NA	0.19	0.23	0.71	0.97
2004	1.45	1.16	0.78	0.22	NA	NA	NA	1.13	1.24	0.6	0.89	NA	NA	0.55	0.57	0.37	0.62
2005	2.56	1.98	0.5	0.27	NA	NA	NA	1.41	1.73	0.66	1	NA	NA	0.69	0.84	0.64	0.86
2006	2.06	1.45	0.76	NA	NA	NA	NA	1.54	1.49	0.74	0.53	NA	NA	0.49	0.66	2.09	1.54
2007	1.05	0.62	0.54	NA	NA	NA	NA	0.91	0.98	0.6	0.4	NA	NA	NA	NA	0.35	1.48
