# Bräker - Boulex - QURO - ITRDB SWIT318
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16891
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16891.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit318-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit318-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit318.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit318.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Bräker - Boulex - QURO - ITRDB SWIT318
#--------------------
# Investigators
#   Investigators: Bräker, O.U.; Zingg, A.
#--------------------
# Description_Notes_and_Keywords
#   Description: Collection purpose: 
# # Growth and Yield
# # 
# # Notes: 
# # Slope S 10%
# # Formerly Payerne_Eiche_QURO_n8_1991.fh NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Boulex
#   Location: Switzerland
#   Northernmost_Latitude: 46.7844
#   Southernmost_Latitude: 46.7844
#   Easternmost_Longitude: 6.9247
#   Westernmost_Longitude: 6.9247
#   Elevation_m: 475
#--------------------
# Data_Collection
#   Collection_Name: SWIT318
#   First_Year: 1938
#   Last_Year: 1991
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Quercus robur L. = Quercus pendunculata Ehrl.
#   Common_Name: English oak
#   Tree_Species_Code: QURO
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## PA00826G_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PA00826G; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PA00826P_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PA00826P; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PA01026G_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PA01026G; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PA01026P_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PA01026P; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PA01246G_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PA01246G; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PA01246P_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PA01246P; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PA02141G_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PA02141G; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PA02141P_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PA02141P; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	PA00826G_raw	PA00826P_raw	PA01026G_raw	PA01026P_raw	PA01246G_raw	PA01246P_raw	PA02141G_raw	PA02141P_raw
1938	NA	NA	NA	NA	2.79	2.05	NA	NA
1939	NA	NA	NA	NA	1.14	1.36	2.64	2.21
1940	NA	NA	NA	NA	1.46	1.17	1.07	1.24
1941	NA	NA	NA	NA	2.01	1.89	1.39	1.63
1942	3.46	4.11	1.29	1.29	2.14	1.81	1.2	2.39
1943	2.23	2.39	2.46	3.4	2.32	2.7	1.5	3.1
1944	2.09	2.53	4.11	4.03	2.82	2.99	1.26	3.02
1945	1.69	2.29	1.92	2.36	2.18	1.87	1.18	1.82
1946	2.43	2.55	2.04	3.15	2.58	2.49	1.52	2.42
1947	1.76	2.35	2.48	2.51	2.03	2.15	1.11	2.79
1948	1.53	2.2	1.55	1.56	0.81	1.12	0.78	1.31
1949	1.68	1.27	1.75	1.47	1.27	1.1	1.36	2.45
1950	1.46	1.48	2.14	1.89	1.56	1.08	1.78	2.6
1951	1.3	1.8	2.42	1.87	1.7	1.11	1.77	3.63
1952	1.22	1.4	2.54	2.43	1.44	0.85	1.42	3.98
1953	1.29	1.12	1.72	2.45	1.14	0.83	1.77	3.77
1954	0.98	1.11	2.33	2.1	1.12	0.97	1.77	2.62
1955	1.17	1.39	2.39	2.2	1.05	1	2.68	3.78
1956	1.12	1.19	2.28	1.91	1.04	0.81	1.95	2.8
1957	0.92	1.07	1.65	1.5	1.23	0.89	1.49	1.75
1958	1.9	1.67	2.86	2.84	2.87	2.81	2.3	4.16
1959	2	1.53	2.61	1.93	2.25	1.71	1.53	2.34
1960	1.52	1.13	1.9	1.76	1.93	1.27	2.1	2.79
1961	1.6	1.24	1.84	1.84	1.99	1.17	2.23	2.59
1962	1.68	1.39	1.89	1.68	1.88	1.02	1.78	2.12
1963	1.09	1.14	1.2	1	1.33	0.59	1.22	1.5
1964	1.44	1.18	1.11	1.12	1.4	1.05	1.83	2.06
1965	1.1	1.67	1.26	1.31	2.1	1.2	1.68	2.19
1966	1.1	1.16	1.11	1.1	1.3	0.91	1.12	1.38
1967	1.14	1.46	0.69	0.91	1.51	1.06	1.35	1.75
1968	1.07	1.17	0.79	1.08	1.49	0.89	1.57	1.84
1969	1.55	1.63	1.3	1.73	1.96	1.49	2.11	2.48
1970	2.11	2.12	1.65	2.01	2.96	1.75	2.24	3.39
1971	2.18	2.38	2.01	2.05	3.9	2.63	2.13	3.15
1972	1.88	1.61	1.68	1.57	2.61	1.6	1.82	2.36
1973	2.04	2.16	2.12	1.92	3.32	2.13	2	2.38
1974	2.01	2.14	1.76	1.58	2.68	1.7	2.19	2.71
1975	2.84	1.93	2.39	1.93	3.22	2.38	2.43	2.18
1976	1.75	1.76	1.83	1.5	2.03	1.41	1.4	1.59
1977	2.29	2.04	1.88	1.47	2.3	1.94	2.64	2.57
1978	2.2	1.66	2.37	1.45	2.21	1.95	2.52	2.78
1979	2.48	1.66	2.4	2	2.2	1.75	2.32	2.52
1980	2.44	1.27	2.33	1.78	2.18	1.85	2.64	3.12
1981	2.46	1.45	2.13	1.92	1.72	1.45	1.89	2.17
1982	3.54	2.45	3.3	2.65	2.63	1.9	2.45	2.75
1983	3.64	1.88	3.15	2.56	2.03	1.68	1.89	2.28
1984	3.93	2.05	2.13	1.94	2.25	2.01	2.38	1.76
1985	4.2	2.22	2.35	1.86	3.97	2.73	2.54	2.38
1986	4.53	2.5	2.78	2	3.95	2.85	2.98	2.72
1987	3.24	1.87	2.14	1.61	3.22	2.21	2.97	2.05
1988	3.3	1.82	2.34	2.04	3.09	2.18	2.44	2.04
1989	3.09	2.06	1.99	1.64	2.43	1.78	2.16	1.97
1990	3.28	2.7	2.29	1.69	3.5	2.62	3.13	2.63
1991	2.96	1.89	1.69	1.17	2.19	1.76	2.6	2.35
