# Kuniholm - Gumushane Torul Isletmesi - PCOR - ITRDB TURK003
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3804
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3804.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/turk003-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; turk003-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/turk003.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/turk003.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Kuniholm - Gumushane Torul Isletmesi - PCOR - ITRDB TURK003
#--------------------
# Investigators
#   Investigators: Kuniholm, P.I.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Gumushane  Torul Isletmesi
#   Location: Turkey
#   Northernmost_Latitude: 40.57
#   Southernmost_Latitude: 40.57
#   Easternmost_Longitude: 39.28
#   Westernmost_Longitude: 39.28
#   Elevation_m: 1300
#--------------------
# Data_Collection
#   Collection_Name: TURK003
#   First_Year: 1686
#   Last_Year: 1989
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea orientalis (L.) Peterm.
#   Common_Name: eastern spruce
#   Tree_Species_Code: PCOR
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 129121_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 129121; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 129011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 129011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 129081_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 129081; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 129091_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 129091; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	129121_raw	129011_raw	129081_raw	129091_raw
1686	NA	NA	NA	1.43
1687	NA	NA	NA	1.65
1688	NA	NA	NA	2.21
1689	NA	NA	NA	2.85
1690	NA	NA	NA	2.85
1691	NA	NA	NA	2.49
1692	NA	NA	NA	2.82
1693	NA	NA	NA	2.15
1694	NA	NA	NA	2.17
1695	NA	NA	NA	2.06
1696	NA	NA	NA	1.82
1697	NA	NA	NA	2.1
1698	NA	NA	NA	1.67
1699	NA	NA	NA	1.76
1700	NA	NA	NA	1.59
1701	NA	NA	NA	1.48
1702	NA	NA	NA	2.01
1703	NA	NA	NA	1.64
1704	NA	NA	NA	2.21
1705	NA	NA	NA	1.85
1706	NA	NA	NA	1.81
1707	NA	NA	NA	1.88
1708	NA	3.91	NA	1.83
1709	NA	4.69	NA	1.88
1710	NA	5.66	NA	1.88
1711	NA	5.49	NA	2.19
1712	NA	6.23	NA	2.24
1713	NA	6.19	NA	1.58
1714	NA	5.15	NA	1.63
1715	NA	4.55	NA	0.84
1716	NA	5.47	NA	1.38
1717	NA	6.37	NA	1.39
1718	NA	4.19	NA	1.49
1719	NA	2.88	NA	1.88
1720	NA	3.41	NA	1.86
1721	NA	3.1	NA	1.51
1722	NA	2.9	NA	1.47
1723	NA	2.76	NA	1.13
1724	NA	3.6	NA	1
1725	NA	3.26	NA	1.3
1726	NA	3.29	NA	1.31
1727	NA	2.5	NA	1.6
1728	NA	4.36	NA	1.47
1729	NA	2.78	NA	1.15
1730	NA	2.74	NA	1.1
1731	NA	2.55	NA	1.04
1732	NA	2.35	NA	1.37
1733	NA	2.17	NA	1.24
1734	NA	1.78	NA	1.1
1735	NA	2.04	NA	1.27
1736	NA	2.6	NA	1.49
1737	NA	2.21	NA	1.09
1738	NA	2.32	NA	0.92
1739	NA	2.48	NA	1.1
1740	NA	2.19	NA	1.31
1741	NA	2.4	NA	1.19
1742	NA	2.64	NA	1.26
1743	NA	2	NA	1.05
1744	NA	1.61	NA	0.96
1745	NA	1.55	NA	0.98
1746	NA	1.67	NA	1.04
1747	NA	1.57	NA	1.36
1748	NA	1	NA	0.91
1749	NA	1.18	NA	1.21
1750	NA	1.38	NA	1.05
1751	NA	1.28	NA	1.22
1752	NA	1.2	NA	1.38
1753	NA	1.18	NA	1.6
1754	NA	1.26	NA	1.88
1755	NA	1.13	NA	1.69
1756	NA	1.18	NA	1.79
1757	NA	0.74	NA	0.79
1758	NA	0.88	NA	1.25
1759	NA	0.84	NA	1.11
1760	NA	0.87	NA	1.47
1761	NA	0.73	NA	1.19
1762	NA	0.77	NA	1.38
1763	NA	0.94	NA	1.43
1764	NA	0.94	NA	1.17
1765	NA	0.88	NA	1.15
1766	NA	0.74	NA	1.27
1767	NA	0.99	NA	1.57
1768	NA	0.95	NA	1.69
1769	NA	0.87	NA	1.76
1770	NA	1.13	NA	1.59
1771	NA	1.12	NA	1.49
1772	NA	0.76	NA	1.25
1773	NA	0.85	NA	1.73
1774	NA	0.84	NA	1.47
1775	NA	1.04	NA	1.4
1776	NA	0.84	NA	1.19
1777	NA	0.56	NA	1.11
1778	NA	0.64	NA	1.56
1779	NA	0.63	NA	1.28
1780	NA	0.83	NA	1.38
1781	NA	0.68	0.7	1.35
1782	NA	0.83	0.76	1.06
1783	NA	0.6	1.07	1.25
1784	NA	1	1.11	1.14
1785	NA	0.88	0.91	0.94
1786	NA	0.68	0.95	0.84
1787	NA	0.85	0.37	0.82
1788	NA	1.16	1.13	1.06
1789	NA	0.95	1.52	1.11
1790	2.17	0.88	1.45	1.16
1791	3.57	0.95	2.07	1.31
1792	4.53	1.08	1.86	1.55
1793	0.91	0.99	1.76	1.3
1794	2.63	0.83	1.65	1.07
1795	1.74	0.88	2.16	1.25
1796	2.47	0.95	2.37	1.24
1797	2.07	1.04	1.89	0.96
1798	1.63	1.02	1.82	0.98
1799	2.72	0.92	1.59	0.93
1800	2.06	0.95	1.54	0.97
1801	2.35	1.01	1.26	1.06
1802	1.44	0.78	1.53	1.14
1803	2.66	0.68	1.28	0.98
1804	1.94	0.82	1.27	0.87
1805	1.68	0.67	1.44	1
1806	2.55	0.72	1.19	1.15
