# Cherubini - Marina di Bibbona - PIPN - ITRDB ITAL030
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16750
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16750.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/ital030-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ital030-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/ital030.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ital030.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Cherubini - Marina di Bibbona - PIPN - ITRDB ITAL030
#--------------------
# Investigators
#   Investigators: Cherubini, P.(https://orcid.org/0000-0002-9809-250X); Raddi, S.
#--------------------
# Description_Notes_and_Keywords
#   Description: Collection purpose: 
# # Impact on sea erosion on coastal forests
# # 
# # Cores are stored at: 
# # 
# # Notes: 
# # Cecina, 5 km south
# # Four plots were located at a distance from current seashore position of 80, 155, 245 and 320 m
# # Formerly mb_interior
# # 
# # References:
# # Raddi et al (2009): 
# # The impact of sea erosion on oastal Pinus pinea stands: 
# # A diachronic analysis combining tree-rings and ecological markers, 
# # FEaM 527, 773-781.  NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Marina di Bibbona
#   Location: Italy
#   Northernmost_Latitude: 43.3
#   Southernmost_Latitude: 43.3
#   Easternmost_Longitude: 10.4833
#   Westernmost_Longitude: 10.4833
#   Elevation_m: 1
#--------------------
# Data_Collection
#   Collection_Name: ITAL030
#   First_Year: 1926
#   Last_Year: 1996
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Pinus pinea L.
#   Common_Name: Italian stone pine
#   Tree_Species_Code: PIPN
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## mb0141_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mb0141; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mb0142_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mb0142; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mb0242_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mb0242; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mb0243_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mb0243; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mb0342_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mb0342; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mb0343_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mb0343; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mb0441_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mb0441; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mb0442_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mb0442; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mb0541_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mb0541; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mb0542_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mb0542; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mb0640_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mb0640; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mb0641_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mb0641; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mb0741_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mb0741; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mb0743_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mb0743; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mb0841_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mb0841; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mb0842_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mb0842; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mb0942_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mb0942; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mb0943_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mb0943; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mb1041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mb1041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mb1043_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mb1043; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mb1141_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mb1141; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mb1143_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mb1143; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mb1242_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mb1242; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mb1243_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mb1243; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	mb0141_raw	mb0142_raw	mb0242_raw	mb0243_raw	mb0342_raw	mb0343_raw	mb0441_raw	mb0442_raw	mb0541_raw	mb0542_raw	mb0640_raw	mb0641_raw	mb0741_raw	mb0743_raw	mb0841_raw	mb0842_raw	mb0942_raw	mb0943_raw	mb1041_raw	mb1043_raw	mb1141_raw	mb1143_raw	mb1242_raw	mb1243_raw
1926	NA	NA	NA	NA	NA	NA	NA	1.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1927	NA	NA	NA	NA	NA	NA	NA	0.975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.243
1928	NA	NA	NA	NA	NA	NA	NA	0.765	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.196
1929	NA	NA	NA	NA	NA	0.718	NA	0.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.987	NA	NA	0.893
1930	NA	NA	NA	NA	0.654	0.794	NA	0.852	NA	NA	NA	NA	0.784	NA	NA	NA	NA	NA	NA	NA	1.279	0.658	NA	1.275
1931	NA	NA	NA	NA	1.403	1.138	NA	0.931	NA	NA	0.382	NA	1.3	1.276	NA	NA	NA	NA	NA	NA	1.512	1.011	NA	0.912
1932	NA	NA	NA	NA	0.742	1.005	NA	0.618	NA	NA	0.484	NA	1.239	1.235	NA	NA	NA	NA	NA	0.629	1.051	0.993	NA	0.997
1933	NA	NA	1.629	NA	1.236	1.225	NA	0.58	NA	NA	0.87	NA	1.567	1.245	0.856	NA	NA	NA	NA	1.012	1.23	1.281	NA	0.826
1934	NA	1.081	0.907	0.978	1.004	0.886	1.291	0.538	NA	0.958	0.675	0.712	1.539	1.011	0.838	NA	NA	NA	NA	1.113	0.882	0.927	1.051	0.825
1935	NA	1.228	1.158	1.315	1.067	1.015	0.933	0.5	NA	2.191	0.992	0.978	1.18	1.027	1.034	0.005	NA	1.414	NA	1.023	1.04	0.913	0.764	0.561
1936	0.639	1.201	0.728	0.89	0.747	0.751	0.74	0.452	0.704	1.312	0.696	0.499	0.79	0.853	0.655	0.003	NA	1.236	0.625	0.714	0.716	0.764	0.695	0.487
1937	0.695	1.255	0.463	0.73	0.719	0.736	0.753	0.279	0.806	0.695	0.811	0.65	0.614	0.833	0.717	0.003	NA	1.041	0.624	0.832	0.623	0.692	0.714	0.647
1938	0.825	1.151	0.768	0.578	0.777	0.864	0.543	0.127	0.721	0.697	0.777	0.784	0.469	0.797	0.678	0.674	NA	1.059	0.52	0.739	0.563	0.724	0.445	0.515
1939	0.541	0.808	0.443	0.543	0.523	0.581	0.555	0.163	0.481	0.482	0.478	0.543	0.353	0.489	0.377	0.454	NA	0.924	0.41	0.427	0.53	0.486	0.28	0.478
1940	0.764	0.796	0.334	0.621	0.339	0.521	0.411	0.216	0.497	0.479	0.394	0.546	0.316	0.556	0.417	0.422	NA	0.992	0.483	0.385	0.575	0.564	0.416	0.331
1941	0.619	0.507	0.322	0.48	0.258	0.416	0.436	0.229	0.458	0.416	0.338	0.431	0.367	0.632	0.362	0.315	NA	0.94	0.327	0.341	0.422	0.628	0.368	0.279
1942	0.567	0.407	0.335	0.4	0.301	0.365	0.463	0.161	0.474	0.392	0.289	0.423	0.287	0.337	0.347	0.297	NA	0.639	0.279	0.289	0.398	0.492	0.327	0.226
1943	0.572	0.445	0.338	0.423	0.341	0.356	0.426	0.168	0.528	0.361	0.226	0.365	0.247	0.207	0.324	0.189	0.449	0.713	0.249	0.262	0.341	0.304	0.238	0.176
1944	0.494	0.37	0.425	0.394	0.379	0.354	0.423	0.273	0.53	0.328	0.232	0.334	0.187	0.282	0.211	0.172	0.491	0.743	0.156	0.233	0.312	0.234	0.184	0.147
1945	0.291	0.296	0.211	0.28	0.28	0.241	0.28	0.24	0.376	0.29	0.157	0.218	0.137	0.191	0.145	0.112	0.484	0.627	0.102	0.113	0.271	0.19	0.15	0.108
1946	0.245	0.213	0.186	0.191	0.199	0.086	0.264	0.245	0.314	0.177	0.076	0.214	0.105	0.168	0.181	0.177	0.223	0.754	0.088	0.099	0.201	0.173	0.124	0.113
1947	0.266	0.287	0.188	0.229	0.259	0.07	0.347	0.276	0.303	0.232	0.14	0.37	0.092	0.213	0.164	0.185	0.326	0.652	0.184	0.136	0.264	0.201	0.188	0.117
1948	0.249	0.258	0.209	0.304	0.362	0.135	0.31	0.268	0.355	0.326	0.18	0.361	0.11	0.226	0.146	0.169	0.375	0.849	0.118	0.122	0.313	0.216	0.3	0.137
1949	0.216	0.153	0.118	0.152	0.282	0.166	0.169	0.156	0.266	0.156	0.133	0.283	0.086	0.151	0.122	0.082	0.255	0.45	0.09	0.093	0.138	0.193	0.253	0.151
1950	0.188	0.212	0.177	0.187	0.31	0.185	0.196	0.19	0.214	0.142	0.115	0.253	0.105	0.167	0.094	0.105	0.299	0.34	0.057	0.052	0.173	0.127	0.181	0.172
1951	0.212	0.274	0.262	0.26	0.341	0.304	0.251	0.212	0.3	0.148	0.148	0.238	0.089	0.2	0.145	0.14	0.326	0.375	0.138	0.11	0.219	0.111	0.265	0.189
1952	0.158	0.301	0.262	0.239	0.269	0.297	0.342	0.294	0.335	0.155	0.139	0.248	0.1	0.184	0.165	0.15	0.322	0.363	0.301	0.224	0.276	0.18	0.395	0.183
1953	0.14	0.207	0.197	0.172	0.221	0.192	0.26	0.165	0.273	0.169	0.1	0.17	0.102	0.135	0.151	0.133	0.196	0.227	0.282	0.166	0.23	0.157	0.254	0.174
1954	0.11	0.182	0.182	0.142	0.211	0.182	0.205	0.102	0.242	0.14	0.07	0.134	0.071	0.111	0.104	0.091	0.151	0.241	0.215	0.17	0.214	0.129	0.243	0.154
1955	0.11	0.166	0.156	0.136	0.148	0.163	0.234	0.118	0.238	0.154	0.079	0.148	0.095	0.111	0.087	0.116	0.153	0.266	0.223	0.199	0.267	0.136	0.313	0.127
1956	0.072	0.125	0.121	0.14	0.117	0.116	0.13	0.093	0.15	0.127	0.042	0.12	0.074	0.092	0.1	0.082	0.163	0.238	0.138	0.103	0.161	0.118	0.161	0.073
1957	0.068	0.081	0.115	0.106	0.107	0.137	0.153	0.096	0.144	0.161	0.053	0.082	0.092	0.105	0.11	0.096	0.116	0.209	0.164	0.157	0.23	0.094	0.24	0.136
1958	0.036	0.136	0.102	0.131	0.117	0.196	0.134	0.092	0.185	0.148	0.065	0.1	0.127	0.148	0.14	0.115	0.166	0.198	0.295	0.158	0.208	0.102	0.268	0.154
1959	0.053	0.115	0.101	0.113	0.159	0.207	0.12	0.083	0.141	0.101	0.082	0.122	0.116	0.117	0.117	0.154	0.13	0.197	0.223	0.133	0.236	0.105	0.194	0.203
1960	0.049	0.133	0.136	0.154	0.153	0.179	0.155	0.105	0.16	0.172	0.166	0.253	0.119	0.161	0.144	0.17	0.197	0.271	0.373	0.272	0.293	0.134	0.208	0.247
1961	0.117	0.15	0.205	0.337	0.199	0.305	0.226	0.145	0.212	0.368	0.221	0.135	0.109	0.203	0.146	0.238	0.198	0.326	0.422	0.37	0.349	0.108	0.349	0.286
1962	0.161	0.271	0.252	0.501	0.256	0.401	0.464	0.195	0.25	0.434	0.273	0.184	0.159	0.331	0.199	0.236	0.225	0.307	0.405	0.436	0.255	0.153	0.3	0.268
1963	0.29	0.253	0.229	0.421	0.235	0.429	0.399	0.158	0.208	0.202	0.199	0.164	0.112	0.303	0.134	0.163	0.163	0.285	0.338	0.44	0.242	0.127	0.32	0.166
1964	0.154	0.139	0.084	0.237	0.132	0.281	0.319	0.084	0.134	0.127	0.118	0.102	0.082	0.158	0.091	0.131	0.11	0.191	0.268	0.328	0.293	0.07	0.3	0.19
1965	0.175	0.161	0.089	0.236	0.155	0.289	0.271	0.072	0.124	0.161	0.142	0.127	0.087	0.124	0.081	0.143	0.131	0.17	0.234	0.223	0.188	0.077	0.2	0.13
1966	0.178	0.173	0.08	0.315	0.197	0.396	0.282	0.144	0.171	0.199	0.25	0.275	0.124	0.162	0.108	0.186	0.137	0.236	0.188	0.273	0.212	0.079	0.226	0.136
1967	0.144	0.161	0.095	0.192	0.122	0.282	0.179	0.096	0.145	0.269	0.197	0.268	0.104	0.148	0.076	0.147	0.147	0.163	0.116	0.21	0.104	0.043	0.168	0.084
1968	0.198	0.201	0.172	0.292	0.17	0.308	0.226	0.128	0.219	0.208	0.229	0.301	0.154	0.166	0.134	0.173	0.153	0.111	0.109	0.199	0.112	0.05	0.209	0.119
