# Bräker - Stockmatthubel - ABAL - ITRDB SWIT349
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16924
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16924.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit349-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit349-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit349.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit349.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Bräker - Stockmatthubel - ABAL - ITRDB SWIT349
#--------------------
# Investigators
#   Investigators: Bräker, O.U.; Zingg, A.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Stockmatthubel
#   Location: Switzerland
#   Northernmost_Latitude: 47.2631
#   Southernmost_Latitude: 47.2631
#   Easternmost_Longitude: 7.8864
#   Westernmost_Longitude: 7.8864
#   Elevation_m: 460
#--------------------
# Data_Collection
#   Collection_Name: SWIT349
#   First_Year: 1895
#   Last_Year: 1992
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Abies alba Mill.
#   Common_Name: silver fir
#   Tree_Species_Code: ABAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## VW234008_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VW234008; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VW234504_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VW234504; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VW271003_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VW271003; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VW305004_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VW305004; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VW675008_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VW675008; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VW767004_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VW767004; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	VW234008_raw	VW234504_raw	VW271003_raw	VW305004_raw	VW675008_raw	VW767004_raw
1895	NA	NA	0.46	NA	0.36	NA
1896	NA	NA	0.36	NA	0.3	NA
1897	NA	NA	0.76	NA	0.22	NA
1898	NA	NA	0.82	NA	0.52	NA
1899	0.21	NA	0.52	NA	0.41	NA
1900	0.12	NA	0.55	NA	0.63	NA
1901	0.17	NA	0.54	NA	1.08	NA
1902	0.2	NA	1.35	NA	1.25	NA
1903	0.26	NA	0.98	NA	1.53	0.91
1904	0.16	NA	0.47	NA	1.53	1.75
1905	0.16	NA	0.79	NA	1.32	1.8
1906	0.28	NA	1.5	NA	1.54	1.3
1907	0.17	NA	0.7	NA	1.58	1.08
1908	0.31	NA	0.95	NA	1.35	1.2
1909	0.26	NA	0.96	NA	1.24	1.3
1910	1.2	NA	1.46	NA	0.76	1.94
1911	0.63	NA	1.3	NA	0.55	1.39
1912	1.35	NA	1.61	NA	0.39	1.73
1913	2.78	NA	1.53	NA	1.08	2.1
1914	2.83	NA	0.97	NA	1.41	2.98
1915	2.89	NA	2.84	NA	2.86	2.9
1916	4.51	NA	5.02	0.76	2.79	4.95
1917	3.66	NA	5.33	0.64	2.28	3.48
1918	1.9	NA	4.71	0.71	2.32	2.52
1919	1.27	NA	3.85	0.84	3.33	0.71
1920	0.78	NA	3.24	0.7	3.92	1.45
1921	0.91	NA	3.23	0.87	2.95	1.72
1922	0.92	NA	3.1	0.84	2.91	3.01
1923	2.14	NA	3.76	1.03	4.95	5.35
1924	1.2	NA	1.83	0.72	3.7	3.84
1925	1.43	NA	2.89	0.66	3.65	2.52
1926	2.65	NA	4.8	1.48	7.38	3.07
1927	1.74	NA	3.26	2.27	5.51	1.61
1928	1.41	2.31	3	3.53	3.47	1.46
1929	0.93	0.54	1.39	4.22	2.38	0.97
1930	0.55	1.7	1.32	3.61	2.86	2.12
1931	0.82	2.43	1.92	4.28	2.52	3.23
1932	1.18	2.71	2.67	3.82	4.09	4.64
1933	0.95	2.93	2.77	2.94	4.04	3.46
1934	0.36	1.99	2.32	2.57	3.39	2.36
1935	0.49	2.17	2.15	2.79	4.2	3.67
1936	0.33	1.63	1.29	3.12	3.7	3.11
1937	0.67	1.57	2.06	4.35	3.85	4.86
1938	0.56	1.98	2.9	3.5	3.84	3.99
1939	0.41	1.34	2.9	4.52	3.35	3.88
1940	0.3	0.78	2.52	2.27	2.79	3.38
1941	0.5	1.01	2.27	4.93	3.01	2.85
1942	0.42	0.93	2.68	6.21	3.49	5
1943	0.76	0.99	2.11	4.44	3.33	9.01
1944	0.52	0.83	1.38	4.85	2.98	10.16
1945	0.52	0.76	1.39	3.5	3.34	10.79
1946	0.69	0.81	1.76	3.47	3.62	7.98
1947	0.3	0.56	1.35	4.5	2.97	4.61
1948	0.34	0.6	2.17	7.21	3.02	3.1
1949	0.46	0.59	1.55	5.91	2.99	2.42
1950	0.64	0.49	2.59	3.74	4.16	2.73
1951	0.61	0.88	2.86	4.44	4.12	4.04
1952	0.61	0.71	2.56	5	3.82	4.41
1953	0.88	1.09	3.59	5.66	4.46	6.02
1954	0.73	0.75	3.05	5.24	2.8	5.39
1955	0.85	0.83	3.76	5.09	3.52	5.4
1956	0.49	0.65	0.35	3.53	1.91	3.69
1957	0.59	0.82	2	3.84	3.16	2.47
1958	0.39	0.5	3.12	4.51	2.63	1.86
1959	0.52	0.72	4.36	4.78	2.71	1.37
1960	1.06	0.95	4.88	3.81	3.95	3.72
1961	1.11	0.9	5.92	3.05	3.78	4.63
1962	1.41	0.91	5.04	2.72	3.26	3.56
1963	1.53	0.67	1.74	2.74	3.14	1.73
1964	2.12	1.38	3.81	3.28	4.68	1.82
1965	2.13	1.72	4.91	2.72	4.53	2.56
1966	2.71	2.29	5.19	5.62	5.54	6.8
1967	3.05	2.35	6.04	7.38	5.29	8.46
1968	3.57	1.48	6.65	6.58	4.96	6.08
1969	4.57	2.78	7.69	5.67	4.14	4.9
1970	3.98	2.55	7.91	4.34	3.94	4.44
1971	3.83	3.11	8.45	4.25	6.37	5.27
1972	3.35	2.6	7.23	2.23	6.5	4.27
1973	2.21	1.94	4.82	3.07	4.34	3.54
1974	2.02	1.94	3.29	0.01	3.14	1.83
1975	3.45	2.88	3.75	1.54	4.6	3.1
1976	2.27	1.79	3.07	0.52	2.23	2.23
1977	2.05	1.94	4.18	0.72	3.77	2.93
1978	2.35	1.85	3.51	1	2.97	3.5
1979	2.37	2.67	2.29	0.88	2	3.1
