# Seim - Fushe Lura - PIHE - ITRDB ALB002
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/13721
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-13721.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/alb002-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; alb002-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/alb002.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/alb002.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2012-10-22
#--------------------
# File_Last_Modified_Date
#   Date: 2012-10-22
#--------------------
# Title
#   Study_Name: Seim - Fushe Lura - PIHE - ITRDB ALB002
#--------------------
# Investigators
#   Investigators: Seim, A.; Büntgen, U.(https://orcid.org/0000-0002-3821-0818); Fonti, P.; Haska, H.; Herzig, F.; Tegel, W.(https://orcid.org/0000-0003-4707-2848); Trouet, V.(https://orcid.org/0000-0002-2683-8704); Treydte, K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: Climate Research
#   Published_Title: Climate sensitivity of a millennium-long pine chronology  from Albania.
#   Published_Date_or_Year: 2012
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 10.3354/cr01076
#   Full_Citation: Seim, A., U. Buentgen, P. Fonti, H. Haska, 
F. Herzig, W. Tegel, V. Trouet, and K. Treydte. 2012. 
Climate sensitivity of a millennium-long pine chronology 
from Albania. 
Climate Research, 51, 217-228.
DOI: 10.3354/cr01076
#   Abstract: Considerable progress has been made in assessing European climate variations of the# last millennium, but little is known about the Mediterranean region and particularly its eastern part# including the Balkan Peninsula. This area, however, will be particularly vulnerable to a predicted# temperature increase and precipitation decrease, likely resulting in amplified drought extremes and# episodes. Here we present a well-replicated composite tree-ring width chronology of millennial# length from Albania, Balkan Peninsula. The Pinus heldreichii Christ dataset contains 302 series from# 217 living and dead trees from 3 high-elevation sites, and spans the years 968-2008. Signal strength# and growth-climate relationships were investigated using subsets according to location, age class,# and growth level, as well as differently detrended chronology versions. Growth comparisons# amongst the 3 sites' chronologies, between age classes and between growth-rate groups reveal an# overall strong common signal. Growth-climate relationships over the last 100 yr, however, indicate# that tree-ring formation does not depend on one single dominant factor, but rather on various combinations# of summer precipitation and temperature resulting in temporally varying drought sensitivity.# Our results emphasize a mixed and variable climate signal, corresponding with findings from other# P. heldreichii sites across the Balkan Peninsula and Southern Italy.
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Fushe Lura
#   Location: Albania
#   Northernmost_Latitude: 41.8
#   Southernmost_Latitude: 41.8
#   Easternmost_Longitude: 20.2333
#   Westernmost_Longitude: 20.2333
#   Elevation_m: 1900
#--------------------
# Data_Collection
#   Collection_Name: ALB002
#   First_Year: 617
#   Last_Year: 2008
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Pinus heldreichii Christ
#   Common_Name: Heldreich's pine
#   Tree_Species_Code: PIHE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## AB1007_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AB1007; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ABS1a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ABS1a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
