# Becker - Schonegrund - PISY - ITRDB GERM015
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2710
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2710.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/germ015-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; germ015-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/germ015.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/germ015.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 1990-08-01
#--------------------
# File_Last_Modified_Date
#   Date: 1990-08-01
#--------------------
# Title
#   Study_Name: Becker - Schonegrund - PISY - ITRDB GERM015
#--------------------
# Investigators
#   Investigators: Becker, B.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Schonegrund
#   Location: Germany
#   Northernmost_Latitude: 48.57
#   Southernmost_Latitude: 48.57
#   Easternmost_Longitude: 9.08
#   Westernmost_Longitude: 9.08
#   Elevation_m: 740
#--------------------
# Data_Collection
#   Collection_Name: GERM015
#   First_Year: 1769
#   Last_Year: 1971
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus sylvestris L.
#   Common_Name: Scots pine
#   Tree_Species_Code: PISY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 879210_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 879210; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 879220_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 879220; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 879230_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 879230; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 879250_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 879250; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 879270_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 879270; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 879290_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 879290; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 879350_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 879350; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	879210_raw	879220_raw	879230_raw	879250_raw	879270_raw	879290_raw	879350_raw
1769	NA	0.29	NA	NA	NA	NA	NA
1770	NA	0.31	NA	NA	NA	NA	NA
1771	NA	0.4	NA	NA	NA	NA	NA
1772	NA	0.46	NA	NA	NA	NA	NA
1773	NA	0.41	NA	0.22	NA	NA	NA
1774	NA	0.64	NA	0.32	NA	NA	NA
1775	NA	0.84	NA	0.46	NA	NA	NA
1776	NA	0.72	NA	0.56	NA	0.25	NA
1777	NA	0.75	NA	0.74	NA	0.26	NA
1778	NA	0.88	0.18	0.81	0.16	0.23	NA
1779	0.19	0.94	0.23	1.05	0.19	0.27	0.18
1780	0.21	0.85	0.34	0.82	0.27	0.41	0.35
1781	0.33	0.84	0.5	0.9	0.55	0.53	0.57
1782	0.24	0.76	0.39	0.83	0.35	0.4	0.55
1783	0.25	0.81	0.44	0.92	0.42	0.41	0.72
1784	0.4	0.72	0.44	0.64	0.59	0.37	0.62
1785	0.35	0.63	0.49	0.74	0.61	0.39	0.55
1786	0.24	0.53	0.49	0.58	0.7	0.41	0.64
1787	0.3	0.52	0.37	0.62	0.51	0.47	0.65
1788	0.38	0.8	0.42	0.85	0.63	0.64	0.74
1789	0.43	0.6	0.49	0.72	0.49	0.51	0.6
1790	0.56	0.66	0.54	0.73	0.55	0.54	0.58
1791	0.47	0.76	0.48	0.87	0.64	0.52	0.62
1792	0.65	1.1	0.54	1.1	0.69	0.58	0.83
1793	0.49	0.91	0.6	0.96	0.61	0.53	0.69
1794	0.65	0.88	0.71	1.07	0.67	0.58	0.66
1795	0.65	0.74	0.57	1.07	0.57	0.58	0.8
1796	0.63	0.78	0.67	0.94	0.54	0.59	0.86
1797	0.52	0.82	0.65	0.93	0.54	0.76	0.91
1798	0.51	0.91	0.73	1.01	0.57	0.82	0.96
1799	0.42	0.83	0.6	0.87	0.53	0.79	0.56
1800	0.51	0.75	0.67	0.78	0.53	0.85	0.59
1801	0.48	0.83	0.59	0.82	0.63	0.85	0.68
1802	0.64	0.72	0.47	1.06	0.62	1.12	0.79
1803	0.66	0.75	0.6	1.03	0.61	0.85	0.81
1804	0.48	0.53	0.41	0.69	0.53	0.84	0.71
1805	0.45	0.54	0.4	0.67	0.6	0.81	0.64
1806	0.35	0.42	0.31	0.65	0.57	0.63	0.54
1807	0.49	0.47	0.25	0.6	0.6	0.7	0.71
1808	0.58	0.55	0.48	0.55	0.71	0.79	0.76
1809	0.52	0.48	0.37	0.55	0.53	0.64	0.61
1810	0.52	0.43	0.41	0.66	0.66	0.57	0.58
1811	0.48	0.35	0.39	0.73	0.74	0.52	0.59
1812	0.44	0.29	0.35	0.71	0.67	0.57	0.61
1813	0.41	0.3	0.4	0.52	0.72	0.65	0.54
1814	0.38	0.36	0.45	0.52	0.75	0.65	0.56
1815	0.32	0.33	0.45	0.57	0.75	0.68	0.61
1816	0.3	0.24	0.34	0.32	0.61	0.58	0.53
1817	0.35	0.22	0.31	0.3	0.6	0.46	0.58
1818	0.46	0.25	0.35	0.41	0.66	0.61	0.65
1819	0.5	0.33	0.42	0.6	0.78	0.65	0.54
1820	0.42	0.27	0.35	0.52	0.71	0.5	0.52
1821	0.43	0.29	0.34	0.53	0.83	0.65	0.56
1822	0.4	0.39	0.45	0.77	1	0.89	0.88
1823	0.39	0.39	0.42	0.75	0.76	0.79	0.57
1824	0.41	0.31	0.43	0.55	0.75	0.72	0.5
1825	0.43	0.32	0.48	0.69	0.83	0.69	0.67
1826	0.37	0.34	0.45	0.62	0.76	0.51	0.69
1827	0.4	0.27	0.45	0.42	0.58	0.41	0.5
1828	0.46	0.32	0.56	0.42	0.76	0.45	0.64
1829	0.5	0.33	0.54	0.42	0.81	0.5	0.67
1830	0.43	0.28	0.46	0.43	0.7	0.53	0.57
1831	0.44	0.33	0.52	0.33	0.69	0.5	0.49
1832	0.36	0.28	0.45	0.26	0.46	0.41	0.38
1833	0.33	0.3	0.46	0.3	0.47	0.37	0.39
1834	0.48	0.46	0.48	0.42	0.7	0.53	0.54
1835	0.36	0.35	0.37	0.41	0.59	0.43	0.4
1836	0.38	0.28	0.36	0.33	0.58	0.39	0.36
1837	0.39	0.33	0.41	0.37	0.49	0.5	0.36
1838	0.32	0.22	0.32	0.22	0.41	0.36	0.25
1839	0.25	0.22	0.26	0.15	0.39	0.25	0.22
1840	0.31	0.27	0.28	0.17	0.51	0.33	0.32
1841	0.31	0.27	0.4	0.14	0.57	0.38	0.35
1842	0.33	0.33	0.45	0.2	0.58	0.35	0.47
