# Brown - Bakehouse Lane - QUSP - ITRDB BRIT047
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2870
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2870.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit047-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit047-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit047.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit047.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Brown - Bakehouse Lane - QUSP - ITRDB BRIT047
#--------------------
# Investigators
#   Investigators: Brown, D.M.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Bakehouse Lane
#   Location: Waterford
#   Northernmost_Latitude: 52.27
#   Southernmost_Latitude: 52.27
#   Easternmost_Longitude: -7.12
#   Westernmost_Longitude: -7.12
#   Elevation_m: 30
#--------------------
# Data_Collection
#   Collection_Name: BRIT047
#   First_Year: 900
#   Last_Year: 1127
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## Q 7483_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 7483; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 7631_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 7631; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 7632_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 7632; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 7634_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 7634; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 7635_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 7635; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 8269_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 8269; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q8270M_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q8270M; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	Q 7483_raw	Q 7631_raw	Q 7632_raw	Q 7634_raw	Q 7635_raw	Q 8269_raw	Q8270M_raw
901	NA	NA	0.28	NA	NA	NA	NA
902	NA	NA	0.31	NA	NA	NA	NA
903	NA	NA	0.46	NA	NA	NA	NA
904	NA	NA	0.35	NA	NA	NA	NA
905	NA	NA	0.27	NA	NA	NA	NA
906	NA	NA	0.21	NA	NA	NA	NA
907	NA	NA	0.18	NA	NA	NA	NA
908	NA	NA	0.26	NA	NA	NA	NA
909	NA	NA	0.3	NA	NA	NA	NA
910	NA	NA	0.41	NA	NA	NA	NA
911	NA	NA	0.34	NA	NA	NA	NA
912	NA	NA	0.38	NA	NA	NA	NA
913	NA	NA	0.34	NA	NA	NA	NA
914	NA	NA	0.47	NA	NA	NA	NA
915	NA	NA	0.22	NA	NA	NA	NA
916	NA	NA	0.25	NA	NA	NA	NA
917	NA	NA	0.34	NA	NA	NA	NA
918	NA	NA	0.23	NA	NA	NA	NA
919	NA	NA	0.19	NA	NA	NA	NA
920	NA	NA	0.18	NA	NA	NA	NA
921	NA	NA	0.16	NA	NA	NA	NA
922	NA	NA	0.24	NA	NA	NA	NA
923	NA	NA	0.43	NA	NA	NA	NA
924	NA	NA	0.27	NA	NA	NA	NA
925	NA	NA	0.41	NA	NA	NA	NA
926	NA	NA	0.33	NA	NA	NA	NA
927	NA	NA	0.28	NA	NA	NA	NA
928	NA	NA	0.48	NA	NA	NA	NA
929	NA	NA	0.53	NA	NA	NA	NA
930	NA	NA	0.4	NA	NA	NA	NA
931	NA	NA	0.31	NA	NA	NA	NA
932	NA	NA	0.46	NA	NA	NA	NA
933	NA	NA	0.46	NA	NA	NA	NA
934	NA	NA	0.6	NA	NA	NA	NA
935	NA	NA	0.46	NA	NA	NA	NA
936	NA	NA	0.51	NA	NA	NA	NA
937	NA	NA	0.42	NA	NA	NA	NA
938	0.8	NA	0.3	NA	NA	NA	NA
939	0.49	NA	0.25	NA	NA	NA	NA
940	1.13	NA	0.38	NA	NA	NA	NA
941	1.25	NA	0.46	NA	NA	NA	NA
942	0.98	NA	0.29	NA	NA	NA	NA
943	0.65	NA	0.21	NA	NA	NA	NA
944	0.8	NA	0.26	NA	NA	NA	NA
945	0.6	NA	0.35	NA	NA	NA	NA
946	0.46	NA	0.2	NA	NA	NA	NA
947	0.52	NA	0.33	NA	NA	NA	NA
948	0.54	NA	0.34	NA	NA	NA	NA
949	0.5	NA	0.35	NA	NA	NA	NA
950	0.64	NA	0.57	NA	NA	NA	2.11
951	0.35	NA	0.39	NA	NA	NA	1.8
952	0.63	NA	0.32	NA	NA	NA	1.46
953	0.57	NA	0.31	NA	NA	NA	1.2
954	0.67	NA	0.34	NA	NA	NA	0.94
955	0.47	NA	0.45	NA	NA	NA	1.35
956	0.4	NA	0.34	NA	NA	NA	1.5
957	0.67	NA	0.49	1.3	NA	NA	1.56
958	0.44	NA	0.21	1.59	NA	NA	1.05
959	0.41	NA	0.29	1.14	NA	NA	0.98
960	0.6	NA	0.46	1.25	NA	NA	1.18
961	0.38	NA	0.37	1.03	NA	NA	1
962	0.38	NA	0.32	1.24	NA	NA	1.08
963	0.73	NA	0.36	1.38	NA	NA	1.19
964	0.56	NA	0.27	1.03	NA	NA	0.85
965	0.31	NA	0.24	0.89	NA	NA	0.61
966	0.4	NA	0.31	1.4	NA	NA	0.89
967	0.25	NA	0.23	1.05	NA	NA	0.51
968	0.28	NA	0.26	0.92	NA	NA	0.6
969	0.24	NA	0.17	0.8	NA	NA	0.57
970	0.25	NA	0.16	0.77	NA	NA	0.62
971	0.32	NA	0.42	0.83	NA	NA	0.68
972	0.36	NA	0.26	1.02	NA	0.85	0.7
973	0.28	NA	0.13	0.22	NA	0.45	0.4
974	0.34	NA	0.18	0.25	NA	0.44	0.33
975	0.46	NA	0.19	0.65	NA	1	0.43
976	0.38	NA	0.19	0.67	NA	0.87	0.53
977	0.43	NA	0.31	0.96	NA	1.07	0.42
978	0.23	0.29	0.19	0.4	NA	0.5	0.34
979	0.32	0.51	0.2	0.59	NA	0.82	0.39
980	0.41	0.52	0.23	0.49	NA	0.47	0.29
981	0.18	0.29	0.18	0.34	NA	0.37	0.26
982	0.47	0.5	0.24	0.45	NA	0.58	0.39
983	0.43	0.47	0.24	0.58	NA	0.79	0.33
984	0.27	0.35	0.15	0.53	NA	0.82	0.38
985	0.14	0.15	0.15	0.56	NA	0.65	0.3
986	0.43	0.45	0.39	0.55	NA	0.56	0.37
987	0.32	0.64	0.24	0.63	NA	1.12	0.47
988	0.19	0.4	0.2	0.37	NA	0.56	0.28
989	0.24	0.55	0.33	0.41	NA	0.64	0.23
990	0.32	0.58	0.27	0.76	NA	0.51	0.3
991	0.44	1.01	0.31	0.75	NA	0.93	0.42
992	0.21	0.6	0.38	0.58	NA	0.54	0.44
993	0.42	0.82	0.41	0.5	NA	0.74	0.41
994	0.3	0.66	0.25	0.66	NA	0.57	0.35
995	0.26	0.73	0.32	0.72	NA	0.76	0.35
996	0.43	0.91	0.41	1.2	1	0.98	0.53
997	0.52	1.11	0.41	1.78	0.97	0.9	0.53
998	0.31	1.02	0.36	1.1	0.76	0.77	0.48
999	0.41	1.14	0.42	1.35	0.94	0.59	0.52
1000	0.41	1.19	0.52	1.29	0.76	0.72	0.54
1001	0.41	1.05	0.63	1.04	0.76	0.94	0.59
1002	0.33	0.97	0.39	1.12	1.12	0.95	0.61
1003	0.35	0.82	0.41	0.85	0.79	0.61	0.41
1004	0.35	0.72	0.35	0.5	1.03	0.66	0.45
1005	0.43	0.88	0.28	0.74	1.2	0.74	0.62
1006	0.34	0.86	0.17	0.53	0.85	0.71	0.42
1007	0.26	0.67	0.14	0.86	0.87	0.49	0.48
1008	0.26	1.06	0.18	0.87	1.13	0.62	0.43
1009	0.35	1.2	0.14	1.04	1.39	0.82	0.54
1010	0.34	1.01	0.15	1.23	1.52	0.74	0.57
1011	0.31	1.02	0.13	1.38	1.21	0.59	0.52
1012	0.34	0.82	0.12	0.59	1	0.58	0.48
