# Bräker - La Grandsonne Dessous Les Pr - PCAB - ITRDB SWIT291
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16857
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16857.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit291-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit291-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit291.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit291.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Bräker - La Grandsonne Dessous Les Pr - PCAB - ITRDB SWIT291
#--------------------
# Investigators
#   Investigators: Bräker, O.U.; Zingg, A.
#--------------------
# Description_Notes_and_Keywords
#   Description: Formerly La_Grandsonne_Fichte_Bestand_n11_1995.fh NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: La Grandsonne Dessous - Les Pr
#   Location: Switzerland
#   Northernmost_Latitude: 46.8661
#   Southernmost_Latitude: 46.8661
#   Easternmost_Longitude: 6.5567
#   Westernmost_Longitude: 6.5567
#   Elevation_m: 1330
#--------------------
# Data_Collection
#   Collection_Name: SWIT291
#   First_Year: 1750
#   Last_Year: 1995
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## GRAF0511_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRAF0511; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GRAF0521_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRAF0521; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GRAF0531_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRAF0531; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GRAF0541_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRAF0541; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GRAF0551_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRAF0551; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GRAF0562_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRAF0562; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GRAF0571_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRAF0571; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GRAF0581_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRAF0581; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GRAF0591_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRAF0591; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GRAF0601_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRAF0601; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GRAF0611_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRAF0611; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	GRAF0511_raw	GRAF0521_raw	GRAF0531_raw	GRAF0541_raw	GRAF0551_raw	GRAF0562_raw	GRAF0571_raw	GRAF0581_raw	GRAF0591_raw	GRAF0601_raw	GRAF0611_raw
1750	NA	NA	NA	NA	0.64	NA	NA	NA	NA	NA	NA
1751	NA	NA	NA	NA	0.85	NA	NA	NA	NA	NA	NA
1752	NA	NA	NA	NA	0.98	NA	NA	NA	NA	NA	NA
1753	NA	NA	NA	NA	0.97	NA	NA	NA	NA	NA	NA
1754	NA	NA	NA	NA	0.86	NA	NA	NA	NA	NA	NA
1755	NA	NA	NA	NA	1.05	NA	NA	NA	NA	NA	NA
1756	NA	NA	NA	NA	1.36	NA	NA	NA	NA	NA	NA
1757	NA	NA	NA	NA	1.74	NA	NA	NA	NA	NA	NA
1758	NA	NA	NA	NA	1.03	NA	NA	NA	NA	NA	NA
1759	NA	NA	NA	NA	1.11	NA	NA	NA	NA	NA	NA
1760	NA	NA	NA	NA	1.02	NA	NA	NA	NA	NA	NA
1761	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
1762	NA	NA	NA	NA	1.28	NA	NA	NA	NA	NA	NA
1763	NA	NA	NA	NA	1.33	NA	NA	NA	NA	NA	NA
1764	NA	NA	NA	NA	1.42	NA	NA	NA	NA	NA	NA
1765	NA	NA	NA	NA	1.04	NA	NA	NA	NA	NA	NA
1766	NA	NA	NA	NA	1.09	NA	NA	NA	NA	NA	NA
1767	NA	NA	NA	NA	0.87	NA	NA	NA	NA	NA	NA
1768	NA	NA	NA	NA	0.97	NA	NA	NA	NA	NA	NA
1769	NA	NA	NA	NA	0.73	NA	NA	NA	NA	NA	NA
1770	NA	NA	NA	NA	0.7	NA	NA	NA	NA	NA	NA
1771	NA	NA	NA	NA	0.75	NA	NA	NA	NA	NA	NA
1772	NA	NA	NA	NA	0.66	NA	NA	NA	NA	NA	NA
1773	NA	NA	NA	NA	0.78	NA	NA	NA	NA	NA	NA
1774	NA	NA	NA	NA	0.82	NA	NA	NA	NA	NA	NA
1775	NA	NA	NA	NA	1.23	NA	NA	NA	NA	NA	NA
1776	NA	NA	NA	NA	1.09	NA	NA	NA	NA	NA	NA
1777	NA	NA	NA	NA	1.19	NA	NA	NA	NA	NA	NA
1778	NA	NA	NA	NA	1.47	NA	NA	NA	NA	NA	NA
1779	NA	NA	NA	NA	1.39	NA	NA	NA	NA	NA	NA
1780	NA	NA	NA	NA	1.08	NA	NA	NA	NA	NA	NA
1781	NA	NA	NA	NA	1.44	NA	NA	NA	NA	NA	NA
1782	NA	NA	NA	NA	0.96	NA	NA	NA	NA	NA	NA
1783	NA	NA	NA	NA	1.23	NA	NA	NA	NA	NA	NA
1784	NA	NA	NA	NA	1.1	NA	NA	NA	NA	NA	NA
1785	NA	NA	NA	NA	1.25	NA	NA	NA	NA	NA	NA
1786	NA	NA	NA	NA	1.47	NA	NA	NA	NA	NA	NA
1787	NA	NA	NA	NA	1.46	NA	NA	NA	NA	NA	NA
1788	NA	NA	NA	NA	1.73	NA	NA	NA	NA	NA	NA
1789	NA	NA	NA	NA	1.21	NA	NA	NA	NA	NA	NA
1790	NA	NA	NA	NA	0.94	NA	NA	NA	NA	NA	NA
1791	NA	NA	NA	NA	0.95	NA	NA	NA	NA	NA	NA
1792	NA	NA	NA	NA	0.94	NA	NA	NA	NA	NA	NA
1793	NA	NA	NA	NA	0.66	NA	NA	NA	NA	NA	NA
1794	NA	NA	NA	NA	0.82	NA	NA	NA	NA	NA	NA
1795	NA	NA	NA	NA	0.74	NA	NA	NA	NA	NA	NA
1796	NA	NA	NA	NA	0.48	NA	NA	NA	NA	NA	NA
1797	NA	NA	NA	NA	0.59	NA	NA	NA	NA	NA	NA
1798	NA	NA	NA	NA	0.94	NA	NA	NA	NA	NA	NA
1799	NA	NA	NA	NA	0.86	NA	NA	NA	NA	NA	NA
1800	NA	NA	NA	NA	0.9	NA	NA	NA	NA	NA	NA
1801	NA	NA	NA	NA	0.78	NA	NA	NA	NA	NA	NA
1802	NA	NA	NA	NA	1.23	NA	NA	NA	NA	NA	NA
1803	NA	NA	NA	NA	1.12	NA	NA	NA	NA	NA	NA
1804	NA	NA	NA	NA	1.19	NA	NA	NA	NA	NA	NA
1805	NA	NA	NA	NA	1.04	NA	NA	NA	NA	NA	NA
1806	NA	NA	NA	NA	0.82	NA	NA	NA	NA	NA	NA
1807	NA	NA	NA	NA	1.4	NA	NA	NA	NA	NA	NA
1808	NA	NA	NA	NA	1.35	NA	NA	NA	NA	NA	NA
1809	NA	NA	NA	NA	1.49	NA	NA	NA	NA	NA	NA
1810	NA	NA	NA	NA	1.17	NA	NA	NA	NA	NA	NA
1811	NA	NA	NA	NA	1.2	NA	NA	NA	NA	NA	NA
1812	NA	NA	NA	NA	0.75	NA	NA	NA	NA	NA	NA
1813	NA	NA	NA	NA	0.62	NA	NA	NA	NA	NA	NA
1814	NA	NA	NA	NA	0.59	NA	NA	NA	NA	NA	NA
1815	NA	NA	NA	NA	0.57	NA	NA	NA	NA	NA	NA
1816	NA	NA	NA	NA	0.38	NA	NA	NA	NA	NA	NA
1817	NA	NA	NA	NA	0.51	NA	NA	NA	NA	NA	1.62
1818	NA	NA	NA	NA	0.29	NA	NA	NA	NA	NA	0.64
1819	NA	NA	NA	NA	0.47	NA	NA	NA	NA	NA	0.57
1820	NA	NA	NA	NA	0.42	NA	NA	NA	NA	NA	0.58
1821	NA	NA	NA	NA	0.44	NA	NA	NA	NA	NA	0.44
1822	NA	NA	NA	NA	0.6	NA	NA	NA	NA	NA	0.49
1823	NA	NA	NA	NA	0.41	NA	NA	NA	NA	NA	0.55
1824	NA	NA	NA	NA	0.54	NA	NA	NA	NA	NA	0.42
1825	NA	NA	NA	NA	0.52	NA	NA	NA	NA	NA	0.39
