# Seim - Thethi - PIHE - ITRDB ALB001
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/13720
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-13720.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/alb001-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; alb001-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/alb001.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/alb001.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2012-10-22
#--------------------
# File_Last_Modified_Date
#   Date: 2012-10-22
#--------------------
# Title
#   Study_Name: Seim - Thethi - PIHE - ITRDB ALB001
#--------------------
# Investigators
#   Investigators: Seim, A.; Büntgen, U.(https://orcid.org/0000-0002-3821-0818); Fonti, P.; Haska, H.; Herzig, F.; Tegel, W.(https://orcid.org/0000-0003-4707-2848); Trouet, V.(https://orcid.org/0000-0002-2683-8704); Treydte, K.
#--------------------
# Description_Notes_and_Keywords
#   Description: The 'pith-offset' (PO), i.e. the number of missing years 
# # between the innermost ring on a core sample and the pith, 
# # was estimated to obtain the absolute biological age of 
# # each tree. The PO estimates were based on the growth rates 
# # and the curvatures of the tree rings from the existing 
# # material and if possible, compared with the second core 
# # of the same tree (Braker 1981 Mitt Forstl Bundesvers Wien 
# # 142:75-102).
# # 
# # Core	PO	
# # AT101B	131	
# # AT101a	28	
# # AT102a	15	
# # AT103a	24	
# # AT104a	199	
# # AT106a	199	
# # AT150A	37	
# # AT152B	199	
# # AT155a	123	
# # AT156d	199	
# # AT158d	50	
# # AT159a	199	
# # AT1d01a	199	
# # AT1d03a	5	
# # AT1d05a	40	
# # AT1S4b	36	
# # AT1S6a	199	
# # AT2001	199	
# # AT203a	199	
# # AT301b2	33	
# # AT302a	199	
# # AT303a	0	
# # AT304b1	28	
# # AT306a	199	
# # AT307a	50	
# # AT308b	22	
# # AT309b	199	
# # AT315a2	199	
# # AT317b	237	
# # AT401d	20	
# # AT402b	199	
# # AT404a	199	
# # AT405b1	199	
# # AT406b	199	
# # AT410b	199	
# # AT4d01a	24	
# # AT4S1b	54	
# # AT501D	199	 NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: Climate Research
#   Published_Title: Climate sensitivity of a millennium-long pine chronology  from Albania.
#   Published_Date_or_Year: 2012
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 10.3354/cr01076
#   Full_Citation: Seim, A., U. Buentgen, P. Fonti, H. Haska, 
F. Herzig, W. Tegel, V. Trouet, and K. Treydte. 2012. 
Climate sensitivity of a millennium-long pine chronology 
from Albania. 
Climate Research, 51, 217-228.
DOI: 10.3354/cr01076
#   Abstract: Considerable progress has been made in assessing European climate variations of the# last millennium, but little is known about the Mediterranean region and particularly its eastern part# including the Balkan Peninsula. This area, however, will be particularly vulnerable to a predicted# temperature increase and precipitation decrease, likely resulting in amplified drought extremes and# episodes. Here we present a well-replicated composite tree-ring width chronology of millennial# length from Albania, Balkan Peninsula. The Pinus heldreichii Christ dataset contains 302 series from# 217 living and dead trees from 3 high-elevation sites, and spans the years 968-2008. Signal strength# and growth-climate relationships were investigated using subsets according to location, age class,# and growth level, as well as differently detrended chronology versions. Growth comparisons# amongst the 3 sites' chronologies, between age classes and between growth-rate groups reveal an# overall strong common signal. Growth-climate relationships over the last 100 yr, however, indicate# that tree-ring formation does not depend on one single dominant factor, but rather on various combinations# of summer precipitation and temperature resulting in temporally varying drought sensitivity.# Our results emphasize a mixed and variable climate signal, corresponding with findings from other# P. heldreichii sites across the Balkan Peninsula and Southern Italy.
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Thethi
#   Location: Albania
#   Northernmost_Latitude: 42.4167
#   Southernmost_Latitude: 42.4167
#   Easternmost_Longitude: 19.7667
#   Westernmost_Longitude: 19.7667
#   Elevation_m: 1800
#--------------------
# Data_Collection
#   Collection_Name: ALB001
#   First_Year: 1303
#   Last_Year: 2007
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Pinus heldreichii Christ
#   Common_Name: Heldreich's pine
#   Tree_Species_Code: PIHE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## AT101B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AT101B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AT101a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AT101a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AT102a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AT102a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AT103a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AT103a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AT103b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AT103b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AT104a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AT104a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AT106a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AT106a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AT106d_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AT106d; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AT150A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AT150A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
