# Meijer - Lac Sainte Anne - LADE - ITRDB FRAN037
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3924
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3924.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fran037-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; fran037-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fran037.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/fran037.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2005-08-25
#--------------------
# File_Last_Modified_Date
#   Date: 2005-08-25
#--------------------
# Title
#   Study_Name: Meijer - Lac Sainte Anne - LADE - ITRDB FRAN037
#--------------------
# Investigators
#   Investigators: Meijer, F.; Wils, T.H.G.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Lac Sainte Anne
#   Location: France
#   Northernmost_Latitude: 44.63
#   Southernmost_Latitude: 44.63
#   Easternmost_Longitude: 6.8
#   Westernmost_Longitude: 6.8
#   Elevation_m: 2300
#--------------------
# Data_Collection
#   Collection_Name: FRAN037
#   First_Year: 1754
#   Last_Year: 2000
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Larix decidua Mill.
#   Common_Name: European larch
#   Tree_Species_Code: LADE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## LSA01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LSA01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LSA01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LSA01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LSA01C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LSA01C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LSA04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LSA04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LSA04B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LSA04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	LSA01A_raw	LSA01B_raw	LSA01C_raw	LSA04A_raw	LSA04B_raw
1754	NA	NA	NA	NA	1.48
1755	NA	NA	NA	NA	1.43
1756	NA	NA	NA	NA	2.05
1757	NA	NA	NA	NA	1.17
1758	NA	NA	NA	NA	0.5
1759	NA	NA	NA	NA	1.36
1760	NA	NA	NA	NA	0.58
1761	NA	NA	NA	NA	0.55
1762	NA	NA	NA	NA	0.68
1763	NA	NA	NA	NA	0.81
1764	NA	NA	NA	NA	1.06
1765	NA	NA	NA	NA	1.32
1766	NA	NA	NA	NA	0.85
1767	NA	NA	NA	NA	0.6
1768	NA	NA	NA	NA	0.47
1769	NA	NA	NA	NA	0.98
1770	NA	NA	NA	NA	1.2
1771	NA	NA	NA	NA	1.59
1772	NA	NA	NA	NA	1.59
1773	NA	NA	NA	NA	1.14
1774	NA	NA	NA	NA	1.25
1775	NA	NA	NA	NA	1.18
1776	NA	NA	2.08	NA	0.89
1777	NA	NA	1.57	NA	1.29
1778	NA	NA	1.33	NA	0.86
1779	NA	NA	0.52	NA	1.11
1780	NA	NA	0.75	NA	1.03
1781	NA	NA	0.39	NA	0.63
1782	NA	NA	1.21	NA	0.82
1783	NA	NA	1.06	NA	0.65
1784	NA	NA	1.31	NA	1.28
1785	NA	NA	0.94	NA	0.69
1786	NA	NA	0.71	NA	1.17
1787	NA	NA	0.7	NA	0.91
1788	NA	NA	1.21	NA	1.25
1789	NA	NA	1.11	NA	0.93
1790	NA	NA	1.12	NA	0.71
1791	NA	NA	0.71	NA	1.33
1792	NA	NA	0.3	NA	1.13
1793	NA	NA	0.19	NA	0.95
1794	NA	NA	0.34	NA	0.87
1795	NA	NA	0.76	NA	1.26
1796	NA	NA	1.1	NA	1.17
1797	NA	NA	1.16	NA	0.64
1798	NA	NA	0.54	NA	0.24
1799	NA	NA	1.03	NA	0.73
1800	NA	NA	0.72	NA	0.82
1801	NA	NA	0.65	NA	0.79
1802	NA	NA	0.62	NA	1.42
1803	NA	NA	0.65	NA	0.51
1804	NA	NA	0.51	NA	1
1805	NA	NA	0.68	NA	1.16
1806	NA	NA	0.8	NA	1.14
1807	NA	NA	1.08	NA	1.25
1808	NA	NA	0.98	NA	1.28
1809	NA	NA	1.56	NA	1
1810	NA	NA	1.54	NA	1
1811	NA	NA	1.74	NA	1.28
1812	NA	NA	1.13	NA	0.94
1813	NA	NA	0.63	NA	1
1814	NA	NA	0.61	NA	1.04
1815	NA	NA	0.73	NA	0.58
1816	NA	NA	0.39	NA	0.3
1817	NA	NA	0.57	NA	0.62
1818	NA	NA	0.36	1.02	0.44
1819	NA	NA	0.96	0.88	0.59
1820	NA	NA	0.46	0.26	0.27
1821	NA	NA	0.17	0.11	0.63
1822	NA	NA	0.21	0.42	0.38
1823	NA	NA	0.57	0.51	0.74
1824	NA	NA	0.6	0.66	0.3
1825	NA	NA	0.68	0.54	0.58
1826	NA	NA	0.61	0.3	0.36
1827	NA	NA	0.56	0.63	0.6
1828	NA	NA	0.63	0.37	0.45
1829	NA	NA	0.64	0.37	0.51
1830	NA	1.2	0.76	0.28	0.43
1831	NA	0.6	0.53	0.42	0.24
1832	NA	0.67	0.52	0.4	0.71
1833	NA	0.64	0.82	0.43	0.81
1834	NA	0.89	0.88	0.5	0.49
1835	NA	1.02	0.88	0.21	0.82
1836	NA	0.93	0.82	0.61	0.71
1837	NA	1	0.97	0.55	0.93
1838	NA	0.98	0.9	0.47	0.78
1839	NA	0.92	0.76	0.85	1.22
1840	NA	1.11	0.96	0.73	1.09
1841	1.04	0.99	0.83	0.88	1
1842	0.88	0.87	0.62	0.9	1.16
1843	1.29	1.76	1.05	0.91	1.66
1844	0.76	1.01	0.66	0.96	1.46
1845	1.1	1.22	1.14	0.91	1.3
1846	0.97	1.15	1.18	1.12	1.42
1847	0.86	1.35	1.45	2.23	1.08
1848	0.47	0.69	0.52	1.6	0.75
1849	0.46	0.74	0.77	1.43	0.8
1850	0.83	0.98	0.89	1.31	1.34
1851	0.94	0.97	0.94	0.96	1.09
1852	0.98	0.71	0.76	0.35	0.99
1853	0.72	0.56	0.64	0.58	0.9
1854	1.07	0.91	0.78	1	0.93
1855	0.91	0.65	0.54	0.71	0.51
1856	1.21	0.97	0.68	0.97	1.05
1857	1.12	1.05	0.97	1.03	0.73
