# Bräker - unt.Bremgartenstrasse - QUPE - ITRDB SWIT232
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/14051
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-14051.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit232-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit232-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit232.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit232.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Bräker - unt.Bremgartenstrasse - QUPE - ITRDB SWIT232
#--------------------
# Investigators
#   Investigators: Bräker, O.U.; Zingg, A.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: unt.Bremgartenstrasse
#   Location: Switzerland
#   Northernmost_Latitude: 47.3925
#   Southernmost_Latitude: 47.3925
#   Easternmost_Longitude: 8.3986
#   Westernmost_Longitude: 8.3986
#   Elevation_m: 420
#--------------------
# Data_Collection
#   Collection_Name: SWIT232
#   First_Year: 1941
#   Last_Year: 1995
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Quercus petraea (Matt.) Liebl. = Quercus sessiliflora Salisb.
#   Common_Name: durmast oak
#   Tree_Species_Code: QUPE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## DIE0108G_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DIE0108G; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DIE0108P_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DIE0108P; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DIE0212G_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DIE0212G; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DIE0212P_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DIE0212P; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DIE0314P_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DIE0314P; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DIE0314R_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DIE0314R; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	DIE0108G_raw	DIE0108P_raw	DIE0212G_raw	DIE0212P_raw	DIE0314P_raw	DIE0314R_raw
1941	2.3	2.68	NA	NA	3.06	3.31
1942	4.59	4.81	NA	NA	3.08	3.27
1943	4.78	4.44	NA	NA	3.04	2.23
1944	4.81	4.81	6	5.86	3.45	3.19
1945	2.32	1.96	2.15	3.02	2.56	2
1946	4.37	4.45	3.94	4.3	3.77	3.73
1947	3.74	3.31	3.89	2.86	2.97	2.55
1948	2.5	3.06	4.37	3.71	4.12	3.21
1949	2.48	2.48	2.16	2.37	3.12	2.58
1950	2.64	2.32	3.35	2.41	5.07	3.47
1951	2.64	2.78	3.18	2.18	4.93	3.03
1952	2.73	2.58	2.79	2.25	4.11	3.14
1953	3.29	2.86	3.42	2.25	4.16	3
1954	2.78	2.62	3.11	2.01	2.75	2.01
1955	2.82	2.64	3.11	1.74	2.05	2.47
1956	2.45	2.07	1.9	1.34	1.58	1.86
1957	2.44	1.94	1.6	1.23	1.73	1.72
1958	3.81	3.36	3.54	1.92	2.83	3.82
1959	2.51	2.54	2.66	1.32	2.28	3.58
1960	2.82	2.74	2.8	2.01	2.25	3.28
1961	3.08	2.5	3.08	1.73	1.9	3.13
1962	2.46	2.01	2.49	1.6	1.26	2.6
1963	2.97	2.61	2.77	1.66	1.11	2.54
1964	3.12	2.4	2.52	1.91	0.92	2.09
1965	4.03	3.36	3.24	1.91	1.04	2.09
1966	3.79	2.93	2.96	1.84	1.37	2.08
1967	3.64	2.83	3.12	1.73	1.86	2.22
1968	3.92	3.73	3.48	2.52	2.79	2.83
1969	4.59	3.92	3.24	1.96	2.83	3.97
1970	4.14	3.54	3.07	2.05	2.65	3.3
1971	4.7	4.41	3.27	1.96	2.42	3.38
1972	4.57	4.34	3.14	1.89	2.54	3.09
1973	4.52	4.56	3.29	1.89	3.22	3.63
1974	4.07	4.11	3.11	1.59	2.09	3.62
1975	3.98	4.64	3.19	1.7	2.14	3.9
1976	3.65	3.03	3.34	1.6	2.58	4.01
1977	3.66	3.81	3.12	1.89	2.55	3.22
1978	3.92	4.07	3.05	2.2	2.86	3.46
1979	3.61	3.85	3.33	1.8	2.49	3.15
1980	3.59	5.12	3.89	2.08	1.93	2.37
1981	3.44	4.66	3.06	1.7	1.82	3.22
1982	4.67	4.99	3.86	2.21	1.95	4.01
1983	4.15	4.78	3.67	2.41	2.45	3.67
1984	3.46	4.03	3.85	1.98	2.51	3.25
1985	3.22	3.57	3.54	1.91	2.81	2.95
1986	3.47	3.85	3.76	1.78	2.78	2.97
1987	3.51	3.9	3.67	1.81	3.02	3.35
1988	3.34	3.11	3.76	1.87	3.23	3.54
1989	3.5	3.09	3.44	1.8	3.25	3.37
1990	3.82	4.42	3.68	1.68	2.93	3.58
1991	3.58	4.05	3.25	1.89	2.52	3.56
1992	3.35	4.38	3.12	1.5	2.42	3.84
1993	3.9	4.45	3.06	1.65	2.96	3.62
1994	3.98	5.01	3.76	2.22	2.86	3.55
1995	3.49	3.67	3.51	2.22	2.95	2.47
