# Bräker - Lauperswil Dürsrüti LZ - ABAL - ITRDB SWIT301
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16867
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16867.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit301-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit301-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit301.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit301.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Bräker - Lauperswil Dürsrüti LZ - ABAL - ITRDB SWIT301
#--------------------
# Investigators
#   Investigators: Bräker, O.U.; Zingg, A.
#--------------------
# Description_Notes_and_Keywords
#   Description: Collection purpose: 
# # Plentering, trunk analysis
# # 
# # 
# # Cores are stored at: 
# # disposed
# # 
# # 
# # Notes: 
# # Formerly Les_Breuleux_Fichte_Bestand_n10_1995.fh
# # 
# # References:
# # Zingg, A.; Erni, V.; Mohr, C., (1997): 
# # Selection Forests - A Concept for Sustainable Use: 
# # 90 Years of Experience of Growth and Yield Research Selection Forestry in Switzerland. 
# # In: Emmingham, W.H. (comp.) Proceedings of The IUFRO Interdisciplinary Uneven- NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Lauperswil Dürsrüti LZ
#   Location: Switzerland
#   Northernmost_Latitude: 46.9608
#   Southernmost_Latitude: 46.9608
#   Easternmost_Longitude: 7.7744
#   Westernmost_Longitude: 7.7744
#   Elevation_m: 910
#--------------------
# Data_Collection
#   Collection_Name: SWIT301
#   First_Year: 1764
#   Last_Year: 1990
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Abies alba Mill.
#   Common_Name: silver fir
#   Tree_Species_Code: ABAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## DURU2451_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DURU2451; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DURU2452_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DURU2452; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DURU8701_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DURU8701; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DURU8702_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DURU8702; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DURU8703_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DURU8703; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	DURU2451_raw	DURU2452_raw	DURU8701_raw	DURU8702_raw	DURU8703_raw
1764	NA	NA	0.84	NA	NA
1765	NA	NA	4.02	NA	NA
1766	NA	NA	4.46	NA	NA
1767	NA	NA	4.3	NA	NA
1768	NA	NA	4.52	NA	NA
1769	NA	NA	4.76	NA	NA
1770	NA	NA	4.15	NA	NA
1771	NA	NA	4.49	NA	NA
1772	NA	NA	4.34	NA	NA
1773	NA	NA	3.67	NA	NA
1774	NA	NA	4.02	NA	NA
1775	NA	NA	3.51	NA	NA
1776	NA	NA	3.62	NA	NA
1777	NA	NA	3.25	NA	NA
1778	NA	NA	3.09	NA	NA
1779	NA	NA	3.03	NA	NA
1780	NA	NA	3.25	NA	NA
1781	NA	NA	3.01	NA	NA
1782	0.28	NA	2.35	NA	NA
1783	0.44	NA	2.45	NA	NA
1784	0.39	NA	2.44	NA	NA
1785	0.55	NA	2.96	NA	NA
1786	0.43	NA	2.86	NA	NA
1787	0.99	NA	2.51	NA	NA
1788	1.36	NA	2.6	NA	NA
1789	1.42	NA	2.77	NA	NA
1790	2.09	NA	2.98	NA	NA
1791	1.29	NA	2.56	NA	NA
1792	1.42	NA	2.63	NA	NA
1793	2.27	NA	2.71	NA	NA
1794	2.35	NA	2.35	NA	NA
1795	2.59	NA	2.09	NA	NA
1796	0.5	NA	2.29	NA	NA
1797	0.46	NA	1.88	NA	NA
1798	0.53	NA	1.85	NA	NA
1799	0.95	NA	1.86	NA	NA
1800	0.82	NA	1.81	NA	NA
1801	1.18	NA	1.32	NA	NA
1802	1.64	NA	1.13	NA	NA
1803	1.09	NA	1.05	NA	NA
1804	1.6	NA	1.06	NA	NA
1805	1.76	NA	1.19	NA	NA
1806	1.82	NA	1.4	NA	NA
1807	1.36	NA	1.26	NA	NA
1808	0.99	NA	1.14	NA	NA
1809	1.58	NA	1.66	NA	NA
1810	1.56	NA	1.67	NA	NA
1811	1.09	NA	1.71	NA	NA
1812	1.03	NA	1.49	NA	NA
1813	1.4	NA	1.52	NA	NA
1814	1.24	NA	1.61	NA	NA
1815	1	NA	1.57	NA	NA
1816	1.28	NA	1.72	NA	NA
1817	1.15	NA	1.93	NA	NA
1818	0.74	NA	1.81	NA	NA
1819	0.52	NA	1.58	NA	NA
1820	0.6	NA	1.67	NA	NA
1821	0.7	NA	1.75	NA	NA
1822	0.77	NA	2	NA	NA
1823	0.79	NA	2.4	NA	NA
1824	0.94	NA	2.46	NA	NA
1825	0.22	NA	2.77	NA	NA
1826	0.25	NA	3.18	NA	NA
1827	0.3	NA	2.4	NA	NA
1828	0.44	NA	2.56	NA	NA
1829	1.01	NA	3.24	NA	NA
1830	1.47	NA	2.62	NA	NA
1831	1.85	NA	3.32	NA	NA
1832	2.05	NA	3.48	NA	NA
1833	1.47	NA	2.54	NA	NA
1834	1.64	NA	2.96	NA	NA
1835	1.88	NA	2.92	NA	NA
1836	2.22	NA	2.59	NA	NA
1837	2.31	NA	2.56	NA	NA
1838	2.01	NA	2.65	NA	NA
1839	1.96	NA	2.84	NA	NA
1840	1.77	NA	2.95	NA	NA
1841	1.58	NA	2.94	NA	NA
1842	1.78	NA	3.5	NA	NA
1843	1.89	NA	3.18	NA	NA
1844	1.66	NA	2.82	NA	NA
1845	2.26	NA	3.21	NA	NA
1846	2.37	NA	4.32	NA	NA
1847	1.84	NA	3.33	NA	NA
1848	2.02	NA	3.41	NA	NA
1849	2.21	NA	4.25	NA	NA
1850	1.06	NA	3.47	NA	NA
1851	3.63	NA	3.97	NA	NA
1852	3.64	NA	3.4	NA	NA
1853	3.55	NA	4.08	NA	NA
1854	2.48	NA	3.55	NA	NA
1855	2.18	NA	3.24	NA	NA
1856	2.43	NA	3.37	NA	NA
1857	2.06	NA	2.96	NA	NA
1858	1.89	NA	2.41	NA	NA
1859	2.26	NA	2.93	NA	NA
1860	1.81	NA	2.31	NA	NA
1861	2.14	NA	3.36	NA	NA
1862	1.74	NA	3.11	NA	NA
1863	2.38	NA	3.91	NA	NA
1864	1.75	NA	3.47	NA	NA
1865	1.22	NA	2.58	NA	NA
1866	1.82	NA	3.53	NA	NA
1867	1.86	NA	4.2	NA	NA
1868	2.49	NA	3.83	NA	NA
1869	1.79	NA	2.8	NA	NA
1870	1.9	NA	3.57	NA	NA
1871	1.76	NA	3.26	NA	NA
1872	1.92	NA	3.41	NA	NA
1873	2.08	NA	4.32	NA	NA
1874	1.76	NA	3.59	NA	NA
1875	1.62	NA	3.27	NA	NA
1876	1.99	NA	3.7	NA	NA
1877	2.01	NA	3.77	NA	NA
1878	2.05	NA	4.5	NA	NA
1879	2.02	NA	4.63	NA	NA
1880	1.9	NA	3.03	NA	NA
1881	2.18	NA	4.25	NA	NA
1882	2.64	NA	4.75	NA	NA
1883	2.41	NA	4.54	NA	NA
1884	2.62	NA	5.29	NA	NA
1885	2.5	NA	3.69	NA	NA
