# Kuniholm - Gordion-Kizlarkaya, Midas Mound - JUSP - ITRDB TURK029
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3802
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3802.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/turk029-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; turk029-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/turk029.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/turk029.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2006-05-22
#--------------------
# File_Last_Modified_Date
#   Date: 2006-05-22
#--------------------
# Title
#   Study_Name: Kuniholm - Gordion-Kizlarkaya, Midas Mound - JUSP - ITRDB TURK029
#--------------------
# Investigators
#   Investigators: Kuniholm, P.I.; Newton, M.; Bannister, B.; Dean, J.S.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Gordion - Kizlarkaya, Midas Mound
#   Location: Turkey
#   Northernmost_Latitude: 39.63
#   Southernmost_Latitude: 39.63
#   Easternmost_Longitude: 30.0
#   Westernmost_Longitude: 30.0
#   Elevation_m: 800
#--------------------
# Data_Collection
#   Collection_Name: TURK029
#   First_Year: -1767
#   Last_Year: -905
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Juniperus spp. L.
#   Common_Name: juniper
#   Tree_Species_Code: JUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 600610_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 600610; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 500035_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 500035; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 500020_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 500020; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	600610_raw	500035_raw	500020_raw
737	1.26	NA	NA
738	1.19	NA	NA
739	1.52	NA	NA
740	1.04	NA	NA
741	1.22	NA	NA
742	1.14	NA	NA
743	2.01	NA	NA
744	1.62	NA	NA
745	1.59	NA	NA
746	1.85	NA	NA
747	2.13	NA	NA
748	2.37	NA	NA
749	1.91	NA	NA
750	2.29	NA	NA
751	1.57	NA	NA
752	1.82	NA	NA
753	2.48	NA	NA
754	2.11	NA	NA
755	1.41	NA	NA
756	1.55	NA	NA
757	2.21	NA	NA
758	1.78	NA	NA
759	1.71	NA	NA
760	1.26	NA	NA
761	2	NA	NA
762	1.71	NA	NA
763	1.89	NA	NA
764	1.67	NA	NA
765	1.46	NA	NA
766	1.45	NA	NA
767	1.64	NA	NA
768	1.41	NA	NA
769	1.9	NA	NA
770	1.02	NA	NA
771	1.25	NA	NA
772	1.6	NA	NA
773	1.7	NA	NA
774	1.76	NA	NA
775	2	NA	NA
776	1.72	NA	NA
777	1.52	NA	NA
778	1.06	NA	NA
779	1.87	NA	NA
780	1.27	NA	NA
781	1.51	NA	NA
782	1.56	NA	NA
783	1.09	NA	NA
784	1.85	NA	NA
785	0.97	NA	NA
786	0.93	NA	NA
787	1.31	NA	NA
788	1	NA	NA
789	1.1	NA	NA
790	0.96	NA	NA
791	0.97	NA	NA
792	0.85	NA	NA
793	1.3	NA	NA
794	1.14	NA	NA
795	0.94	NA	NA
796	0.81	NA	NA
797	0.92	NA	NA
798	0.97	NA	NA
799	1.14	NA	NA
800	1.03	NA	NA
801	0.39	NA	NA
802	0.66	NA	NA
803	0.66	NA	NA
804	0.99	NA	NA
805	0.59	NA	NA
806	0.75	NA	NA
807	0.62	NA	NA
808	0.52	NA	NA
809	0.75	NA	NA
810	0.7	NA	NA
811	0.64	NA	NA
812	0.73	NA	NA
813	0.45	NA	NA
814	0.64	NA	NA
815	0.59	NA	NA
816	0.56	NA	NA
817	0.42	NA	NA
818	0.65	NA	NA
819	0.56	NA	NA
820	0.39	NA	NA
821	0.53	NA	NA
822	0.64	NA	NA
823	0.75	NA	NA
824	0.8	NA	NA
825	0.78	NA	NA
826	0.64	NA	NA
827	0.33	NA	NA
828	0.41	NA	NA
829	0.43	NA	NA
830	0.66	NA	NA
831	0.75	NA	NA
832	0.74	NA	NA
833	0.68	NA	NA
834	0.63	NA	NA
835	0.34	NA	NA
836	0.62	NA	NA
837	0.39	NA	NA
838	0.36	NA	NA
839	0.55	NA	NA
840	0.63	NA	NA
841	0.8	NA	NA
842	0.41	NA	NA
843	0.43	NA	NA
844	0.67	NA	NA
845	1	NA	NA
846	0.76	NA	NA
847	0.72	NA	NA
848	0.55	NA	NA
849	0.47	NA	NA
850	0.5	NA	NA
851	0.46	NA	NA
852	0.4	NA	NA
853	0.42	NA	NA
854	0.46	NA	NA
855	0.55	NA	NA
856	0.51	NA	NA
857	0.41	NA	NA
858	0.41	NA	NA
859	0.39	NA	NA
860	0.42	NA	NA
861	0.35	NA	NA
862	0.53	NA	NA
863	0.53	NA	NA
864	0.45	NA	NA
865	0.6	NA	NA
866	0.38	NA	NA
867	0.56	NA	NA
868	0.36	NA	NA
869	0.52	NA	NA
870	0.55	NA	NA
871	0.46	NA	NA
872	0.38	NA	NA
873	0.15	NA	NA
874	0.46	NA	NA
875	1.02	NA	NA
876	0.82	NA	NA
877	0.48	NA	NA
878	0.54	NA	NA
879	0.48	NA	NA
880	0.57	NA	NA
881	0.49	NA	NA
882	0.33	NA	NA
883	0.45	NA	NA
884	0.49	NA	NA
885	0.24	NA	NA
886	0.31	NA	NA
887	0.3	NA	NA
888	0.24	NA	NA
889	0.22	NA	NA
890	0.25	NA	NA
891	0.42	NA	NA
892	0.32	NA	NA
893	0.39	NA	NA
894	0.21	NA	NA
895	0.24	NA	NA
896	0.3	NA	NA
897	0.18	NA	NA
898	0.32	NA	NA
899	0.36	NA	NA
900	0.41	NA	NA
901	0.36	NA	NA
902	0.34	NA	NA
903	0.29	NA	NA
904	0.29	NA	NA
