# Bräker - La Rolaz - ABAL - ITRDB SWIT286
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16852
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16852.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit286-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit286-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit286.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit286.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Bräker - La Rolaz - ABAL - ITRDB SWIT286
#--------------------
# Investigators
#   Investigators: Bräker, O.U.; Zingg, A.
#--------------------
# Description_Notes_and_Keywords
#   Description: Collection purpose: 
# # Plentering
# # 
# # 
# # Cores are stored at: 
# # disposed
# # 
# # 
# # Notes: 
# # Slope W 20%
# # Formerly Le_Chenit_Tanne_n2_1994.fh
# # 
# # References:
# # Zingg, A., (1996): 
# # Diameter and Basal Area Increment in Permanent Growth and Yield Plots in Switzerland. 
# # In: Spiecker, H.; Mielikainen, K.; Kohl, M.; Skovsgaard, J.P. (eds) 
# # Growth Trends in European Forests. 
# # European Forest Institute Research Report No.5. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: La Rolaz
#   Location: Switzerland
#   Northernmost_Latitude: 46.56
#   Southernmost_Latitude: 46.56
#   Easternmost_Longitude: 6.2225
#   Westernmost_Longitude: 6.2225
#   Elevation_m: 1340
#--------------------
# Data_Collection
#   Collection_Name: SWIT286
#   First_Year: 1931
#   Last_Year: 1994
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Abies alba Mill.
#   Common_Name: silver fir
#   Tree_Species_Code: ABAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## LC4520T4_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LC4520T4; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LC4520T8_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LC4520T8; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	LC4520T4_raw	LC4520T8_raw
1931	1.55	0.97
1932	1.33	1.43
1933	2.28	2.55
1934	2.36	2.73
1935	3.12	2.68
1936	2.68	2.46
1937	2.25	2.43
1938	2.2	2.5
1939	2.67	2.5
1940	2.27	2.5
1941	2.25	2.3
1942	2.23	2.08
1943	2.17	1.7
1944	2.43	2.33
1945	1.41	1.42
1946	2.33	2.25
1947	2.29	2.22
1948	1.72	2.1
1949	1.96	1.93
1950	1.9	2.28
1951	2.11	2.63
1952	2.14	2.58
1953	1.86	1.96
1954	1.8	1.67
1955	1.97	1.75
1956	1.57	1.88
1957	2.07	1.69
1958	1.94	1.78
1959	1.67	1.48
1960	1.61	1.29
1961	1.22	1.22
1962	1.41	1
1963	1.25	0.92
1964	1.69	1.22
1965	1.78	1.48
1966	1.9	1.5
1967	2.28	1.47
1968	2.36	1.65
1969	1.79	1.29
1970	1.29	1.11
1971	1.34	1.08
1972	1.78	1.29
1973	1.52	1.26
1974	1.66	1.25
1975	1.02	0.66
1976	0.91	0.61
1977	1.21	0.72
1978	1.28	0.67
1979	1.92	1.07
1980	1.68	0.95
1981	1.61	0.92
1982	2.52	1.39
1983	2.3	1.53
1984	1.5	1.1
1985	2.09	1.43
1986	1.97	1.09
1987	2.19	1.51
1988	2.04	1.58
1989	2.01	1.56
1990	1.59	1.06
1991	1.65	0.79
1992	1.95	0.9
1993	2.18	1.11
1994	1.8	1.14
