# Bräker - Vorhegi - CPBE - ITRDB SWIT353
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16927
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16927.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit353-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit353-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit353.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit353.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Bräker - Vorhegi - CPBE - ITRDB SWIT353
#--------------------
# Investigators
#   Investigators: Bräker, O.U.; Zingg, A.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Vorhegi
#   Location: Switzerland
#   Northernmost_Latitude: 47.6575
#   Southernmost_Latitude: 47.6575
#   Easternmost_Longitude: 8.755
#   Westernmost_Longitude: 8.755
#   Elevation_m: 445
#--------------------
# Data_Collection
#   Collection_Name: SWIT353
#   First_Year: 1934
#   Last_Year: 1998
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Carpinus betulus L.
#   Common_Name: hornbeam
#   Tree_Species_Code: CPBE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## BS05680A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BS05680A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	BS05680A_raw
1934	1.03
1935	1.22
1936	1.23
1937	1.69
1938	1.92
1939	1.85
1940	3
1941	1.65
1942	2.31
1943	2.18
1944	2.28
1945	1.67
1946	2.73
1947	2.79
1948	2.59
1949	4.61
1950	3.69
1951	4.57
1952	3.64
1953	2.75
1954	2.79
1955	3.6
1956	2.67
1957	3.05
1958	2.96
1959	2.91
1960	1.59
1961	2.14
1962	2.21
1963	2.4
1964	2.4
1965	1.91
1966	2.47
1967	2.89
1968	1.88
1969	1.85
1970	4.7
1971	5.22
1972	4.98
1973	2.29
1974	2.86
1975	5.5
1976	5.37
1977	7.05
1978	5.88
1979	6.67
1980	4.97
1981	4.02
1982	5.24
1983	6.04
1984	6.3
1985	6.29
1986	4.95
1987	6.13
1988	5.6
1989	5.58
1990	5.79
1991	5.36
1992	3.23
1993	2.72
1994	2.35
1995	0.87
1996	0.99
1997	0.99
1998	1.19
